ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,ITPR2,VDAC1,AP2A1,PICALM,COPB2,RTN3,LRP1,TMED9,RTN4,RAB1A,SEC23B,SEC24D,COPE,SAR1B,PLG,MFN2,PREB,COPZ1,SEC13,AP4B1,RAB1B,IDE,SYK,NCSTN,HSPA5,OSBP,COPG2,ADAM10,AP1G1,CLU,VPS35,GGA3,AP4S1,VPS26A,PLCG2,SEC24A,MAPKAPK2,PSEN1,COPA,SNX4,SEC24C,MAPK14,AP2B1,GGA2,SAR1A,SEC24B,APBA2,VLDLR,VPS29,ARF6,ABCA7,GGA1,MIA3,MAP2K3,AP4M1,SREBF2,ADAM17,HSPA9,SORT1,AP4E1,BACE1,EIF2S1,COPG1,APP,APOE,AP3B2,APBA1,BIN1,SORL1,ECE1,TMED2,TMED10,ITPR1,SIGMAR1,SNX6,SEC16A,COPB1,SEC23A,GORASP1,SEC31A
1,GGA1,VPS35,ADAM10,BACE1,TMED9,MIA3,AP2B1,AP2A1,HSPA5,SEC23A,SEC24B,ADAM17,ITPR1,SAR1B,GGA2,APBA1,SNX6,VLDLR,MAPKAPK2,SORT1,OSBP,COPG1,SAR1A,VDAC1,COPB1,COPZ1,COPA,PSEN1,SEC16A,ITPR2,RTN4,SEC23B,AP1G1,VPS26A,RAB1B,TMED2,SYK,PLG,RTN3,GGA3,MAP2K3,ARF6,VPS29,PLCG2,SEC24C,CLU,RAB1A,TMED10,COPE,SEC24A,AP3B2,PICALM,ABCA7,AP4E1,LRP1,SEC24D,AP4M1,NCSTN,EIF2S1,SNX4,BIN1,APBA2,APP,AP4S1,AP4B1,MFN2,HSPA9,SEC31A,SORL1,SREBF2,APOE,COPG2,MAPK14,IDE,SIGMAR1,PREB,ECE1,SEC13,COPB2,GORASP1
2,SORL1,VPS29,SEC31A,AP3B2,VPS35,GGA3,GGA2,SEC13,HSPA9,BIN1,SNX4,LRP1,SEC24C,GGA1,ABCA7,AP4E1,COPZ1,COPG1,SEC24A,SAR1A,TMED2,COPE,SEC23B,ARF6,HSPA5,PSEN1,APOE,AP2A1,PICALM,ADAM10,TMED10,NCSTN,COPB1,ECE1,MAPK14,COPB2,CLU,MFN2,OSBP,VDAC1,PLCG2,RTN3,PLG,RAB1A,BACE1,MAPKAPK2,SEC16A,MAP2K3,APP,IDE,SORT1,SREBF2,MIA3,SEC23A,VPS26A,TMED9,SAR1B,APBA1,COPG2,ADAM17,PREB,EIF2S1,ITPR1,SYK,AP4M1,ITPR2,AP4B1,SEC24B,SIGMAR1,SNX6,AP2B1,SEC24D,GORASP1,AP4S1,COPA,RTN4,APBA2,RAB1B,AP1G1,VLDLR
3,GGA1,RTN3,SEC24D,COPG2,SEC23A,COPZ1,TMED9,COPE,HSPA5,LRP1,COPA,APBA1,ECE1,BIN1,VPS26A,SEC24A,SAR1B,TMED2,ARF6,COPG1,ADAM17,GGA2,SEC23B,ITPR1,MAPKAPK2,PLG,AP1G1,APBA2,ITPR2,AP2A1,TMED10,GGA3,RAB1A,SORT1,PLCG2,VDAC1,MIA3,SNX4,APOE,IDE,ADAM10,MAP2K3,ABCA7,SEC13,SYK,NCSTN,CLU,SNX6,AP2B1,VLDLR,AP3B2,AP4B1,MFN2,VPS29,SAR1A,SEC31A,EIF2S1,AP4S1,SEC24C,RAB1B,OSBP,AP4E1,GORASP1,RTN4,COPB1,COPB2,SEC24B,BACE1,PICALM,APP,MAPK14,SORL1,VPS35,SEC16A,HSPA9,PREB,SIGMAR1,AP4M1,SREBF2,PSEN1
4,GGA3,SEC31A,MIA3,AP1G1,COPG1,RTN3,APP,CLU,VPS35,MFN2,PSEN1,EIF2S1,ITPR1,SEC24C,SAR1B,MAPKAPK2,VPS26A,COPE,SEC24A,SEC13,APOE,PLCG2,ITPR2,SNX6,PICALM,AP4E1,MAP2K3,AP2B1,COPZ1,GGA1,COPB1,COPA,GGA2,TMED9,VLDLR,IDE,AP2A1,TMED2,RAB1A,BIN1,ADAM10,SEC23B,NCSTN,SREBF2,MAPK14,RTN4,SORL1,APBA1,ABCA7,SORT1,BACE1,AP4B1,SEC23A,OSBP,COPG2,APBA2,GORASP1,SNX4,HSPA5,VPS29,ECE1,SEC24D,PLG,SAR1A,AP3B2,VDAC1,AP4S1,ARF6,SIGMAR1,SEC24B,LRP1,RAB1B,SYK,TMED10,AP4M1,SEC16A,COPB2,ADAM17,PREB,HSPA9
5,VPS29,COPB1,TMED9,MAPKAPK2,SNX6,VPS26A,SEC16A,PSEN1,SEC23A,PICALM,ITPR2,LRP1,SEC24C,TMED2,VDAC1,OSBP,AP1G1,SNX4,SORL1,SAR1A,COPE,AP4E1,BIN1,GGA3,SORT1,MFN2,COPB2,RAB1B,COPG2,TMED10,ARF6,SEC13,PLCG2,APP,ABCA7,CLU,SYK,APOE,VLDLR,ECE1,PLG,SREBF2,SEC24D,ITPR1,GGA2,COPG1,AP4B1,RTN3,SEC23B,AP3B2,SAR1B,ADAM10,APBA2,AP4M1,MIA3,ADAM17,COPA,BACE1,IDE,NCSTN,MAP2K3,RAB1A,HSPA9,VPS35,RTN4,AP2A1,APBA1,EIF2S1,MAPK14,SEC31A,HSPA5,GORASP1,SIGMAR1,GGA1,COPZ1,AP4S1,SEC24A,PREB,SEC24B,AP2B1
6,SEC16A,COPE,COPZ1,COPB1,RAB1A,OSBP,CLU,SEC23B,GORASP1,RTN4,ADAM10,SEC31A,PSEN1,AP2A1,IDE,HSPA5,SEC13,VPS35,NCSTN,SEC23A,APBA1,VDAC1,SEC24B,ABCA7,VPS26A,ADAM17,PLCG2,MFN2,COPG2,SYK,AP3B2,TMED9,SORL1,EIF2S1,TMED10,ITPR1,SNX6,COPB2,GGA3,APOE,MAPK14,AP4S1,PREB,BACE1,SNX4,GGA1,ARF6,MAP2K3,HSPA9,AP4M1,APP,ITPR2,SAR1A,GGA2,AP4B1,SORT1,VPS29,RAB1B,SREBF2,MIA3,MAPKAPK2,SEC24A,AP1G1,APBA2,COPG1,AP4E1,BIN1,SEC24C,VLDLR,SEC24D,SAR1B,PICALM,TMED2,PLG,COPA,AP2B1,ECE1,RTN3,SIGMAR1,LRP1
7,TMED10,OSBP,MAPKAPK2,SEC24A,MAPK14,COPB2,HSPA5,ITPR2,COPG2,HSPA9,TMED9,SEC13,SYK,PLCG2,SNX4,LRP1,BACE1,APBA2,MFN2,SIGMAR1,COPZ1,SORL1,VPS26A,MAP2K3,AP2A1,GGA2,SEC24C,VPS29,VPS35,RTN3,AP2B1,APOE,SAR1A,AP4E1,APBA1,NCSTN,PREB,ADAM10,RAB1A,MIA3,SORT1,SEC23A,RAB1B,IDE,SAR1B,PSEN1,COPB1,CLU,APP,COPG1,SNX6,GGA3,COPA,TMED2,GGA1,ADAM17,SEC23B,SREBF2,SEC24B,BIN1,COPE,VLDLR,PICALM,EIF2S1,AP4S1,ITPR1,SEC24D,ARF6,AP1G1,SEC16A,RTN4,GORASP1,PLG,AP3B2,ABCA7,SEC31A,ECE1,VDAC1,AP4B1,AP4M1
8,RAB1A,ITPR2,RTN3,SEC23A,VPS26A,SEC31A,AP3B2,SORT1,COPA,RAB1B,SAR1B,COPZ1,MFN2,BACE1,COPB1,AP2B1,COPG1,GGA2,TMED9,COPB2,PLCG2,VPS29,SAR1A,COPE,VLDLR,OSBP,APBA1,HSPA9,ARF6,ADAM10,NCSTN,LRP1,MAP2K3,TMED2,SNX4,AP1G1,PSEN1,VPS35,VDAC1,SEC23B,CLU,AP4E1,PICALM,TMED10,ITPR1,EIF2S1,APBA2,AP4B1,SEC24D,MAPK14,AP4M1,AP2A1,MIA3,COPG2,SYK,ABCA7,IDE,SEC13,RTN4,GGA3,SEC24B,MAPKAPK2,SEC16A,SEC24A,GGA1,AP4S1,ADAM17,HSPA5,PLG,SNX6,APP,SORL1,SEC24C,BIN1,SREBF2,SIGMAR1,PREB,GORASP1,ECE1,APOE
9,RAB1B,VPS29,COPG2,COPE,MIA3,SORT1,APOE,IDE,APBA2,VDAC1,RTN4,SEC23A,AP1G1,AP4B1,ECE1,PLCG2,COPB1,AP2B1,COPZ1,COPG1,APBA1,GGA2,APP,SAR1B,MAPK14,TMED9,HSPA5,AP4E1,SAR1A,SEC24C,VPS35,SIGMAR1,TMED2,OSBP,ABCA7,SEC24D,SEC24A,CLU,VPS26A,SEC13,SEC16A,BIN1,PSEN1,HSPA9,VLDLR,MAP2K3,AP2A1,SEC31A,MFN2,MAPKAPK2,SORL1,SNX6,ITPR1,TMED10,GGA3,GORASP1,NCSTN,BACE1,PLG,AP4S1,ADAM17,COPB2,EIF2S1,ADAM10,AP4M1,ARF6,PREB,LRP1,SNX4,SEC23B,PICALM,ITPR2,GGA1,COPA,AP3B2,SREBF2,RTN3,RAB1A,SEC24B,SYK
