,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.0406996724008259,0.022439964946642976,0.02894041263776235,0.12626355158285726,0.07785088082864192,0.05292662629074529,0.04071077056614519,0.0595664663612212,0.9989152160982843,0.06002703059548137,0.07273569092526916,0.03950029453356404,0.2211162238000118,0.025895795392318528,0.04186656004083489,0.01895857557531323,0.02792777355525748,0.08721246130313205,0.019070174170998884,0.026523950253657922,0.020285518280475142,0.08514798409580529,0.02182883663719818,0.038778147669167665,0.09056668593158887,0.1006125584876011,0.07550640013428334,0.018674466603455838,0.443314170422035,0.024745368908394277,0.05561333877016274,0.02671179944666362,0.02241389028122444,0.8261727712158605,0.1947149439081699,0.04189890834216158,0.12301124346014759,0.022659407961707883,0.025492308559865347,0.036615147007601274,0.024865097383951613,0.09857962248657655,0.29399657636570514,0.03071293835923544,0.07544235027477429,0.06251105260441288,0.06811224778326377,0.018414813895338833,0.06105165877072932,0.04544284942392669,0.019509956273329822,0.11770842961426395,0.018915984313040216,0.09527966824079637,0.2584101280448068,0.07181292186707582,0.03846692538092959,0.048220036713397606,0.1665579595989954,0.031006082129776208,0.10879597476582972,0.029121646015071345,0.19125275703594535,0.07370421029441773,0.24053951914013713,0.18088254608497736,0.03281306167912741,0.022537985088973592,0.03005252904585451,0.03762998211272065,0.1726876970677314,0.03626335036343989,0.07411343705811284,0.022948011950404752,0.153849830735203,0.04251230269884638,0.04284396828242087,0.048923727415860103,0.018585580757453785
ADAM10,0.049091805453478306,0.0,0.027069988375174426,0.0232594711665109,0.01937828575289354,0.01899596971398864,0.04426267185809018,0.023845339055096445,0.03584137869946134,0.03907095781305138,0.024053405649245525,0.06886422151879455,0.020276609730596636,0.11970145685335346,0.02703427332141713,0.06236501459338615,0.018283351544272686,0.1587795642279479,0.041402187134255676,0.02091241669678317,0.051181928726849235,0.021213471210051123,0.02967181986220614,0.0415900530321988,0.021790141084668903,0.023546727187916547,0.051529934230327916,0.04052080255945202,0.1338670190235216,0.04326065944529374,0.02735337266064349,0.02746876808994547,0.06883971919709621,0.034152786417581744,0.05420657821568424,0.6790949903692373,0.02914619639417442,0.03864605864757501,0.05987477196796807,0.028599096891790403,0.019386886506824585,0.021171958296515997,0.05144737112612843,0.1579397801395727,0.04971747309053923,0.1191831733282278,0.06773409174202388,0.09838395589016044,0.022853223613307126,0.024299336305569894,0.08162285679168553,0.03151724759761407,0.0311449994863428,0.03366184356549376,0.05104081260607638,0.030255395273141732,0.019294340715132172,0.07592360087387129,0.046302560438838306,0.03171726692838488,0.03801669825386328,0.060067291290703984,0.02132466067544089,0.10454144821206929,0.037265139239782814,0.044581869535065405,0.032938767908833474,0.13448104565380503,0.030838121649790794,0.3638122581828149,0.32781497146538224,0.06423162511355991,0.020777176642913255,0.06474787090663253,0.047370211639207925,0.025989558731526,0.0397973531165763,0.0526616297934451,0.05716266652998049,0.07438086906008923
ADAM17,0.0226857217220395,0.02547271626434419,0.0,0.03650378187637634,0.03272528985000738,0.07517388749783457,0.052238615404182426,0.03007646777343796,0.24269630619441485,0.2940206193299686,0.03141567498959706,0.08173831528027185,0.023709685020956495,0.027071887379899434,0.21373461807906657,0.018108957084601057,0.02035632282826446,0.02054422049585422,0.1556962520273554,0.04699428544301158,0.031649989010531,0.12929265153951583,0.12838642855617366,0.1719874604961007,0.05119754336368436,0.07254396398783,0.02716167464381996,0.02922228547831842,0.06884799448865629,0.033637681915044,0.02279520772368671,0.0256620915594508,0.03363832554920943,0.044321801897313384,0.04081744849082354,0.030959278458057696,0.20796694473326238,0.018013459516375313,0.03628646885316687,0.02479395264733992,0.07127175438120249,0.06487984708538909,0.07358993952742439,0.05283458512848498,0.034621688358963065,0.0434371545620254,0.2788386014834706,0.019958352117952632,0.03728437211301543,0.35523692560047515,0.025297475263051084,0.12722139852786604,0.03179431276602976,0.09637475883874606,0.018488887559983527,0.08616580592889467,0.039317453134805766,0.021862130206222307,0.037838273462713005,0.16452769899814118,0.09210131120752227,0.028320290031896803,0.09661995619553286,0.02643236855122437,0.13022513142944345,0.053102614754605634,0.05314526551586938,0.06546033092008238,0.026778816307451627,0.020055397163916418,0.08511967616191853,0.1979378601745162,0.019285678250208094,0.034031231138041185,0.041313273043976605,0.038039329916576284,0.02773571307265863,0.2685112449708705,0.040575734099334196,0.05018803504171412
AP1G1,0.03238072111929309,0.023280599211609146,0.04138853399298637,0.0,0.2103477072640708,0.3415422207181632,0.07108649639144174,0.05526090956957961,0.03442072766116699,0.20959183060098402,0.03931427485573776,0.020368880332082798,0.07398013356005453,0.028401106790666746,0.036575037900476906,0.04618915493710519,0.04199841090956888,0.029203783534031,0.05925666227961758,0.08031668666581838,0.11062162134791577,0.04844284198823266,0.04049078228369471,0.10376610775934643,0.06346702752839059,0.03402586657440239,0.02102802412624501,0.07046017224977678,0.049380098385797586,0.0356053250973807,0.05204292621483387,0.11836553152520592,0.02246659755397679,0.038829847754626924,0.30056097589518604,0.018640729615605835,0.027196592072707436,0.02229725964342685,0.048606079242953994,0.024719833860032146,0.052187316753164376,0.057433685140504544,0.04336973249828277,0.10671078320849024,0.02571556446225208,0.04570596748266729,0.07680566591287928,0.1884459323222672,0.025452617926091114,0.03262192624220113,0.037202485273575836,0.018108762361506072,0.1410325309171361,0.032452927721859405,0.047732884838217686,0.019594550201451285,0.06512467508813072,0.04749638636845518,0.07180060927738638,0.022861691873161644,0.021930649637907244,0.0538726183737099,0.06993544289305226,0.027047028791676975,0.05002123247427268,0.021612922337237824,0.1883785155125726,0.018346104889830427,0.09366691334644595,0.023851859695880034,0.02008227174436204,0.0262370486581101,0.040771622908977526,0.05602220833437887,0.0585990611420664,0.022971666166307816,0.08994925156161047,0.033603212265011576,0.018280069207687516,0.31361097912727937
AP2A1,0.2033936790620308,0.01942740139990734,0.03718160701851267,0.2241532561906451,0.0,0.2887184706750348,0.12193137407333197,0.024774269617540028,0.07197596191083606,0.019082338165574284,0.029536537397416844,0.020608724844821968,0.03432845420547417,0.018510711938759757,0.12843258162952467,0.02169523221167067,0.038100994174139896,0.03566805768902773,0.03398153523047085,0.027816657681481408,0.018348849958931067,0.02493401963894521,0.040035286808685545,0.023097000723711614,0.035590632257294655,0.09963600671179605,0.03449691467924613,0.09881967237212515,0.051254669067912845,0.05861440851195932,0.0743743640287369,0.06488619368372885,0.02055362397635372,0.061617473002161846,0.16434098445449788,0.36251614879831673,0.04395627235175514,0.020858697658645647,0.04488715436937045,0.04741891319798746,0.04433326160753344,0.13268858982418016,0.020811510063983248,0.03421791176470105,0.06253767085487665,0.03742169710055423,0.10683469502201068,0.0603969770435839,0.025431468238800794,0.021631518424292673,0.049258560223092496,0.04924347178925556,0.23864348016526973,0.020536328903770596,0.05777254288648288,0.03304217298177817,0.06836246514381258,0.021372573231772808,0.04834236137290869,0.06284730143979883,0.03047886916413711,0.04650549770157234,0.028104716058848518,0.034766712370872664,0.039919485460296084,0.03916274069496675,0.19639022853476049,0.045196446249354615,0.021397301087893193,0.03925815504292862,0.042657029760138306,0.020729803798495785,0.023835586708806828,0.019583555912198892,0.028552791297668214,0.13724882523762252,0.035945724542228184,0.025964735835736982,0.036856769017544665,0.06508207150744283
AP2B1,0.11281944778539597,0.019024946824774566,0.09982350107759898,0.36003740969470677,0.285003351095634,0.0,0.10145793067378264,0.02162186014047357,0.07337653712135833,0.04417746157571057,0.018078166160750503,0.023627582841066936,0.04915261619960282,0.036785260173120955,0.11877548577405114,0.02680730359071922,0.020801673047239764,0.036835074923861545,0.02310959561367616,0.047730645082105554,0.032666929763020575,0.02685782955563917,0.03753877623733542,0.05707619689721486,0.025188524747271013,0.09222907307101773,0.026859033757113328,0.15271661564094116,0.04568727634998627,0.03354187408843005,0.07220204153254736,0.11123935479959678,0.02807474767494222,0.04745047860620136,0.356720883679841,0.17247921317982212,0.03842765492075577,0.019884315789737286,0.11293501298055732,0.03584537524537153,0.06280908975106897,0.07928458263246131,0.02474127488946729,0.040633221318262025,0.023334158811271665,0.032984202275731914,0.042634160666790655,0.09061615324084792,0.03868346787033553,0.026704548752194333,0.025848515735405354,0.024157501781029746,0.3035860435977062,0.027099395621112934,0.030913307704978535,0.034623272804465983,0.06677702487748308,0.03568780691319193,0.057717857136851264,0.023009548971313014,0.02407253672982944,0.03261846523824927,0.049836595321731604,0.0820553469829927,0.0687601770951416,0.14212302298515275,0.16641311531912623,0.035250521939742,0.02861390663965343,0.020328818391821993,0.03629890001525173,0.02367967214742856,0.018619678900539068,0.024324238380218015,0.01826490257248123,0.03355411853464531,0.04924121470936821,0.06034863084853188,0.024970336625627067,0.2586448801712447
AP3B2,0.07341502487072749,0.04685503232240204,0.06776468941225898,0.07701795714860635,0.12843129001690795,0.10747582048488294,0.0,0.01980818119821635,0.04268493674271571,0.19775481474779302,0.04002304722518252,0.07665340524410301,0.04607586398487269,0.021645946926087383,0.09599405040509561,0.0229097119331901,0.04985765669418659,0.021878826208756405,0.027024218652590682,0.02926193440045943,0.03353019384293103,0.05633843158573704,0.020065979485635866,0.04418960547292109,0.02660067991483038,0.028231665491816157,0.02675551773469357,0.04712437678975298,0.049505347107829584,0.028100357075122574,0.0769257640339381,0.026206255468032326,0.02514245933807956,0.05143119521168899,0.036539936590435355,0.06515805050042149,0.04238810011304729,0.03717531721258368,0.04481818134883585,0.028106613904435994,0.033670022863502576,0.08405353090754399,0.02698169929020916,0.03738981675428214,0.06876081448136706,0.026599734542885486,0.01958172571808575,0.05490558231269815,0.054255898728400136,0.02811161813532662,0.07589597226855752,0.06924070290931963,0.16215230965173366,0.049040088042175994,0.06215884149282198,0.03181465639979025,0.020619914104072396,0.03410358736079511,0.053336468248818804,0.055955102359115806,0.04781728728909113,0.033209584954498966,0.04668771821120653,0.04009802517905218,0.03760383607565999,0.01950712933901869,0.09835875082515859,0.06437332461685717,0.036600821975456097,0.024117455297103133,0.0316832807073731,0.0521066444945153,0.03892409189353412,0.030444498700249848,0.049857527634874575,0.07838867256419507,0.03140468063814465,0.02159384404609381,0.06943587958790536,0.04419055049505799
AP4B1,0.04516900937947372,0.023284484536543495,0.031267623159563065,0.050169156437762076,0.02388345480997653,0.02119102860952999,0.01954273471250508,0.0,0.056602551844482575,0.021047522634820234,0.049313192151469044,0.024052962536775555,0.06861211726285452,0.02788977773714133,0.0212894555631992,0.02701749597239261,0.031447590929932406,0.03652037490488002,0.05030806277052706,0.04655947340319231,0.04166472580024174,0.03028777545875532,0.029103062694971947,0.09768725993420391,0.02096696196383529,0.04672324128523965,0.0616046915725607,0.043515935816552456,0.02641981691408577,0.03255347918458519,0.021096266269560515,0.031477862735359456,0.05279124773305935,0.03062848771166287,0.31395315017265324,0.044666662570114174,0.23751588283942016,0.06793325805371905,0.04013735333345432,0.21328305679375728,0.04143693122563577,0.02520267875318706,0.11220729290396411,0.05562883698558871,0.028861057505869935,0.2190013903754166,0.2231711643266593,0.06832320510105408,0.055662509885151576,0.04159158279935971,0.025573951059739877,0.05241433286925069,0.1367263718956606,0.09650132806930316,0.36560649922731886,0.10694489874346348,0.03374072209165104,0.04118181242889802,0.048279900219697074,0.07023700449637903,0.038891691884846674,0.11723177023727478,0.04703285681792175,0.05134508364551997,0.03150177419152615,0.057044750787290634,0.02100664899146271,0.08394196448592264,0.037648271800747854,0.035972534889281156,0.12334560077849598,0.2622440851778394,0.06654961347854571,0.05251444089088237,0.023646261183529003,0.023569757815147575,0.5867777277882321,0.02030200069327435,0.0245899574020283,0.0639668359090993
AP4E1,0.06201317941589728,0.03209633523881906,0.23534841354187133,0.03096290173998827,0.05575439153807168,0.05702372953978617,0.03560751454929016,0.05151900603259793,0.0,0.18972210527707248,0.10208523770632048,0.019217602597800924,0.02434827160438386,0.029064632809509244,0.24540133473017686,0.02232276465813096,0.04151900036730205,0.01942936136876078,0.07360304182224653,0.031077564375443026,0.022921120222110774,0.09125976027789022,0.07191601337951203,0.12509969089189876,0.028380315890205232,0.020630300833690607,0.1925440579380457,0.22245490513901153,0.025268191511309063,0.04974598608596459,0.0604462437925412,0.03896033734489891,0.02692091249079205,0.24138543684997588,0.1770593547944382,0.19662012660808187,0.05319130748349142,0.04651536399314282,0.024193508654126596,0.03202911333624937,0.021743852797486803,0.0247014850769495,0.09016892746952809,0.37453022644550243,0.22455714305719363,0.03885765900431811,0.8614180624317116,0.14928823287983986,0.031319937515024175,0.026311270908044807,0.018159976749030825,0.11586104167599594,0.02925439983854326,0.0356220211679359,0.03257353810410468,0.16366845016666526,0.01845495137546219,0.03334154315191483,0.032159148690213725,0.019411675637861524,0.028559647507591372,0.051555969782744966,0.022916418342476652,0.02072486393321839,0.027397995958183007,0.23120793590724428,0.021156137994335703,0.10271333025580788,0.061530517541042266,0.02577760727871135,0.028137282263405686,0.09493798897347433,0.01831981713185246,0.050284813750687024,0.04826391691735235,0.03435855622317094,0.07303104106644985,0.0228135521147054,0.037948938173745395,0.030461950804320875
AP4M1,0.8001899574133832,0.024643738556410607,0.07458128275320178,0.05090171840797046,0.01840632590313898,0.025662695272933106,0.04677043505428493,0.019277491747870343,0.05873576329799202,0.0,0.08775648403190543,0.051368291570116575,0.09153961578989049,0.4795011076851821,0.02131545595623589,0.02691547088956271,0.05246642155033493,0.03534328360902589,0.03488555361843012,0.03792400198129957,0.050737527326200356,0.0731384885642582,0.2182634753459141,0.04075247728725826,0.12382910988398899,0.0849441990392377,0.13370467642506328,0.29284388932974625,0.13550581291583635,0.05298764323928008,0.03733745732882024,0.13554927020549667,0.02379121102119697,0.14212714999805012,0.062230906637104615,0.03596886475793417,0.0252953760380764,0.04843086830068306,0.027446275431731795,0.020745652738592673,0.018785180352830978,0.0466102445824811,0.08170846706442393,0.07340778391965648,0.1497017353007429,0.05422054145953444,0.04369525899696139,0.030712157654044746,0.018946903714446264,0.05529245210518763,0.02284503218661139,0.026541320503351524,0.019447324304405968,0.09374833109892065,0.028241109627450647,0.03669142832197287,0.02802471437993654,0.022836036335205263,0.0412747881120293,0.08236471116683632,0.018848786888722022,0.1363062258075135,0.060259762599636606,0.23334000339112512,0.023328340508164146,0.11355695695609799,0.041583345550966995,0.03421015681782291,0.020390430332838213,0.15124488635580777,0.06437678257774797,0.13675314928751756,0.3084938827325233,0.020589195803896225,0.10701324641908681,0.031369056565850185,0.08594345010873704,0.13032293105382348,0.025013588181208773,0.1487426064394753
