source,target,A,B_coef
COPG1,COPG2,0.9999999801082453,-0.5433240125587835
ARF6,ITPR1,0.9999601853164501,0.3532808741206392
CLU,APOE,0.9995376518470741,0.291968247946231
LRP1,SORL1,0.9993805266118957,0.2846505287383027
BACE1,ITPR1,0.9992995442384393,-0.2815769661411874
RTN4,ITPR1,0.9991457803198556,-0.2766116893954627
VPS29,VPS26A,0.998915230455022,0.2706325589289673
TMED9,TMED10,0.9988362003174535,0.26887251402729134
COPB2,PSEN1,0.998189620915227,-0.257810174918277
SEC24C,SEC23A,0.9981422629494362,0.25716341766653394
CLU,SORL1,0.9971109915825488,-0.24609871885559842
COPG1,COPB1,0.9971097540226731,0.2460879809103552
COPB2,COPZ1,0.9958946462972034,0.23728373930226132
BACE1,OSBP,0.9945904921878566,0.23035432438762068
MIA3,SIGMAR1,0.994371229678748,-0.2293554901137072
TMED2,TMED10,0.9939251661296546,0.22743768189577893
APBA1,ITPR1,0.9924115866298744,-0.22183788499252813
PLCG2,SYK,0.9917322180290066,0.21967717145231538
NCSTN,PSEN1,0.9911203693015126,0.21787690053216505
VPS29,VPS35,0.9907699628182408,0.21690048260499065
VDAC1,COPG2,0.990429485947662,-0.21598629385608908
RAB1A,RAB1B,0.9895405165367762,0.21374329088406577
GGA2,PLCG2,0.9894000904464174,0.21340633304520723
GGA3,ITPR1,0.9893681570974016,-0.2133303242205855
PREB,PSEN1,0.9887124483593955,-0.211817576142472
SEC16A,SIGMAR1,0.9881289115127052,0.21054268153399758
SEC24A,PSEN1,0.9877036825063309,-0.20965207273697375
AP4M1,SREBF2,0.985931284741204,0.20624082762401297
COPG1,COPA,0.9849573184603951,0.20454266780587538
SORT1,ITPR1,0.9847372116682435,-0.20417392711546944
SNX6,GORASP1,0.9846545859890303,-0.20403685594134954
BIN1,ADAM10,0.9846313518302553,0.20399844269640802
EIF2S1,ITPR1,0.9845349923119093,0.20383973843535586
BIN1,PLG,0.9840816835982423,-0.20310596210570783
ITPR2,PSEN1,0.9816262447671804,-0.1994571832347369
VDAC1,SIGMAR1,0.9810817551671831,0.19871322507986194
MFN2,IDE,0.9809987892019711,0.19860171304919463
EIF2S1,AP4S1,0.9807295898703299,0.19824315021530303
GGA3,PLG,0.980674690409257,0.19817062949553957
EIF2S1,SIGMAR1,0.9803187115975736,0.19770523444062754
MAPKAPK2,SREBF2,0.9799195579999034,0.19719310445209318
SEC24C,SEC23B,0.979482263091246,0.19664336004931438
IDE,AP4E1,0.9785815669314768,0.1955463058225356
COPA,COPG2,0.9774599702725597,0.19424161281018804
VDAC1,PLG,0.9767672170670656,-0.19346710054929978
BIN1,SORT1,0.9744160474350406,0.19099682659656886
GGA2,SAR1B,0.9726662958747448,-0.18929801337851485
SEC16A,COPZ1,0.9722408853329161,0.18890098388599263
GGA2,PSEN1,0.9720062978379528,-0.18868456804010883
SNX6,SEC23B,0.9713612168621585,0.18809841377840136
MFN2,SYK,0.970075763330101,-0.1869676357990355
