ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,TMED10,COPA,SORT1,GORASP1,RAB1B,AP4S1,IDE,SIGMAR1,COPB1,NCSTN,BACE1,COPZ1,APBA1,HSPA9,GGA1,PLCG2,AP1G1,VPS26A,MIA3,SAR1A,SEC23A,APBA2,SEC24B,VPS35,COPB2,SEC16A,COPG2,ABCA7,PSEN1,AP4E1,SORL1,SNX6,PLG,ECE1,COPG1,SYK,SAR1B,SEC24D,SEC24A,SEC24C,TMED2,RTN4,SREBF2,HSPA5,VDAC1,EIF2S1,COPE,SEC13,MAP2K3,AP4B1,AP4M1,MFN2,GGA2,CLU,PICALM,OSBP,MAPK14,SEC23B,GGA3,RAB1A,ARF6,SNX4,ADAM17,ITPR1,BIN1,LRP1,ADAM10,VLDLR,ITPR2,AP2B1,SEC31A,VPS29,MAPKAPK2,TMED9,APOE,RTN3,APP,PREB,AP2A1,AP3B2
1,OSBP,SAR1A,GGA1,TMED2,PSEN1,SAR1B,SEC24C,COPB2,BIN1,HSPA9,AP4S1,COPB1,ABCA7,EIF2S1,AP4B1,SEC16A,AP4E1,NCSTN,COPG2,SIGMAR1,SORT1,MAPK14,SNX6,APP,GORASP1,SNX4,APBA1,ECE1,RTN4,SEC24D,RAB1B,ARF6,MIA3,SEC24B,VLDLR,SEC13,COPA,SYK,SEC23A,SREBF2,VPS35,PLCG2,COPG1,HSPA5,MFN2,SEC23B,IDE,PLG,COPE,AP4M1,CLU,RTN3,VDAC1,SEC24A,TMED10,GGA2,ITPR2,VPS29,SEC31A,AP3B2,APBA2,SORL1,VPS26A,LRP1,MAP2K3,ADAM17,PREB,TMED9,ADAM10,PICALM,ITPR1,COPZ1,RAB1A,MAPKAPK2,AP1G1,APOE,AP2A1,AP2B1,BACE1,GGA3
2,SORT1,APBA2,BACE1,SREBF2,COPG2,COPB2,SEC24B,GGA1,SNX6,COPA,SEC13,ADAM10,SYK,NCSTN,SEC31A,AP4E1,VDAC1,GORASP1,EIF2S1,BIN1,MAP2K3,COPB1,CLU,SEC16A,SORL1,VPS35,APBA1,SNX4,RTN4,SAR1B,COPG1,AP4S1,ABCA7,VLDLR,RAB1B,SEC24A,SIGMAR1,ECE1,HSPA5,PLCG2,IDE,GGA2,AP4B1,AP4M1,PLG,SEC24D,PICALM,TMED10,SEC24C,MIA3,SEC23B,MFN2,COPZ1,PSEN1,TMED2,ITPR1,OSBP,VPS29,SAR1A,COPE,HSPA9,AP1G1,TMED9,RTN3,RAB1A,ADAM17,ARF6,SEC23A,VPS26A,PREB,LRP1,MAPK14,APOE,ITPR2,APP,MAPKAPK2,AP3B2,AP2A1,GGA3,AP2B1
3,SAR1B,SEC23B,COPB1,SEC24B,SYK,EIF2S1,GORASP1,MAP2K3,IDE,SEC23A,AP4E1,SORT1,NCSTN,SORL1,SEC24D,SEC13,SIGMAR1,TMED10,COPZ1,ABCA7,HSPA5,AP4B1,COPA,GGA1,GGA3,SEC31A,SAR1A,BACE1,AP4S1,GGA2,VLDLR,PLCG2,PLG,PICALM,SREBF2,VPS35,LRP1,TMED2,VPS26A,SEC24C,MIA3,HSPA9,AP4M1,RAB1B,OSBP,COPB2,ARF6,RTN4,APBA2,ADAM17,ECE1,ITPR1,SNX4,COPG2,MAPK14,VDAC1,MAPKAPK2,PREB,COPG1,PSEN1,APBA1,APOE,ITPR2,AP2B1,AP1G1,SEC16A,MFN2,ADAM10,SEC24A,COPE,CLU,AP3B2,RAB1A,SNX6,APP,AP2A1,TMED9,RTN3,BIN1,VPS29
4,BACE1,COPE,COPB2,MAP2K3,GORASP1,SYK,NCSTN,SEC23A,SEC16A,COPG1,PSEN1,MAPK14,ECE1,EIF2S1,APBA2,IDE,TMED10,APBA1,AP4E1,ARF6,AP4B1,AP4S1,RAB1B,CLU,LRP1,RTN4,TMED2,MIA3,SEC24C,RTN3,GGA2,GGA3,PLG,GGA1,SAR1A,SNX6,SORL1,SAR1B,PLCG2,SEC24D,MFN2,COPG2,SIGMAR1,COPA,SORT1,SEC23B,SEC31A,VLDLR,COPB1,OSBP,ABCA7,SNX4,SREBF2,AP1G1,VPS35,VPS29,SEC24A,SEC13,SEC24B,BIN1,HSPA9,MAPKAPK2,ADAM10,ITPR1,AP4M1,VPS26A,VDAC1,COPZ1,PICALM,ITPR2,HSPA5,RAB1A,ADAM17,APOE,PREB,APP,AP3B2,AP2B1,AP2A1,TMED9
5,COPG1,ADAM10,VDAC1,SEC16A,PLCG2,SAR1A,COPB1,RTN4,COPG2,SEC24C,SYK,RAB1B,BACE1,COPB2,HSPA9,SEC24D,AP4B1,HSPA5,AP4E1,PSEN1,GGA1,IDE,GGA2,OSBP,SAR1B,NCSTN,SEC23A,TMED2,SNX6,VPS35,APBA2,PLG,ABCA7,EIF2S1,SEC31A,SEC23B,TMED10,BIN1,PICALM,MAP2K3,GORASP1,SORL1,MIA3,SNX4,SREBF2,VLDLR,SEC24B,ARF6,ADAM17,COPE,COPA,CLU,ECE1,APBA1,SEC13,COPZ1,MAPK14,GGA3,APP,SEC24A,AP4M1,SORT1,AP1G1,LRP1,AP4S1,RTN3,SIGMAR1,VPS26A,VPS29,ITPR2,TMED9,AP2A1,MFN2,RAB1A,AP3B2,APOE,PREB,MAPKAPK2,ITPR1,AP2B1
6,VDAC1,VPS35,BIN1,HSPA5,SIGMAR1,PLG,SYK,BACE1,AP4S1,GGA1,GGA2,COPB1,SAR1A,SEC13,NCSTN,APBA2,SEC23A,SEC31A,COPG2,RAB1B,AP4B1,SEC23B,IDE,GORASP1,VLDLR,SORT1,COPB2,SNX6,OSBP,MAPKAPK2,MAP2K3,SEC16A,COPG1,SEC24A,PLCG2,SEC24D,ABCA7,SEC24C,EIF2S1,HSPA9,SORL1,CLU,COPE,TMED10,APBA1,ECE1,SNX4,RTN4,SEC24B,VPS26A,MFN2,PICALM,PSEN1,MIA3,ADAM17,LRP1,AP4M1,ARF6,AP4E1,RTN3,MAPK14,APP,ITPR2,AP1G1,GGA3,TMED2,SAR1B,SREBF2,TMED9,VPS29,RAB1A,COPA,AP2B1,ITPR1,PREB,APOE,COPZ1,AP2A1,ADAM10,AP3B2
7,SEC16A,COPG2,SEC24C,SIGMAR1,VDAC1,MAP2K3,SEC24D,TMED10,TMED2,COPG1,SEC24A,ARF6,APBA1,BACE1,ABCA7,VPS26A,SORT1,PSEN1,ECE1,VPS35,COPB1,EIF2S1,AP4B1,AP4S1,AP4E1,MFN2,NCSTN,SAR1B,COPZ1,GGA2,OSBP,SEC31A,COPA,SYK,RAB1B,AP4M1,SEC23B,SNX4,CLU,PLCG2,COPE,VLDLR,GGA1,HSPA5,LRP1,PICALM,RTN4,MIA3,HSPA9,SREBF2,PLG,IDE,SAR1A,AP1G1,VPS29,APBA2,GORASP1,SEC23A,MAPKAPK2,ADAM17,GGA3,SNX6,SORL1,RTN3,BIN1,ITPR2,ADAM10,APP,SEC24B,PREB,TMED9,COPB2,SEC13,ITPR1,AP3B2,APOE,MAPK14,AP2B1,AP2A1,RAB1A
8,TMED10,AP4B1,OSBP,SEC24C,COPA,APBA2,PSEN1,SORL1,VPS26A,GORASP1,APBA1,COPG1,ABCA7,SEC16A,AP4S1,MAP2K3,SIGMAR1,SNX6,SORT1,COPG2,GGA2,SYK,SAR1B,MFN2,BACE1,EIF2S1,COPE,COPB1,AP4E1,RAB1B,IDE,HSPA5,GGA1,SEC24A,NCSTN,SEC23B,MAPK14,LRP1,VLDLR,HSPA9,SEC31A,SEC23A,ECE1,RTN3,RTN4,PLG,SAR1A,VDAC1,VPS35,SREBF2,ADAM10,SEC13,ADAM17,COPZ1,ITPR1,TMED2,ITPR2,SEC24D,PLCG2,APOE,ARF6,MIA3,AP1G1,COPB2,MAPKAPK2,GGA3,SEC24B,RAB1A,PREB,BIN1,PICALM,TMED9,SNX4,CLU,AP4M1,VPS29,AP3B2,APP,AP2A1,AP2B1
9,SEC31A,SEC16A,SORT1,VPS29,SEC13,SAR1A,VLDLR,PLG,COPA,BACE1,MAP2K3,SEC24D,GGA2,COPB2,RTN3,AP4B1,TMED10,SNX4,SYK,AP4S1,BIN1,SIGMAR1,NCSTN,VDAC1,COPZ1,APBA2,SORL1,RAB1B,HSPA9,TMED2,APBA1,SEC24C,IDE,EIF2S1,COPG2,MIA3,GGA3,GGA1,HSPA5,COPG1,AP4E1,PSEN1,SEC23B,GORASP1,ABCA7,SEC24A,COPB1,LRP1,SAR1B,COPE,VPS35,MFN2,PLCG2,SNX6,MAPKAPK2,SEC23A,AP1G1,SREBF2,ITPR1,ARF6,RTN4,ECE1,MAPK14,ADAM17,RAB1A,APP,APOE,AP2B1,ITPR2,AP4M1,PICALM,OSBP,PREB,VPS26A,ADAM10,TMED9,SEC24B,AP2A1,AP3B2,CLU
10,RAB1B,VPS35,SEC23A,TMED2,SAR1B,COPG1,SYK,ABCA7,SAR1A,GGA1,MAP2K3,BACE1,RTN3,GORASP1,NCSTN,TMED10,CLU,MAPK14,SEC16A,SEC31A,ECE1,SEC24C,SORT1,COPG2,SREBF2,SNX6,EIF2S1,SIGMAR1,SEC23B,VLDLR,IDE,SORL1,GGA2,SEC24D,COPB1,PLCG2,OSBP,COPE,COPZ1,GGA3,PLG,AP4S1,SEC24B,APBA1,APBA2,ARF6,RTN4,ADAM10,AP4M1,VPS26A,MIA3,COPB2,SNX4,AP4E1,COPA,PSEN1,HSPA9,SEC24A,PICALM,PREB,HSPA5,AP1G1,MAPKAPK2,AP4B1,ITPR1,BIN1,ADAM17,VDAC1,LRP1,ITPR2,APP,VPS29,MFN2,SEC13,APOE,RAB1A,AP2A1,AP2B1,AP3B2,TMED9
11,MFN2,VPS29,VPS35,SEC16A,VDAC1,COPG2,PICALM,OSBP,COPB1,ABCA7,SORL1,AP4E1,SNX6,MAP2K3,COPZ1,GORASP1,MIA3,EIF2S1,SAR1A,PLCG2,IDE,SYK,SNX4,BACE1,COPG1,SIGMAR1,TMED10,GGA1,COPA,LRP1,VLDLR,NCSTN,RTN4,SEC31A,AP4B1,GGA2,HSPA9,AP1G1,COPB2,MAPK14,COPE,VPS26A,SEC24C,RAB1B,SEC24B,ARF6,GGA3,PLG,ECE1,SEC23B,AP4S1,SEC13,PSEN1,APBA2,SORT1,SEC24D,ADAM10,APBA1,SEC23A,AP4M1,RAB1A,CLU,HSPA5,BIN1,APP,SREBF2,SEC24A,RTN3,TMED2,ADAM17,ITPR2,ITPR1,AP2B1,TMED9,APOE,SAR1B,AP3B2,MAPKAPK2,AP2A1,PREB
12,PLG,COPG1,SAR1A,AP4S1,COPA,SEC23B,IDE,COPB2,APBA1,PICALM,ABCA7,COPB1,HSPA5,SORL1,PLCG2,SEC24C,AP4E1,VPS26A,EIF2S1,SYK,BACE1,SEC16A,NCSTN,SEC31A,MAP2K3,RTN4,VPS35,COPG2,SIGMAR1,GGA2,AP4B1,RAB1B,MIA3,MFN2,SEC24A,TMED10,SORT1,APBA2,SNX4,VDAC1,SEC24D,TMED2,GORASP1,OSBP,HSPA9,GGA1,VLDLR,SEC23A,RTN3,COPE,VPS29,MAPKAPK2,CLU,ECE1,BIN1,SEC24B,AP4M1,ARF6,AP1G1,ADAM17,SREBF2,COPZ1,ADAM10,AP2B1,PSEN1,TMED9,SAR1B,LRP1,ITPR1,SNX6,APP,ITPR2,AP2A1,SEC13,MAPK14,APOE,PREB,RAB1A,GGA3,AP3B2
13,LRP1,PICALM,SAR1B,SEC13,SEC31A,SEC16A,SORT1,AP4E1,TMED2,HSPA5,SAR1A,PLG,ABCA7,MAP2K3,GORASP1,SORL1,APBA1,SIGMAR1,SYK,AP4S1,SREBF2,SEC24D,SEC24C,BACE1,COPG2,EIF2S1,COPA,OSBP,SEC23B,PLCG2,GGA1,SNX4,AP4B1,RAB1A,COPB1,COPB2,SEC24A,VPS35,COPG1,ECE1,COPZ1,GGA2,RTN4,CLU,IDE,ADAM10,GGA3,ADAM17,MIA3,BIN1,ARF6,MFN2,VLDLR,HSPA9,APBA2,SEC23A,COPE,AP4M1,VPS26A,RTN3,NCSTN,SNX6,MAPKAPK2,AP1G1,TMED10,ITPR1,ITPR2,VPS29,VDAC1,RAB1B,PREB,APP,PSEN1,MAPK14,TMED9,AP2A1,SEC24B,AP2B1,APOE,AP3B2
14,HSPA5,SEC31A,OSBP,AP4B1,COPA,TMED2,SNX6,SAR1B,COPG2,COPB1,MAP2K3,AP4S1,CLU,SIGMAR1,SEC24C,RTN3,GGA2,MIA3,SORT1,RTN4,PLG,COPG1,AP4E1,SYK,MFN2,LRP1,COPE,MAPK14,VLDLR,RAB1B,SEC16A,APBA1,PLCG2,SEC24B,SAR1A,SEC24D,SEC23B,VPS35,HSPA9,SEC13,SEC24A,GORASP1,PSEN1,BACE1,APBA2,MAPKAPK2,VPS26A,GGA1,ARF6,ECE1,IDE,SORL1,SNX4,RAB1A,TMED10,AP4M1,GGA3,EIF2S1,SREBF2,NCSTN,PICALM,ITPR2,ADAM10,ABCA7,COPZ1,APOE,VDAC1,COPB2,APP,AP1G1,AP3B2,ITPR1,PREB,AP2B1,SEC23A,ADAM17,BIN1,TMED9,VPS29,AP2A1
