,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.05516932295969261,0.046870240480477415,0.07644276023089241,0.024470958411722296,0.04484206357240453,0.025192946926928472,0.34932105287213516,0.0884051583597234,0.2019387716326546,0.04444277764736523,0.040008910400482,0.17206252681702602,0.030833907950377666,0.05581460722567527,0.029190608279235336,0.1213893198002112,0.09477545301911758,0.018874924789472367,0.10738959236830316,0.05588378319930241,0.019071821780024412,0.08645121697172664,0.12313438288007506,0.2782415358060322,0.08333437241690671,0.029099138298684428,0.0885749320381001,0.09386872484257719,0.5350148280854418,0.08114476585734345,0.04931895902582107,0.058839416243423516,0.019322585044943393,0.06024360066277299,0.2037441628637914,0.06665175168804566,0.02424168148581082,0.1099537744171316,0.027186406287373933,0.07542376806653185,0.0438939320978348,0.16107501225323617,0.07653712145005379,0.022169184846023062,0.01887669047676177,0.32093543297640365,0.037453302261312,0.022070250931136924,0.1480696556026379,0.0399865828615096,0.07388239569594099,0.1653452034582588,0.06924187744832049,0.08118341725726663,0.06423614733082643,0.03844716109494156,0.052485580211692306,0.06349900941558839,0.06448180898072668,0.18700600735586342,0.02078822775151389,0.025195829045394722,0.2060192610880168,0.03529037658892846,0.034879182712085066,0.026079331417034807,0.02802106308910207,0.019428760494431836,0.10779743326214417,0.06645200297983991,0.10047873409890633,0.04174120547604934,0.023433428386798592,0.01818828326524014,0.058048178365281755,0.05306029295745576,0.035289279681287214,0.019197761657393057,0.024163505759053096
ADAM10,0.8385955053101449,0.0,0.03208467212353425,0.12334603032415284,0.019253656562619098,0.070011048839826,0.02019815840074536,0.9266790603182428,0.3609625643061438,0.018352799859202303,0.2508011038757919,0.018974522487532067,0.261983432093359,0.19476846502044637,0.02276245597161213,0.9500197461853881,0.03111831944030078,0.9922326085675887,0.11977506448468275,0.04894123809585684,0.9714617975453207,0.12745383280616718,0.9591120174312275,0.27955776877202193,0.05365212191723392,0.9680077286786609,0.06326437710926638,0.46219655386504904,0.09565713040393956,0.7890457849367497,0.019722314362309038,0.6895751938862209,0.25404151331907193,0.43386118138395635,0.32581140110070267,0.045272509249763664,0.40786911103633466,0.3577951358197328,0.19590517623126763,0.04028424013851705,0.03480362261026423,0.0563449613239835,0.14500598595782352,0.6045737647319572,0.7909224470562687,0.06254244443786723,0.11640094758422902,0.9407228893908248,0.06207360857333798,0.34833053215933585,0.4255487650945697,0.10363876191969028,0.08542222065795192,0.019104691129818135,0.46440170162773325,0.05930066381304369,0.6303773638413379,0.9536260163376719,0.34764301208170334,0.14391338522112662,0.5456660788065755,0.046912639869661786,0.04464120195209394,0.9950891664126125,0.2249338789436767,0.2371450487309481,0.974711574202509,0.027743077333915858,0.05987651423698806,0.9722118825400069,0.037754531615579026,0.1871474034987247,0.023388462912471066,0.13958961394748418,0.05739646237917174,0.09504430521203812,0.3700548074994421,0.042885964250474834,0.33184785774533987,0.07087115822841061
ADAM17,0.14063825416536896,0.023431587905488386,0.0,0.02060018439701467,0.1394748153902966,0.020267059911326903,0.06694366367688395,0.8891765627881613,0.09046002049891627,0.07935337171847255,0.12430679419176291,0.046724601143907335,0.03146774698339047,0.026189801897429234,0.09651883397878373,0.0649801948262409,0.6004318376273751,0.03123005895774302,0.6035614225104408,0.16080760118486923,0.6604693202122006,0.03211111767950534,0.4248351242211543,0.11455795464511337,0.07039931040150783,0.058283888456110364,0.09961218162151536,0.6601280897864211,0.4027659440183204,0.2859183093577282,0.06988728319815579,0.2531628517493928,0.030752356040633495,0.05765536731396816,0.5194431323190585,0.12839100513495807,0.4306839173687731,0.17719073337408495,0.05139539147537063,0.6666992990544104,0.21054913962340246,0.0908946432441735,0.11361670550318137,0.22820653034883717,0.11038857065834995,0.22437699702688568,0.9182942643771034,0.7110387473379147,0.18640214016258252,0.561785072512138,0.018092084949653944,0.018999088510043668,0.05040599204312641,0.09376585198171097,0.19462359130457932,0.02941125366140824,0.12133322145309233,0.08496406492298883,0.0935832618495183,0.19359301892639502,0.022366990574142383,0.030258755590578352,0.04105840726520038,0.03965612440329903,0.03408424300452726,0.023089960965150605,0.041831659947758504,0.05954455539045252,0.4900334901039241,0.25795664310951816,0.37136073062107017,0.9446364139895017,0.06635486268206296,0.16711412237375078,0.059222739019621724,0.0747639458564171,0.6858105669226646,0.20130768802418475,0.0714390201451687,0.020112076924975696
AP1G1,0.9978377707040881,0.23366289808878757,0.027099892064515074,0.0,0.5935050727986736,0.9374473723538278,0.28568023328386366,0.26011962350065676,0.9997892424503834,0.204963457325762,0.04153885763223168,0.0308815514040737,0.3928445987825084,0.14238055178072304,0.04712108118351882,0.09808584517535131,0.8236583394782898,0.12247018901014348,0.766085560479054,0.34155655301063714,0.08222129229298164,0.7322135915941338,0.05665925070092887,0.7675568382724381,0.6192831456866669,0.242788980329041,0.9210849064422384,0.94862526686271,0.1548639855961958,0.7892002533858321,0.14969659769165852,0.9719177674022715,0.12169797908504819,0.053880471260476466,0.03173761105980366,0.04055878070421005,0.1802520418271588,0.09299601530169903,0.02074765658273679,0.6624367869267113,0.95928240013855,0.07410123471210234,0.12467408611910723,0.06391528080331957,0.805834010012454,0.9732117422179973,0.026231106807459038,0.7981479714216738,0.11283501199350943,0.7250832926588677,0.08118429538828087,0.9628806328314873,0.48965421096854517,0.08569002963175505,0.10388552821282711,0.6139477540541388,0.2222988813743941,0.9850386892009618,0.043798037071004485,0.04487881261055113,0.11544966796480649,0.4109632339794594,0.01877064932543982,0.14870680791567145,0.0665410646383729,0.20554729774448147,0.3461831805803433,0.09840265158153841,0.5071312648221126,0.11566076653826386,0.02179688320754245,0.08979496715812099,0.15138117325972916,0.02200737743579396,0.16316392887822687,0.34355037447816306,0.07055472087452272,0.611313001605493,0.03388473483970661,0.9897701655356724
AP2A1,0.2925548030803445,0.020656921038654543,0.9968113637444546,0.9211663123670282,0.0,0.9996661236892206,0.49287321640050696,0.32554536530358424,0.31921128211886013,0.9897437196693788,0.16336636350585673,0.08852369476016117,0.01907547071798042,0.3221172438521006,0.05431389134757319,0.07798116688959154,0.6592951994128547,0.03347494709441491,0.01930317522417441,0.17142846614086696,0.2620345092925079,0.3953391976276335,0.4093223676215138,0.2709496571280652,0.9233015259994869,0.6608358413038958,0.21215533924190927,0.04171571453000109,0.13485489277458068,0.40061405268156647,0.26977337346051655,0.9921341615605805,0.035544434486780664,0.6488429816104685,0.16237776914085983,0.35018076647922697,0.6248778438823398,0.056803003862567154,0.15071994972287786,0.04091313730658982,0.2857005512804989,0.921334195692507,0.7446643668779476,0.333484030502371,0.24885284836252383,0.722286057426017,0.8325564820947813,0.05750088110132019,0.04477697910195074,0.08269516534724174,0.14245036306957665,0.053792671893353614,0.2008653222204382,0.1684996595087441,0.8023630528762824,0.7758910523610598,0.04007835471605987,0.021961577454777146,0.2707108342485279,0.030484930293135162,0.24765279638537074,0.11239315447400708,0.024491518020252085,0.03449690109617713,0.03951375441179027,0.03789274533545426,0.1838784153632794,0.2619917996502888,0.4112467834967496,0.1974726193713834,0.04158257564456521,0.21281612175035258,0.13747748715194008,0.10785667457347395,0.04437252852105265,0.9265329084943632,0.04594934563455462,0.13099962019275022,0.0749897087829347,0.03688362036575449
AP2B1,0.9928433444868894,0.223326773389928,0.02991304749236258,0.9958190440627359,0.9994442583537817,0.0,0.2761013078345947,0.984034126613145,0.44144728787127474,0.419763346960558,0.3666829213491585,0.07333642788306714,0.09946035470400466,0.07502689318743593,0.5785145593113731,0.5694534147574838,0.7589040257924303,0.053760534995989886,0.33587716783949245,0.0717470337811089,0.03477308375388587,0.09495367711225519,0.7031257949107066,0.7476079313117541,0.19696049958692063,0.04017141362047198,0.3286591686070421,0.9648158327169136,0.2021342384582494,0.05504843861053595,0.10748068628395899,0.9196874991961668,0.04276208195882901,0.0402204270115223,0.15274939221438258,0.05444784705289991,0.040540927446953805,0.15370212842837133,0.4012115270067963,0.08822163680239974,0.1321733374848976,0.05619982768981683,0.1453609567176354,0.8353449762422702,0.5168688880360922,0.9091499516985705,0.021245470950487608,0.4689104847111373,0.9996692092307671,0.023764398222844856,0.5734117887764231,0.2548935407557168,0.25014662274165406,0.07979989151684058,0.02823765511305774,0.16715280177092748,0.48609070348212546,0.40259607898608524,0.018577182363668707,0.042824383949761465,0.22031468732663292,0.1614324915761972,0.036633069766339794,0.06150952473192011,0.04827968791514753,0.5043165785382301,0.9166125932407194,0.17515984669024154,0.89219144522094,0.15344828451687087,0.0701755783021337,0.3230471271711514,0.02501229450096455,0.42043816169720283,0.03392133922957064,0.09988044476892691,0.6360900349213005,0.9726589500205682,0.11459542410424052,0.9698787347278033
AP3B2,0.3301611518304943,0.022579058544227627,0.8685303881789014,0.5958915172122549,0.4580689089932722,0.28075846207120503,0.0,0.20072915364664995,0.15997359733516572,0.9688671307957337,0.047461420125965124,0.03341375496623527,0.3770720938501154,0.40254491455309266,0.1311075637660601,0.9561709123556456,0.23100929975565004,0.729265671721985,0.7851002545599544,0.19382608862986597,0.023498902030511304,0.22236777943097139,0.06390512946634902,0.3686302830792947,0.8860791277300767,0.9748862942856423,0.06215728268017104,0.040701722312448785,0.8584086825548447,0.19044558216236698,0.30321740119917656,0.6412449473980532,0.0868275943627879,0.10456927963887377,0.041235215776595065,0.1893934512665464,0.20334618186150127,0.0216664013445807,0.9571739653415756,0.574189220517567,0.2186088910583867,0.9569863478604965,0.032254752505593565,0.1223913374342723,0.3331206576232633,0.39556237025302315,0.7384565999565141,0.05684726368896304,0.06331269547876872,0.21539325753533886,0.2833185033155773,0.8658065108471674,0.6719854106008752,0.29741900898368306,0.85566564786721,0.3184880309511426,0.053936860474827646,0.18443928605346166,0.1481080109586565,0.08842395177700449,0.5855372649688537,0.040008906418251326,0.03974046032444147,0.21518775773056736,0.10719521505667352,0.12197785941366401,0.9956204212332209,0.986300173058892,0.24406892725021476,0.030428804856777913,0.8060735409951237,0.1095841774583967,0.40625765385274487,0.1695620517086474,0.5856330713079322,0.5368121801444071,0.29183553533369033,0.17864044748857186,0.024209843748671685,0.05992113985737846
AP4B1,0.3940870010602521,0.07031260625038128,0.24951038181336116,0.028324820459141756,0.02530447612672573,0.043288378962862466,0.02387779670434719,0.0,0.01956310719012826,0.13448391088369302,0.036019093974345974,0.02271392326835895,0.13089264537635698,0.01837844536921391,0.04141049601082244,0.050306142538011724,0.041706251610100324,0.06929972301374132,0.018786578093671773,0.0273463460661985,0.022106781414479866,0.039768650968945565,0.042924820127403104,0.14231591210536657,0.0472897628759711,0.021308074548855076,0.2180307252544409,0.03715817532903559,0.04255548939964285,0.058278536810494976,0.043849149858715436,0.025228981516998584,0.038633917199140416,0.06974894555804165,0.175858049466262,0.04800384910978297,0.10980820204886045,0.023706596517844545,0.604402748138441,0.08085385511085133,0.045644207816459406,0.044159678691852916,0.09256867965430521,0.060728763444666725,0.09553307403357134,0.02504789850806953,0.9790229671931326,0.24029860902273556,0.020486547271932287,0.06077585962319755,0.02288530083651395,0.04184477698295373,0.12734009285277983,0.026458395370491956,0.02964000180575673,0.06539069464257773,0.01978020643465253,0.05401297182349152,0.16774910011572478,0.1563836857793411,0.9057535709186721,0.02248802762673013,0.08479919077755256,0.03248689755091506,0.05953857523589245,0.17233579673643298,0.020044410145230798,0.02498097454414721,0.03693704640577093,0.0878334896201407,0.08649300327053451,0.06892150423813725,0.02604917031898744,0.05092607856281212,0.5696689634599081,0.03884295214712147,0.7894316937184175,0.023967495117807762,0.03701218174572302,0.019982273565806407
AP4E1,0.10530232964235069,0.03862898889665752,0.04115712756362129,0.126817097941109,0.025710424455239755,0.027727578779168816,0.023506773219567727,0.0196556041111258,0.0,0.0517139207969364,0.028934122888335165,0.023045651551141313,0.03217460435594399,0.3576367865289108,0.0634347176569095,0.04201892764162791,0.05493595818625946,0.13956622530472004,0.17042211209519223,0.020156090540536718,0.2198068313013312,0.018049110503948147,0.030944082125885165,0.04579153395635203,0.14550231640759861,0.0524308434011662,0.1489434341893467,0.05800697873999684,0.39542233040628116,0.10619173024830099,0.022277020779348487,0.028702218874459503,0.058787383199739585,0.07057894842801965,0.05057971117436331,0.04130597697140392,0.23132119246379484,0.10690541008348134,0.8828228166438801,0.0671079645528679,0.0912929616353172,0.03244777256557534,0.02362301908367156,0.44233895928000105,0.5980513424432184,0.09978198708887366,0.02107530861468222,0.027525985584165896,0.11143818828477638,0.02023140584707028,0.2053215596106137,0.2149205334948265,0.019116763219929372,0.030028436598040796,0.14175294734066318,0.06604150453407298,0.31324527367233734,0.3335334583357481,0.06083942172817577,0.05894466182319598,0.03326245191570789,0.041243153153218304,0.10500476523784444,0.01883431755701128,0.11636268638893511,0.053425582751689966,0.049955814156138846,0.04149928109229342,0.43730461545132315,0.08117078968761506,0.05912606128059341,0.02242637560089604,0.020006592546987688,0.020101248860256927,0.033273220269843494,0.022670892165734074,0.19794683601675814,0.06047211250407026,0.03123604570220816,0.050941830240907426
AP4M1,0.7043761385839775,0.018124878037789238,0.06267869294183276,0.03660380865809411,0.08341077616465778,0.036201572117176554,0.07189790253631474,0.4380811070554119,0.10086317885715658,0.0,0.06479432873390974,0.43659987269796946,0.019362836648712866,0.6601789514549062,0.05379696549251814,0.3418367833830454,0.01893590164588331,0.028899806911432582,0.0204805575977255,0.020632070268959107,0.03736005073564942,0.06443941288284122,0.26935443733361775,0.08514988036909658,0.05725825566242338,0.5913839264016008,0.36325640574523027,0.08093528662346541,0.020727643487120632,0.2684014982365916,0.09347684783502863,0.02396500905650674,0.3211429056354401,0.020315335173640196,0.05002181585120485,0.030286966958014572,0.06651632891202071,0.05419978804494968,0.1760218610346313,0.03298867228582893,0.02362846835479314,0.04295157106771368,0.05372868913035557,0.16529105858679466,0.0201213455550644,0.41690895087226715,0.053502710762652506,0.46888796380982767,0.07506257143447997,0.1600702324474461,0.0366573248739313,0.07565966841415067,0.24129782629267058,0.04620889818552776,0.057870401605213444,0.06668697119583701,0.07482537331108714,0.0231166756644887,0.12245340482529106,0.054798939213315516,0.9642441493797062,0.07510558021489154,0.023901152740398203,0.02364902577689761,0.021397360432632236,0.7862620134228571,0.031273818644727586,0.2174503984424167,0.04053500074071023,0.054937563458763064,0.05504895298294832,0.01835646402548674,0.04001318342509667,0.2510091053974356,0.05420892188721514,0.059782432980144525,0.25186058588136434,0.11509039351692377,0.03256749654699235,0.01908484178967819
