source,target,A,B_coef
APP,APOE,0.9999999982712706,0.6043969784468595
TMED2,TMED10,0.9999999976584004,0.5968107893040089
RAB1A,AP4E1,0.9999994803989711,-0.461755101314771
CLU,APOE,0.9999978394935092,0.4261291429197984
ITPR1,ABCA7,0.9999975916951943,0.4234146262447338
VPS29,VPS26A,0.9999965865937335,0.41469491116815443
SEC24B,EIF2S1,0.999995810696808,0.4095742987800223
SEC31A,SEC13,0.99999093831926,0.39028617203154864
SEC24B,VLDLR,0.9999888045825852,0.3849998706826888
SEC31A,PREB,0.9999876016706971,0.3824484107416273
BIN1,PICALM,0.9999835927582748,0.3754442836152641
VPS29,VPS35,0.9999784051581894,0.3685758620443663
COPG1,COPB1,0.9999725709732381,0.3625970326258639
RTN3,RTN4,0.999961426487084,0.3540726534165297
GGA1,AP4E1,0.999957714200678,0.35177542387528543
SYK,PLCG2,0.9999475876395015,0.34640789233365016
SAR1B,SAR1A,0.9999058774274623,0.33177046337362637
MFN2,PLG,0.9998985359620535,-0.3298926164755919
MFN2,VDAC1,0.9998799281358489,0.3256825011858089
SEC23A,AP4B1,0.9998579593613997,-0.32148138258132036
COPA,COPG1,0.9998527575162991,0.32058206319717836
SEC23A,SEC24A,0.9998497508338416,0.3200766318451056
TMED10,TMED9,0.9998219880798213,0.315837050371303
MFN2,HSPA9,0.9998171491885179,0.31516642769705894
AP1G1,AP4E1,0.9997892424503834,0.31161478398360326
RTN3,ABCA7,0.9997837187989523,-0.3109678708916438
BIN1,AP4E1,0.9997718030255417,-0.30962682889747334
VPS26A,COPB1,0.9997454576029353,-0.3068947142851174
AP2A1,AP2B1,0.9996661236892206,0.3001101507130882
SEC24C,SEC23A,0.9996578824129779,0.2995003470542549
TMED9,AP4B1,0.9996166563680775,-0.2966548835656145
ITPR2,MAPK14,0.9995707785252512,0.2938277050119894
SEC16A,SYK,0.99951547377017,0.2907963586628029
ITPR2,GGA2,0.9994925979078958,-0.28964248141894994
LRP1,AP4S1,0.9993284817293345,-0.28263243974490443
RAB1B,AP4E1,0.9992944184072163,0.2813945577576047
RTN3,AP4S1,0.9992800279517898,-0.28088944843213687
BIN1,SORT1,0.9992442080824305,0.2796747095827118
BIN1,PLCG2,0.9991820238200152,-0.2776964757675838
HSPA5,ECE1,0.9991697890567212,-0.27732500462939863
BIN1,ABCA7,0.99913262160918,0.2762291871170378
APP,GORASP1,0.9991215849754916,-0.27591281454735705
SEC13,AP4E1,0.9991188359022786,0.2758346283450224
COPB2,HSPA5,0.9990719870323069,0.27453841019075714
COPB2,COPA,0.9990342090170776,0.27353992158226775
RAB1A,SORL1,0.9990161836301166,-0.27307717484160865
RAB1A,RAB1B,0.9989455382163344,0.27134174454430215
VPS26A,SYK,0.9989139730796913,0.270603566305121
SORT1,PLCG2,0.9989119342608809,-0.270556626306918
SEC31A,PLG,0.9988879715533648,-0.27001142136913714
NCSTN,PSEN1,0.9988769427556186,0.26976442354158114
