variable,state,n,reliability,all100_enrich_+5,all100_z_+5,all100_enrich_+4,all100_z_+4,all100_enrich_+3,all100_z_+3,all100_enrich_+2,all100_z_+2,all100_enrich_+1,all100_z_+1,all100_enrich_-1,all100_z_-1,all100_enrich_-2,all100_z_-2,all100_orient_agree,best_enrich_+5,best_z_+5,best_enrich_+4,best_z_+4,best_enrich_+3,best_z_+3,best_enrich_+2,best_z_+2,best_enrich_+1,best_z_+1,best_enrich_-1,best_z_-1,best_enrich_-2,best_z_-2,best_orient_agree,flag_+5,flag_+4,flag_+3,flag_+1,flag_-1,flag_-2
sex,female,941,comfortable,2.0306473566403302,7.4100373984376855,1.4474868574071655,2.8383816869983787,1.19182073678913,2.185512784411174,1.2348030017857363,1.8946107291995964,1.1384977121255933,1.6045380384633214,0.8320870848587152,-2.7540847603245666,1.0604228843532164,0.8573600936027197,0.5413726747915331,2.174904288725427,5.113225764642831,1.3742117851706892,1.5142552139270569,1.0399736715526189,0.3566848567295302,1.1458899932420181,0.6534806655178234,1.370457108162026,2.283327503400943,0.8023104509822591,-2.046217679093977,1.0680333560705222,0.5925658993722428,0.5384615384615384,False,False,False,False,False,False
sex,male,629,comfortable,1.8395181667877338,6.681159976856893,1.2318755334406262,1.68106076169084,1.181464699404442,2.37587149193417,1.2316537769953089,2.4131196004920867,1.1518675717889144,1.7180229754123342,0.984440090803322,-0.2579428538571571,0.9968352717903729,-0.16820499017070606,0.4766460326392797,1.853800753750978,4.084389086187768,1.1989296697152443,0.9225177458245425,1.1020129172653341,0.8077910139514047,1.2915179422904008,1.6606741323247491,1.3089263808567924,2.3663291656153165,0.9591761787344392,-0.3620886352664348,1.0432644934529312,0.41179171703000506,0.4444444444444444,False,False,False,False,False,False
apoe_genotype,22,8,p>n (overfit),1.2743609337987167,1.9644223300146666,1.2409449968306,1.5935547397769034,1.0954213904167116,1.0198462709576404,1.0569997656379815,0.5933496921787199,1.0970482562365877,1.106610133378464,0.8783445486382556,-1.8199924010512045,0.9749801690158808,-0.4357089359216878,0.31493506493506496,1.5775210383682787,1.2341978393679052,1.2657213810782664,0.4488138260230836,1.4147010268893925,1.3744038920312072,1.5543531726512543,1.438663103347361,0.9088294506758701,-0.2590095632952702,0.7125783610697696,-1.498472223269277,0.7726633657314018,-0.8137181316342398,0.5714285714285714,False,False,False,False,False,False
apoe_genotype,23,158,workable,1.799750513822722,6.0643884160834896,1.0981110169548074,0.68760235358945,1.078184102154159,0.9090258533579013,1.2774012045285903,2.486891930456956,1.030850760848445,0.39377553136033,0.955656090466394,-0.7447438853773152,0.9990390539212609,0.012403140400880284,0.5098176718092566,1.8798334324806663,3.7357279574064925,1.2317630025615325,0.8329218818657832,1.1677753141167775,1.1691584522414364,1.3805941797735735,1.5296065558483618,1.0529121684659468,0.38645459240777125,0.8915919493385166,-0.9014223813324519,0.9399167162403331,-0.5311321013849484,0.2631578947368421,False,False,False,False,False,False
apoe_genotype,24,40,p>n (overfit),1.479562180118059,3.370361159457996,0.8910414989646179,-0.8426051300906098,0.8813164131339981,-1.5701104210450882,1.0335051111195095,0.30059687765517973,1.2134081238020151,2.293631044844484,0.9564539063248189,-0.7606384765817475,0.7905207774684401,-2.861993137661381,0.5829346092503987,1.5836952890076847,2.0088431324319833,0.9883029961843999,-0.10650348633011857,0.8284721767057744,-1.0749498351515165,1.281099304399778,1.2356491382371297,1.2221473663198343,1.0392209809635566,1.0200608045450812,0.15408643233600994,0.9552447774966987,-0.4579705536086365,0.6666666666666666,False,False,False,False,False,False
apoe_genotype,33,804,comfortable,2.0567630988472674,8.412873979951021,1.2285711805298927,1.5056292526269182,1.2720750870735051,2.9659253384887045,1.1765939419377136,1.5718245996655895,1.191053350454119,2.321528844069585,0.8679534711547322,-2.0500164608266123,1.0176319165028291,0.19834038543945243,0.5443037974683544,2.010604453870626,4.658929568717652,1.053960690887433,0.21360565635267176,1.2358643644684835,1.7177177742521186,1.129947175944738,0.698225966847432,1.1411736754573534,0.9757162520935723,0.8335307924443948,-1.5622114485085,1.0723223753976672,0.5050466930792463,0.7857142857142857,False,False,False,False,False,False
apoe_genotype,34,422,comfortable,1.5870411295294937,4.705128903545432,1.3743116682793204,2.7937618147625782,1.1143384938457581,1.6982135925678699,1.1939129724777895,1.5993543543173878,0.9819812971149724,-0.19151541761944157,0.9145917523212799,-1.50638253552507,1.0867842538959471,1.4482917720248505,0.5204081632653061,1.709061725810391,3.510935297989222,1.8578399670762535,3.7892401979978367,1.2545605136524494,1.8262438535821786,1.0139986362360114,0.05036175713229112,0.938733710140169,-0.6439006104992544,0.8367443759171199,-1.8691224295415405,0.9451032585126586,-0.3266168105676139,0.64,False,False,False,False,False,False
apoe_genotype,44,68,p>n (overfit),1.9067787412316515,6.57205506680592,0.9416483558736619,-0.3894867560907919,0.9978305610176416,-0.008218675903564059,1.0452804282161476,0.31913594616106605,1.0816731703977547,0.9255609377913392,1.028284674583778,0.5091574144737737,0.9245102045246313,-1.014023286662274,0.46054254007398276,1.8165393775149874,3.4559949056370534,0.8016235413495687,-0.978126827240395,0.8908865368195512,-0.7579348043964036,1.0440857169829132,0.1580853537410791,1.1918823940681864,1.2730433192289878,0.9436264963257252,-0.5870264882415364,0.8526613404662184,-1.377887890833831,0.3888888888888889,False,False,False,False,False,False
cts_mmse30_lv,0-6,62,p>n (overfit),1.9147607676841827,5.7622846913755845,1.4866546469906374,3.1007090027903597,0.9902208430940198,-0.12341766373362441,1.0465372553009853,0.36523837719565405,0.9719420763649084,-0.14699924598088607,0.8939864517970274,-1.575862384104277,1.0233347975222933,0.33174817258767697,0.5599284436493739,2.3872221023095186,3.476440244976146,1.9153836828706508,2.2768515456611764,1.0704153787525934,0.2713327135028929,0.9147299644363575,-0.2247708180971422,1.1460902364717829,0.6937922348015333,1.0423823281843618,0.28875752997180787,0.6820634578027196,-1.4342702757179122,0.8333333333333334,True,False,False,False,False,False
cts_mmse30_lv,12-18,56,p>n (overfit),1.4731995182049347,3.453905992932704,0.9579397169507606,-0.28395460800492606,1.0339069445111806,0.4895122499656318,0.9707666957261302,-0.2571619114891338,1.2071699601210006,2.3866366314297403,0.9328992686602874,-1.0095009225047422,0.9196275936255582,-1.137373320273673,0.4993804213135068,1.2181104569666386,0.619952931286461,1.2438985986458824,0.7825931495313946,1.129626574272672,0.8401429002877973,0.8486411000107422,-0.6380377495521677,1.3397399660825324,1.7031541722604495,1.0037526224034512,0.14473269238268527,0.8542592815090713,-0.8833113190946399,0.6,False,False,False,False,False,False
