,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.02353286232609886,0.156643926421021,0.12151102777324466,0.02602063140371269,0.019112037886830528,0.05854065108937433,0.04958615122067451,0.25436051405197635,0.10496308321010879,0.4597360222888874,0.060440140988982934,0.05427190041406267,0.06974299571801347,0.04238021963300944,0.259160857802889,0.027696670068941907,0.04214438274632913,0.0339446889746233,0.1794482139366464,0.05133684184468103,0.031814462813920835,0.01825867903254782,0.056412987390607315,0.46953160344101663,0.1459998587396145,0.10105394221040143,0.14801877025747087,0.03750413460961168,0.521030231217874,0.20376606337890202,0.09866016419676657,0.04776511284973514,0.027565347887081905,0.09658320158930801,0.019478802440285294,0.0673534528166019,0.23798989337851345,0.2969091630052842,0.15992872651827414,0.05407723792380036,0.03191898774211587,0.07994652611729815,0.7235830980526514,0.17032610659827327,0.18015032360415287,0.6083326023914147,0.02247125337068242,0.0959034814897163,0.14946693561697433,0.034083717887965076,0.023647980959350844,0.033744418740038896,0.12344068326225086,0.0774320687774923,0.020474617718196395,0.03739264303911794,0.049183567349933933,0.05719547130887417,0.06370605637405252,0.07662089849822332,0.12094754409555993,0.050335485340753834,0.08662843858433308,0.04269750369815836,0.02584525503175369,0.02612231112629966,0.17032932157541886,0.04201144322895243,0.03409966150376868,0.3646807683247861,0.8526152878859743,0.05197227735267378,0.06561845283098768,0.05144641427005641,0.044936274266197805,0.35282283684206395,0.022513077174374146,0.03845913452436548,0.08409608037530138
ADAM10,0.02909342459374675,0.0,0.023741021142182673,0.05195625213015625,0.018533693680132572,0.08065585841050686,0.021736125720327848,0.05703288316749398,0.054269803689818784,0.04199348284745682,0.2953304689573095,0.03237487035834171,0.16575710381257253,0.062093291320496895,0.2484877361033517,0.05391134549010233,0.0618710829655558,0.9423897936036006,0.28963324190824524,0.5962973739332784,0.04276653420269475,0.022929726021632953,0.03497458181577044,0.19785518333479327,0.0447087406603654,0.03275770307725548,0.34381650809390124,0.20445432404231578,0.4065306924469109,0.5292589994058765,0.03082676108756326,0.6231180843089513,0.15671511345716777,0.23979294678642982,0.7080994362703087,0.04559303078917812,0.03527944068468585,0.09421161780754596,0.3440433160056467,0.08381966428713285,0.04391855955322649,0.12357433124605634,0.30107199563786896,0.2244543610657619,0.03298939773415939,0.41857458738333064,0.08722091759303775,0.0554392361628182,0.028010581964454447,0.05896770270685131,0.13260357675120632,0.09902297519947784,0.28848055691618185,0.022070033800676982,0.024301525378925014,0.018330571909994545,0.08567209814567722,0.5459046032901469,0.11467319738275886,0.02156110697388457,0.09690914035480454,0.15566309879875317,0.11339738694057927,0.07818494588825135,0.019468804273535853,0.02760209320088751,0.4203024560722242,0.4483364901219333,0.03839072486195205,0.7416505396001615,0.14566445859394367,0.05940923644449097,0.10571564125818908,0.03180419293831346,0.2681928865514824,0.310335075416221,0.0529236247524579,0.01815503757163609,0.11262132956904594,0.03004965419630751
ADAM17,0.34238403466642137,0.022496602270020233,0.0,0.03384520371180516,0.06128740493857203,0.06021721488624364,0.1630197031011882,0.08309427962277528,0.02277107960206371,0.15865227467036644,0.2295436467939704,0.02081665541544452,0.06897821486943304,0.0337951587768769,0.12383855527156962,0.18101636123406215,0.027064924479220473,0.07195553968698894,0.08777830181964294,0.16301655739922122,0.027424826072934783,0.02014251774622253,0.06908361344401805,0.018507626248116884,0.08756295655877516,0.044490162934608474,0.09685327343067447,0.07354687400160798,0.036972595303271176,0.026725215462776234,0.028251077493049528,0.1476829012370206,0.13398017842859972,0.04893872172069901,0.23799211395225336,0.3250762312093234,0.5992224557691053,0.043380269359310476,0.48442415659450333,0.5175887179598425,0.7638943355201044,0.041992030347816844,0.021209208849644542,0.05988545989650519,0.7741303445148756,0.03907617821459506,0.219006300412061,0.021159336207101826,0.01985094771661745,0.4494852475189621,0.043916125776944835,0.17651319333930082,0.03401688493754546,0.2993500944531765,0.14335830017691065,0.1618190732561475,0.029272451210856427,0.23322605316700434,0.24039129236230436,0.026122676596257655,0.08915837957799018,0.04300856203197806,0.020076214826692463,0.5072137948166276,0.02023962317911008,0.01958121565294662,0.1137006119272248,0.027166655992286712,0.09282598701281906,0.03563804866132798,0.029215658672537854,0.4589800333688201,0.7891014518135715,0.02471829136326131,0.20505678524830634,0.2037720240058341,0.053477674696747066,0.036785100280922904,0.03271250060700326,0.10684347863558222
AP1G1,0.40667926259792675,0.051894744548760176,0.03931882683379104,0.0,0.38528544636206186,0.48877429188308,0.17359950993028414,0.0440542848470595,0.02763630812342452,0.01800677749031969,0.04190444781035439,0.06908526909473875,0.03598497039397867,0.020528536565383254,0.028578512506004277,0.043174310236205236,0.1825715816257743,0.039917278896909957,0.3162729577059049,0.03221463775539679,0.020078700677597504,0.030102889155391065,0.09590239406943342,0.8468742536217114,0.7382009013721033,0.03834903854937098,0.02995913726023202,0.6042483954821058,0.620208479155531,0.021690811173477827,0.023001690492878136,0.0563618958575493,0.06466573396415753,0.03120289412363385,0.205034317748724,0.7848632784346642,0.08835756089768622,0.023840027335494358,0.27965389334140905,0.12300081336062375,0.05485023572241353,0.04177480811723932,0.19699278404858056,0.03805571784578295,0.15000938746676765,0.022848107949881347,0.0572666604755664,0.22620841193184124,0.4164776888424243,0.6604563040222211,0.07757376911764324,0.05823649705006445,0.03134136219466376,0.09702107068566414,0.1357392600568439,0.07864202929137237,0.10810107358876488,0.5971719022022779,0.3097368330394799,0.2152876205601827,0.03709215672959956,0.09060794803609555,0.056870882777384314,0.09001114838788819,0.2901219333520213,0.13871763002148327,0.01808428018068787,0.0434549454981101,0.30321718183866636,0.14701637289716776,0.07946600882197315,0.2691194862785942,0.6173971951814837,0.1144227445982803,0.8998830387223634,0.07690283198442438,0.11955525113188561,0.052519066186003105,0.04539942678464275,0.9924454809261927
AP2A1,0.03930004659745362,0.01863773999618412,0.10645333813132782,0.5491928555878376,0.0,0.9695104921728431,0.07216394122311182,0.039425239209248016,0.026987524088635303,0.08463145093541535,0.02269299236812066,0.8325396834797284,0.22215342390441237,0.019107493988527787,0.21375498304916862,0.093533531868035,0.027472290481656336,0.01834920201093295,0.14837197644371775,0.018533300727379978,0.018143696390199065,0.032596850816023946,0.07426116587717282,0.045135170048231574,0.019863346869310114,0.05129883097844148,0.03066522521686359,0.036064776765450834,0.18483032912970598,0.026001611472032646,0.16247950965593994,0.02963135537330619,0.01928363367378529,0.03677314476917547,0.0664313526396503,0.3377010308821023,0.1582163442808799,0.3133952464689225,0.02135380831988319,0.022305286994321508,0.02694928567476149,0.3285005591522668,0.3088085528122104,0.20526661276500183,0.04270614407284973,0.062403673479079366,0.018087698244157263,0.07086463607084117,0.027391833766952832,0.026919426263149193,0.13953342925580914,0.1289417786779727,0.33772547004181347,0.03377966221658831,0.15664767702107707,0.027871047655147203,0.022260349793012574,0.2487623258035641,0.05028433784455565,0.19870324613533122,0.2960505495001407,0.2843947764083245,0.15189151736785034,0.4654555560223788,0.018002178432400047,0.12444825140612845,0.2721168008620699,0.465060851984509,0.043404342619876024,0.025516154134644288,0.06397369259387277,0.21547557369017933,0.01835103010124826,0.03186634639989659,0.023838040898700782,0.020592041821625013,0.026497076842510587,0.0185173434375326,0.12438906680884237,0.3176170251485378
AP2B1,0.020395301671253106,0.10059421077529536,0.09934882330348506,0.6395439819815719,0.9630249371437866,0.0,0.033294992960169724,0.03067953807836188,0.029291393867425766,0.06538565445706888,0.04879123309056006,0.5908869276547973,0.09755369244475878,0.17807389451591096,0.03784799484164373,0.11332826034235825,0.1605240293165766,0.038072437307213,0.018531050295170156,0.04207123159258093,0.01885039654742721,0.027764544928394686,0.051097617274117234,0.2582322775664627,0.28918419880875373,0.036706152759704826,0.023191060465343614,0.023737588136921558,0.4768474350039075,0.0945364625861752,0.18383081452925504,0.057603008303978256,0.04669610715132957,0.05122617232109276,0.0469717830354006,0.15129067559530007,0.06340775193755406,0.1310795793057298,0.039284613567359815,0.028795545050150195,0.06894294179887085,0.09037100849783669,0.04149747090649838,0.677405545196785,0.14760905117596773,0.030858483460068697,0.04266048382069896,0.02728886226220451,0.06789462660998022,0.021874759095196063,0.2992283785842917,0.1024503121563907,0.3205489597934722,0.18400790282813886,0.03602850419431094,0.06594673593621901,0.022231808426765618,0.32031786700291215,0.062498503295305874,0.024745937828064404,0.08647150551379386,0.2113131683650605,0.08707274874708969,0.1010262238453202,0.11274735746631899,0.039364397825507345,0.2542984359629414,0.16143181675742968,0.3278489200443274,0.04526550176114738,0.21419575415153383,0.1331783808036686,0.32662096696929055,0.48574386729813435,0.02424918082299224,0.036174917418518956,0.0285985505330962,0.04130044266212844,0.15873619302436676,0.7013763243996615
AP3B2,0.12442497666086663,0.021468762668103433,0.22140014200721064,0.15219741939905804,0.054101588029998246,0.02962567729313506,0.0,0.02687382123242704,0.020157856390084286,0.27923708779381723,0.17782181565769567,0.033446117752437755,0.04371185947869164,0.043043443783394704,0.018586572431915048,0.15726242999372303,0.0687635278197223,0.05845205404250633,0.04058015441319122,0.2066499368849755,0.10904867693836497,0.06856261381407378,0.023280742419587958,0.042752789075659464,0.15825938085569433,0.03604720871770238,0.64567745173711,0.033486066425796525,0.029629215444186528,0.1261084549829375,0.02418471047081994,0.226669463709385,0.2702401484254526,0.19293747418797477,0.02187100888005061,0.20160273008753832,0.07383103670530282,0.01974639017188759,0.04461040888310249,0.5635841515532359,0.35107795596396435,0.02425735955625957,0.03928705884259991,0.5687649838935716,0.020140187016638784,0.029404268919808692,0.15166230791305446,0.039955328239997485,0.1337286777693797,0.01954980886479572,0.07022053940521934,0.3616542494493061,0.9954144851349659,0.622807432995863,0.08225821156265964,0.11234873276310957,0.1562774292557669,0.028002001480617843,0.018075151588340017,0.07785977893296679,0.05600640680004828,0.021655592367740315,0.05897101876207047,0.026620187076419673,0.3732148521449006,0.02291920777904281,0.09901207368471476,0.620561235265739,0.09270845348751898,0.22513386631183632,0.022363950129543425,0.018656575997936298,0.021723400456563347,0.1391625100949755,0.058190300317844154,0.10493184163677298,0.03389938388979729,0.01844413778355917,0.07366964885634683,0.2746459267448586
AP4B1,0.07859568273845714,0.04647647286642755,0.08519943320382277,0.03757513419206729,0.03098029463948802,0.026288872137857272,0.02558145788515198,0.0,0.09359640456560604,0.11771292599890813,0.24931783778045263,0.08742807255500386,0.0396631780824996,0.09334647661184278,0.09563297747435702,0.16959708054461026,0.08580490931541299,0.05488771804993458,0.18071280940717546,0.06201437311049354,0.028462321106725818,0.020153915104044143,0.02844117394558723,0.04343107236871498,0.3010754262454685,0.02374397241517343,0.2096899022950553,0.03209773317966469,0.08758103215607997,0.024831395538036774,0.03600674453770903,0.9202860579092992,0.07555338178736964,0.05053911690265685,0.08175760462151241,0.04606474502387077,0.14698274705612605,0.02056528288304807,0.05557124549592852,0.039932885247025596,0.06035399736574163,0.04553396247866186,0.16147349441385883,0.3995346085034635,0.21577567102561665,0.3707787889065865,0.07221874835735458,0.04371149390763352,0.2882660419997982,0.08145160436147061,0.022414204771364764,0.03839012924274038,0.02247476889750288,0.15203135171319515,0.035335642182729915,0.047131935059012864,0.03325016988783098,0.018428171615369335,0.07238332628348756,0.04534792776111421,0.4143922891334854,0.2868796275244916,0.24508335790506655,0.024849138198353087,0.019189448528556273,0.018981034317582312,0.14689249715066013,0.017999806646164018,0.04174629315692173,0.025803362208551346,0.0680675097643043,0.2162233372833849,0.15920162678282576,0.020067289687266957,0.09559863781977664,0.15476871074252288,0.05490789026706723,0.058910005647962616,0.18337514388519996,0.05207539879716065
AP4E1,0.31863763843405846,0.03575585447269064,0.02155417862926269,0.023469781724716348,0.0222258446692897,0.02336187349389661,0.01939417139406425,0.06319674600443882,0.0,0.5504071043451898,0.028493772075573378,0.021373797025097552,0.07514691128534853,0.05184214685767618,0.22944169641803766,0.028884076622465137,0.07239373322833902,0.03567308441081685,0.2806543113126,0.03833275090713826,0.15861959914776053,0.02658842311659022,0.018715254130033915,0.06644123432684838,0.037550324788439116,0.02556224804260795,0.17361119977373562,0.029370146173129146,0.027742992868883386,0.01840107957482985,0.018021882047216914,0.039536121568297895,0.12658548405787892,0.03841659340151702,0.025580611102013033,0.23220053830698392,0.17417602534844254,0.028781681973713807,0.020707099538924984,0.05318548547522659,0.03822652953692079,0.20743976905790862,0.15672520250468278,0.019301855973678592,0.017999274778288155,0.23959248587779117,0.04322173753877625,0.08145777372104064,0.023740081538077218,0.0500311665269662,0.07511981400495357,0.0316276617939118,0.0388694959980937,0.3122034902598355,0.053630080144907916,0.02698736104780542,0.03334106112917433,0.029201887161323575,0.07813689745982567,0.04104958709097093,0.027313829665140715,0.029197289606155266,0.02811832384335823,0.2775968729046351,0.02782297425757813,0.05803985688693423,0.11010284724780882,0.13911571718827168,0.10290707987995924,0.02605650060931716,0.0288649832426647,0.02271673037599085,0.2255793496728452,0.10021663115672072,0.05455012268684778,0.023653926262991058,0.0445185664234988,0.027305813708437352,0.1843142941203427,0.04081048568596599
AP4M1,0.11279029221062585,0.029531315045964564,0.08979474535026605,0.017998186023474656,0.03892655745968156,0.0347238434763751,0.10907295656389668,0.06977949566051529,0.4895121537625322,0.0,0.05758151970887487,0.024708235811664873,0.0891913866298308,0.05391507668425471,0.03311720739925188,0.04977508688121098,0.11956547507621393,0.025501700121183635,0.040993703517552264,0.021309539396343377,0.08895795655784108,0.024633198245846945,0.08977220406318098,0.10558735610384956,0.19350034700497878,0.13104548117526868,0.03975150302289622,0.024972804576884885,0.023232455074516947,0.026693952881976134,0.032511284722250226,0.06546878806476698,0.08637488112252416,0.09643015174710401,0.1556245470437845,0.018824091053386425,0.034306555955985335,0.08646909880767187,0.022685560224857865,0.04985222333258733,0.20981143664423435,0.047634521375074235,0.16353095243935287,0.04059550499856486,0.14254624070867847,0.023385066115414695,0.0218736074091363,0.05561134626930585,0.08371740625356391,0.5901604156808626,0.05368171562457871,0.026196078094202137,0.04767016355173215,0.0306241927749709,0.031274988782821506,0.976050284819757,0.02448556400181102,0.07826068141611212,0.14669655177396962,0.026274166427801757,0.1408798783645085,0.14485396758815083,0.1536950714461149,0.018027278258719397,0.09711350963204535,0.6612208749508175,0.023515592204433517,0.03789296749416882,0.0631163497562995,0.02127718150274532,0.7053771624176121,0.05076773242988207,0.032450646458067764,0.018649216758392935,0.0556051550871072,0.08669761241544505,0.16250712996265176,0.04532157400169713,0.05084968419174791,0.0649201550032489
