ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,PSEN1,SEC24B,VPS29,IDE,PICALM,MFN2,ADAM10,COPB1,APBA2,SNX6,MIA3,SIGMAR1,HSPA9,AP4M1,GGA2,MAPK14,SEC24A,SORT1,LRP1,TMED2,MAPKAPK2,SREBF2,PREB,PLCG2,SYK,SAR1A,CLU,AP4S1,COPG1,SNX4,VPS26A,MAP2K3,GGA3,SEC31A,ARF6,AP1G1,AP2A1,COPE,APP,SORL1,BACE1,ADAM17,APBA1,VLDLR,RTN3,RTN4,COPZ1,APOE,GORASP1,SEC23A,COPG2,BIN1,SEC24C,COPA,OSBP,VDAC1,ITPR2,SEC24D,AP4E1,NCSTN,TMED10,GGA1,COPB2,ABCA7,RAB1B,TMED9,SEC23B,SEC13,VPS35,PLG,SAR1B,ECE1,AP3B2,EIF2S1,SEC16A,HSPA5,AP4B1,AP2B1,RAB1A,ITPR1
1,ARF6,APP,SEC13,AP4M1,TMED9,MFN2,VDAC1,VPS29,SEC24A,ECE1,AP4S1,SEC16A,APOE,VLDLR,APBA1,COPG1,AP3B2,COPB2,COPG2,TMED10,SAR1A,SYK,MAPK14,IDE,AP1G1,NCSTN,GGA1,SEC31A,ITPR1,PSEN1,COPB1,VPS26A,MAPKAPK2,SEC24B,MIA3,SEC23A,ADAM17,BIN1,ADAM10,SIGMAR1,PLG,RAB1B,PREB,SORL1,PICALM,SREBF2,COPA,GORASP1,TMED2,COPZ1,LRP1,APBA2,MAP2K3,GGA2,OSBP,GGA3,EIF2S1,CLU,SNX6,PLCG2,RTN4,RTN3,BACE1,VPS35,ABCA7,COPE,SNX4,AP4E1,HSPA5,AP4B1,SEC24D,SORT1,SEC24C,SAR1B,HSPA9,AP2A1,ITPR2,SEC23B,RAB1A,AP2B1
2,VPS29,COPG1,SEC31A,GORASP1,SEC13,AP4S1,IDE,PLCG2,SNX4,BIN1,COPB2,MAPK14,EIF2S1,PICALM,ADAM10,TMED9,SEC24A,SYK,SIGMAR1,AP3B2,ARF6,SNX6,PREB,AP4B1,ADAM17,SEC23B,APBA2,SEC16A,NCSTN,COPG2,MAPKAPK2,COPE,RTN4,AP1G1,APP,VPS26A,BACE1,TMED10,TMED2,MIA3,HSPA5,SAR1A,RTN3,GGA3,SEC24B,APOE,RAB1B,PSEN1,VLDLR,GGA2,APBA1,SEC24D,COPZ1,COPA,PLG,SEC23A,SAR1B,SEC24C,ECE1,ITPR1,ABCA7,MAP2K3,MFN2,LRP1,VPS35,SREBF2,OSBP,COPB1,AP4M1,AP2A1,RAB1A,CLU,SORL1,ITPR2,AP4E1,SORT1,HSPA9,GGA1,VDAC1,AP2B1
3,SIGMAR1,AP3B2,IDE,TMED9,COPZ1,SREBF2,MAPK14,ECE1,AP4E1,SNX6,TMED2,MIA3,RTN4,VPS29,PICALM,EIF2S1,COPG2,MAP2K3,ADAM10,TMED10,APOE,NCSTN,RAB1B,MAPKAPK2,SNX4,SEC13,AP1G1,GGA2,APBA1,SYK,CLU,RTN3,SEC23A,SEC24A,AP4M1,GGA1,ADAM17,MFN2,COPG1,SEC24D,COPE,GGA3,BIN1,SORL1,PLCG2,PLG,PREB,AP4S1,VPS35,AP4B1,PSEN1,BACE1,COPA,APBA2,COPB1,COPB2,OSBP,SEC16A,GORASP1,ABCA7,ITPR1,VLDLR,APP,SEC24B,VPS26A,VDAC1,SAR1B,SEC23B,SAR1A,LRP1,SEC31A,HSPA9,ITPR2,RAB1A,HSPA5,AP2B1,ARF6,SORT1,AP2A1,SEC24C
4,PLG,COPZ1,RTN4,PICALM,PREB,TMED2,SORL1,SREBF2,APBA1,AP4B1,PSEN1,AP4M1,SORT1,SIGMAR1,AP1G1,AP2A1,SNX4,ITPR2,AP4E1,IDE,MIA3,SEC24A,MAPKAPK2,ABCA7,VPS35,VDAC1,COPB1,COPB2,MFN2,SEC24D,TMED10,ADAM10,RAB1B,TMED9,ARF6,BACE1,BIN1,COPG1,SEC31A,GGA3,OSBP,SAR1B,ECE1,APBA2,SEC24C,AP4S1,APP,GGA2,PLCG2,SEC13,ADAM17,COPA,MAPK14,GORASP1,EIF2S1,SEC16A,SYK,SEC24B,SNX6,VPS29,SAR1A,LRP1,HSPA9,COPE,AP3B2,VLDLR,RAB1A,RTN3,APOE,CLU,MAP2K3,HSPA5,SEC23B,VPS26A,SEC23A,NCSTN,COPG2,GGA1,ITPR1,AP2B1
5,EIF2S1,NCSTN,RTN4,APP,PSEN1,SNX6,SEC24A,AP4M1,BIN1,SREBF2,SNX4,ADAM10,AP4S1,MIA3,AP1G1,SEC24D,SEC23B,VLDLR,SAR1B,ADAM17,GGA2,VDAC1,COPA,SEC24B,AP4E1,MAPK14,MFN2,TMED2,GORASP1,PREB,APBA2,SEC13,RTN3,SAR1A,IDE,COPG1,TMED9,SYK,SIGMAR1,TMED10,APOE,PLCG2,AP3B2,GGA1,COPB1,ECE1,SEC16A,SORL1,COPG2,PLG,ABCA7,SEC24C,LRP1,MAPKAPK2,HSPA9,PICALM,ARF6,VPS35,OSBP,BACE1,SEC23A,MAP2K3,COPB2,AP2A1,GGA3,COPE,ITPR1,HSPA5,AP4B1,VPS29,RAB1A,COPZ1,SEC31A,CLU,ITPR2,APBA1,VPS26A,RAB1B,AP2B1,SORT1
6,SEC13,AP1G1,SNX4,IDE,RAB1B,SEC31A,ARF6,BACE1,SAR1B,NCSTN,RTN4,PREB,COPB1,MAPKAPK2,TMED10,ABCA7,VDAC1,SEC24C,SAR1A,PLCG2,APP,COPZ1,ADAM10,AP4M1,MIA3,AP3B2,COPG2,COPB2,VLDLR,SEC24A,EIF2S1,RTN3,OSBP,AP4S1,SEC23B,AP4E1,PSEN1,SIGMAR1,GGA1,MAPK14,COPG1,GGA2,APBA2,BIN1,SREBF2,SNX6,COPA,APBA1,VPS26A,GORASP1,TMED2,COPE,SEC23A,SYK,MAP2K3,APOE,SEC24B,SORL1,ADAM17,GGA3,VPS29,AP4B1,PLG,HSPA9,PICALM,LRP1,TMED9,ITPR1,ECE1,CLU,RAB1A,SORT1,ITPR2,HSPA5,AP2A1,SEC16A,VPS35,SEC24D,AP2B1,MFN2
7,SORL1,AP1G1,APP,SEC24B,AP3B2,SEC16A,SAR1A,ECE1,PICALM,SEC23A,SNX6,PLCG2,PREB,APBA2,SEC24A,APOE,SNX4,AP4S1,VPS26A,BIN1,ARF6,SEC13,PSEN1,SEC24D,GORASP1,APBA1,COPE,GGA3,RTN4,MIA3,COPB1,COPB2,NCSTN,SREBF2,SEC23B,EIF2S1,ADAM10,PLG,COPZ1,AP4M1,MAPKAPK2,GGA1,TMED9,COPA,IDE,TMED2,BACE1,SEC31A,MAP2K3,ADAM17,SIGMAR1,TMED10,MAPK14,GGA2,VLDLR,AP4E1,COPG2,SEC24C,LRP1,COPG1,VPS35,SYK,RAB1B,VDAC1,MFN2,ITPR1,CLU,ABCA7,VPS29,HSPA9,OSBP,ITPR2,AP4B1,SAR1B,RTN3,RAB1A,AP2B1,SORT1,HSPA5,AP2A1
8,OSBP,RTN3,SEC23B,SIGMAR1,AP3B2,AP4M1,ABCA7,COPA,SYK,COPG1,PSEN1,SEC24B,NCSTN,APBA2,SEC31A,GGA2,SEC23A,SORT1,SAR1A,LRP1,TMED2,RTN4,GORASP1,SAR1B,COPE,SEC16A,SNX6,ADAM10,COPB2,ARF6,AP4S1,AP4E1,ECE1,VLDLR,GGA3,MAPKAPK2,PREB,SREBF2,MAPK14,COPB1,EIF2S1,PICALM,SORL1,IDE,ADAM17,BIN1,PLCG2,SEC13,GGA1,TMED9,APP,COPZ1,APOE,RAB1B,SNX4,PLG,MIA3,AP4B1,BACE1,TMED10,VDAC1,SEC24A,AP1G1,MAP2K3,APBA1,AP2A1,ITPR2,VPS26A,RAB1A,HSPA9,ITPR1,VPS35,SEC24C,MFN2,COPG2,CLU,SEC24D,AP2B1,HSPA5,VPS29
9,SIGMAR1,GGA2,ITPR2,SEC24D,SREBF2,RTN3,VPS26A,ABCA7,BACE1,IDE,TMED9,COPB1,MAPK14,ADAM10,VPS29,SNX4,COPE,AP4M1,APBA2,TMED2,GORASP1,NCSTN,EIF2S1,COPG1,RTN4,SEC24A,OSBP,HSPA9,ARF6,APP,COPA,VDAC1,SNX6,GGA3,AP3B2,ECE1,BIN1,PLG,AP1G1,APBA1,AP4B1,TMED10,PSEN1,SEC24B,PLCG2,SEC23B,AP4S1,PREB,PICALM,COPB2,VPS35,RAB1B,COPZ1,SEC31A,CLU,SAR1A,MAP2K3,SYK,COPG2,ADAM17,SEC16A,SORL1,SEC24C,MAPKAPK2,VLDLR,APOE,ITPR1,SORT1,SEC23A,SEC13,SAR1B,AP4E1,MIA3,GGA1,RAB1A,LRP1,HSPA5,MFN2,AP2B1,AP2A1
