source,target,A,B_coef
TMED10,TMED2,0.999999705064049,0.47591268310945634
AP2B1,AP2A1,0.9999993151467815,0.45485151540766183
BIN1,ADAM10,0.9999980772755664,0.4290441369777006
CLU,SORL1,0.999993769558723,-0.3996514291556024
AP1G1,VPS35,0.9999653559268334,0.35675873127177593
TMED10,TMED9,0.999961796429175,0.35431358413320696
RTN3,RTN4,0.9999283840526241,0.3386030290392776
APOE,CLU,0.9998746076400247,0.3245984364158674
VPS35,VDAC1,0.9998709171057845,-0.32387316694829377
LRP1,SORL1,0.9998681748843296,0.32334756403221104
MFN2,HSPA9,0.9998191685073613,0.315444102309546
RAB1A,VDAC1,0.9995434964624796,0.2922864375242241
SYK,PLCG2,0.9994081887866031,0.28579327209562083
AP2B1,SNX4,0.999273983811401,0.28068029912941045
VPS26A,VPS29,0.9991836372955306,0.2777458778718923
VPS35,VPS29,0.9990389656917091,0.273663473815465
AP2B1,SAR1A,0.9984514727212443,-0.26172253037436777
MFN2,VDAC1,0.998423491568725,0.2612741244617021
COPB2,COPG1,0.9984110550582851,0.2610773708254692
VPS35,SEC16A,0.9984087427065482,-0.26104095749854905
AP2B1,PREB,0.9973699905874931,-0.2484533594983954
BIN1,PICALM,0.9972583313356125,0.24741107771063792
VPS35,SEC31A,0.9967064890285467,0.24281255430320065
APOE,APP,0.9952595084730276,0.23367156719210905
AP2A1,PLG,0.9952561587958942,-0.2336538240478033
COPG1,COPA,0.9944213871241164,0.22958052226482678
COPG1,COPB1,0.9941725100229762,0.22848310927368484
BIN1,SORT1,0.9940681511678437,0.22803674565878754
COPG1,COPE,0.993427554363305,0.22545687833648684
SEC31A,SEC16A,0.9931345512953911,0.22435911890950286
SEC23A,SEC24C,0.992749547913841,0.22298536477473602
RAB1A,COPE,0.9923051622057136,-0.2214870248866532
HSPA5,HSPA9,0.9920366562475528,0.22062277693524662
RAB1B,RAB1A,0.9905692045270588,0.21635748208312178
AP3B2,BACE1,0.9884554346856541,0.21124821917849604
SAR1B,SAR1A,0.9872455353787538,0.20872593502983655
SNX6,BIN1,0.9863958869746563,0.20709214016884642
TMED10,COPZ1,0.985939113702634,0.20625494201736216
COPB2,COPB1,0.9857948333298802,0.2059960626181398
COPB2,ARF6,0.9849023719107446,0.20445012175369326
CLU,ITPR2,0.9847263563592713,0.20415587716705003
BIN1,OSBP,0.9836092506408042,0.20236279007389563
COPB2,VLDLR,0.981065239834362,-0.19869098914180963
SORT1,SEC24D,0.9807858078778443,-0.19831762290308294
EIF2S1,HSPA5,0.9807327981618981,0.19824739454435816
NCSTN,VDAC1,0.9779590945081799,0.1948141944010544
RTN3,AP3B2,0.9777376894397563,0.19455865709097991
VDAC1,SAR1A,0.9777044398472381,0.1945204963315081
ADAM10,SNX4,0.9747107572508101,-0.19129404125548485
LRP1,VLDLR,0.9746037270856887,0.19118571317555666
CLU,PLG,0.9733764011410089,0.1899743213933126
LRP1,BIN1,0.9719503787385739,-0.18863324057164327
MFN2,SEC24D,0.9719314795984539,-0.18861591574437944
AP2A1,SEC24A,0.9700632050828745,0.18695682265472183
SEC13,SEC31A,0.9688538612590278,0.18593558764859988
ADAM10,TMED2,0.966763098480285,0.1842573182287226
MFN2,APOE,0.9640622048588176,0.18223415723106262
VPS26A,MAP2K3,0.9616158336752139,0.18052424975864254
RAB1B,AP4S1,0.9590679835217147,-0.1788512351645391
RAB1B,VPS26A,0.9589460263581161,0.17877367902175587
MIA3,SEC31A,0.9586381665276862,0.17857887854942275
SNX6,PICALM,0.9571881543161325,0.177679628699993
MIA3,PREB,0.9516976121664069,0.1745191588267722
AP2B1,IDE,0.9500522012828799,-0.1736384624351911
AP2B1,OSBP,0.9495653881190742,0.17338316776698626
MFN2,ARF6,0.9387391953331577,0.16823493641971646
VPS29,SEC24B,0.9382012248677964,-0.1680020226761093
SEC31A,SAR1A,0.9373032825820676,0.1676174452856731
AP2B1,SEC16A,0.936853205391027,-0.16742661290889455
VPS35,OSBP,0.934497651571759,-0.16644807794989722
APBA2,GGA3,0.934281228414127,0.1663598223157879
MIA3,SORL1,0.9335160690581547,0.16604994745294605
SNX4,BACE1,0.9308120280471951,0.16498075804519463
TMED10,SIGMAR1,0.9293279975629092,-0.16441030630884484
APBA1,VLDLR,0.9278300955767725,0.16384563766514537
AP1G1,TMED9,0.9278112805408366,0.16383861392762658
BACE1,MAP2K3,0.9271603464671188,0.16359665064612453
HSPA9,IDE,0.9259024404855083,0.1631346569129028
SORT1,COPG2,0.9256171289027961,-0.1630308748323174
MFN2,SORL1,0.9249047816393987,0.1627733476750213
ITPR2,MAPKAPK2,0.9197303415989742,0.16096722059028057
ITPR2,ADAM17,0.916694136108422,0.15995637316637937
BIN1,COPG1,0.9134616967353574,-0.1589163579119017
VPS26A,VPS35,0.9134611894178398,0.1589161974691884
VPS35,ITPR2,0.9123304617760887,0.1585606943625411
PSEN1,NCSTN,0.9116266307973793,0.15834149598249284
MIA3,HSPA5,0.9112370247555285,0.1582208356665755
HSPA5,GORASP1,0.9086070291635843,-0.15741860298899624
SAR1B,SORT1,0.9078571342132429,0.1571936690874202
COPB2,COPZ1,0.9056659569267509,0.15654571011001753
SORT1,IDE,0.9046751783445184,0.15625714313712824
RAB1B,TMED2,0.9027825755914393,0.15571329463714262
BIN1,SEC24B,0.8976411083732541,-0.15428212871931582
SEC24B,SEC24A,0.8958313196589862,0.1537935156086881
COPZ1,COPB1,0.8929723442160479,0.15303670861344845
VPS35,SEC24B,0.8921637863216737,0.15282590491697667
COPB2,HSPA5,0.8903782689091978,0.15236526906102113
VPS35,AP4S1,0.8899909865526077,0.15226622580849003
MFN2,ADAM17,0.8896669437069432,-0.15218358990918662
AP2A1,VLDLR,0.8895283252013221,0.15214830497808116
SEC23A,SEC24B,0.8888378202004071,0.15197311437876507
MFN2,VLDLR,0.8884881818323189,0.15188476921074212
BIN1,MAP2K3,0.8830569083737254,-0.15054255568273842
ARF6,AP4E1,0.8779024189043728,0.14931787192961898
VPS35,GGA2,0.8768041127989445,-0.14906269848602755
AP2A1,ECE1,0.8746197286847973,-0.14856094765794942
APP,LRP1,0.8737346979346381,0.14835978787530862
MAPK14,SAR1B,0.8737251411092001,-0.14835762228650567
AP1G1,OSBP,0.8732399163794982,0.1482478535472452
