,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.02098500585817036,0.021518875564633336,0.03190350144111754,0.030737266837288037,0.026552330940079194,0.01818873528819929,0.01878415006428431,0.024389659433850044,0.02339097170307216,0.027587730582966038,0.0257863313725637,0.021534037171044088,0.02442246618458395,0.018566055721550487,0.020086404394353174,0.026498187013617624,0.021496437573733596,0.019726258294305996,0.025304216652983838,0.028520423815889945,0.02040052369942204,0.02055375178070234,0.03354372321833961,0.018748117547783234,0.019087067677174035,0.01865975163749796,0.018310881038186733,0.01901211279463428,0.024872059451839755,0.02503486700958044,0.02481412904465946,0.03212974714745107,0.029942877309978168,0.022984766640577466,0.020338584436847756,0.021336298647711766,0.024003620279851073,0.022683746948785093,0.021052202216765716,0.022449113572399003,0.01892736352272817,0.03523552490901644,0.021577210957225253,0.020468548560002797,0.022236304525366686,0.024940123137330374,0.02961676626885064,0.019452970335587932,0.02052886976468299,0.022817088863636554,0.029142827694080015,0.02620055085241895,0.029690538226561095,0.020905667280336708,0.018769380620815696,0.020600634814624534,0.02440337304213929,0.02243750948442633,0.026907376212199987,0.04233405139371497,0.01878933580127187,0.02329633183484603,0.018962820907901492,0.019375148641011076,0.031613235084866485,0.019589746421593706,0.02279795971288448,0.04347322745855065,0.02570976148954687,0.023376235386177297,0.02333969372795623,0.023634228229243548,0.020870117801814043,0.029096813751437738,0.025403036671341847,0.021116503178589333,0.03105291610791017,0.01911913269599186,0.0253369960649331
ADAM10,0.02078744805533958,0.0,0.02934245712765935,0.025624930413226662,0.022705772997560655,0.023270869834449176,0.034069988768455406,0.04245560233131418,0.10337266669943312,0.031818816870708116,0.027958420370254755,0.03196024028406421,0.36887887899580507,0.08148200950890029,0.02896997936742981,0.028392680197262796,0.04646870836037421,0.02779820328972577,0.031067961906099215,0.09358284292427395,0.026081125492946673,0.04022006556916535,0.16792464991843942,0.021681343304246228,0.029105747430496737,0.03267323857735479,0.022019014415014908,0.020483465914435322,0.02673771469992581,0.0306846215615331,0.11010684845411563,0.20837878426198606,0.027283636528672106,0.025580985229060466,0.045487463608000114,0.036323688003840046,0.03261302927304341,0.030343754117526402,0.029624584744578863,0.028843164250858838,0.018247302890032856,0.02047665426357538,0.030053461357217957,0.6419355253557854,0.04782011954737066,0.08201979985090273,0.057469010477791044,0.022925735491901782,0.16193854674770755,0.07651363404656786,0.04583635823336926,0.022257979767423514,0.027248370370560653,0.056740944368076404,0.02419195906872886,0.019363124599975304,0.043525449262563805,0.03222026826753522,0.03976433937541861,0.04836320401542819,0.07844106786504036,0.03818857101322831,0.04441924159123347,0.02019888714685233,0.018002328313157533,0.03430825784985405,0.07256755271639231,0.02314348276739158,0.021456277517392756,0.13647947129942362,0.031095104379740373,0.020777460903834487,0.02221486333031284,0.10245748414202302,0.04944689679764704,0.0655974111869285,0.028802002074015943,0.06884189308447192,0.13164596132804596,0.040985543913146794
ADAM17,0.0214963963872645,0.030199632588376987,0.0,0.022180451050276738,0.026603521071652314,0.01971843592357222,0.02276575561957435,0.020722532842215584,0.029925034265592416,0.029137214882237587,0.021914216457575065,0.02348887235457539,0.03779674736423647,0.02419868470730119,0.021909030522428184,0.019636581759494214,0.03820008068836509,0.02542927424556582,0.029461973769911772,0.02047278194306476,0.020954953118893536,0.034670681381274174,0.03631683129544998,0.018645761733252303,0.029032218218478217,0.03223529802787384,0.020408400398255932,0.029527478625487227,0.028726801484004368,0.024865454713862943,0.026350693540783857,0.01898746733687682,0.0406771145139595,0.027329179786601203,0.02454278826413723,0.025388522218698775,0.03213002104524091,0.025382330400143583,0.026897011007629163,0.019631500148544277,0.0297944606117968,0.027270798997743137,0.023516663287479447,0.039362043038686685,0.021529081353557775,0.027478294702660187,0.02833714664172795,0.028500030479614108,0.02995681678684503,0.04845415390580636,0.03124025187318536,0.0319698589585493,0.02880533321367051,0.05547925151850238,0.025117091436667266,0.019605395521984297,0.027829181687838572,0.029066022717429887,0.029563865521601014,0.0388715545418377,0.024772256173335658,0.020103335985076756,0.02883970666005493,0.04461568724284905,0.02441685293961049,0.023274580355663366,0.048779792657801295,0.02285539740311797,0.03614074753594978,0.03359084364428819,0.022390432671366825,0.023909253883718454,0.019704295215470125,0.01937757837499072,0.018701390465221603,0.028571787391617105,0.02126335646343023,0.0347229388482208,0.029210725075244193,0.021803059406123787
AP1G1,0.030728132155356344,0.025581263234835696,0.021901594811733992,0.0,0.20707839376741394,0.15186079951429887,0.03627910521007778,0.02201935470865433,0.13060565073255181,0.04768954103429714,0.04718320400095265,0.024355855944440594,0.024226945090321146,0.022649174884183207,0.01814870442988858,0.03283760055696934,0.08820349937345644,0.0181685112530717,0.025870221347149416,0.0829446657503737,0.16766978302037272,0.034215024629380544,0.028635013633943964,0.15371288573073666,0.0256762588965101,0.03027298916841503,0.019391725711341585,0.0356986217016516,0.018212183555886344,0.020404378688658648,0.03515439161392351,0.1630358730056492,0.04980496304013423,0.04251957403487261,0.06682148557601866,0.022826516644204587,0.03249565110412955,0.024729601504268464,0.032044096294482266,0.02058007815531259,0.02997496547807452,0.02303194129997812,0.15656148611546883,0.09435896151961393,0.1134378439291121,0.020793310831509437,0.05467868027699802,0.08812253913281622,0.031036622229181042,0.06902490980366914,0.04593687769055216,0.028332878335848438,0.060820640099263225,0.022176454684487444,0.03269326576574917,0.024561544598631524,0.02592189044211431,0.04189344681802793,0.03449108937764222,0.021148602901816752,0.05645505129903816,0.034667263788902114,0.021082099065067524,0.05573017746118709,0.04013172096220673,0.12261704139299094,0.020674262267784457,0.030526369660034195,0.24340553235256732,0.0722788958078781,0.025068984586380023,0.03452635685846745,0.10943503418553914,0.03876773672318527,0.04215307008150817,0.08658247831947083,0.026323104507788953,0.04272161499697468,0.041557902789194606,0.36046650425352583
AP2A1,0.029753163927709273,0.02270747764260358,0.026033137862195646,0.20935052846458735,0.0,0.15221881548029156,0.01958467634195621,0.02837296945503856,0.19045908607969206,0.0443334671784909,0.05930843588103383,0.026132244780247334,0.03269809043588048,0.040262403496728785,0.03375967248560177,0.02702889806165721,0.022690024515154096,0.018496646245171798,0.04340441650469106,0.09705434942998901,0.06219052327930275,0.0201190446333724,0.0623801935839059,0.08777613110012186,0.01966131758838797,0.021891417670749244,0.01839550914780779,0.01898110402121536,0.02420916584300742,0.024019679977613402,0.05050532837351985,0.13615293738673923,0.07627486422366908,0.03628905576976649,0.09304614296697898,0.020266610426459938,0.025188551775643924,0.02205155232241807,0.026853487878998022,0.025710796266303414,0.02279424025224517,0.03107642697236855,0.203758601119203,0.061753824125558965,0.07651556238317397,0.018264063582455206,0.04927979950773832,0.17860120880894845,0.018697486054257376,0.025637392021316964,0.047008119591992886,0.026140002774329096,0.05327105890440693,0.02605666623186725,0.03504678652358922,0.03123926109182911,0.04083339733850205,0.04724428893448153,0.030860499054874937,0.027575121283974092,0.044743229542700845,0.03604757958735327,0.022584734956064376,0.0746812232113875,0.031433310916749044,0.09558818914339864,0.01818580932722626,0.02092199243707492,0.41903287699847513,0.06969344726678119,0.020128270474101206,0.022916647498728203,0.06985211371958368,0.028937471661202713,0.030798487890803146,0.04234267252916708,0.03762229124213957,0.031015266777703054,0.02830508429896478,0.2675775581401008
AP2B1,0.02600791364843694,0.023321940918855682,0.01963192527808272,0.15584907740945855,0.1546527628889831,0.0,0.01814569045006665,0.030944967474754916,0.04843234365644113,0.024001199994579257,0.1018158619728693,0.028765771163215666,0.03104801555096519,0.06588435271817891,0.030743373937797105,0.02660900574165766,0.05247869904594294,0.022747988380426507,0.01978280113216816,0.20793428475106018,0.057438304239034337,0.03338129138419478,0.047344130386937036,0.10753143572917419,0.03649739687069203,0.024533779493795822,0.025426969630744423,0.03636896921622249,0.04951243063168025,0.060642056105492864,0.019683637332672015,0.21567040382599814,0.03587523005276127,0.02791331886594176,0.07800181189281742,0.037500317683999126,0.03976444218828501,0.04451215018935568,0.03007194452546798,0.02488316679062093,0.03601944090479179,0.021377951423743588,0.16229426014383438,0.03698573422997622,0.05360827225356966,0.019257182433976738,0.03536723197727699,0.13404458420286894,0.020128013173306984,0.04754784962089017,0.05732185940052043,0.0340955611498284,0.030039927541225836,0.037149731795918524,0.043050880630032616,0.033432954235380875,0.018812620785404945,0.07809963537963037,0.018320850586785713,0.020793659670145657,0.032168251838492166,0.028583264313329842,0.03311182283841661,0.02434711858498979,0.04659808546343069,0.05907499689292525,0.06818843168348401,0.022083794199500066,0.2836412719745214,0.04897840495559715,0.02299099161279474,0.023225897716667398,0.06261621640875686,0.03801560099508673,0.028331814933937466,0.024477632085529333,0.019735218747642808,0.02590735978800517,0.02856416644076329,0.17365511261603822
AP3B2,0.018184296328357316,0.03499242348981549,0.022679998599200602,0.03748929582615101,0.019654586252311836,0.018151041594908712,0.0,0.03195187936027344,0.04026095474618135,0.022447018223110682,0.030303698949634736,0.030315394272466302,0.06717250497709915,0.03532676856445346,0.04096119667288979,0.024771138488288817,0.13302614048700695,0.02147217236116809,0.02448104053872359,0.047340047977129575,0.08736820671080586,0.042645381393035975,0.07765363087244131,0.03364365704017139,0.02263405277512599,0.046917818770039026,0.024808395653182942,0.032123853880274486,0.030112584247656705,0.04963267874674852,0.026289833232042314,0.028430067816175648,0.030117639221446786,0.018636179217809055,0.029852414828186735,0.02165887198210626,0.030021117980628946,0.02118817878064112,0.0321497388048172,0.026194826698317974,0.026717472773058713,0.01806232235713611,0.02071623245344291,0.0977293880127705,0.061361502887960814,0.02546764518996192,0.01880651158591613,0.04455758518228832,0.07698707597173331,0.09759344140865582,0.029467497131325213,0.028699155475769126,0.02418309541661806,0.025347048319998296,0.020445148177360734,0.0222932434984669,0.040354591455387716,0.021052506112967474,0.020723892713019602,0.03261237549718763,0.029145151413192006,0.027462343196886917,0.022950769424727034,0.031227910457516096,0.02283215797379183,0.0375463747461348,0.02556104710900887,0.035707806257933045,0.040474607995826806,0.02513388228954962,0.027421327684870555,0.036548024550560394,0.04313136348795097,0.018167886571450916,0.03091647526592439,0.043021094476417276,0.02109000019006722,0.07161810911295331,0.05682822762981425,0.04670502305768971
AP4B1,0.018777217737800476,0.044529074540581436,0.02071467046665025,0.02229451733415085,0.029102649037971235,0.03174576602235397,0.03220037457410888,0.0,0.02770313385556067,0.019233272558614095,0.02593545362146002,0.026386275700920024,0.0711465710399364,0.019931575375235072,0.03362511968602173,0.02090901105162074,0.04767879592629479,0.01876356112665836,0.027059126239957754,0.06447156491972289,0.03277710588542893,0.02535265771319611,0.0709107240214372,0.018147085807181877,0.019462435182350576,0.028432119961763754,0.022441412459164943,0.019314858055271295,0.026015031348148594,0.026643900704255055,0.033301569881325634,0.06844794324760005,0.024449445610062324,0.018439202662031876,0.03849524373681054,0.028236104769449023,0.01931944477199571,0.018018462807417642,0.01975377950393235,0.02239207162934143,0.01999423962131919,0.01848728903238896,0.024810698522617993,0.023221069861765104,0.027399208318500453,0.02635331669794735,0.025973184630799655,0.04117781258667986,0.05366197953446537,0.037817970864794694,0.018511136145274106,0.021199852810587245,0.01813165157493,0.01909732898741982,0.02183837234017327,0.02351336443583788,0.02348178794684731,0.0375000661208472,0.01936602572653234,0.02403331795142586,0.03815497122566497,0.021111587652683936,0.02101311558810025,0.020342998785929864,0.020111542911663356,0.024550296749838278,0.020159622558341223,0.02757694874347618,0.043431499835567454,0.03929749198791913,0.026564750710262902,0.02874475189848574,0.020832191830876985,0.035315144826798976,0.031020167595044983,0.019230787716456137,0.018047824368617956,0.02908088079804321,0.04133446702376264,0.027003534354533072
AP4E1,0.02358595677585359,0.09481609333120766,0.028374356710487336,0.11966428494912762,0.1706692497410021,0.045676512763481954,0.03745998836878243,0.02650634520774172,0.0,0.05305250783808656,0.022580314034998127,0.041147079219140084,0.10011281659967507,0.023423701664614546,0.024014519788033463,0.024605177556946755,0.08205964281851072,0.01948507815000488,0.0927167766073462,0.07048105028511492,0.054854695099786056,0.019987289262100905,0.02330925663860276,0.023836549744064996,0.032540166773135364,0.025021579780392125,0.03934983593017794,0.044401152281788835,0.03422105827760689,0.07598798739846727,0.28060093937409186,0.04674113522263091,0.06799929042588818,0.021303174429793854,0.039173798942646255,0.053187041597877786,0.02274374380243695,0.04788292316676198,0.041536186837312604,0.03725873370047932,0.020482915809447035,0.08147442060295024,0.12349160731598298,0.9240568119249237,0.17882195018662753,0.05066765489215483,0.02428924689812008,0.08615758948214805,0.11436523164659076,0.035282008612538523,0.07251586939642084,0.036887839588561656,0.056412885169022424,0.03345859332852559,0.03353543385571997,0.027230000707708604,0.1896581532677826,0.019178743095250996,0.0328435745850849,0.018887596954773943,0.05474691099348906,0.07750158423560714,0.026614952532054405,0.47477070773138774,0.02138818719457171,0.12418176347479697,0.0574276348786561,0.03536644639268306,0.1975653063580911,0.018683985507269713,0.0316995258106378,0.041427507323420515,0.06352875746408715,0.040271527418316064,0.03435154332736339,0.0317759864459066,0.13324405510058884,0.18036836691473646,0.09059407595225169,0.203152735142473
AP4M1,0.02329685295783052,0.03271429187154493,0.0290033280396112,0.05022518869066259,0.046291685845733996,0.024280076540268057,0.02247956338448884,0.019224331477206428,0.05937820290604347,0.0,0.027332119011593783,0.02747000555116918,0.03493272108823661,0.03960209260182195,0.018344292731518212,0.023116929193700182,0.11667384140543821,0.024267180125418144,0.036239429186459386,0.020961293817824765,0.03663972616963716,0.025208943341957342,0.032035694977681745,0.028016884478921814,0.029045688776466055,0.023609753541480667,0.024184838565874858,0.02298311882721588,0.03795179876510177,0.04825893217424654,0.029736939379414955,0.03023883298644556,0.041612258743354405,0.029982446527705535,0.029819446057595952,0.024821239419419276,0.025177495153154702,0.03245651102120785,0.01893667759553772,0.022208547168719617,0.022886231064316375,0.03132698144454587,0.0299005669440533,0.022080509480217864,0.03227492372071405,0.027551318603960102,0.03801844607182568,0.02846653692233315,0.019580804859648082,0.024608126172279376,0.02177705780644127,0.021667355548308856,0.041700588300837685,0.05677606773727108,0.020795309041240675,0.019367606363099362,0.022095871704442015,0.022389653495521925,0.03891114304382521,0.03445704185061445,0.024672984043508785,0.021227770754394533,0.03358789746078803,0.08853000082878353,0.020369924163491683,0.03855234364541974,0.07511248704330462,0.019353167924681114,0.04384534677682987,0.04787449364183448,0.022450988936896173,0.03344436012906124,0.030477924226424813,0.02445245945349831,0.02067370845694052,0.058835034561864646,0.027707106668265518,0.020040510116359454,0.020725685932177235,0.06745309341601063
