ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,TMED2,TMED10,CLU,RTN4,SORL1,BIN1,SNX6,SORT1,ADAM17,COPB1,VPS29,COPG1,MFN2,SAR1A,ARF6,VDAC1,AP2A1,AP2B1,APOE,PICALM,COPG2,COPB2,SEC24A,SEC23A,COPZ1,SEC16A,COPA,HSPA9,SEC23B,VPS26A,RTN3,VPS35,SREBF2,RAB1B,SAR1B,IDE,SEC31A,EIF2S1,GGA3,ECE1,SEC13,SEC24B,SEC24D,ITPR2,PREB,AP4M1,SYK,SIGMAR1,RAB1A,AP1G1,GORASP1,MIA3,TMED9,OSBP,ADAM10,APBA1,MAPKAPK2,COPE,APBA2,APP,SEC24C,SNX4,ABCA7,BACE1,LRP1,AP4E1,AP4S1,HSPA5,PLCG2,ITPR1,MAP2K3,NCSTN,PSEN1,GGA2,PLG,GGA1,VLDLR,MAPK14,AP3B2,AP4B1
1,SORT1,SNX6,ITPR1,RAB1B,RAB1A,AP4S1,RTN3,SREBF2,APBA1,PREB,IDE,COPA,APBA2,COPZ1,SEC24A,SEC24B,EIF2S1,ADAM10,SNX4,GORASP1,MIA3,PICALM,TMED10,AP2B1,AP4E1,CLU,ECE1,MFN2,PLG,COPB2,ADAM17,MAP2K3,COPE,HSPA5,SAR1A,PSEN1,SEC16A,SIGMAR1,BIN1,VPS26A,SYK,SEC24C,SEC23A,SEC31A,SEC24D,ITPR2,MAPK14,ARF6,GGA1,VPS29,APP,AP4M1,COPB1,APOE,HSPA9,AP2A1,AP1G1,VPS35,TMED2,SORL1,VDAC1,ABCA7,RTN4,SEC13,SEC23B,COPG1,SAR1B,TMED9,AP3B2,AP4B1,MAPKAPK2,VLDLR,COPG2,OSBP,LRP1,BACE1,GGA2,NCSTN,PLCG2,GGA3
2,VDAC1,ADAM10,LRP1,COPG1,AP1G1,APBA1,GGA2,VPS35,COPB2,MAPK14,MIA3,HSPA5,ADAM17,COPZ1,COPB1,COPA,SEC13,ITPR2,SEC31A,PLCG2,RAB1B,AP3B2,SORL1,CLU,COPG2,PICALM,RTN3,IDE,PLG,RAB1A,SNX4,BACE1,SEC24A,AP4B1,SNX6,OSBP,BIN1,APOE,GGA3,SYK,SAR1A,TMED2,APP,SEC24C,GGA1,SEC16A,ECE1,PSEN1,HSPA9,SEC24B,ABCA7,AP4M1,AP2B1,VPS29,MAPKAPK2,RTN4,EIF2S1,VPS26A,SREBF2,SEC23A,GORASP1,AP2A1,SEC23B,COPE,SORT1,NCSTN,APBA2,AP4S1,ITPR1,VLDLR,MAP2K3,PREB,SIGMAR1,AP4E1,TMED10,SAR1B,SEC24D,TMED9,ARF6,MFN2
3,APBA1,BIN1,AP1G1,MFN2,PREB,VDAC1,GORASP1,GGA2,RAB1B,TMED2,SEC23A,RTN3,ADAM17,COPG1,NCSTN,COPG2,ECE1,RTN4,GGA3,HSPA9,SEC13,COPB1,SAR1B,SEC16A,SEC24C,APOE,CLU,RAB1A,SORT1,TMED10,EIF2S1,GGA1,SEC23B,PLG,HSPA5,MIA3,SNX6,ADAM10,AP4S1,COPE,MAPK14,AP4M1,PLCG2,VPS35,AP2B1,SAR1A,SYK,MAP2K3,AP4E1,AP4B1,COPB2,PSEN1,COPA,SEC31A,VLDLR,SREBF2,SNX4,TMED9,APP,ITPR2,APBA2,SORL1,LRP1,ITPR1,MAPKAPK2,VPS26A,SIGMAR1,AP2A1,IDE,SEC24B,COPZ1,OSBP,BACE1,SEC24D,VPS29,ARF6,SEC24A,AP3B2,ABCA7,PICALM
4,VDAC1,SEC23A,ARF6,SEC16A,SORT1,PICALM,SAR1A,EIF2S1,AP4S1,SEC24B,HSPA9,APOE,SEC24A,AP4E1,TMED9,MAP2K3,VPS35,ECE1,RTN4,SEC24D,APP,COPB2,SEC13,MFN2,VPS29,GORASP1,ITPR1,PLG,RAB1B,TMED10,AP2B1,MAPKAPK2,COPZ1,SAR1B,SNX4,GGA3,VPS26A,GGA1,SNX6,COPG2,COPG1,NCSTN,MIA3,SEC31A,CLU,SYK,BACE1,APBA2,ADAM10,COPE,GGA2,IDE,RAB1A,ITPR2,COPB1,BIN1,ABCA7,MAPK14,SREBF2,PREB,VLDLR,RTN3,PLCG2,LRP1,SEC24C,SEC23B,ADAM17,SIGMAR1,COPA,AP1G1,TMED2,AP4B1,HSPA5,SORL1,OSBP,PSEN1,AP3B2,AP2A1,APBA1,AP4M1
5,SAR1B,SNX6,RTN4,PLG,ARF6,BIN1,SEC31A,VPS26A,EIF2S1,LRP1,VPS35,COPA,SAR1A,HSPA5,SORT1,MAP2K3,AP4E1,VDAC1,IDE,AP2B1,SEC16A,GGA1,TMED2,SNX4,MAPKAPK2,PREB,ADAM17,HSPA9,MIA3,ECE1,SORL1,PICALM,CLU,COPZ1,SEC13,APOE,TMED10,TMED9,COPB2,GGA2,MAPK14,RTN3,ADAM10,SEC23A,AP4B1,SREBF2,OSBP,SYK,APBA2,PLCG2,ITPR2,SEC24A,ITPR1,RAB1A,GORASP1,APBA1,NCSTN,AP4S1,COPE,BACE1,MFN2,PSEN1,SEC24C,AP1G1,VPS29,RAB1B,GGA3,SIGMAR1,COPB1,VLDLR,SEC24D,APP,COPG2,SEC24B,COPG1,AP4M1,AP3B2,ABCA7,SEC23B,AP2A1
6,PREB,RTN3,ADAM10,SEC24A,LRP1,ADAM17,TMED9,EIF2S1,ITPR2,VPS35,MIA3,BIN1,APBA2,GGA2,SORL1,APOE,SORT1,COPB2,HSPA5,RAB1B,MFN2,SNX6,TMED2,SEC24D,SEC16A,CLU,COPZ1,PLCG2,VPS26A,SNX4,COPG2,PICALM,MAP2K3,AP4S1,COPG1,MAPKAPK2,SEC23A,AP4E1,SIGMAR1,GGA1,ITPR1,GGA3,TMED10,AP3B2,APBA1,COPE,COPA,SEC24C,SEC31A,RAB1A,SYK,HSPA9,COPB1,VDAC1,ABCA7,RTN4,SREBF2,MAPK14,OSBP,SEC23B,PSEN1,SEC24B,NCSTN,ARF6,SAR1B,PLG,BACE1,AP4M1,AP4B1,GORASP1,AP2B1,SEC13,VPS29,IDE,ECE1,SAR1A,AP2A1,VLDLR,APP,AP1G1
7,AP2A1,VPS35,ADAM10,VPS26A,VPS29,COPB1,COPG1,APP,ARF6,MFN2,AP4M1,NCSTN,TMED2,SEC23B,GGA3,SAR1A,MIA3,AP2B1,COPB2,BIN1,CLU,PREB,MAPK14,RTN4,AP1G1,AP3B2,LRP1,SEC24A,SREBF2,SEC13,SEC16A,EIF2S1,ECE1,ABCA7,SAR1B,HSPA5,GORASP1,SNX4,APOE,SEC23A,RTN3,HSPA9,SYK,ADAM17,COPE,ITPR2,VDAC1,SEC24C,TMED10,GGA2,COPA,SNX6,PLCG2,COPG2,RAB1B,PSEN1,OSBP,BACE1,ITPR1,COPZ1,PLG,SEC31A,TMED9,SORL1,IDE,MAPKAPK2,RAB1A,PICALM,MAP2K3,AP4S1,GGA1,SORT1,SEC24D,APBA1,SIGMAR1,APBA2,AP4B1,AP4E1,SEC24B,VLDLR
8,ITPR2,SEC23A,MAPK14,SEC13,COPA,MAPKAPK2,SEC31A,SEC24B,MIA3,SORT1,IDE,GGA2,COPE,VPS29,EIF2S1,APBA2,AP3B2,SEC16A,AP2A1,ABCA7,HSPA5,PLCG2,PICALM,GGA3,RTN4,COPB1,SEC23B,COPB2,RAB1B,NCSTN,ITPR1,VDAC1,SYK,OSBP,ADAM17,VPS35,SAR1A,SNX6,SIGMAR1,BACE1,COPZ1,AP4B1,PSEN1,APOE,APP,TMED2,TMED10,AP2B1,SORL1,HSPA9,TMED9,APBA1,COPG2,COPG1,MAP2K3,MFN2,SEC24C,ADAM10,AP4E1,SNX4,BIN1,RAB1A,SEC24A,GORASP1,SEC24D,GGA1,AP1G1,LRP1,AP4M1,AP4S1,PLG,VPS26A,ARF6,SREBF2,ECE1,SAR1B,RTN3,PREB,CLU,VLDLR
9,MIA3,SEC23A,ARF6,AP1G1,SNX6,SAR1B,ADAM17,COPA,SAR1A,NCSTN,ADAM10,GGA1,RAB1A,SEC31A,RTN4,COPB2,SORT1,RTN3,AP2A1,PREB,SNX4,SIGMAR1,GGA2,ECE1,TMED9,HSPA9,COPG2,COPG1,SEC13,COPB1,SORL1,AP4E1,VPS35,SEC24D,MAPK14,CLU,OSBP,PLG,PLCG2,GGA3,VDAC1,SEC16A,COPZ1,LRP1,PSEN1,AP4S1,APOE,VPS29,PICALM,AP2B1,TMED2,RAB1B,BACE1,HSPA5,AP3B2,MFN2,IDE,TMED10,APBA2,VLDLR,VPS26A,GORASP1,BIN1,SYK,APP,COPE,SREBF2,ITPR1,EIF2S1,MAP2K3,SEC24B,APBA1,SEC24A,SEC24C,ITPR2,ABCA7,AP4B1,SEC23B,AP4M1,MAPKAPK2
