source,target,A,B_coef
TMED10,TMED9,0.999999949225714,0.5198968935494882
COPG1,COPG2,0.9999927923190158,-0.39600890223803614
AP1G1,VPS35,0.9999914673358333,0.3917900095874347
COPB1,COPG1,0.9999259471285035,0.3377664296146133
RTN4,RTN3,0.9999250834673615,0.3374765260743241
APOE,CLU,0.9998814793964443,0.3260076303801652
HSPA5,EIF2S1,0.9997051514271017,0.3032188438393437
HSPA9,IDE,0.9993788488969219,0.2845828709836098
ADAM10,BIN1,0.9992575257648408,0.28011949095015054
VPS29,VPS26A,0.9991993616839326,0.2782325073590775
AP2B1,AP2A1,0.9991870410214384,0.2778504154238594
SORL1,LRP1,0.9986985529916416,0.2660744063888482
TMED2,TMED10,0.9986565229121336,0.26527874509386756
SYK,PLCG2,0.9984323464527318,0.2614151612465756
MFN2,SORL1,0.9967627545554789,0.24324474963907874
COPG1,COPA,0.9965960921746474,0.2419855358167839
HSPA5,GORASP1,0.9952000940089745,-0.23335868709820634
MFN2,GORASP1,0.9936226450124777,0.22621510172891623
VPS29,VPS35,0.9928315775968335,0.2232718859259853
LRP1,SAR1B,0.9922897214715704,-0.2214365202512404
AP1G1,SIGMAR1,0.9921180464788305,0.2208816579187087
COPB2,COPA,0.9920363476761737,0.22062180045352023
COPB1,COPG2,0.9918391243299054,0.22000523613372128
VPS29,APBA1,0.9908154886369933,0.2170252453037891
LRP1,AP4S1,0.9906659600755943,-0.2166177369773342
CLU,ECE1,0.9899188334984282,0.2146738493273097
VPS35,SEC24B,0.9898182729968881,0.2144231680061107
MFN2,GGA1,0.9892552672001561,0.2130634185574663
ADAM10,COPG2,0.987902341512624,0.2100642981950751
AP3B2,AP4S1,0.987707216309579,0.20965934789228133
COPG1,COPE,0.9875649158345191,0.209368009662545
SEC23A,TMED2,0.987247474781713,0.20872978585006893
APOE,APP,0.9871091264525463,0.2084565253264333
AP1G1,COPG2,0.9868872286870455,0.20802422778947158
MAPK14,GORASP1,0.9867705968174133,0.20779989303803006
COPB1,PREB,0.9856733127014207,0.20578002327976685
SEC31A,SEC16A,0.9837774611226767,0.20262495375156397
APOE,PSEN1,0.9828772356586427,0.20125188496760715
SEC23A,SEC23B,0.9825626932055205,-0.2007888042988082
RAB1B,SAR1A,0.9800434755180967,0.19735102004713434
SEC24C,SEC23A,0.9793881135310238,0.19652650200673732
TMED10,PREB,0.9779002620836685,-0.1947460483465238
CLU,HSPA5,0.9770039100001219,0.19372916131524423
SEC24C,COPG2,0.9763748551605271,0.19303837453634987
SAR1B,SAR1A,0.975395577415336,0.19199792256243284
SYK,AP4E1,0.9751701446192083,0.19176412969864837
GGA2,GGA1,0.97509392722508,0.19168555354237987
MFN2,HSPA9,0.9734105000559805,0.19000723713549994
AP2B1,VPS35,0.9711469505008039,0.1879065526733948
SEC23A,PLG,0.9700152207367213,0.18691554669583993
AP3B2,RTN3,0.9696665984381487,0.18661757080815555
SNX6,PSEN1,0.9693056607274549,0.18631254381056012
RAB1B,ARF6,0.9689139567131956,0.18598542156103293
LRP1,GGA2,0.9669219892198567,0.18438122711185084
VPS29,TMED2,0.966488873310806,-0.18404480656421027
APBA1,MAP2K3,0.9660796493369774,-0.18373077836825305
VPS35,SIGMAR1,0.9647120590365359,-0.18270720956464992
COPB2,VLDLR,0.9630239278773269,-0.18149518136643278
COPB2,VPS26A,0.9625005612423818,0.18113021707174712
COPA,COPG2,0.9618452422124448,0.18068007760600463
RAB1B,RAB1A,0.958270817320475,0.17834824299610696
RAB1A,VDAC1,0.9582229103556213,0.1783183084826989
SEC13,SEC31A,0.9579605305429325,0.17815494128244458
SORT1,ADAM10,0.9572831342283464,0.17773763446355278
AP1G1,NCSTN,0.9542200593587649,-0.17592620742802298
VPS26A,MAP2K3,0.9534294678903386,0.17547743668897664
SORL1,AP4S1,0.9534077875424182,0.17546523245986825
VDAC1,PREB,0.9530265717472792,0.17525151749914705
COPB2,COPZ1,0.9528883792929571,0.17517445191129244
CLU,PLG,0.9518148693695986,0.17458300176537866
GGA2,SEC24B,0.9498558053795935,0.17353518604667598
NCSTN,VDAC1,0.9488659015834238,0.17302039802469388
VPS26A,ADAM17,0.9454941413179025,-0.17133498742621314
COPB1,COPZ1,0.9439941882271209,0.17061661356446803
SNX6,BIN1,0.9437077726543636,0.17048150218860167
VPS29,ARF6,0.9421788607235604,-0.16977101724227706
SEC31A,TMED2,0.939746549565487,-0.16867625928581076
TMED10,COPE,0.9380294336765591,0.16792804480241913
EIF2S1,SAR1A,0.9368684435539647,0.1674330530982709
COPE,COPZ1,0.9367756020852454,0.1673938374610868
BIN1,SEC23B,0.9367076392682934,0.1673651644342525
SNX6,SEC24D,0.9359707442584592,-0.16705610299954232
AP2B1,SEC16A,0.9344845714162907,-0.16644273627429082
VPS26A,VLDLR,0.9339391877689038,0.16622089028531933
LRP1,HSPA5,0.9334325958834535,-0.16601634311285915
MIA3,VDAC1,0.9325595689980635,0.1656672081468223
VPS35,CLU,0.9288943748395407,0.16424571461980716
SEC31A,MIA3,0.9280384497175486,0.16392353030733703
IDE,ABCA7,0.9255317802770329,0.16299990041111687
APBA1,COPZ1,0.9243181574140594,0.1625629516766916
MFN2,VDAC1,0.9235888706902081,0.16230346675815557
AP2B1,IDE,0.9225367195573158,-0.16193307890449937
VPS35,BACE1,0.922076599739968,0.16177255009669136
ITPR2,MAPKAPK2,0.9219084909179481,0.16171411589009874
PSEN1,SEC24B,0.9195207371399144,0.1608963262350023
COPG1,COPB2,0.919306100312103,0.1608239041679816
APBA1,BACE1,0.9183550765995185,0.1605051116791214
RAB1A,MAP2K3,0.9182483034195305,0.16046953185586083
VPS35,VDAC1,0.9145686759683548,-0.15926849340671118
PICALM,BACE1,0.9139806033684235,-0.15908091341202704
TMED2,GORASP1,0.909110054321619,0.1575704193060664
SEC24C,AP4S1,0.9081378867430464,-0.1572776885223351
ITPR2,AP4B1,0.9081255910608701,0.15727400402465289
SORT1,SAR1B,0.9046695278190383,0.1562555051191841
VPS35,EIF2S1,0.9017141942424589,-0.15541044981194999
RAB1B,MAPKAPK2,0.9010629504032821,-0.15522728343003012
HSPA9,AP3B2,0.8991522633347322,0.15469601420596799
AP1G1,CLU,0.8978429274761432,-0.15433708959404688
GGA2,PLG,0.8973774016735648,-0.1542104586537134
BIN1,SEC16A,0.8970581162310376,-0.15412390139447596
COPA,MAP2K3,0.8963564455259373,0.15393451252685597
GGA1,SEC16A,0.8906597552244297,0.15243744884941796
TMED2,TMED9,0.8865504017851136,0.1513994827250285
SEC24D,COPG2,0.8862132387927567,0.15131578541040522
COPG1,PLG,0.8850551275780887,-0.15102993227330644
GGA2,AP4S1,0.8847449677011319,0.1509538021566833
BIN1,PLG,0.8838723968114369,-0.15074057726782727
AP2B1,PREB,0.8819300726939449,-0.15027089292425358
AP1G1,COPG1,0.8811147761368998,0.15007573436273142
RTN4,COPZ1,0.8778591409356322,0.14930777969545206
GGA2,HSPA5,0.8777962250061541,-0.1492931134634378
SORT1,SYK,0.876762999922503,0.1490531846248673
TMED9,ARF6,0.8765829113976917,-0.1490115427586559
SORL1,CLU,0.8755281221215215,-0.14876868656316836
APOE,SEC24B,0.8738173611580549,-0.14837852532134788
ADAM17,SIGMAR1,0.867576470090483,-0.14699245779583867
APP,VLDLR,0.8670512361812611,-0.14687835628553983
RAB1A,ITPR2,0.8654885114064379,-0.14654111220358337
RAB1B,VPS26A,0.864742724548785,0.14638133313822327
APBA2,TMED2,0.8618060463420039,-0.14575930203480186
TMED9,VLDLR,0.860924441222638,0.14557473424525041
SEC24A,VLDLR,0.8566930830486849,0.14470227805737218
RAB1A,SNX4,0.854684427296134,0.14429561422192896
SEC31A,PLG,0.8544212934651516,-0.14424268778203095
AP2B1,SNX4,0.8530387740366335,0.1439659054877537
EIF2S1,AP4S1,0.8529525162565816,-0.14394870814758584
AP3B2,VDAC1,0.851791610688809,0.14371806473054355
AP1G1,AP2A1,0.8513536155323458,0.14363143362457167
ECE1,SEC16A,0.8466266030466663,-0.1427096074956053
SAR1B,SREBF2,0.8462759306504887,0.14264215569409278
EIF2S1,AP4M1,0.8408345852569403,0.14161127366833973
AP2B1,AP1G1,0.8403182660375772,0.14151495091825106
AP2B1,AP4B1,0.8394650210737942,0.14135632383022917
MIA3,VLDLR,0.8393439188621523,0.1413338649877058
AP1G1,AP4B1,0.8384201595974234,0.1411629992569509
VPS35,AP4S1,0.8350219386719792,0.14054113737380808
TMED10,PLCG2,0.8338640844940485,-0.14033160498471248
MFN2,SEC16A,0.8328234832170334,-0.14014428684715877
TMED10,SAR1A,0.8298397872095279,0.13961230583192893
MFN2,IDE,0.8281146788774338,0.13930810322672554
SORT1,PICALM,0.8280889217837023,0.1393035796515646
SEC23A,GORASP1,0.8278903718863612,0.13926872744961524
SORL1,PICALM,0.8273010236551228,0.13916546414412806
VPS29,MAP2K3,0.8236225986985911,-0.13852715972181356
VPS29,AP4E1,0.823497989259211,-0.1385057209826537
SEC13,PLG,0.8229813067141716,0.13841695370114862
CLU,ITPR2,0.8197390709191645,0.13786451690483698
LRP1,BIN1,0.8185840170808216,-0.13766958491656983
TMED10,EIF2S1,0.8135238063557261,-0.1368267901856868
APBA2,GGA3,0.8099465740221417,0.13624157663756217
AP1G1,HSPA5,0.8090344941050661,-0.1360937184943909
SNX6,COPE,0.8088763182999934,-0.13606813141313018
SYK,MAPK14,0.8079801315467298,0.13592346550868722
AP1G1,GORASP1,0.8067543897664812,-0.1357264325121186
TMED10,ADAM17,0.8057281729478396,-0.13556220206260852
COPZ1,PLCG2,0.8054394420755188,0.13551611382140075
SEC24A,COPE,0.8054385554259476,0.13551597237119925
SORT1,BACE1,0.8051236483313288,0.13546576506501284
RAB1B,COPG1,0.8044694956322754,-0.13536166621782336
VPS29,SORL1,0.8039034380817741,0.13527179898294261
MIA3,AP4S1,0.7960679032811494,0.134047435215567
HSPA9,HSPA5,0.7904526915107889,0.13319140696313322
COPZ1,AP4B1,0.7903987283335526,-0.13318326295008082
COPZ1,SEC16A,0.7902439017283166,0.13315990538128028
SEC24A,APBA2,0.7897954301640513,0.1330923191035895
AP4B1,PLCG2,0.7867308879188408,0.1326332859489777
COPG1,IDE,0.7835981071806438,0.13216897441839692
LRP1,PICALM,0.7808312717183733,-0.1317629300804484
SEC31A,PICALM,0.7794363449953451,0.1315596171445553
HSPA9,MAP2K3,0.7781387341003578,0.13137131429009016
COPB2,TMED9,0.7730576284348561,0.1306414370494202
APOE,GGA3,0.7719250108828685,0.13048032336573281
COPB2,HSPA5,0.7717778585892113,0.13045943254036826
ARF6,ITPR1,0.7717733085831644,0.130458786739176
IDE,AP4M1,0.7702569574536425,-0.1302440673023634
MIA3,ITPR1,0.7612997106080249,0.1289954593118117
MIA3,SEC23B,0.7605857209969625,0.12889733464183842
APBA1,PLCG2,0.7590835830291969,-0.1286915459528423
TMED2,SAR1A,0.7556663052835467,0.1282266247833302
SEC24C,SEC31A,0.7545518152984436,0.128075952154624
ITPR1,VLDLR,0.7527354328443219,0.12783137324459
AP2B1,SEC31A,0.7522039620816986,0.12776003833275468
SNX6,TMED10,0.7484198443076293,0.12725506151057783
RAB1B,COPG2,0.7482245802003297,-0.12722914187318715
SEC31A,ECE1,0.7475136176420911,-0.12713488016687577
AP1G1,SEC24B,0.7418019697167169,-0.12638388676590548
COPB2,ARF6,0.7402773780244506,0.12618526820376516
APOE,TMED2,0.7394466971198984,0.12607736855218568
MAPKAPK2,PREB,0.7393843054971907,-0.12606927332273352
AP1G1,EIF2S1,0.7376885471033328,0.12584972908397668
