ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,TMED10,COPB1,RAB1B,COPG1,VPS29,RTN4,APBA1,TMED2,HSPA5,EIF2S1,SEC24C,MIA3,ADAM17,COPG2,MAP2K3,SEC16A,AP1G1,COPE,RAB1A,SORT1,SEC31A,SNX4,PREB,PLCG2,SEC24D,AP2A1,NCSTN,VDAC1,RTN3,COPB2,SEC23A,AP2B1,VPS35,SYK,LRP1,SEC23B,SAR1B,SNX6,SEC13,GGA2,PICALM,GORASP1,IDE,ECE1,HSPA9,VPS26A,COPZ1,AP4B1,BIN1,SEC24A,ITPR2,MFN2,APP,PLG,AP4E1,SEC24B,MAPK14,ADAM10,MAPKAPK2,ABCA7,OSBP,TMED9,PSEN1,VLDLR,CLU,SAR1A,APOE,GGA1,AP4M1,GGA3,APBA2,ARF6,SREBF2,SORL1,SIGMAR1,ITPR1,AP3B2,AP4S1,COPA,BACE1
1,ITPR2,AP2A1,COPE,OSBP,CLU,SEC13,COPG1,AP1G1,HSPA9,RAB1B,ADAM10,COPB2,HSPA5,COPG2,COPB1,TMED2,VPS29,IDE,GGA2,TMED10,VPS26A,MFN2,TMED9,APP,PLG,RTN4,SNX4,LRP1,APBA1,AP2B1,SEC31A,RTN3,COPZ1,VPS35,SEC16A,AP4B1,MAPKAPK2,MAPK14,GORASP1,MIA3,RAB1A,SREBF2,VDAC1,SORL1,NCSTN,BIN1,SAR1A,ARF6,EIF2S1,PREB,SEC24A,SNX6,SEC23B,ADAM17,SORT1,AP4E1,SAR1B,ECE1,AP3B2,SEC23A,AP4S1,PLCG2,VLDLR,SEC24C,MAP2K3,SEC24D,AP4M1,SIGMAR1,GGA3,PSEN1,APBA2,APOE,BACE1,SYK,SEC24B,ITPR1,COPA,PICALM,GGA1,ABCA7
2,AP2B1,VPS29,COPG1,COPB1,OSBP,RAB1A,TMED10,COPE,TMED9,VPS26A,TMED2,IDE,AP1G1,BIN1,COPG2,SNX4,COPB2,SNX6,MIA3,ADAM10,AP4S1,SEC16A,RTN4,RTN3,SORT1,VPS35,NCSTN,EIF2S1,PREB,VDAC1,SYK,PICALM,PLCG2,GORASP1,ITPR2,MAPK14,RAB1B,GGA2,SEC24D,MAPKAPK2,LRP1,HSPA5,GGA3,CLU,APBA1,SREBF2,HSPA9,ADAM17,MAP2K3,GGA1,PSEN1,AP4E1,SEC23A,SEC24C,AP4M1,SAR1B,AP2A1,AP4B1,SORL1,SEC23B,ECE1,ARF6,SEC24A,APP,SEC24B,COPA,SEC31A,PLG,COPZ1,VLDLR,APOE,SEC13,MFN2,SAR1A,SIGMAR1,ABCA7,BACE1,APBA2,AP3B2,ITPR1
3,EIF2S1,COPB2,AP2B1,TMED10,AP1G1,RAB1A,TMED9,VPS26A,SORT1,COPE,MFN2,TMED2,BIN1,RTN3,SEC31A,SEC23A,AP2A1,VPS35,ECE1,CLU,COPB1,RTN4,SORL1,IDE,RAB1B,APBA1,COPG1,SEC16A,SEC24D,SYK,SEC23B,MIA3,PLCG2,HSPA5,GGA2,PICALM,MAPKAPK2,ABCA7,PLG,SNX4,MAPK14,ADAM17,AP4S1,PREB,APP,SNX6,LRP1,ARF6,VPS29,ITPR2,MAP2K3,VDAC1,PSEN1,AP4B1,COPZ1,SEC13,SEC24A,NCSTN,SAR1B,SEC24B,SREBF2,GGA3,AP4M1,OSBP,ADAM10,APOE,GGA1,COPG2,APBA2,AP4E1,HSPA9,SAR1A,BACE1,GORASP1,AP3B2,ITPR1,VLDLR,SEC24C,COPA,SIGMAR1
4,VPS35,VPS26A,MIA3,ADAM17,MAP2K3,BIN1,ADAM10,TMED9,COPG1,COPE,SYK,PLCG2,SNX6,COPB1,SORT1,COPB2,COPG2,HSPA5,RAB1A,RAB1B,PICALM,COPZ1,AP1G1,SAR1B,SEC23A,NCSTN,VPS29,SORL1,ECE1,MFN2,LRP1,SEC16A,SEC24C,AP2A1,VDAC1,TMED10,RTN3,APBA1,SNX4,EIF2S1,AP4B1,SREBF2,ARF6,OSBP,SEC24A,PREB,TMED2,SEC23B,AP2B1,RTN4,IDE,SAR1A,GGA3,SEC31A,HSPA9,SEC24D,GGA2,MAPKAPK2,SEC24B,APBA2,CLU,PSEN1,ITPR2,APP,AP4S1,ABCA7,SEC13,VLDLR,AP3B2,APOE,COPA,AP4M1,PLG,GGA1,ITPR1,GORASP1,MAPK14,AP4E1,SIGMAR1,BACE1
5,RTN4,VPS26A,VPS29,LRP1,COPG1,COPB1,COPB2,COPE,SORT1,HSPA5,MIA3,ECE1,APBA1,GGA2,ADAM10,TMED9,SNX6,SNX4,OSBP,TMED10,SEC23A,AP2A1,ARF6,RAB1A,IDE,AP2B1,MAPKAPK2,RAB1B,AP1G1,RTN3,SEC13,SEC24D,SEC16A,TMED2,SEC31A,PLCG2,ITPR2,BIN1,MAPK14,SYK,COPG2,HSPA9,PREB,SAR1B,AP4B1,EIF2S1,COPZ1,APP,VDAC1,NCSTN,PLG,SEC23B,SEC24A,PSEN1,VPS35,SEC24C,AP4E1,ADAM17,CLU,SAR1A,AP4S1,SORL1,ABCA7,SEC24B,SREBF2,VLDLR,MAP2K3,AP4M1,GORASP1,GGA1,COPA,PICALM,AP3B2,APBA2,MFN2,GGA3,ITPR1,APOE,SIGMAR1,BACE1
6,RTN4,OSBP,GGA2,RTN3,EIF2S1,VPS35,ADAM10,AP1G1,AP2B1,BIN1,RAB1B,SEC13,RAB1A,GORASP1,TMED2,MIA3,COPB2,SNX6,AP2A1,COPG1,SNX4,SORT1,HSPA5,SEC24C,TMED10,PREB,VPS26A,APBA1,MAPKAPK2,COPB1,VPS29,SEC31A,VDAC1,SEC24D,AP4B1,SEC16A,SEC24A,NCSTN,IDE,ITPR2,PLCG2,COPG2,SEC23B,MAPK14,TMED9,SYK,SAR1B,ADAM17,COPE,SEC23A,AP4S1,PICALM,PSEN1,LRP1,COPZ1,MAP2K3,GGA3,CLU,SORL1,PLG,ABCA7,APP,APBA2,ECE1,AP3B2,AP4E1,GGA1,APOE,COPA,SAR1A,HSPA9,ARF6,MFN2,AP4M1,VLDLR,SEC24B,SREBF2,BACE1,SIGMAR1,ITPR1
7,RAB1A,TMED9,RTN4,RTN3,AP2A1,GGA2,HSPA5,ADAM10,TMED10,SNX6,COPE,COPB1,RAB1B,AP1G1,GGA3,APBA1,VPS35,MAPKAPK2,SAR1B,BIN1,TMED2,OSBP,COPG2,VDAC1,ECE1,AP4S1,MIA3,MFN2,ADAM17,IDE,MAP2K3,VPS29,PLCG2,GORASP1,HSPA9,VPS26A,SEC23A,SYK,PICALM,AP4B1,SEC24A,EIF2S1,SEC23B,ITPR2,SEC24C,COPB2,SEC24D,SAR1A,SEC16A,SEC24B,MAPK14,ABCA7,SEC31A,PREB,COPG1,SNX4,AP4E1,AP2B1,CLU,SREBF2,SEC13,BACE1,SORL1,PSEN1,NCSTN,AP4M1,VLDLR,LRP1,GGA1,APBA2,APOE,ARF6,APP,PLG,SIGMAR1,COPZ1,AP3B2,SORT1,COPA,ITPR1
8,VPS35,GGA2,AP1G1,SAR1B,AP2A1,BIN1,COPG1,COPB1,COPB2,VPS26A,AP2B1,SEC23A,RAB1B,ECE1,HSPA5,TMED10,RTN4,SORT1,CLU,TMED9,RTN3,SNX6,PLCG2,SYK,PREB,SEC31A,RAB1A,VPS29,SEC16A,COPZ1,COPG2,EIF2S1,APBA1,PSEN1,TMED2,AP4S1,LRP1,NCSTN,MFN2,SEC23B,SEC24D,SEC13,ADAM10,COPE,MIA3,VDAC1,SNX4,AP4B1,SEC24A,IDE,SORL1,MAP2K3,ARF6,ADAM17,MAPKAPK2,SEC24B,ITPR2,SREBF2,OSBP,APP,SAR1A,GGA3,PLG,GORASP1,MAPK14,APBA2,ABCA7,GGA1,BACE1,AP3B2,SEC24C,AP4E1,HSPA9,PICALM,COPA,AP4M1,APOE,SIGMAR1,VLDLR,ITPR1
9,APBA1,VPS29,RTN3,RAB1A,SEC23A,HSPA9,AP2A1,MFN2,RAB1B,TMED10,COPB1,COPG1,IDE,LRP1,COPB2,COPG2,SNX4,PLG,HSPA5,COPE,PICALM,BIN1,GGA2,SAR1A,AP2B1,MIA3,SORT1,AP1G1,SEC13,GORASP1,SEC24D,TMED2,SEC16A,SNX6,SEC31A,VPS35,EIF2S1,MAPK14,ITPR2,RTN4,MAPKAPK2,SYK,VPS26A,PLCG2,TMED9,ADAM17,APP,ADAM10,PREB,OSBP,VDAC1,MAP2K3,SORL1,CLU,AP4S1,COPZ1,AP4B1,ABCA7,SEC23B,SEC24A,SEC24B,GGA3,NCSTN,SAR1B,PSEN1,SEC24C,SREBF2,ECE1,AP4E1,COPA,APOE,SIGMAR1,ITPR1,AP3B2,GGA1,BACE1,APBA2,AP4M1,ARF6,VLDLR
