source,target,A,B_coef
APOE,CLU,0.9999099828998277,0.3328855220653548
SORL1,CLU,0.9919255797565286,-0.22027367535017198
AP1G1,VPS35,0.9910957755301404,0.21780713378351607
HSPA5,EIF2S1,0.9806599488890372,0.19815119073684595
APBA2,APBA1,0.9800824451223139,0.19740087995709055
SEC23A,SAR1A,0.9716200810841706,-0.18833207625830192
RTN4,AP4E1,0.954062359721296,0.1758361051310422
BIN1,SORT1,0.9287181124829181,0.16417907496280076
SEC23B,MAP2K3,0.914638212142723,-0.15929075097097553
NCSTN,PLCG2,0.9081909867809269,-0.15729360545816876
ADAM10,BIN1,0.896724117043582,0.15403360925288645
ARF6,TMED2,0.8645339050177204,0.1463367284025127
APBA1,MAP2K3,0.8529536658911039,-0.1439489372970037
BIN1,SNX6,0.8482709355294937,0.1430275906110366
SEC23A,SEC24B,0.8447112112685492,0.14234270676556063
ADAM10,SORT1,0.8327411700744006,0.14012950953244707
RAB1A,RAB1B,0.8268696306756596,0.13909005376814265
APBA2,APOE,0.8255250327003171,-0.13885595774267814
SYK,PLCG2,0.816894588745586,0.1373862014850535
COPG1,COPB1,0.7937312927714523,0.13368913147378522
OSBP,SEC24D,0.7905462755657966,0.13320553413358943
SEC24D,PLCG2,0.7840689970247268,0.13223845242254678
SORL1,APOE,0.7741360456182266,-0.13079536953560475
EIF2S1,SAR1A,0.7719452339961643,0.13048319513017717
APBA2,PREB,0.7684670207312609,0.1299918831454037
OSBP,APBA1,0.7438676560143986,0.12665422144295374
HSPA5,GGA2,0.7408339004516439,-0.1262576819272164
SAR1A,SEC13,0.7300327347605792,0.12486971658701514
HSPA5,SAR1A,0.7206254377430498,0.12368915249927986
PSEN1,GGA1,0.7165841009864805,-0.12318950478106748
BACE1,AP4E1,0.7156990387879804,0.12308065855192223
LRP1,SEC23B,0.7055125860699987,-0.12184220864910676
SORL1,SAR1A,0.7002410650771492,-0.12121115132652108
GGA3,AP4S1,0.696135831260333,-0.12072410032377454
COPB1,PLCG2,0.6887300621403407,-0.11985472272624378
GORASP1,PLG,0.673862792357967,-0.11814270857153467
TMED9,TMED10,0.6643288069692617,0.11706612823674091
COPB1,TMED2,0.6610225930453587,0.11669636400896106
VLDLR,PLG,0.6597132947285811,0.11655042064104852
TMED2,AP4S1,0.6540169449569672,-0.11591858652118206
RAB1B,TMED2,0.6461481413374592,0.11505376128138807
SEC24D,SEC24A,0.641623365492097,-0.11456042470866397
SORT1,SNX6,0.6406451366286823,0.11445413292488345
MAPK14,COPG2,0.6358300862541219,-0.1139327703235551
SEC23A,SEC24C,0.6356899763313623,0.11391764418462424
PREB,PLCG2,0.6323242789807252,-0.11355502513503608
BIN1,PICALM,0.629758545659405,0.11327952782410956
BACE1,GGA1,0.6281468040030269,-0.11310686903794626
APBA1,RAB1B,0.6197409700062861,0.1122112230513147
SEC23A,SEC13,0.6080037454134823,-0.11097321892620375
VPS35,SEC31A,0.5947145347027314,0.10958724613520307
LRP1,SEC24C,0.5925067461099438,0.10935844702777948
SORL1,SEC16A,0.5767120401080307,0.10773225935785116
TMED10,GGA1,0.573640978748653,0.10741804909601221
BACE1,GGA2,0.5627175518948385,-0.10630496243956285
ADAM10,SNX6,0.5439651992150432,0.10440790371663128
SORT1,APOE,0.5291307588157063,-0.1029163786633365
BIN1,IDE,0.5191134840674553,0.10191228024240272
SEC23A,GGA3,0.5149192736659659,0.10149237037693853
COPG1,VLDLR,0.514316256356184,0.10143201705365582
ADAM10,MAPKAPK2,0.4946458162974789,0.09946456116301973
APOE,SEC23B,0.4752514969392657,-0.09752312562828766
SEC23A,PREB,0.4678509935518586,0.09678065794853323
APBA2,CLU,0.4519753291020614,-0.09518268227221481
COPB1,SAR1A,0.44295713854470325,-0.09427077062821694
TMED10,COPZ1,0.44198920722107277,0.09417267899089309
TMED2,SEC31A,0.4406711049837721,-0.09403902850504842
COPG1,COPE,0.44008061982240443,0.09397912819001517
SORL1,APBA1,0.4374141613549363,-0.09370841898645979
COPG1,AP4S1,0.4356277969156215,0.09352685583941678
CLU,SNX6,0.42941494888344306,0.09289403645896199
AP4E1,SIGMAR1,0.4216742490341759,0.09210239503315211
TMED2,TMED10,0.4213130120958646,0.09206535827022444
EIF2S1,APBA2,0.41354943526764987,0.09126721711575528
COPG2,VPS26A,0.4128562975576801,-0.09119574966235525
APOE,SEC24B,0.3888100886915942,-0.08869208222953852
SAR1A,AP4S1,0.3817804972958647,-0.08795005630697998
MAP2K3,ADAM17,0.3799912103690383,0.08776036167705856
PLCG2,COPE,0.3743474633049322,-0.08715973121474374
APOE,MFN2,0.3720456453574084,0.08691372672957524
APBA2,SEC24B,0.37148836352651304,0.08685407495473746
PREB,RAB1B,0.36534613199176197,0.08619413626309809
BIN1,OSBP,0.3624618578886956,0.08588262857839357
GGA2,COPG2,0.36149611641606727,-0.08577808851902083
ADAM10,SNX4,0.3607362501911113,-0.08569574897991741
AP1G1,AP2A1,0.35356246674821395,0.08491459021197506
OSBP,MIA3,0.35278730529342933,0.0848297590098144
MFN2,TMED10,0.3466712332508408,0.08415741005892852
RAB1A,VLDLR,0.341041753784577,-0.0835336185429371
EIF2S1,SYK,0.3381353995791296,0.08320963504518752
COPB1,COPE,0.3358151871152997,0.08295001317206327
LRP1,RAB1B,0.3279709760910966,0.08206558967526609
SAR1A,GGA3,0.3247819073142166,-0.08170295409230091
CLU,MAP2K3,0.3232063119239991,0.08152310934510944
SAR1A,SEC23B,0.3192098182689267,0.08106486171498528
RTN4,AP4S1,0.3185844511567054,-0.08099288171753566
BIN1,LRP1,0.31836652342020366,-0.08096778048553206
EIF2S1,PREB,0.3181669212136062,0.08094478197915196
SORL1,BACE1,0.31374651066447873,-0.08043345728858241
APOE,TMED2,0.3068186123882556,-0.07962412565799991
SEC24A,SREBF2,0.3042687096557999,0.07932369289076288
ADAM17,VPS26A,0.3040798117914189,0.07930138060228863
SEC24A,COPZ1,0.300038116246693,0.07882209097403216
