,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.021931548138368024,0.03861176663841714,0.020489851063491858,0.024666413928599678,0.028063469061985646,0.04824001047665774,0.03249657605306847,0.24997652939738108,0.07132519341658268,0.07058424441051608,0.07661869402007725,0.03940579908515897,0.020005541824742047,0.05754914160247986,0.08832897874443237,0.018397475061348815,0.028298536753516183,0.19057041370142408,0.08283505693988771,0.04714980787973337,0.12030663360630962,0.13566141180970584,0.2111475634435316,0.7687513256966081,0.3860010961918421,0.05160578658559453,0.019001430923330707,0.05885794230439625,0.25164249112500336,0.06518703865253561,0.030779164917183625,0.07597957041779987,0.024890600580349594,0.11873833797907578,0.05637617033656519,0.07088285777501893,0.1012926284032973,0.10371194803952954,0.30096144529655905,0.07632579471348214,0.06497668969919818,0.14250914498520875,0.03877416060761985,0.18872108093722073,0.025607937967046416,0.07719410589509458,0.032902076290315635,0.05673757166294852,0.02358951494854671,0.06128535785633383,0.020254801445829213,0.09297273208319663,0.05870842528045332,0.17375028187489497,0.028010298144991806,0.45988073129926327,0.03982599064907275,0.06610154011160349,0.047045898290736854,0.11809685772876698,0.3682429117351368,0.033974188989203256,0.02308845850759771,0.021990494021091198,0.04616836319497341,0.05135746337527819,0.0410517819688914,0.043635727468506386,0.5147620148311461,0.024798600807065578,0.12310236683648731,0.023892105833419712,0.059513787187683916,0.027747507191601795,0.018228822760405692,0.021167711807978083,0.10850638908783279,0.0418859402300601,0.02965190312647677
ADAM10,0.02298388229478605,0.0,0.0339188830307413,0.11076941114971503,0.026336602352215348,0.09686693219087926,0.10842582205646759,0.3139678617919222,0.11151869466990931,0.02104724203409677,0.03154520106259641,0.25229936346405285,0.021364123051089205,0.13302413553689962,0.026900704096564206,0.11706490896400547,0.13154414037712964,0.9932839733431749,0.021175204067420874,0.06591598431804052,0.6384166721788163,0.065595436968278,0.02318737039339165,0.048494295460031166,0.30377712144729846,0.044303276368476474,0.07777864654823231,0.06603593632311043,0.16166410899083028,0.05904061171268726,0.3564496612876053,0.05944838461252565,0.23731134218595007,0.4882596049123629,0.5402989245745589,0.5712308029939862,0.01931554252353444,0.06868963612046752,0.019136338972259116,0.027971468883875434,0.01901926895039248,0.058084725187503225,0.05579753208856899,0.06001172522082767,0.05437191515476026,0.05991033410897893,0.08921079435388929,0.05440164699817559,0.06878599123760418,0.1548485258129774,0.2905698182605458,0.03469752219345297,0.1871395284181588,0.04555127343722581,0.02392009324086368,0.7200825640347641,0.1767021945398451,0.21906696806717735,0.29835991537999856,0.44727414159164075,0.018546804500342875,0.3511706157161009,0.09643270677535451,0.034260624154086566,0.026171536509585105,0.019921420613628844,0.18696885546099612,0.23529267939740767,0.2445333835070216,0.8742348010620637,0.030376093915209762,0.05835860666333034,0.023984687215416214,0.047599660943258945,0.03417427496245159,0.1648935909958764,0.2846755994745652,0.14041303812352646,0.34362014746488495,0.020766590370600156
ADAM17,0.032494091949869526,0.02675930658160886,0.0,0.17444141881754657,0.031400050663568914,0.02017796692566242,0.046820842807934575,0.01834058626185995,0.01978979510601964,0.10692921457167126,0.16090536864974608,0.02493585608886292,0.03733843622042006,0.252892315773567,0.047247004551531364,0.04099935941425525,0.04140455774457909,0.04618731770440296,0.12000481852169222,0.02765155860539519,0.027084350970940984,0.08903374695007264,0.04292949217166696,0.038087694794372066,0.43334415729715614,0.14467658646684353,0.37490423107046444,0.16410990017795582,0.10189036630153496,0.0890105276885061,0.043901004798151115,0.02220722245659373,0.05417038920398317,0.08203680688869476,0.05148131284007499,0.8811488475427222,0.49208784263621885,0.05205361646680256,0.225248001709608,0.020027266139784564,0.104057649370872,0.3260633756635359,0.0465460504237809,0.022715178811142173,0.08289094055809404,0.0954326591077408,0.020693428325720704,0.05118337141713364,0.5488725424528623,0.029235199329881306,0.021335721912991795,0.05271392044694085,0.09420602154180141,0.022966327625656598,0.01826992203444872,0.02927546808865868,0.0686461994533386,0.2785732355247893,0.041619515563665284,0.3712098365308524,0.019697426081455,0.248459308665446,0.04326522381156326,0.11619918584827424,0.060169852362880756,0.28876458604344374,0.2670851312003466,0.02781631610790161,0.06650228822011356,0.14917932712564805,0.022117037204401623,0.05558238642078683,0.10331372722369281,0.04585998680202404,0.01823232556950507,0.4621596072758593,0.02482274758815107,0.05151625408058824,0.06035687799347064,0.03283181778396544
AP1G1,0.020666041476915083,0.08721194595467201,0.3486900706483847,0.0,0.5985739382552463,0.6896634649885683,0.0422633735756979,0.07788726807334907,0.037044621698993294,0.024831052241446057,0.04204162630945715,0.022184011265414052,0.22212617223963937,0.025652591872422272,0.028337317148094548,0.025580241856849227,0.12344705891617991,0.03322433193467488,0.035820976393518056,0.10861848043403702,0.1517582698581427,0.05512510813965667,0.023008017524274657,0.21804047325870282,0.11248378674172625,0.23608856559198538,0.034436176818353856,0.16649263754221313,0.18767022516614554,0.04697642082981831,0.026563891838874004,0.14845584066394005,0.018106517234986602,0.06621995273922146,0.04205371105725591,0.21138514113955306,0.07584846153946463,0.044206536224182316,0.02493535448509221,0.14100380053446693,0.13321295439320807,0.031070918646085608,0.11368880429204192,0.04554799823884136,0.2940816485133573,0.018570615085310792,0.18622608257432696,0.08733767965172026,0.49038630045716625,0.8635993300126409,0.14854680382338617,0.02710273553522726,0.09916508841848429,0.09478108573632213,0.020066429634486807,0.05965595470658123,0.2601760966669051,0.49630591640540794,0.025978162524925894,0.018732059854314614,0.02342209602664758,0.023192883284991042,0.03983942989890729,0.4082587836650619,0.3993809420808291,0.07911607558529464,0.08351174321399026,0.05245423157921623,0.0838962807837745,0.2444388960392048,0.22728694801761237,0.04138360978286297,0.0940064785567904,0.03543878584986516,0.09758206244924224,0.27262985468622847,0.020941179899211026,0.06616067002332059,0.023367453946677226,0.9926123699220112
AP2A1,0.027168019679687554,0.026911648356733597,0.0459395088565645,0.8016464058151711,0.0,0.9989807450976237,0.1617384517668723,0.17027325873073818,0.06456699088194416,0.04806131453044033,0.0355971673059671,0.7851046343651733,0.11488245183441986,0.026643484048943757,0.02727378630520008,0.05528681179564725,0.04241958781064573,0.11497345909723518,0.03097255410462943,0.0842655315199943,0.038470767435326354,0.12818188658723767,0.11979513489128589,0.0755888920004063,0.2884853054150168,0.10876211633067118,0.08464003562688033,0.023351939124765398,0.21995865551790453,0.02130211163945937,0.18004925185597295,0.029959674222897876,0.035133120619806654,0.0378876623959249,0.23482181856695483,0.6258295800555681,0.08585981115897962,0.04521186772360863,0.10683420004110278,0.050144267315356546,0.2428969268729965,0.3261881768675984,0.05500967262110979,0.07803195555751015,0.03921537940505465,0.022836929624875615,0.0876028922687212,0.14014551795560606,0.021915400187127895,0.2297088786190529,0.1985180701616792,0.06307794402704946,0.021672057738145477,0.48563626358618484,0.04777874293998123,0.02588390621567068,0.059413080314298705,0.06048706211048095,0.13017293859801804,0.21341690883424883,0.1886599699577255,0.0191750610020613,0.14450131983584702,0.037390455956902165,0.30814440377608904,0.024339771059988483,0.30465826866191226,0.645452091744006,0.08641145443301552,0.0878890168198939,0.018439600177143002,0.07469682223695877,0.019987697641749583,0.07341232716828433,0.03392164826362888,0.5292370992582042,0.02458780654533424,0.0639639720547484,0.11010161253764587,0.4766115419660497
AP2B1,0.033404995054242465,0.11848813538019685,0.022133910833379494,0.9072311437421205,0.9995081586639946,0.0,0.042666518926159844,0.025944998117840328,0.13808362362310658,0.11428992442111978,0.023438597928866878,0.41255496312851775,0.07788074448238669,0.028456108752889776,0.058191859011057515,0.06187108919619643,0.029046554817951452,0.04071807604051754,0.023502339437799183,0.12560118144295523,0.017993228753585434,0.03871921187665636,0.20020734722283182,0.14375308868706607,0.02275909560693605,0.23634420843126813,0.14225746463669714,0.04791641673334894,0.04614017209294368,0.04303415167817001,0.43650447638026646,0.018899114020119224,0.14844999435110706,0.04948672531474205,0.5669302800614521,0.27112632644922724,0.04981810001702536,0.020027364639131497,0.03610958228405882,0.10610342216594622,0.02903367480964568,0.05673159692729868,0.05059576234706517,0.022611142480135106,0.6391132280083973,0.019413217770866034,0.04958579273939662,0.03330058169036472,0.07530839210289382,0.02282695040386776,0.1987030490033695,0.05814439348697765,0.03623254248723645,0.23197692196811567,0.1228896554633375,0.223837713960305,0.0447273054542676,0.10182709219593324,0.2644885629251982,0.3661029507456671,0.058721160314830545,0.029504074487709756,0.04916820416589712,0.04550232232473903,0.1367000001269001,0.042285102432501054,0.7111579227654842,0.06426836110144607,0.061323241787737306,0.02082404956982011,0.06987039513449708,0.024290386804468593,0.03300392149289882,0.022162804325564636,0.023240532185781947,0.03296126644160868,0.031128699488542314,0.07042270704948404,0.3693194724179772,0.85200927341025
AP3B2,0.05095537934750879,0.08448512885867943,0.06597801461603395,0.04195773281028768,0.10939455761571411,0.03467652608355499,0.0,0.11485835135043714,0.033106955540660364,0.24037011106922562,0.06391588617862388,0.02305588054556347,0.052402821216447265,0.24221566949330256,0.14757351037892605,0.1313826045634344,0.30496838108047264,0.03560644705493571,0.06278099804932497,0.07562744883802607,0.18822440798718634,0.0827259954037376,0.9652913640481354,0.03836912360754338,0.252195323472959,0.15655356930114928,0.2887769231718745,0.019743512009013666,0.021249081791796336,0.06272471920264526,0.09988711045628358,0.0576356764439448,0.05966357805865405,0.026774557108634,0.02968059493237445,0.6913140649453808,0.026387772918983674,0.01862540482563701,0.13786345166139502,0.24239020762895697,0.02183601359676802,0.03641866463485902,0.06847644219373333,0.03782097175211105,0.04871019858447165,0.07612361795492965,0.09401527381553289,0.05698523634507438,0.020134284548268263,0.035036302918364105,0.09916717104342986,0.0865771683254445,0.6873977790039678,0.6967606346494756,0.26260408385866485,0.030006883916713547,0.029474974789135727,0.06404636330726952,0.02023410859727124,0.07557123558007574,0.0616231267649072,0.018957082583380302,0.018154529612834834,0.6312422820726122,0.02995555346192808,0.0571381767680595,0.23964799583634078,0.028212182717502945,0.018049029660190015,0.10506706656746899,0.06752043339235228,0.04490871067201494,0.06967132382066243,0.06038678604710525,0.033110369822396214,0.076365329195461,0.11180789264965382,0.03847218181454311,0.07991897037051733,0.0926511048059413
AP4B1,0.03277518857504634,0.2041990989854772,0.018453195507169066,0.07277040756968997,0.10670635416235447,0.02348551214876681,0.10717033530814604,0.0,0.37739776593286917,0.035966787176518224,0.04518919826664737,0.05259744106765358,0.020923288125247255,0.426234154546847,0.055099537865214786,0.16160561529119738,0.08947863936524926,0.034352743012499326,0.06678745462690419,0.46862238116737037,0.025697049676441854,0.025153261134461008,0.20966417235940432,0.024704758100258774,0.1616857813047843,0.08374755443054335,0.19026929660817998,0.052943565168469514,0.03542841396709595,0.0198053946015213,0.13752820528369283,0.06172896612861665,0.03906627811062725,0.04695478315452513,0.43342960560575156,0.06446317671905451,0.03782308645226883,0.1927686795423947,0.06199107893315364,0.0377372729250353,0.08181219200228851,0.07965299046223888,0.22610145979889207,0.04664740950769517,0.021320225847079124,0.06773065085975717,0.036165214876992674,0.034757433195981735,0.03870220639990014,0.7515331730103005,0.023159596449492822,0.035258309924996865,0.04506059211255721,0.01922112099967968,0.033670302600404135,0.04172283705208797,0.024977335117744026,0.04089422377078388,0.3215460069188104,0.11508564459377994,0.21098741431232212,0.04432924453565419,0.04471006770917906,0.7413461018118,0.035416740468263104,0.299016219638499,0.029557405178980416,0.09159010807177186,0.019217369336731963,0.031551243141082166,0.050211119878058354,0.03755487339847167,0.0316611220256127,0.041383926203397814,0.026134348599956198,0.36372608776562754,0.13353114269158606,0.020944579483034,0.036461730601825594,0.018489424869704955
AP4E1,0.17513262140808475,0.06381373530423165,0.019967570307501507,0.03192498650082191,0.04137099007127748,0.06375012826372403,0.02931510825229068,0.2522005238718081,0.0,0.05406660233043814,0.09388849632766352,0.02875385637190613,0.2611037341505971,0.02003128373188631,0.028687152472642457,0.19993166010984467,0.5139590724274082,0.03203022112248711,0.127681963785719,0.3204815709920713,0.029185074106027907,0.02107560692199827,0.06372638839283146,0.04458412191420761,0.02816581398440881,0.025106752668972845,0.46595450172336894,0.028359077256921644,0.0610017100914999,0.07946953464803183,0.0324871317902405,0.046114510563827885,0.02716226483353147,0.1483392733810805,0.08099272856252027,0.02928028386751492,0.037460632427891244,0.03357763456999884,0.032587392529845514,0.34629322039124155,0.07176302659666886,0.3920189844140809,0.036790443271626845,0.02213389560927287,0.11676810653671076,0.06189976614057019,0.041098553688490094,0.2618309553958306,0.02213053089262751,0.18113562397473304,0.11974843738411241,0.04307306616733379,0.04462060189654247,0.030937182810638727,0.03626933121959398,0.17030399913449595,0.10437263703857706,0.10284691276440529,0.027564938953600765,0.019964039712721666,0.03390861160465509,0.12237773711414093,0.023752797293188684,0.027748874871311283,0.12765074260446696,0.059680434277631304,0.16275527548489133,0.4682926575013956,0.05167301116844707,0.02254294711209105,0.3536361850477438,0.03482881531444763,0.04704533286916817,0.046920646944317024,0.027960917453148316,0.1017266626341868,0.04572551106095418,0.09039441824966707,0.3022003744578069,0.048781139514155906
AP4M1,0.08131803839754062,0.020682127880901544,0.20949239626560234,0.02508098083800592,0.04118601062464557,0.07858159918776246,0.26186654516518315,0.03807789416447148,0.0745302665386166,0.0,0.019845098016214858,0.05189303151449179,0.022456918691854375,0.0664139975724533,0.022382080205595904,0.019624478718018583,0.056977905304946605,0.10821900602304325,0.6756258653987696,0.018938319167806805,0.46040691778341547,0.048912606337905146,0.08977065300344116,0.18967387066007546,0.02648241846092232,0.03991832158112004,0.07592800697241948,0.01819236147292567,0.031019400460561508,0.11656421266160252,0.01865549704101358,0.15644543542096173,0.47226649539083454,0.07798376900880559,0.16471445215337183,0.22819421918400778,0.02741918097098428,0.04699736681816233,0.48558956189963765,0.1582314264426188,0.09286208935747539,0.02906299260160489,0.07350854788961753,0.08493679443439851,0.02110511542070481,0.09252945904225719,0.028584717685080863,0.019711916712820576,0.04237201995623901,0.04675088119055645,0.03682584918356646,0.09219250260137028,0.043920339440711414,0.02895291622547167,0.06130858409011979,0.05175827855590513,0.08928146673805387,0.02086167320819767,0.0431324309735679,0.1882347396751707,0.04208441435241069,0.05489515491168719,0.06472698913906699,0.08796919567012908,0.04625978898802665,0.09038416440038022,0.052312466160730646,0.1530696125008126,0.36176749976802236,0.08056407221715024,0.14983451559830901,0.021610945223586964,0.0964702452916741,0.04227426357318985,0.056259675045041806,0.018953987833191976,0.03553966882464649,0.03848584125332979,0.03788794573878766,0.047105785489846355
