ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,APP,LRP1,VPS35,COPE,GGA3,RAB1B,HSPA9,AP2A1,COPG2,PREB,SEC16A,APBA2,GGA1,BIN1,COPA,APOE,ADAM10,VPS29,ITPR2,EIF2S1,ARF6,IDE,ADAM17,COPZ1,SIGMAR1,AP4E1,SEC23A,GORASP1,SEC31A,VDAC1,OSBP,GGA2,AP4B1,ECE1,MAPK14,SORL1,SEC24C,SAR1B,ABCA7,PICALM,COPB2,SORT1,RAB1A,APBA1,PSEN1,CLU,RTN4,TMED2,AP3B2,PLG,SNX4,TMED10,MIA3,SYK,AP4S1,VPS26A,NCSTN,MFN2,RTN3,COPG1,TMED9,SEC13,HSPA5,MAPKAPK2,SEC23B,SREBF2,SEC24A,PLCG2,SAR1A,COPB1,VLDLR,AP1G1,BACE1,SEC24D,ITPR1,MAP2K3,AP2B1,SNX6,AP4M1,SEC24B
1,SEC13,APP,COPG2,COPE,COPZ1,BIN1,IDE,SEC31A,SEC24C,PLG,SIGMAR1,SYK,AP4B1,VDAC1,NCSTN,EIF2S1,COPA,PICALM,COPB1,VPS35,APOE,SORT1,GGA3,SEC23A,ARF6,AP4E1,HSPA9,RAB1B,GGA2,AP3B2,SORL1,ADAM10,PSEN1,OSBP,ITPR2,PREB,AP2A1,MFN2,ADAM17,APBA2,CLU,APBA1,RTN4,VLDLR,GGA1,GORASP1,TMED2,SAR1A,HSPA5,VPS29,LRP1,ECE1,SEC23B,MAPKAPK2,AP4S1,MIA3,SAR1B,SNX4,VPS26A,RAB1A,ABCA7,TMED10,SEC24D,SEC16A,MAPK14,SEC24A,TMED9,COPG1,AP2B1,SREBF2,AP1G1,RTN3,COPB2,SNX6,AP4M1,PLCG2,BACE1,MAP2K3,SEC24B,ITPR1
2,SORL1,APBA1,VPS29,PSEN1,APBA2,SYK,AP4B1,AP4E1,RAB1B,SEC23A,GGA2,ARF6,PLG,PREB,AP3B2,VDAC1,IDE,MAPK14,ADAM17,MAPKAPK2,SNX4,COPA,SIGMAR1,SEC16A,AP2A1,EIF2S1,BIN1,GGA3,SAR1A,VPS35,COPE,COPB1,COPZ1,ITPR2,SREBF2,GGA1,SEC24C,CLU,PICALM,TMED10,NCSTN,COPG2,AP1G1,SEC13,VLDLR,HSPA5,HSPA9,LRP1,RAB1A,APOE,ABCA7,OSBP,SEC31A,GORASP1,TMED2,SNX6,ADAM10,SEC23B,APP,SORT1,ECE1,COPG1,PLCG2,VPS26A,MIA3,SAR1B,AP4M1,AP4S1,MFN2,SEC24A,RTN4,BACE1,COPB2,SEC24D,AP2B1,RTN3,ITPR1,MAP2K3,SEC24B,TMED9
3,SEC24C,COPB1,ADAM17,GGA1,AP4B1,GORASP1,BIN1,VPS35,HSPA9,VPS29,SIGMAR1,SEC23A,ARF6,IDE,AP4E1,MAPKAPK2,PLG,AP2A1,SEC16A,COPZ1,SNX4,APBA1,MAPK14,VDAC1,EIF2S1,SYK,MFN2,GGA2,ITPR2,COPE,SORT1,COPA,RAB1B,OSBP,APBA2,MIA3,SEC31A,VLDLR,PSEN1,SORL1,AP3B2,APOE,PICALM,APP,SREBF2,RAB1A,SNX6,GGA3,NCSTN,CLU,SEC23B,AP2B1,RTN4,ABCA7,ECE1,HSPA5,COPG2,COPB2,SAR1B,RTN3,AP1G1,AP4S1,TMED9,PREB,VPS26A,TMED10,TMED2,LRP1,AP4M1,MAP2K3,SEC24A,BACE1,SAR1A,SEC13,ADAM10,PLCG2,SEC24B,COPG1,SEC24D,ITPR1
4,SYK,COPE,VPS35,ARF6,PLG,BIN1,PSEN1,SEC24C,VDAC1,GGA3,COPA,VPS29,APBA1,AP3B2,PREB,HSPA9,EIF2S1,SEC23B,SIGMAR1,APP,IDE,HSPA5,OSBP,VLDLR,GGA2,GGA1,PICALM,SORL1,SEC16A,ECE1,MAPK14,SEC23A,ITPR2,LRP1,SAR1A,TMED10,MAPKAPK2,RAB1A,MIA3,RAB1B,SREBF2,ADAM17,APOE,TMED9,SNX6,AP2A1,CLU,SEC31A,ADAM10,COPB1,APBA2,NCSTN,COPG2,AP1G1,RTN4,GORASP1,AP2B1,SAR1B,PLCG2,AP4S1,TMED2,AP4M1,COPG1,AP4E1,VPS26A,SNX4,COPB2,SEC13,MFN2,ABCA7,AP4B1,RTN3,ITPR1,SEC24A,COPZ1,SORT1,BACE1,SEC24B,SEC24D,MAP2K3
5,ARF6,PSEN1,SIGMAR1,GORASP1,BIN1,COPE,AP2A1,SORT1,APBA1,COPG2,SEC23A,MFN2,VPS35,PICALM,SYK,EIF2S1,SEC16A,IDE,COPZ1,RAB1B,GGA2,APBA2,ITPR2,AP4E1,MIA3,VDAC1,AP4B1,APOE,OSBP,PREB,AP4S1,GGA1,ADAM17,SAR1A,COPB1,MAPKAPK2,ADAM10,MAPK14,AP3B2,COPA,TMED2,SEC23B,SORL1,CLU,VPS26A,SNX4,LRP1,SEC31A,SEC13,APP,SEC24C,TMED9,AP2B1,PLG,HSPA5,TMED10,ECE1,COPG1,NCSTN,HSPA9,SREBF2,GGA3,SEC24A,AP4M1,SNX6,COPB2,AP1G1,VLDLR,VPS29,RAB1A,ABCA7,MAP2K3,SEC24B,BACE1,SEC24D,RTN4,SAR1B,RTN3,PLCG2,ITPR1
6,SEC16A,COPA,HSPA9,VDAC1,SEC31A,COPB1,AP4E1,COPG2,OSBP,COPE,AP2A1,SEC13,PSEN1,SORL1,PREB,EIF2S1,VPS35,SORT1,MAPKAPK2,BIN1,GGA2,VPS29,GGA3,SEC23A,ARF6,AP3B2,ADAM10,APBA2,APP,AP4B1,SEC23B,SEC24C,IDE,SYK,PICALM,PLG,RAB1A,SREBF2,GORASP1,ITPR2,LRP1,APOE,GGA1,SNX6,RAB1B,CLU,COPZ1,SIGMAR1,ECE1,APBA1,NCSTN,ADAM17,TMED9,TMED10,RTN4,VPS26A,MIA3,MFN2,AP1G1,TMED2,SAR1A,MAPK14,AP4S1,SAR1B,AP2B1,COPB2,SNX4,MAP2K3,ABCA7,BACE1,RTN3,SEC24B,PLCG2,ITPR1,AP4M1,SEC24A,HSPA5,COPG1,SEC24D,VLDLR
7,MAPKAPK2,SORL1,EIF2S1,AP4B1,APBA2,AP4E1,SREBF2,AP2A1,SEC31A,COPE,COPA,MAPK14,VPS35,TMED9,ITPR2,SYK,GGA1,PICALM,ADAM17,RAB1A,GORASP1,COPG2,APBA1,SEC24C,RAB1B,ARF6,SIGMAR1,PREB,APOE,SEC16A,ADAM10,TMED10,GGA3,AP3B2,BIN1,COPB2,VLDLR,GGA2,RTN4,OSBP,PLG,VDAC1,COPZ1,PSEN1,SEC13,COPB1,IDE,CLU,SORT1,HSPA9,LRP1,AP4S1,MFN2,SAR1A,SNX6,NCSTN,SAR1B,ECE1,SNX4,ABCA7,PLCG2,VPS29,SEC23B,HSPA5,AP2B1,APP,COPG1,MIA3,SEC23A,VPS26A,AP4M1,SEC24D,SEC24B,TMED2,MAP2K3,RTN3,SEC24A,BACE1,AP1G1,ITPR1
8,AP1G1,VPS35,SEC13,GGA3,PLG,APBA1,MAPKAPK2,ADAM10,PICALM,SORT1,EIF2S1,AP3B2,NCSTN,SYK,MAPK14,RAB1B,SEC16A,SEC31A,PREB,ARF6,APOE,AP4B1,COPE,COPB1,SIGMAR1,ADAM17,SEC23A,PSEN1,ITPR2,OSBP,COPG2,APBA2,COPZ1,AP4E1,BIN1,COPA,GORASP1,IDE,SORL1,VDAC1,LRP1,CLU,GGA1,SEC23B,APP,SNX6,RTN4,TMED2,AP2A1,GGA2,SAR1B,ECE1,SEC24C,SNX4,VPS26A,HSPA9,RAB1A,HSPA5,MIA3,SAR1A,COPB2,AP2B1,RTN3,MFN2,VLDLR,AP4S1,VPS29,AP4M1,SEC24D,TMED9,ABCA7,SREBF2,BACE1,COPG1,MAP2K3,PLCG2,SEC24B,ITPR1,TMED10,SEC24A
9,COPG2,GGA2,PREB,SEC16A,SEC23B,PLG,ITPR2,APBA1,APOE,COPE,ADAM10,EIF2S1,SEC23A,ARF6,SEC31A,AP4E1,SEC13,BIN1,AP4B1,TMED9,TMED10,RAB1B,COPZ1,MAPK14,SORT1,OSBP,COPA,AP1G1,SIGMAR1,GGA1,PICALM,APBA2,SEC24C,MAPKAPK2,ECE1,IDE,PSEN1,ADAM17,AP3B2,VDAC1,GGA3,SYK,COPB1,APP,VPS35,SORL1,LRP1,SAR1A,NCSTN,HSPA5,HSPA9,AP4S1,SNX6,GORASP1,SREBF2,AP2B1,CLU,RAB1A,VLDLR,AP4M1,ABCA7,RTN4,MAP2K3,VPS26A,COPB2,SAR1B,AP2A1,COPG1,MIA3,SEC24A,PLCG2,BACE1,SEC24D,ITPR1,SNX4,TMED2,SEC24B,MFN2,RTN3,VPS29
