,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.05479262409462993,0.019411471358779384,0.02049300122495793,0.023736279721361185,0.02363579961610595,0.02103096036796776,0.021793847761680262,0.031155559278985934,0.0341700909205272,0.02796659357144083,0.027377689900193566,0.028148626799970662,0.02001068507407305,0.02411784038201417,0.025719738526593122,0.020071833949346373,0.023571134520195054,0.020491274959110357,0.04283293874943435,0.031163489454317714,0.037728117214335256,0.03400396559217721,0.01956070632509399,0.038636360352033466,0.057251046515839725,0.029578329942256742,0.022067821594226468,0.018628514076721146,0.034251228336792436,0.03211408215202726,0.02148549345544648,0.07155870142051536,0.018072095722622365,0.03251453763293971,0.019907186615887557,0.02975678906877054,0.027474200727747998,0.02382150287172385,0.020796023892987046,0.023351307396420655,0.018572537417428366,0.028724114090973717,0.023826168971318513,0.04555946270171717,0.0216078742949622,0.02853948208786437,0.024579037073237428,0.08011215144281382,0.25427611953260737,0.02277214231983121,0.028900484157177973,0.01837684989079771,0.02364394345056006,0.04035717994193044,0.018530206083029133,0.042857889737733725,0.01911806760347126,0.02673693389242313,0.028120135889520757,0.02168301451823997,0.03648092649344804,0.02092991260640502,0.047297998565581395,0.04359660067910436,0.026703615461722896,0.024304408933925374,0.028746900750453785,0.06010932817319808,0.023336614689137888,0.03290687661346506,0.021396363134408004,0.02323055237807209,0.021500994683106938,0.019303901959567275,0.027834954513578085,0.029011411800191213,0.029521271432731703,0.021705803011060086,0.02525417078601958
ADAM10,0.050473859800442396,0.0,0.018667694373270687,0.06789430990318467,0.052044622656857886,0.019428545807153554,0.02400630304022628,0.02254795244878804,0.03563576299782182,0.023986691409132115,0.027668320832657217,0.03949918043136155,0.11803088708060806,0.020169997754417707,0.036395780383199676,0.030713014364689206,0.07868584995026856,0.5286066064902593,0.0425746699515924,0.039663537177685296,0.02208208587956517,0.019023310489769008,0.019362123941354732,0.029336659535687027,0.13198767348665952,0.05179815239951684,0.11048549140627506,0.018530911852540664,0.14568969741594323,0.04479975189590661,0.07875120668397126,0.10124411211942673,0.17863976564560458,0.03305129863570634,0.0382270176168543,0.024975730996544567,0.22623242793950968,0.027710911827206103,0.022070275473080943,0.02271113210746028,0.05501978457285414,0.08286390981413944,0.03332355682545001,0.02593556918046351,0.020829953062023992,0.3650366572521778,0.021013571842144595,0.04677314105593168,0.1534896321355245,0.05820710161306325,0.05263490333677662,0.01909754292261151,0.026583076274507365,0.04552390608837356,0.02294429923178392,0.10252625402962279,0.06741118128493814,0.04075666656573899,0.02872449551018211,0.03664704408568865,0.02432928745603971,0.07354391485022838,0.025452917711314693,0.019392273305041185,0.02359651136728868,0.0306070550750997,0.05436592735195569,0.08612109377901196,0.16100282524115017,0.05172213922080725,0.044886787304223935,0.018550976705720992,0.021417169878004644,0.019051924216346206,0.04557507583443996,0.019947897120645208,0.11952463822107759,0.037910666090451045,0.02009944905635029,0.08712791777901666
ADAM17,0.019389268889837014,0.01871292173795756,0.0,0.0257630049495296,0.03277445169227342,0.024771273783487143,0.027895525977062696,0.018515726370223612,0.12775912879479784,0.025221436148916702,0.062276906165641154,0.027280501920450183,0.02080224382480181,0.04499396965713976,0.03549095567818207,0.020469640285874783,0.030651952262204078,0.026177805530122666,0.03658439154401683,0.02765100528210518,0.02174060752594976,0.027299820378282803,0.019867252643946065,0.025829404117553037,0.06014965270132124,0.024147435070153205,0.03565329768661777,0.029322505737643955,0.20625726926473115,0.029156099180358525,0.022953356647566397,0.02223131285791948,0.06178476341151704,0.02272018826383135,0.058316628663517826,0.019655828768421372,0.03533876748148079,0.027330255736717754,0.0329936457642086,0.05326242774677173,0.06549800477850486,0.025886969568290234,0.019055099238628144,0.020276179833379697,0.03868983724881615,0.019687653002428595,0.019208817239681607,0.02365291178670542,0.02355813669035989,0.031046639580732522,0.03318377224689803,0.021600952548048325,0.02600018662533005,0.037333987813546556,0.02311688374543962,0.021150750802778517,0.03676112934639079,0.02333530457751622,0.03080703725075751,0.03556865617559167,0.02932417658183502,0.02154122506097568,0.03259200279118415,0.04407648440898249,0.042794761847826816,0.018515516462784723,0.1430429563328732,0.040566264968809135,0.10435301110737485,0.04715002488451726,0.03722062227508074,0.027842063301701976,0.027930581413853586,0.13228122948438628,0.02382482009170574,0.01829551052586399,0.02136075478714404,0.03621845380457806,0.01880671502715364,0.02096870260997514
AP1G1,0.02021648098333798,0.06520304520003328,0.024941005633960844,0.0,0.2417175884225267,0.07757240254981514,0.029984919754588127,0.03043195142598552,0.04281722415361711,0.01911291852493271,0.026673550851932442,0.036958369014945064,0.025715183994730186,0.039085082820893666,0.03525199520309127,0.02195081416838573,0.09230638702638518,0.18906558955251482,0.09192791080039542,0.06628234148391064,0.04067422900955342,0.03779840280840394,0.019302300252931552,0.0553717668178447,0.028852320421204638,0.0672594184188555,0.10173432258441695,0.03197678379918025,0.03786901200187183,0.03652117283637118,0.02566429409507001,0.02339427474702031,0.03389573017501666,0.07002148750045752,0.22361657726407727,0.029537072939330458,0.5157759699014633,0.0779506832533192,0.04620869662780235,0.03633472229745507,0.027212045944303376,0.02587642593081146,0.36036754446120317,0.030971924473637738,0.02269029468839245,0.026485367456242772,0.02501408746806423,0.047546200356993626,0.05616661416891359,0.25400994157889073,0.07060051074733811,0.7167029168679132,0.024647279040136617,0.019246361982712658,0.024090045814325032,0.02522008462555982,0.2031681785356513,0.026961422963832114,0.0680970727825817,0.035711746395097374,0.11360809529559791,0.028371863230220427,0.03349057914579388,0.43425988405158705,0.0679726043796877,0.03813472802295987,0.03285447599143061,0.022641403441488277,0.0462966189633311,0.01942850284490346,0.03875836573646802,0.02736867177778055,0.03613445642507564,0.018457166384997854,0.09353654847814948,0.049615477649267006,0.07220783010726256,0.025946559023634037,0.079788178832896,0.3070797107089842
AP2A1,0.02341069448894071,0.05354521098761863,0.032090101502049925,0.2748611138985111,0.0,0.1881526187663316,0.04195009069921984,0.035926201234593946,0.040026902152647724,0.01945970487260962,0.044123519821111526,0.028099311689360144,0.02964901641380226,0.06557750928952903,0.028235744209672092,0.025277913003631244,0.023458543729104085,0.08867973022515192,0.03578424920680229,0.019095692942616663,0.10097709686039803,0.03908186391065287,0.02568315995824087,0.045533189373825875,0.03567234794044838,0.030077364035500043,0.019933797351033077,0.02352005369233727,0.06840308771686798,0.1103298953101262,0.02573986857442584,0.031416150390075025,0.04576614350043156,0.030526240292400173,0.07271205898320081,0.018304380402329023,0.09931738363256387,0.04755304951681663,0.029131781588015042,0.028234354653859674,0.0187553928543067,0.03779106140540131,0.19851639258584985,0.02132801215525953,0.018536976540505026,0.019217222233579214,0.028213441444440063,0.04046771824723104,0.107950853304451,0.10877219134850079,0.04001215233910419,0.1297727698710973,0.029713916242918356,0.03149720403821774,0.033898648595746636,0.032887815208036505,0.06781189619987281,0.050572737158660466,0.13387117891215394,0.024644758214317768,0.04174913290100923,0.042933531657978516,0.020178727856944793,0.04672747601295531,0.024622821936870827,0.026036440628017993,0.025790168920723687,0.02177041903489043,0.12156163330558731,0.051554371365725646,0.04579992357446567,0.03518728319442941,0.018275691332867133,0.02792275403072912,0.0254490295840174,0.024002868352520322,0.030217372115527164,0.04536098408000055,0.01867295865373507,0.21193862359257637
AP2B1,0.023276768926288736,0.01945936940348714,0.024443158229222984,0.0836279690261201,0.18561146339934576,0.0,0.08729299220772378,0.027569829564013326,0.04954943711753724,0.02364128573308008,0.03557078552434744,0.04675951198568099,0.02299277873090387,0.05489232534275655,0.018247964462987508,0.033571466330842265,0.04512223014975244,0.040086600648558124,0.034399934246172395,0.018845180649973054,0.0481872806748998,0.03223887460806476,0.02563557823866895,0.020224341638847322,0.0247583939586593,0.01905291117528788,0.024985761504118277,0.019826872464893033,0.031817311107628234,0.07441656923713105,0.0272579540162532,0.03879130242832979,0.04058482710607668,0.05616089957586447,0.21814163192819416,0.023951538842291748,0.17729950629003216,0.02644890416935582,0.028650003841872017,0.0433027425450662,0.025716842981764132,0.019997725527518467,0.05232755115536003,0.022191085795236435,0.0842659063054835,0.04567402708313332,0.028664425440504748,0.06379485487707658,0.03591113153373024,0.07772708358514877,0.06932876712817039,0.08570283465870952,0.02559491048357178,0.021038247713058195,0.07694235284980883,0.03024916645642726,0.04991261216508245,0.05187065341368717,0.20489183407751294,0.018441113026387342,0.06936757610959808,0.14165182646992866,0.018036505139587156,0.08778055172040918,0.022358716629723056,0.020685124077854805,0.15401519865000307,0.039206376981179424,0.07919818723604895,0.023669846946616214,0.021642205717620724,0.026887347353819233,0.026782413695577958,0.10123367625211303,0.03248568530223985,0.03693906012573663,0.0320181004786608,0.152209475002213,0.04034081473428594,0.09597458932308722
AP3B2,0.02090784866525895,0.024288924475853197,0.027617753800336684,0.031138436305528247,0.042407306420192165,0.08992288412457446,0.0,0.01920925418727335,0.020296005762454,0.023056650217079925,0.0309345480742163,0.025140577534293333,0.12374558269457432,0.022466733682600094,0.025257413852199935,0.03805855872212297,0.03213516285627353,0.03779190293664479,0.035736580516302706,0.052395824256488775,0.02098539952713319,0.02096595545045375,0.01854608750282436,0.028012265158585924,0.05703050540855702,0.024938942704857726,0.017996579016921355,0.02039519159078464,0.17464417699749932,0.018222473245762535,0.035129192784256885,0.05354052887278521,0.03439952661068639,0.0857474752523491,0.020001404689999516,0.02305607709997815,0.029570918550763242,0.026373053617141592,0.02883929199349602,0.0770470777172708,0.10751790736565268,0.03889038481611159,0.04878691863951669,0.03298578702297481,0.20635425901139795,0.01862075832238071,0.025138820943220067,0.03224042182794159,0.09559869018894013,0.03131195425305481,0.03760343361765466,0.03459947858976446,0.024857083864201927,0.019358823055305334,0.04912856784901952,0.04768806455997082,0.03666604201358685,0.01890797830472645,0.03260547270586506,0.031196722628890124,0.09720951169258199,0.021744130902558233,0.028861132349659275,0.03267419149545284,0.025381525764292964,0.020709513382105024,0.024620808454900816,0.06106184885202682,0.01933207234129309,0.03497803375725532,0.026326046135546285,0.02397579014894401,0.019331322084329708,0.024698431168781895,0.06308440043432958,0.049433002661747265,0.022591329421745614,0.06513868876324402,0.056409596207855364,0.022424857421625966
AP4B1,0.021827793461757686,0.023010706659012364,0.018528348171499617,0.03249005971143047,0.03746021073330938,0.028379408978271736,0.019269342534429145,0.0,0.02509748054481348,0.020472265694636345,0.023375458672637305,0.022658693657773978,0.020261571179653378,0.023355924369527773,0.02375139496588072,0.019256745318350182,0.041220318865458995,0.02233422383635878,0.019651261642140986,0.02967270353180301,0.04078489519143785,0.024192772727917342,0.023724813401962946,0.034579299391674756,0.01979188669079078,0.01986218497770014,0.021977448472310757,0.018495916209230294,0.07223539037964774,0.020582846938761525,0.02036215150157041,0.022292864020957245,0.04697325510984301,0.020912680982389277,0.08321775830752486,0.024447576183360162,0.02479503120609903,0.04606338203692634,0.03284834621839359,0.02482578920509477,0.019852175522151395,0.01969770422702965,0.08425356674779343,0.0199090036737392,0.029166771160910453,0.032225733837015776,0.02068427234759692,0.028866049184752045,0.019412832577518652,0.12624079540268004,0.03298723132946843,0.04108775616203112,0.025543299986593007,0.01834341364938386,0.030837768898453397,0.021028647000518996,0.057897118995480085,0.024345760745542136,0.025548140461087505,0.022866124290833505,0.036870866830511904,0.018187384428967224,0.02383801007813786,0.04432223952473709,0.04527621109960106,0.018805204559223916,0.022764227773448754,0.02661619685283479,0.029384535558259144,0.02086297080690196,0.028748934483858936,0.021476026400798678,0.025801231781089652,0.018937028810283037,0.03728682021452386,0.019896056944462517,0.022081121975272514,0.032163993633210736,0.018336260924758378,0.0314032877180595
AP4E1,0.02939835206049162,0.03483239439305075,0.10777125560904204,0.04273090760951592,0.03819133332165186,0.04699591415327821,0.02012176473319104,0.024168792501424168,0.0,0.044597774770579024,0.0432483291969759,0.019509434905362014,0.021466529048939073,0.026589266038418397,0.04613289139201655,0.020590956267871576,0.03347290248828102,0.11974422260964827,0.05164682038020141,0.046943674599847454,0.027593213805693236,0.038580242914172835,0.0669787102485541,0.027391733606821574,0.020539913211746228,0.05142367082093241,0.030640835278917016,0.055496372022023545,0.3838863472684902,0.038516133649266704,0.030003284741130416,0.08696582379323632,0.20741904490703025,0.06400686575787355,0.06180515685134339,0.037182271400336184,0.05276671288476095,0.07713263328041599,0.022400825537366182,0.036699103827378045,0.05545130877886792,0.052240005534142854,0.023860856596049796,0.046278373130661514,0.16007601678556496,0.026826164466226408,0.06709286743721295,0.02329345995869883,0.24796004229638124,0.03827135473247255,0.03935037654276999,0.02921839648442114,0.032405715809314214,0.24787131939457557,0.023860960149389394,0.020257652434156784,0.05678861842519276,0.036158341347250635,0.018962295932001907,0.07448067503687528,0.028492213010542458,0.021095028736706094,0.021076153633902393,0.035138026297821666,0.04234649243406758,0.01981081519109868,0.4199106398724169,0.044303877341572116,0.039677667031030144,0.07897361213385616,0.13581288249057336,0.07828045913776843,0.02434512135795022,0.2626193639582497,0.029871340323361778,0.11070409079554919,0.0264608596852267,0.03486945308063049,0.0193825616591863,0.058309799199438836
AP4M1,0.034302353864221355,0.02459926585465437,0.02540397813094042,0.01925637774554416,0.019550176274833082,0.024070189706028422,0.0233172311782232,0.02046689531090756,0.04989058316740392,0.0,0.028069916155392,0.024452565790523538,0.05848296342304773,0.019494752226378753,0.01893921746278086,0.01867242376999019,0.024290546221742534,0.026092856680012072,0.03569710705758776,0.071039115059336,0.027377670726652068,0.05927840705428292,0.02664222686169287,0.018700447556627454,0.022659882688600717,0.029428497352796838,0.023984187097294628,0.035894727592612245,0.06911581854180729,0.05725512648544046,0.02440690026237001,0.019714876857527805,0.1095648873353919,0.020315484764499615,0.04068046925565333,0.021711609005025074,0.019716651373717187,0.044684149002894254,0.01829330728054594,0.018886709638569733,0.0185088823233353,0.018082293119427696,0.03344661785890585,0.027186352768071482,0.03322789277804257,0.027952800319749133,0.030842951108124145,0.02588965953220048,0.03532985556701156,0.0811011299767538,0.029185001111972943,0.02538919187032301,0.021638764104108494,0.01823956013036317,0.05465625908078985,0.0215073929270074,0.04561718974333462,0.03637522928185808,0.018387835887226745,0.03281653687294149,0.03682035072353226,0.0278665578679592,0.03165152304907665,0.023244547173758866,0.027329534737616335,0.024420391417778714,0.03296955957243338,0.02448315168565911,0.062314468799155955,0.03171424500722404,0.024767518302366974,0.018129489060407605,0.024001043226695443,0.041728127051715594,0.020882922404227372,0.025376063372132843,0.028614216986052366,0.0236396919507824,0.019157549175962636,0.032119978580934544
