,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.02663731285472947,-0.0019136047611839544,0.002979162842840616,0.0067281686641996975,0.006581312349089863,-0.0038374714143594667,0.004937458809039941,0.012575562139581232,0.016559079702395566,-0.010787306869101735,-0.010310015815102916,-0.010094249642932623,0.002591802055322514,-0.0074181967191529145,0.009247621463606914,0.002550924205404362,0.006031513120943499,-0.003026317368977908,-0.020416401488591796,-0.013365811556122584,-0.017915290193257456,0.01566548853664866,-0.0020820048254607116,0.018284509814607792,-0.0273620694220109,-0.011906167340304443,-0.0051337611455379364,0.0007344302289455515,0.01530231733437906,-0.014625677380086115,0.0044139551529720315,-0.031451015476210015,0.00010839760443694307,-0.009753031987377501,0.0025691382115277266,0.009987974652865547,0.01028887882644938,0.006998275086713916,-0.0035165133510481005,-0.006301486240255556,0.0007937287513258541,-0.01012409631620075,-0.007258180156222818,-0.02167269166862061,0.004298489280863594,0.011779239468357836,0.007356076986017248,-0.033960376018136826,-0.058611521059419594,-0.005817897775486199,0.010746647241527775,0.0005550151459664792,0.00675558257963748,-0.019710919543351996,-0.0007206089487512158,-0.0201801903897212,-0.0015117964299910867,0.009463041331003166,-0.010503584664286417,0.004129677897462846,0.01682849842375842,0.0037742854394285635,-0.016853550999126405,-0.021810808577690858,-0.01008828451488825,-0.006707920739754365,-0.011181286432080172,0.026595946627968534,0.0063340566699178905,-0.015157488656308142,0.00439575356720332,-0.006407681980536526,-0.0042171795366622465,0.0016596971391274061,0.010780989179843955,-0.011834890933239143,0.011952413426514477,0.004476356548293355,0.007917459822278433
ADAM10,0.02880378098150133,0.0,-0.0010087308027949332,0.033429420707494197,0.028195078980278208,0.0020056147012694307,-0.0076713487536870925,-0.00628709803136479,0.016956151408141985,0.007996705081244835,-0.01137978832350016,-0.02098334514170712,-0.04736702796667717,-0.0030111975375459806,-0.01937773615839047,0.01499377510602804,-0.03797446639491175,0.09718707550041121,-0.021833380925346552,-0.020095395094838212,-0.00537258764667042,0.0014537747347466668,0.0019476392797031347,-0.01318492154292615,0.053250843907523916,-0.0269744549809663,-0.04838792159811069,0.0008084261674601982,0.049574915320493185,-0.023544631980690938,-0.041004955812639084,0.04781108889319725,-0.05856056491084292,-0.015074969105955219,0.013461358898161656,-0.00900954701120646,0.058039601764449354,-0.011352194939076833,0.005506453170977586,0.006115832520561228,-0.02956780110165457,-0.0419199946049291,-0.014449658520088742,-0.010226312003779797,-0.0036621665920058325,0.08559748083314328,0.0042768869852077476,0.02457074060784377,-0.05399429114088067,-0.02636136223090589,-0.028989426140196256,-0.00146235360358142,0.010954897236728225,0.025033902778951872,0.006372762425822931,0.0469964298615991,0.03351189531822045,-0.022122315552938948,0.01209421589981405,-0.01815536709497237,0.007225509537484962,-0.036748249983439195,0.009369263397157638,-0.0014018156836936317,0.007170686946025104,-0.01470017818552201,-0.026981931041499253,0.04126578795372941,0.05403159016147158,0.02811075451741888,-0.02493559942935039,0.0008452656297906875,0.004723793453612181,-0.001468851114018645,-0.023870750700466698,-0.0027533608930368648,-0.05238127380618361,-0.019517810507043307,-0.0028583131180362365,0.04075090302388435
ADAM17,-0.0019427816906718931,-0.0009470828084430388,0.0,0.008350382134026592,0.01483521538198767,-0.007833548050010655,-0.010967745874936926,-0.0007562190512995601,0.04715721094393395,0.008822068312428455,-0.03123725169251374,-0.010378159453485561,-0.0033168126115834928,-0.022865998144378657,-0.017537061268414787,0.0033867889118216234,-0.01264530446246844,-0.00850886164797191,-0.01685052002693616,-0.01020798336974906,0.004660302338914537,0.010199472030080108,0.0024681079169020063,0.00914305985672412,0.029554089879655965,0.006972746070468411,0.016670138765553687,-0.012497112996428318,-0.05533149848119789,-0.011625497790797508,0.006220800895966531,-0.005343350167419597,-0.028434582304535744,-0.00540999587537533,0.019872713234126215,0.0022814109827607293,-0.01363554360424343,0.010315564138364455,0.015404016054812302,-0.027066498303725754,0.03221288777213597,-0.009179248681495762,0.001261802783241249,-0.0031353510139576646,-0.018084093769788284,-0.0021481280132351213,-0.0016960431210090352,-0.00654691181154935,-0.006093392111604406,0.011381313346664944,-0.015404395728328671,-0.004198958552932388,-0.00969911869120089,0.01842344830000463,-0.0061679606209803515,-0.003984432325056057,0.016825513371796583,0.006561399305694709,-0.013064706176150779,0.01632316222860517,-0.011002262227189556,-0.004328689806119808,0.015107748330899768,-0.01584216038511394,0.021672187886012793,-0.0007487594468733313,-0.048938319155311265,0.01978738960846741,-0.03995436093293431,0.02403799399854385,-0.01856009157573169,0.011265149120541518,-0.01121417271608757,-0.049828376646990226,0.006714455294022397,-0.00042543504506805903,0.004306307978463179,-0.01719072334223411,-0.0010769587778143286,-0.003626469706250326
AP1G1,0.0033258510395121287,0.03451265050685666,0.009182123768714533,0.0,0.07574756815442721,0.04014888980743475,-0.014058030340125621,0.0151552122117091,0.02227094886999813,-0.0017382808794370013,0.010744896205597692,-0.019811736171989464,-0.008984194844460575,-0.021232741668512786,-0.019090262072069968,-0.005739823787999524,-0.04364945245452434,0.0620349833348566,-0.043446635672833495,-0.034564881008201126,0.022239709309284143,0.02005093839346349,0.0019262803960939732,0.031615195350111765,-0.012564461934763875,0.03492395569536161,-0.047546820166630206,0.01619697554171625,0.017547994255787437,-0.018802772607257184,0.009984472863386459,0.007293452034268025,-0.015882104520992153,0.0352629963541447,0.04942374210749816,-0.014082825242957519,-0.08788375437017307,0.04053966270907435,-0.026484566509516704,-0.01914917903891255,-0.011177865632194112,-0.0100822090692452,-0.08082231761132141,-0.01571181325032659,0.005989597786404215,0.010145758690993928,-0.00937963356728152,-0.025809773293276658,-0.028652907386963532,-0.06540078046305603,0.03836519128096938,0.12179816303345088,-0.00911294782505558,0.0018633134951131145,-0.007900339953564768,-0.009155773500501306,0.0663654019859407,-0.011236262379345456,0.03605855767251552,-0.018055797207582637,0.04703670640589872,-0.012066488509664396,-0.017379243601997354,0.0704826619971044,0.03689845207238917,-0.021522087539885684,-0.015043410921302115,0.006110025281063717,-0.023144762249491566,0.0020905284254894296,-0.021558438892202467,-0.011898528243877264,-0.019615478000304488,-0.000680725748964241,0.04446117615002488,-0.02821718231683401,-0.03905909207852319,0.009851834120012247,-0.04051547350875482,0.08120243965431859
AP2A1,0.007081797812240109,0.02744485119456356,0.015380439659944902,0.07141785409524859,0.0,0.06303045031589924,-0.0220724536084449,0.018842597943757065,0.01934482684445388,-0.002124320821261018,-0.023239626953975308,0.011527637930103172,-0.011864534056353945,-0.033705016512049664,-0.012026446415436026,0.009260218429264128,0.006511358214754822,0.03839950779691532,-0.016920081281625872,0.001467093792911901,0.045305908786931595,0.01976519908453284,0.009189371534723604,0.02452975490781738,0.017215371847654256,0.012651724085505207,-0.0025785894916947934,-0.007092377420779553,-0.03003070247282836,-0.046617736301639665,-0.009491954158336233,0.014641368426352431,-0.022176002615544657,-0.012743359268053178,-0.02459483974565373,-0.00046690903102368254,-0.03660931127933944,0.02506076984145113,-0.012672175543149259,-0.011538094256901084,0.0010616135707586076,-0.01950406880486924,-0.05792441745727364,-0.004624732563468146,0.0007316577206824934,-0.0016307925644596794,-0.01208804205292634,-0.020242542341008373,-0.043287416451893185,-0.040015758633754936,0.020909041304279563,0.0488650501614206,-0.013721573790104113,0.014618188763389604,0.016226624236959343,0.01546379485490523,0.03277123228012688,-0.02731912915877467,0.05240369647122375,0.007779691201684426,0.01975266145431579,0.021849369549439144,0.003013591524443041,-0.01751282458046256,0.008078309214698305,-0.009935675307419007,0.00845784459542308,-0.004776998239365704,-0.04527442898709105,0.02727686833823159,-0.02481547766573259,0.01799440825646178,0.00041985619567506683,0.010970509196459881,-0.008600744851824695,-0.007485563341899125,-0.0135252770257233,0.02364052975967261,-0.0009378251154785452,0.06455913646001023
AP2B1,0.006973170564955762,0.0019651974922216724,-0.008175315803661803,0.03810507097512225,0.0634485266773797,0.0,-0.04213557803323643,0.01166746141053934,-0.02476103685062274,-0.0074395866262409556,-0.01771527394660342,0.025042713253054266,-0.00585027667492701,-0.02914910648828574,0.00038602314040968885,0.01715601317228797,0.02290539614114939,0.01907553906357438,0.01604615756587275,0.0011508673015423177,0.025567736735872943,0.014918752233387917,0.00920197123820095,0.003084034881534905,0.008048632260384455,-0.0014197901985157347,0.008318730144262328,0.002588575344213456,-0.012727302390140131,-0.03629405729284479,-0.011090106195011096,0.02037398473161063,0.01941128792019228,-0.027895388612835387,-0.04636613102761029,0.0076983912318983,-0.05060790078303966,0.009918221734202336,-0.012312477097237382,-0.022773132101351082,0.009154661518767941,-0.002781262435450801,-0.02470596446160058,-0.005741468740084755,0.03869766738400328,-0.0233753756942587,-0.012599373709923384,-0.032098253788584864,-0.016382125476423117,-0.03241689475237266,0.035911877007382416,0.038298269132083014,-0.009688944399311195,-0.0040968743307614975,0.038074311622147756,0.013393916867622445,0.025203498339056968,-0.028188350527136734,0.06539371480293654,0.0006191913510519478,0.03220498168432778,0.05397688324422512,7.356712874856375e-05,-0.029708284501785538,-0.005628424720500702,-0.0037708360958613155,0.05307944899710634,-0.019774057106961375,-0.03485718050629264,-0.0070776874227074,0.004894584900787374,0.010813174656528349,0.010581751905803356,0.044575117501135,0.014793377505155601,0.018898596863976085,0.015145820525425093,0.05698026342209466,0.02054719341580575,0.04250440436208103
AP3B2,-0.003987390942339986,-0.0073715073546117855,-0.011225075861903733,-0.013084574060260047,-0.02178951802462416,-0.0413213817376509,0.0,-0.001755437513195999,-0.002859343439128516,-0.006625768068517918,0.013787943436279131,-0.008530448590162686,0.04674650484013516,0.005622760079069631,-0.008925817254763211,-0.02024432604257447,0.014098223409712857,-0.017314811902513827,-0.01667049328509285,0.026237971535886986,0.003878720076263931,0.003823605133811028,-0.000777945263921825,0.011466538690643922,-0.02888001778948757,0.007920593592028607,1.425579333564063e-05,-0.0032757932407499403,0.0522436710027584,0.00031979580163847896,0.01757204316763427,-0.02852134582056853,0.015129723069613313,0.037921124492470114,0.0018073296930836487,0.0065425640096036875,0.010248176855767581,-0.009653796341366887,0.012246379853989806,0.037442898578406554,-0.04627512133633437,0.020006650095095703,-0.022608444882708547,0.016333040190747113,-0.06236914078645711,0.0008428930051388463,0.008862300837439526,0.014333062432638174,-0.03967114433355052,0.011831280306882753,-0.01901953897120039,-0.015442028606914552,0.008710954102831476,0.0018836079630957737,-0.02555320620453341,-0.02481293085809094,-0.01715721381703491,-0.0012863020373225446,-0.014792436437875632,0.013467800569410578,-0.03985939531684213,-0.004660991761603637,-0.012280186135597617,0.01074866947041678,-0.008748398484199041,-0.003729183854308152,0.007270499537613718,-0.030673949031141973,-0.0016251132871878697,0.016896014275728545,-0.009903681234192547,0.0075712087382466394,0.0018731917930711235,0.007797232850961035,-0.031163195206159233,-0.026166067561461937,-0.005846429809037109,-0.0327085696306608,-0.0286916019182488,0.005339466041306211
AP4B1,0.0048976819941755866,-0.005767375672155913,-0.0007388613561454139,0.013466060716093152,0.01775747555696057,0.01092309435861421,-0.001675825551083883,0.0,0.007544315164498714,0.0032933170903298573,0.006339970898526589,0.005609470109990305,0.00265325278418177,0.006307102491607876,0.0069731859302894425,0.001745260622214825,0.01930548423908852,-0.004787542151353038,-0.0020374449662974585,0.011620592072681986,0.0198276264287105,-0.007069753123298671,0.006725906886037485,0.016196209931349348,-0.0022504651617469037,-0.0022898205371040168,0.0047417141350945494,-0.0006945991131381147,-0.029496376368635172,0.0031583914090685086,-0.0030885722982046115,-0.005288978186842804,-0.021491590649991014,-0.0034074631363344137,-0.025511015104637078,-0.007724820925060854,0.006303692316430334,0.022831161433398663,-0.014940032654209602,0.007759283321960285,0.002359568386252061,-0.0022322116162301537,-0.033831508367015636,0.0025957778471122415,-0.011106540461251332,-0.01361918149486832,-0.0035244235856840317,0.01107478388109695,0.0016805365194173573,-0.04106618047644279,0.014903585883838204,0.018664109306337398,-0.009018692525767896,0.0004805856266212565,-0.012991690269706308,-0.0037536827543008465,-0.027107463187703195,-0.007458071317808401,0.008305423244017823,-0.005583309896134086,0.015836834105990925,0.0002603876211377096,-0.006967035910520372,-0.01557605958265363,-0.022573781007903148,0.0011233187423149065,-0.00520315797267745,-0.009260909108001212,-0.010602837885141323,0.0035754608783514935,-0.011652196772352295,0.004453846416094194,-0.008973967412714525,-0.0012057666375154508,-0.01711311746240972,-0.002462201256878058,-0.005020784261292895,0.01392351537142452,0.0004545606275827342,0.01293184843249844
AP4E1,0.014072215855582366,0.017547016243398217,0.05197702676489594,0.022323652339165202,0.020566163021840313,-0.026150868798597734,-0.003079340671866748,0.008510749461136374,0.0,0.02633137793232513,-0.024146911893895003,-0.0022241459349635747,-0.00444729591762448,-0.010662140021087917,-0.026902781003966956,0.0039037248790827557,-0.016259229998340917,-0.04901261631190529,-0.027757172438488263,-0.02529993593195564,0.011627242847275817,-0.020659065981640738,-0.03665123097317791,0.011721132804286036,-0.003524530432365154,-0.02771899126048933,-0.014275010298354119,-0.03208933436581381,-0.08109563698213859,0.020279137761869893,-0.014433637258979734,-0.044907241489244056,-0.06513297669274103,-0.03293961385303968,0.023015227454063956,-0.020733918173777843,0.024116297127896598,0.040331744298435473,-0.0061132819828761155,-0.019469818412887318,0.03081691747746963,-0.02994757221253079,-0.006824784993263369,-0.02755861115252231,-0.05930350862754222,0.010507375228531917,0.038157106382883985,0.006811432453396877,-0.07045019193026619,-0.017405061807582937,-0.02175963846270145,0.012304771159016601,-0.017127799565313056,0.07822701735925328,-0.00765925635985078,0.0032212131670439435,-0.030061910046544644,0.019506213302723067,-0.0014064032839038237,0.03804795326992575,-0.011408545676498932,0.004216517907654297,-0.004417801792675507,0.012998844147184208,0.023592848596661758,0.002751130133965265,-0.08975215437522785,-0.024209234016167532,0.01936283833167157,0.04115008163337633,-0.058862068967390636,0.0426094002224262,-0.008487985515051404,-0.07691337493635493,0.013391322746609797,-0.0517494500079572,-0.010682098478742465,-0.017910162311336884,0.0019901538158312933,0.031117474991302966
AP4M1,0.016459074645027626,0.007350573243784684,0.008637098563821676,-0.0015476780393556043,-0.0020060542373543278,-0.0069791131273229156,-0.00633813934965832,0.003300013136806151,0.023388788367105114,0.0,-0.010812234387261142,-0.007481610640226114,-0.026736194535996974,-0.0019447595226144195,0.0012944936697074328,0.0009590429854931459,-0.006958328041458997,-0.008257993962504795,-0.01592088518748123,-0.03246525588373588,-0.010137643756857275,-0.02890836907453536,0.009575030730749026,0.0009599125756622915,0.005452434382514379,-0.011437348833395271,-0.006829376291768094,-0.017346372596422365,-0.028586151200213364,0.027590679021527023,-0.007629064093681975,-0.002262814783426153,-0.041437612604224384,-0.0027573846053912357,-0.013407957018016208,0.0047412504996049674,0.0018029612446845383,0.02212608214283537,-0.0004179933030028616,-0.0011752441076014308,0.0006856854134850947,-0.00013099887896175566,0.013362221834481939,-0.010615669184612857,-0.014155015491449515,-0.01029880774807521,0.013690320819980444,-0.008533089825492831,-0.015001808096331275,-0.03133008251009031,-0.011898890246582514,0.0077519456208767655,-0.004754461285913564,-0.00034250875507967716,-0.027094490791252798,-0.00430410147318098,-0.021523121265113934,0.017476309212939693,-0.000521884037551184,-0.014077121541469563,-0.01583839359393164,0.010317494229120459,0.014056777513573133,-0.004398653190757914,-0.010174356264706466,-0.00775138265996063,-0.013472294200550895,-0.007294684142322473,0.027246683376012226,0.013763140292426573,-0.00795046427450254,-0.00019935686810580982,-0.007183780982152408,-0.019937482804413893,0.0034869100230055,0.00843697173144071,-0.011422212919649505,-0.006535732675333569,-0.0014915049605316226,-0.013486979384127615
