source,target,A,B_coef
HSPA9,IDE,0.9887199726914347,0.21183443706555685
ECE1,IDE,0.919606777930385,-0.1609254073341887
VPS29,SEC24D,0.8888318674718687,-0.1519716082353308
RAB1B,SEC24D,0.8803031947630854,0.14988261162944977
APOE,IDE,0.8396359057474985,0.14138803833134134
SEC31A,IDE,0.811446996759246,0.13648599795028865
MIA3,SEC24D,0.7727733431534198,-0.13060094452049592
COPZ1,ITPR2,0.7512409745560791,-0.1276310453325767
AP1G1,RAB1B,0.7167029168679132,0.1232041325526577
PSEN1,MIA3,0.696011648158706,0.12070942529234965
SEC24A,MIA3,0.6885070916403349,-0.11982872615947766
VDAC1,SEC24D,0.6681724341968404,-0.11749827053424473
PLG,SEC24D,0.6681536700231723,-0.11749615479444454
SEC23B,SEC24D,0.5900312380700057,0.10910236287496197
SORL1,MIA3,0.5463307861901353,0.10464640748190653
ADAM10,BIN1,0.5286066064902593,0.10286378810986584
ECE1,SORL1,0.5211660170588802,-0.1021178673845628
APBA1,SEC24D,0.5188945731500684,-0.1018903574804177
AP1G1,ITPR2,0.5157759699014633,-0.10157812081543538
RAB1B,PSEN1,0.5089772118496452,-0.10089781766715832
SEC13,SEC24D,0.49983623713859243,0.09998362371327367
MAPKAPK2,GGA1,0.4790166887785095,-0.09790043571604523
IDE,HSPA5,0.47296659673743285,0.0972940208915041
IDE,VPS29,0.47160859960280066,0.09715780264322897
AP1G1,SEC24D,0.43425988405158705,0.09338770881019211
OSBP,PREB,0.43177307760278477,0.09313448291767816
MFN2,SEC24D,0.4267604486636386,-0.092622978778471
ITPR2,SEC24D,0.42344923365687,0.09228425595503716
MAPK14,SEC24D,0.40371059829047,0.09024930394625905
SORL1,APBA2,0.38085384231247027,-0.08785185804234398
AP1G1,MIA3,0.36036754446120317,-0.0856557686074604
RAB1B,MIA3,0.35700376162377956,-0.08529018610949127
SEC13,BIN1,0.3176633601937505,0.08088672658735221
SEC31A,SEC13,0.31361810516162986,0.08041854623159042
SEC24A,SORT1,0.30918914695423705,-0.07990217896762548
SNX6,SEC24B,0.3078720908268076,-0.07974784072027757
BIN1,GORASP1,0.29624507960204816,0.078368922806481
SEC24A,RAB1A,0.28817671776036896,0.07739360534472922
VPS35,PREB,0.2813906080960038,-0.07656064560421873
CLU,COPA,0.2464340745218909,0.07205695012436936
AP1G1,AP2A1,0.2417175884225267,0.07141785409524859
PLG,PICALM,0.23886435293685476,0.07102710598641132
SORL1,COPA,0.22447045933429952,-0.06900495099909942
PREB,SEC24B,0.21709204274448116,-0.06793265715098783
IDE,SEC13,0.20298648040892595,0.06580669340265892
SORL1,COPB2,0.20251487759402642,-0.06573375435633233
APOE,CLU,0.20100387709860065,0.06549920259012768
IDE,SEC23B,0.20006264299736898,0.06535242779094975
HSPA5,AP4E1,0.19866152402501813,-0.06513297669274103
ITPR2,SEC24B,0.19581175726994554,-0.06468301002786489
CLU,SEC23B,0.19565966490443176,0.06465885661040424
GGA1,PICALM,0.17351540612670208,0.060977127866961016
VPS35,SEC23A,0.1730597203966238,0.060897606510349006
HSPA5,SAR1A,0.17246297708919625,0.06079321852345205
SORL1,ITPR2,0.16680160464009564,0.0597883331628531
COPZ1,BACE1,0.16464940502116746,-0.05939917210659584
