,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.09885276883683958,0.040920068224503996,0.040579165283004835,0.03168045609222204,0.029468569922262145,0.1596079355891872,0.157733959278287,0.03064102345740454,0.09441114358404538,0.047635221991976465,0.14409491383189976,0.16955732330401663,0.4838755756054728,0.03858620401687163,0.10180746059149559,0.05162510659725933,0.02110444064422409,0.021774712533800606,0.16489055709581912,0.21863645394104667,0.021505423573365837,0.07077138795086664,0.12479160833184548,0.022437447341586193,0.3519563982917648,0.0186666964807012,0.03574972076889418,0.025208668387326386,0.3908162327525748,0.030976576562349718,0.24327390039692706,0.023426641011408147,0.0705482973203498,0.018874825916566945,0.13818815358443304,0.04273389092485845,0.24814454621342555,0.052429991091254693,0.47448828585352704,0.04064246033583716,0.028408713166379475,0.04388310120049169,0.16786373286903955,0.02326326253347199,0.04559065737813181,0.09164333191684707,0.030986764468643384,0.8669402469708526,0.10227289119181385,0.03288566919833827,0.044751738082198025,0.1524727791783931,0.29344651485680884,0.09166129241801108,0.022726540122731925,0.08366832079060144,0.14235993949963427,0.13854535268816082,0.07959802096819761,0.04914251131736859,0.03454543823426137,0.027007316136962663,0.4261477008515183,0.020070153379629772,0.03987151614181088,0.021722536006803336,0.03748239280869478,0.42430361230642033,0.021517809258673967,0.027117596015629145,0.03624709451080428,0.083944418505381,0.15214011399959113,0.058865197704447106,0.2403221238397345,0.12924730667959158,0.5475116303905361,0.04707516916869617,0.03200732839147735
ADAM10,0.11405103552324927,0.0,0.03493942574610879,0.052862718976724295,0.09486993707112941,0.22415806822708487,0.22507993971796342,0.09117140672574679,0.037346039690344,0.03181097977661003,0.569945220104587,0.08871953676023134,0.2731319071817572,0.16118263511173814,0.018493065254824567,0.19969638424658145,0.11809646226494144,0.8084414748930159,0.026067760172973697,0.032170587642923826,0.11671698354885693,0.055000355583493706,0.021991755579725214,0.024112108646573063,0.06203874694293115,0.06884039294886438,0.0203016701480428,0.02694406659937764,0.1333623775497085,0.050699229170566275,0.4067363673763275,0.12771814074519125,0.1169447223230907,0.0309703101141937,0.36850803997680215,0.07642605777512025,0.022791538162018014,0.255792230781018,0.0319079379056531,0.03491021627644768,0.03512871892928554,0.058234900404000166,0.032675251285816324,0.08114552607619564,0.0992897670433536,0.07813424519416895,0.20781908985571312,0.02514102006743433,0.05151938670213777,0.20961842008489426,0.20146402181403394,0.16725605101843316,0.14876896897992725,0.04643353843003956,0.023573984057789203,0.36897783489740504,0.018178256299098017,0.1695412749727041,0.021830416111416943,0.14415017524666668,0.042182351003475956,0.4781532223331563,0.11552966937959348,0.04029122723910743,0.0684918466758543,0.025126299137940004,0.02679347129686678,0.4006052928557292,0.030859967969056094,0.3704566599219688,0.021469830991362775,0.028935949592597526,0.06777376795673672,0.019008923659884786,0.02772846612330951,0.3830112775574801,0.1582176098650288,0.04234132597868269,0.21807105553394346,0.12902643614227813
ADAM17,0.03807526963572552,0.031371415575910146,0.0,0.1045350233034893,0.04337165346806655,0.03152178030374797,0.5410271218221978,0.1957991969643396,0.2307683372557307,0.0204031139249002,0.027534282384718705,0.11447350901221301,0.18279824135059755,0.344830059284099,0.018237198498296282,0.10680021756049463,0.45592517877971445,0.03216348291249482,0.1020686912761322,0.06873171929933926,0.03969477400941814,0.3698825947123326,0.22060993984082014,0.021320364780675883,0.053722696528334266,0.34445353447612626,0.03127674005815235,0.0861400133749839,0.12142763351174529,0.1948009532821832,0.024024938708309046,0.1310929693070286,0.021937900470599604,0.1238813211784019,0.08670773399707044,0.2031823897493128,0.5258409857894716,0.06312213139956172,0.14891881195685747,0.9755646373954912,0.04279648036093299,0.06161264915813746,0.28659748789904366,0.07722875876698367,0.10060731973420306,0.03939551498271013,0.20954494246962904,0.04407025319148745,0.3773174238455864,0.0285602624125854,0.12394397154815395,0.1399869893587558,0.5710932585458278,0.039645231134966735,0.021836560772258935,0.06083951464827994,0.3321992861443693,0.02343525478037385,0.04735999630487187,0.38722894729197455,0.031590815301312095,0.062405894217625914,0.14683146862687688,0.034885510312855285,0.06925650998924733,0.09638918526230433,0.6539748540537517,0.027539163136467617,0.07934296879808928,0.021182562251177924,0.04493279067484077,0.30017374498221056,0.02986674727614671,0.04000803535482723,0.026441902718771424,0.31955394859380765,0.04251718935125595,0.07911439092471297,0.05388887142185408,0.156478496218991
AP1G1,0.038788034408662,0.04588548065143315,0.11089032961540929,0.0,0.4188052201496556,0.393512881654345,0.03489628184954857,0.04185809590168809,0.06419694373613243,0.032432271934782396,0.044599829209085465,0.02040717418964667,0.046697977383354246,0.09355436049260697,0.03603165290385483,0.02559420560615428,0.040551359046855626,0.029337987964279232,0.028781543104541975,0.25916853688693825,0.11484928136619629,0.03742309214343845,0.044776831703993776,0.4736908069838525,0.22056517225886546,0.1582108240544919,0.08069296598289803,0.3653520713008337,0.21800984082246738,0.10908827065980736,0.02144441775962279,0.05488840296206013,0.09078520685675434,0.255165358691507,0.12462040023707545,0.057113145164964206,0.16915277745869964,0.018063106407504293,0.28194429504608903,0.026202918856165377,0.16854222710216776,0.06316594731465054,0.07337780940490778,0.03190211493435213,0.05904640971558304,0.023721514189563905,0.05802228626868691,0.15961825295052715,0.12863980768015562,0.297444405174776,0.10157513373421508,0.02974625004275358,0.07322345011342998,0.03174681315882153,0.01984019956896088,0.09181863274822831,0.3710832740024105,0.2153346876986329,0.14470010947002424,0.04319325633771806,0.1779689200421535,0.026031507030355255,0.14311937302820063,0.4526172302060221,0.53917820631313,0.02444954000918427,0.7827288956336086,0.020824970208254332,0.026963248560318655,0.2968805830887852,0.024423582068881507,0.0835123207242361,0.028800861687264267,0.03546603109256661,0.02951276902542428,0.2656132864205455,0.33013060800431765,0.030523812204271538,0.02104610782866589,0.925488412723921
AP2A1,0.03499115571281038,0.10765451247517559,0.05577208199356958,0.6411718394285736,0.0,0.5514411561291533,0.1228693084687165,0.01980412213767725,0.03645412928700964,0.03611064895930061,0.045379773784063354,0.2922231310985509,0.01963853400492358,0.03596890317449456,0.022732329625001095,0.028158339483786612,0.03220612506266573,0.0614418657899233,0.03596180309264238,0.03473964526871865,0.11156935286846659,0.04701181291784695,0.10245612979332487,0.06396283006879591,0.10220903960108217,0.36656335585678906,0.21106446350242888,0.03659383680272199,0.04188158021053925,0.35432631961076055,0.21366383402759448,0.018200601878649993,0.020806004016913245,0.05900091772970786,0.04659278388568964,0.07596205128228864,0.03096697241205269,0.02123864285781606,0.10662245187088368,0.020713097868623676,0.12206718477610702,0.02189451767983145,0.043557932568907165,0.3425234163858874,0.026559180643516787,0.07955153552701318,0.15048035164271278,0.02097429407074878,0.04658607841315712,0.027247248265485673,0.018914245554074886,0.03489475266482684,0.06227993814285672,0.04000419429105454,0.36294549997065306,0.018331082746667275,0.30214948599618296,0.04872827463548392,0.045538104141393185,0.09086379175491671,0.08294631569395867,0.05290038737504309,0.29424173314251606,0.06626529187720862,0.0254664759589404,0.03249273357932389,0.024259645475635784,0.3339381676728758,0.018927138384744177,0.037154885255665786,0.022100739168473143,0.021571423037789885,0.05209069777167672,0.0240962179997129,0.03076847972174847,0.02860700407513716,0.03310049765581232,0.04638180450076952,0.022242483168600852,0.5547730141672336
AP2B1,0.032539312495516025,0.2777687222693284,0.03763718990996344,0.6328887269943864,0.5735397147820758,0.0,0.06148268674546672,0.044345550506289515,0.03790817205587166,0.06954865102763803,0.031243677541053,0.19251431727672488,0.0267467343150021,0.1117543343804798,0.04098223134010981,0.1461296318738984,0.04022014075188566,0.17922924519480374,0.020107709138220905,0.024853747229849805,0.05002349284170468,0.02804130467496229,0.020299912049784326,0.03672304906759604,0.23718587609187558,0.09200699019980153,0.07666089786112153,0.03488076489880884,0.05250966282042671,0.04186928030158814,0.05315467061816925,0.03253915551148272,0.02819267576941144,0.04287675394642928,0.26786017725349553,0.0801230973424918,0.05864315081725921,0.03632118252865138,0.06720614957458175,0.01870637167853397,0.04288803967994217,0.031016835388305432,0.023677178772014636,0.018480199433130482,0.14903632865270175,0.04847362008324513,0.1162214634739735,0.04358700438339834,0.037450524537122616,0.09107603072533706,0.06754048957730084,0.15192271057009965,0.046498920177894164,0.04537870305126994,0.041331995578396286,0.05875474082255797,0.13814486634259024,0.048675970663045444,0.03159558050471503,0.5384782139407999,0.039191171345397686,0.40784636215352654,0.24589406893265267,0.2628620235632272,0.031539378439415316,0.09953793666497637,0.07286736364051591,0.20288790235950663,0.12750492489897508,0.15973036330150633,0.022028894928745168,0.05775886706699451,0.02891183067845183,0.03490070183534935,0.03547413365982703,0.02447468301574892,0.12009261201608529,0.06462517027338933,0.060690483269925745,0.4536760887951659
AP3B2,0.17836318786320346,0.2111322395278613,0.6965774509044055,0.037753429396538106,0.10219624845442235,0.0531778956198216,0.0,0.022098442896896803,0.0660033423603438,0.019065940519801945,0.7550202692138567,0.040853553792340826,0.03009596831401751,0.28609211820247255,0.04017515254216964,0.047969887011585485,0.02780649208064687,0.1244747971237857,0.021344446584084447,0.02503402155127755,0.18306439901155386,0.22375443754772112,0.0677117111712513,0.04714052656567071,0.0848816419308661,0.03664818902637899,0.13457294484948393,0.10929728975698835,0.03347059265687319,0.037118720925273116,0.09942456009750014,0.17100471316037683,0.019929633750508827,0.1999261195105195,0.04454851688948887,0.023906436999311952,0.031194240583758626,0.029871775055787142,0.29035898936784305,0.2598788384643195,0.05586437308697328,0.018481305145670708,0.47638500114343907,0.09544428014515577,0.0604852226385822,0.02679457320960732,0.04854253154859344,0.03472776082344132,0.01949121900999517,0.025011317549025847,0.06116494190896971,0.553939481179705,0.6971704226001499,0.25102178746786635,0.031000271523562245,0.09119713349072549,0.036151634433986536,0.1337886083498559,0.04606050095693297,0.0226644985796582,0.03421963092248327,0.38283515210069735,0.0244976745106749,0.03068900438904467,0.020360643446525974,0.09924210998168666,0.04182623479697018,0.1760574934667899,0.026581571154094413,0.04302540442852659,0.019181726195025936,0.16094355521701142,0.16149956731649925,0.42490590694829355,0.09482580103294322,0.11612322000255529,0.21685034188503627,0.022900837959989012,0.17295023764258363,0.07148465099792839
AP4B1,0.1697416042815095,0.08470537751316191,0.2585018693063998,0.04546747323521222,0.019579635638542908,0.03925343532401702,0.022015201294211893,0.0,0.2963932734195316,0.10137592140445857,0.019115306609383546,0.08253433282577888,0.0418840016828549,0.05382732361867886,0.06448031606889125,0.06202699255892012,0.17604087210643915,0.11802654953704524,0.11821131785021,0.12039228845570106,0.12912308652527904,0.04654483673159593,0.020213224124968794,0.21612197902617186,0.8211760582715976,0.0965450389644573,0.02011367037803875,0.5118464754180639,0.1018193683680032,0.10987908138020491,0.038047564212200354,0.05749952065851529,0.06838709330363274,0.019843349872801338,0.036991115436037274,0.0996142120000426,0.045631877776612415,0.06255337679888437,0.15940046911963052,0.08631491913400402,0.020778987236088182,0.034516074344734714,0.2673608150799847,0.05964567559073558,0.03316457593248859,0.06003628662735195,0.3896039197962889,0.132928612088218,0.13464696752050065,0.03335075505041801,0.2468452232480891,0.04105887026286059,0.5192108817318181,0.24374902070151108,0.13979057215608703,0.44957451739861165,0.1034410169774073,0.16008080939983263,0.14125273890278117,0.03558139235258326,0.04026076129572549,0.02159570192053293,0.03235760901122133,0.0895797425355767,0.16511510448400357,0.3736652462290257,0.08561723970826422,0.03457580004472961,0.07019789741367839,0.03166472043127929,0.020815074235480395,0.2230062568540833,0.046744657685975695,0.043449251194753034,0.3481832323226507,0.042994015658864536,0.1299301089713808,0.07881117756133359,0.03408647753074854,0.03552485626876782
AP4E1,0.031115607760597845,0.035879970406459495,0.3009816701247118,0.07174416185415457,0.03337925352091222,0.034080309848551545,0.06382572982930408,0.2909580487746649,0.0,0.024296062242920035,0.21124482807904357,0.036807131485658486,0.49139858504680917,0.07217645938387211,0.05157149067355396,0.12164039162107058,0.0242402533993806,0.0749369879163122,0.06527703398406146,0.019632741015187846,0.055970039863200025,0.04270021604060744,0.09146811799189447,0.17782019250028633,0.07374151869305155,0.019871926429697827,0.09752237588711922,0.030960383778877075,0.02780952025672772,0.02039754027339153,0.05758612859963192,0.25201280781813923,0.019308059086051137,0.03361440171853218,0.050909744150480364,0.020879122431070724,0.1391156137951842,0.3580785174750231,0.11000783546526441,0.03254551406165501,0.11909175008722127,0.5117499534015421,0.047324188326311585,0.1803073620518555,0.2381306232438486,0.2651525051101256,0.16528509181359413,0.14161090364228845,0.3537065962212311,0.03874897550005453,0.0427578764412653,0.4047985353386551,0.018738708146964708,0.29342971604057577,0.12455535115456179,0.07196651239849905,0.1000012193988531,0.39622432267424956,0.09487027860500397,0.04258514610324076,0.027893269511003543,0.01864911243195902,0.03360351599530176,0.04704593546078591,0.05100342356134276,0.09050459993819926,0.03289705345645373,0.05495376230938277,0.1568413873977282,0.022180832154582053,0.02355865382691224,0.024564835698411547,0.09414096565753441,0.11744681882312737,0.07270861553781718,0.03921081118581816,0.01989760543846663,0.0658224547790897,0.13647723959373392,0.020670537712083163
AP4M1,0.1286485863047657,0.033691394332054835,0.021233437677077093,0.03799580943481509,0.036597292951765864,0.0693760818040492,0.019216722109218466,0.13037913026990033,0.025536021197468818,0.0,0.031642153422769305,0.022073024462972587,0.018652038867102417,0.05831847265801152,0.035943845356384584,0.08587208139747714,0.0674294788526528,0.029033486811437186,0.03923970443301788,0.15415242445223562,0.11198180906798882,0.07150365197776408,0.041207946625124184,0.019324107442115365,0.044616793044559434,0.09258924774893193,0.04305006356003927,0.03705307617637569,0.15001003708208316,0.3191325824950818,0.0985342778089941,0.13258534292991314,0.0206305063076891,0.028866863687883357,0.10631137536522024,0.03408217359644043,0.03768258421146517,0.04488626734563226,0.06610663542005953,0.03633825376458898,0.152041118278671,0.046597067572124805,0.02741848086728561,0.11042156139830092,0.14010962235748456,0.019420704918146757,0.0392001714560526,0.023593940687177146,0.042397946014839656,0.05698219692424543,0.043241150036585116,0.04123015591464796,0.1796553060342481,0.36206571644846014,0.018407941144955565,0.028111781762893376,0.034041651000535,0.02947583372993397,0.026835638807946795,0.04375007864221705,0.03544738546415126,0.161750988768999,0.14841758243349348,0.23652138673014678,0.14729234218141915,0.03318474396209362,0.03847247269481066,0.09813364986291671,0.01951497155935273,0.01809765386056695,0.043440532333964305,0.04113366743271099,0.02893707627275809,0.04144674581511736,0.057612560865772114,0.2037456860655625,0.11483671311555319,0.2765012248643579,0.14392393505648757,0.10562874572873567
