source,target,A,B_coef
TMED9,TMED10,0.9972596408451001,0.2474230541982184
TMED2,TMED10,0.9853738022831607,0.20525516947381778
TMED10,MIA3,0.9634665958593921,0.18180776984184693
RTN3,TMED9,0.854071489863086,-0.14417245142193727
AP2A1,AP2B1,0.8353403701245126,0.14059896941568412
TMED9,SNX6,0.8227473489413524,0.1383768260929583
COPB1,COPE,0.8097799184612184,0.1362145194858776
AP1G1,VPS35,0.7875466729380134,0.1327550077320283
HSPA5,MIA3,0.7684019062384733,0.1299827349187923
AP4E1,BACE1,0.753129022811739,-0.1278842679392131
RTN3,COPZ1,0.7412935095425593,0.12631756171245961
BIN1,SNX6,0.7402416917049139,0.1261806282020068
VLDLR,TMED10,0.6994683662727856,0.12111918877500158
RTN4,COPZ1,0.6889884979477817,0.11988486703633455
TMED2,GORASP1,0.6815155631368932,0.11901863693751949
ADAM10,SAR1B,0.6690249037497844,0.11759445375348979
APBA2,GGA3,0.6560298902340148,0.11614128972260297
APBA1,SEC23B,0.6502776300783598,-0.11550649459950742
ECE1,MAPK14,0.6493810062951636,0.1154079866320442
NCSTN,VDAC1,0.6279583953410052,0.11308670565789933
COPB2,COPA,0.6145885417893773,0.11166603799811826
ADAM10,COPG2,0.611202414161401,0.11130923311029421
MIA3,COPZ1,0.5905570746464778,0.10915671921478773
IDE,SEC24A,0.5874424735612461,0.10883506674492069
RAB1A,ARF6,0.5840122332114756,0.10848165192045596
APBA1,APBA2,0.5799531891640934,0.10806453081268898
GORASP1,ARF6,0.5714646709775908,0.10719573701239854
TMED9,SEC13,0.5616996067277443,0.10620156736750112
AP2A1,APBA1,0.5487368006865949,0.10488920377265659
HSPA9,MFN2,0.5471366398225552,0.10472770307464986
SEC24C,SEC24D,0.5301549111632999,0.10301915517245135
COPG2,ABCA7,0.5265537048088488,0.10265787111352424
COPE,COPG1,0.5183519165882551,0.10183601643148128
LRP1,SAR1B,0.5120155714484202,-0.1012017885230991
TMED9,PREB,0.5026673050994892,-0.10026673304020361
ECE1,MFN2,0.4968701987045089,-0.09968701578256048
