ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,VLDLR,RTN3,TMED2,TMED9,SEC13,AP2A1,AP2B1,BIN1,ADAM10,COPB1,COPE,HSPA5,SNX6,HSPA9,TMED10,SEC23A,SEC31A,EIF2S1,VPS26A,RAB1B,IDE,PICALM,ITPR2,ADAM17,ECE1,APBA1,AP1G1,MIA3,SORL1,APBA2,COPB2,CLU,SYK,AP4E1,COPG2,SEC24A,GGA3,APP,GGA1,VPS35,VPS29,LRP1,GGA2,SREBF2,ABCA7,COPG1,RAB1A,MAPK14,GORASP1,SIGMAR1,PREB,SEC16A,NCSTN,BACE1,PLCG2,MFN2,MAPKAPK2,ARF6,SEC24C,VDAC1,MAP2K3,SEC24D,SEC23B,AP3B2,AP4B1,SAR1A,AP4S1,SAR1B,SEC24B,SNX4,PSEN1,OSBP,APOE,SORT1,COPA,ITPR1,RTN4,COPZ1,PLG,AP4M1
1,TMED2,APBA2,TMED10,GGA3,COPB2,MFN2,HSPA9,AP1G1,AP2B1,VPS35,APBA1,RTN3,VPS29,SEC13,APP,PREB,CLU,TMED9,RAB1B,AP2A1,SEC31A,RAB1A,HSPA5,GORASP1,PICALM,SAR1B,BIN1,ADAM10,SAR1A,SNX6,SYK,COPE,MIA3,COPB1,SEC23B,ARF6,SEC24C,AP4E1,BACE1,VLDLR,COPZ1,VDAC1,COPA,GGA2,MAPKAPK2,VPS26A,AP3B2,ITPR2,NCSTN,PLG,SORT1,ADAM17,COPG1,SEC24D,PLCG2,SREBF2,ECE1,EIF2S1,SORL1,SIGMAR1,AP4B1,COPG2,ABCA7,LRP1,OSBP,MAPK14,RTN4,GGA1,IDE,APOE,SEC16A,SEC23A,PSEN1,SEC24A,AP4S1,SNX4,SEC24B,MAP2K3,AP4M1,ITPR1
2,SORT1,AP2A1,SEC31A,SEC23A,COPB1,COPB2,SEC24A,TMED9,AP1G1,EIF2S1,BIN1,APP,AP2B1,HSPA9,ECE1,RAB1A,VPS35,SEC13,SEC24C,ADAM10,RAB1B,PREB,RTN4,APBA2,SORL1,GGA3,VLDLR,MIA3,HSPA5,COPZ1,COPG1,NCSTN,COPA,AP3B2,VDAC1,TMED10,PICALM,BACE1,AP4E1,SNX6,CLU,TMED2,IDE,RTN3,ITPR2,MFN2,SNX4,COPE,ADAM17,SYK,OSBP,GGA1,PLCG2,LRP1,ARF6,VPS26A,APBA1,SAR1B,MAPKAPK2,SREBF2,GGA2,SIGMAR1,ABCA7,PSEN1,AP4B1,SEC16A,MAP2K3,SEC24D,COPG2,GORASP1,SAR1A,APOE,ITPR1,MAPK14,PLG,AP4M1,VPS29,SEC24B,SEC23B,AP4S1
3,AP2B1,AP2A1,SEC13,TMED10,RTN3,APP,TMED9,VLDLR,RTN4,ADAM10,MFN2,SNX6,SYK,COPB1,GGA1,COPZ1,RAB1A,RAB1B,ECE1,COPE,GGA3,APBA2,BIN1,VPS35,COPA,AP1G1,CLU,SAR1B,TMED2,PICALM,COPB2,HSPA5,SEC31A,MIA3,MAPKAPK2,ADAM17,SORT1,PLCG2,AP4E1,COPG2,PREB,BACE1,EIF2S1,GGA2,ABCA7,VPS26A,VDAC1,LRP1,ARF6,SIGMAR1,NCSTN,SEC24D,MAPK14,AP3B2,SEC24C,VPS29,SREBF2,SEC23B,SEC23A,SORL1,APBA1,SNX4,SEC24B,ITPR2,AP4S1,IDE,AP4M1,GORASP1,PSEN1,SAR1A,AP4B1,HSPA9,SEC24A,OSBP,APOE,MAP2K3,SEC16A,PLG,ITPR1,COPG1
4,AP1G1,VPS35,MFN2,CLU,GGA3,OSBP,AP2B1,COPB1,APP,COPG1,MAPK14,GORASP1,TMED2,RAB1B,SORT1,BIN1,SEC13,ADAM10,PREB,COPG2,COPZ1,RTN3,TMED9,EIF2S1,AP4E1,BACE1,RAB1A,SNX6,AP2A1,HSPA5,VLDLR,HSPA9,GGA1,SEC24A,SEC23A,MIA3,TMED10,SEC31A,COPE,ARF6,RTN4,SIGMAR1,GGA2,PLCG2,COPB2,AP3B2,SEC23B,NCSTN,APBA1,VDAC1,LRP1,VPS29,ADAM17,SNX4,IDE,PSEN1,SEC16A,SORL1,SEC24C,SAR1B,SREBF2,COPA,APBA2,SYK,PLG,ABCA7,PICALM,SEC24D,VPS26A,MAP2K3,AP4B1,MAPKAPK2,ITPR1,SAR1A,ITPR2,SEC24B,ECE1,AP4S1,APOE,AP4M1
5,AP2B1,VPS35,AP2A1,RAB1B,COPB2,SNX6,TMED9,PICALM,COPA,RTN4,APP,MIA3,HSPA5,RTN3,SEC31A,TMED2,SORT1,SAR1B,ADAM10,TMED10,COPE,APBA2,COPB1,ECE1,MFN2,AP4E1,BACE1,APBA1,MAPK14,RAB1A,CLU,GORASP1,ITPR2,ADAM17,VPS29,VPS26A,ARF6,AP1G1,GGA1,EIF2S1,VDAC1,NCSTN,SEC24C,ABCA7,GGA2,PREB,COPG2,SYK,SEC23B,LRP1,COPG1,COPZ1,PSEN1,IDE,SORL1,BIN1,SEC23A,SEC24A,GGA3,AP4B1,MAP2K3,SEC13,MAPKAPK2,AP3B2,SEC16A,SIGMAR1,SNX4,AP4M1,HSPA9,SAR1A,SEC24D,VLDLR,SREBF2,PLCG2,SEC24B,ITPR1,AP4S1,PLG,APOE,OSBP
6,SNX6,SEC13,COPB1,GGA1,GGA3,COPE,PICALM,TMED2,HSPA5,SEC31A,MIA3,TMED9,TMED10,AP2B1,PREB,APBA2,AP2A1,EIF2S1,BACE1,SAR1B,VLDLR,APBA1,ADAM10,AP1G1,MFN2,SEC24C,LRP1,VPS35,RAB1B,COPZ1,RTN3,SEC23A,CLU,RTN4,MAPK14,AP4E1,COPA,SEC23B,AP3B2,SORT1,COPG1,VDAC1,VPS26A,APP,COPB2,IDE,SEC24A,BIN1,SORL1,NCSTN,SNX4,GGA2,SREBF2,ABCA7,GORASP1,RAB1A,ITPR2,ADAM17,APOE,AP4M1,MAPKAPK2,PLCG2,ITPR1,AP4B1,OSBP,SEC24B,ARF6,PSEN1,MAP2K3,HSPA9,ECE1,COPG2,AP4S1,SAR1A,SEC16A,PLG,SEC24D,VPS29,SYK,SIGMAR1
7,TMED2,TMED10,COPE,COPB1,SNX6,TMED9,PREB,COPG1,RTN3,RAB1A,OSBP,HSPA5,EIF2S1,AP2A1,AP4E1,BACE1,APBA2,SEC13,GORASP1,SEC23A,AP2B1,MIA3,BIN1,SEC31A,SAR1B,ADAM10,GGA3,CLU,ARF6,ECE1,MAPK14,APP,PICALM,RTN4,COPA,MAPKAPK2,VLDLR,VDAC1,NCSTN,SEC24A,IDE,AP1G1,COPZ1,GGA2,SREBF2,SORT1,PSEN1,ITPR2,GGA1,SNX4,ADAM17,ABCA7,AP3B2,SORL1,AP4B1,SYK,COPG2,PLCG2,AP4S1,COPB2,RAB1B,VPS35,SEC16A,VPS26A,SEC24C,HSPA9,LRP1,SEC24D,MAP2K3,PLG,VPS29,SIGMAR1,SEC23B,SAR1A,MFN2,APOE,APBA1,ITPR1,SEC24B,AP4M1
8,SNX6,TMED10,TMED2,RTN3,COPA,COPB1,GGA1,PREB,TMED9,CLU,MIA3,SYK,HSPA5,RAB1B,AP1G1,SEC31A,APBA1,SEC13,VPS35,AP2A1,RTN4,ADAM10,COPB2,GGA3,EIF2S1,VLDLR,BACE1,BIN1,PICALM,COPG2,SAR1B,AP4E1,RAB1A,MAPK14,HSPA9,SEC24A,SAR1A,ECE1,SEC23A,PLCG2,GORASP1,SREBF2,ABCA7,ARF6,OSBP,AP2B1,APBA2,SORT1,GGA2,SEC24C,COPZ1,ADAM17,IDE,AP3B2,APP,SORL1,COPE,SEC24D,COPG1,MAPKAPK2,ITPR2,SEC16A,SEC23B,ITPR1,APOE,NCSTN,SNX4,PSEN1,AP4B1,SIGMAR1,VPS29,AP4M1,VPS26A,VDAC1,AP4S1,SEC24B,PLG,MFN2,LRP1,MAP2K3
9,ECE1,MFN2,SEC13,SNX6,RTN3,SORT1,ADAM10,EIF2S1,AP2B1,GGA3,APBA2,RAB1B,COPB1,COPB2,AP3B2,RTN4,ADAM17,AP2A1,SORL1,HSPA5,RAB1A,SIGMAR1,PICALM,VLDLR,BIN1,SEC31A,APP,COPG1,AP1G1,MIA3,AP4E1,BACE1,TMED2,SEC24C,COPZ1,TMED10,VPS35,SAR1B,APBA1,MAPKAPK2,ITPR2,PREB,VDAC1,GGA2,SREBF2,ABCA7,NCSTN,SEC24D,SAR1A,COPG2,OSBP,TMED9,GGA1,CLU,AP4S1,SYK,VPS26A,IDE,GORASP1,SEC24A,PSEN1,LRP1,PLCG2,SEC24B,MAP2K3,ITPR1,COPA,APOE,SNX4,PLG,VPS29,COPE,SEC16A,SEC23B,AP4B1,SEC23A,HSPA9,ARF6,MAPK14,AP4M1
