,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,-0.013444863930771524,-0.025983286253488645,-0.004665990497241756,0.0066294022583287485,0.0470725804471829,-0.043446793689289866,-0.008212457932015983,-0.02578637150409158,0.011070705462370744,0.039475383475193075,0.032703330167248634,-0.02241595093072473,0.012373070588165396,-0.050009833724165134,-0.052641773309221776,0.01066934520516511,-0.028638742116428046,-0.09637131202555814,0.015418805642108742,-0.029396803103198983,-0.03689338149164779,0.008307576377230508,-0.023824596984077927,0.00510023466771322,-0.0749170557457186,0.03993461450262907,0.012373490839413984,-0.027894323338587303,0.02837288389231327,-0.03716003810265719,-0.031234416342583816,-0.011211006160043694,-0.0008219523544590794,0.12729142461086204,-0.02586622371228151,0.009671931102992068,-0.02139238394444625,0.04349307364599732,-0.09801584139981383,0.06033998488463475,0.018157141712806323,0.053608716690950596,0.008993591498330721,-0.12963740008380345,0.013760486552087507,0.021898005176080544,-0.011626333410908261,-0.015746823972809257,-0.01409555326595324,-0.04278370582858122,0.020382649811682852,-0.06432449152660953,-0.008705195429765127,-0.0749506685275882,-0.05536930221185626,0.003197542620275638,-0.03393068890854993,0.0917705111323777,0.004779255362263204,-0.01985762813442875,0.014335251565660446,-0.03370802141265393,0.02595387556316108,-0.027924588959156844,-0.02772050427010361,0.056382787629544934,-0.05059929098247098,-0.11451989191499172,0.0050550332604199,0.005420830342789403,-0.011855327563118152,-0.104311746370657,-0.025889612012311523,0.12875360562419605,-0.03761220380290731,-0.0027309991092107377,0.06483344435418188,-0.03793711313687256,-0.018400668004342514
ADAM10,-0.010700228701315814,0.0,0.04099678397267525,0.003183650046513208,-0.013043353963367482,-0.08491341411861789,-0.02156525383601452,0.06306237500501938,0.009742833607910732,-0.012294877715262963,-0.013662113681306518,-0.02030031913515561,-0.05729282781044742,0.0030170910293164633,0.006706101215275246,-0.029500231768611485,-0.0041634313578942555,0.2894516318635823,0.025899492768586312,0.04024914528582739,0.015551287489363488,0.025105909801318178,0.049723800660764435,0.02087170984618719,-0.018598880756767022,0.0021499459251018626,-0.015307216637753793,0.06893929450604708,-0.05615503302356665,-0.05111119364089884,-0.054733230798881614,0.05065066086760958,-0.009209873091025746,-0.10224449728669104,0.06397659575745128,0.017438158444055916,0.016726286009103458,-0.06978132603862007,-0.00721281891576034,-0.0278334232833824,-0.022925620452076214,0.04090524645420435,-0.09147903832752395,-0.013015329994856243,-0.04932362052859445,0.04943051514945555,-0.007668141063145461,0.03918451561441493,-0.028611237511988487,0.0011931006171004717,-0.036052614744284735,0.04644044746030392,0.012016536548481742,-0.020271714700325707,-0.03250680079384322,0.055789890553537044,0.0420019981067067,-0.0201283795514393,-0.004282504442526186,-5.9969120340129125e-05,-0.03383530093933458,0.041918845446239035,-0.0431679922085669,-0.004787748449173056,-0.016257867955456595,-0.01656572328211366,-0.08808090680445382,0.07210868786654007,0.021342253759887055,0.11272750630064765,-0.038550942593915095,0.007184813853958061,0.007404684478736621,0.03393842360745243,-0.024080143783354976,-0.02919018273269291,-0.026778660478154106,0.005463025811236016,-0.10428942863989804,-0.015069847862781207
ADAM17,-0.03129345537616372,0.06204011334910253,0.0,0.010012819601719155,0.011177987720117404,0.05037337128175641,0.051390689514215625,0.0025021310506339626,0.04333025378473581,-0.02640879493994495,0.03709628940291714,0.06956888872160419,-0.03156251802281264,0.03955378727310279,-0.024358493959349786,0.010093173121170113,0.019449152563325082,-0.030141386631133617,-0.03669544647083934,-0.025469012360850373,-0.062217912915351156,0.02055004711589687,0.02623725291246113,0.00024865658136631846,0.13387160352154087,0.019983097630383178,0.02230577145031461,0.06126198284750363,-0.0032502540880690817,0.008598990742854095,-0.07613778952646943,-0.001962513126936273,0.0882285313528759,-0.008872187320381876,0.0392149978442029,-0.08100237231821118,0.11405904964820777,0.009001791339899059,0.08238735577024506,0.03797728885917295,0.11608832574109605,-0.15557801452411565,-0.0282881561527834,0.06513836860809247,-0.07269016270014377,0.03187091946043853,0.00442466562347228,0.03802424561749091,-0.04968467780671393,0.031575439785633826,0.11489680449621607,0.019531296661513303,-0.02705968819677788,-0.08238046186543622,0.029010610103426537,-0.005627615676089675,0.005738864401271269,0.06052455389498787,-0.027993502281384537,0.06144410947243321,0.007869530524277522,0.05283605052173418,-0.06292468708381012,-0.019290388631255363,-0.020708626884922247,-0.08842991843290313,-0.07033337986018179,-0.02587213288451838,-0.005194967228662545,0.0010671140851129547,-0.019822024157534528,-0.007704243016888756,-0.058057238698600834,0.04727703974522099,-0.002449638908715165,0.010980593614334497,0.004239047017094976,-0.024527008670109266,-0.041636933117447934,0.017623018614522156
AP1G1,-0.003785600676938991,0.0032454851392073507,0.006745092351532831,0.0,0.18370632482023344,0.1525905587940921,-0.011572748358453282,0.0527548547919465,0.009325856807931087,-0.01267172541535105,-0.01388729859536882,-0.007286054811314965,-0.026266597253255704,0.01032954919830266,-0.06753934009821864,0.010587563762724534,-0.007600121189039506,-0.0005028650341919209,-0.06341655990514096,0.022956353523168826,0.03903665692110823,-0.022180609642229416,-0.05264498396716268,0.08765903576134709,0.031657247086428746,-0.036768782645956975,-0.0058998187436001825,0.018047717500280853,0.004598821027848412,0.00014681778027060896,-0.008305510523566907,-0.09018993163032661,-0.027294436676748992,-0.030075398836343227,0.017767739762358507,-0.00410687038127986,-0.0015643861501565982,-0.02184152254717226,0.03294185231868518,0.01106393256003375,-0.009031637384199735,-0.030993743482525007,-0.06658701214008203,-0.0475940517410882,0.015151956267697062,-0.00044045167980520444,-0.03860532209276228,0.002143837815614727,-0.060757631352638626,-0.023936519635443562,0.07633245713904119,-0.07380750481011047,0.02821684756151577,-0.04569239470094307,0.09447676954659089,0.005017222429511003,0.029516337020653375,0.025076082747984122,0.02003701672575621,-0.008210350702668989,0.002176188167848493,0.0063693684470179585,-0.01096452355761741,-2.2529900463174583e-05,0.05769596942656138,-0.0015739912194379145,-0.025883360531348987,-0.053767843132835655,-0.047560314467972285,-0.009830450283714666,-0.06760241612614318,-0.06051818690312746,0.028474813185275616,-0.0005915656499224548,0.05449710866755458,-0.06041846434786759,0.011751588332480157,0.013611704914729504,0.05685193301006974,0.31563093476284254
AP2A1,0.004354239717986192,-0.010764419003506182,0.006095960569738197,0.14872059740765417,0.0,0.2663950305964907,0.03430070273948954,-0.005751906014688657,0.013166345102084979,-0.028276810960316267,0.011360272089161124,0.020395901241939504,0.004070637413879016,0.04248772502112561,0.01628173492107395,0.06987563007985319,-0.015348649158149293,0.011661975511760878,-0.031011428936351754,0.009827892901209946,0.04362398773693281,-0.04607522923141608,-0.02895864306398197,0.005916468776525481,0.0263929068251062,-0.055104456930636855,-0.04125128327270928,0.03859412506120199,0.012432432022409139,-0.01719949650495846,-0.034679470550480124,0.010282705431041107,-0.01351783944448926,-0.015807968173452654,-0.014534395951893365,0.043290617968560416,-0.00918529348756587,-0.0035505463385234687,-0.0264518668722296,-0.011257967130143673,-0.034480286416038904,0.05081999345220613,-0.07498738343820582,0.019901221321134907,0.05237635677609777,-0.0037029269671730153,-0.021546995712881815,-0.023221894781353825,0.02187992048775958,0.010184487856437144,0.04402500603291816,0.04321529847625619,-0.017302102717259484,0.025405220398968996,0.020073904378133167,-0.0010046961086934774,-0.027119826447487526,-0.05203944370549368,0.03570023627003864,-0.018218765363137487,0.007775777579999797,0.01586572248551121,0.01053383403919323,0.018335193012175274,0.014454486047074468,-0.020322662923980803,0.03349258900103099,-0.062411743847742424,-0.045473778225833164,-0.022234848507587647,0.051027788783630276,-0.02771566566437247,-0.015208644303023643,0.044243065277362756,-0.012993871839698731,0.041027905443353205,0.03142987027101947,0.01895389382401685,0.019151152725342267,0.06546840264706714
AP2B1,0.028994689596674682,-0.06571887364906423,0.025762738942132987,0.11584763447487369,0.24982656317555602,0.0,0.014505194152056783,-0.012268670899707061,-0.03695723088150042,-0.02499025795250598,-0.014855716695822857,0.05017657724254995,0.01867676890383111,0.017411085698548077,0.005715478170433855,0.06772685816955441,0.00897551507698178,0.013528216390776051,-0.023627407374317032,-0.0020027936975095077,-0.022955666275021526,0.006268442866989446,0.0006467399714884262,0.04379859093193089,0.0046572445307418485,-0.0022254603287986084,-0.01737055444925732,0.012105561646009564,0.026245796585720457,0.0005466992779773883,0.021118007826237708,0.022080118141301966,-0.011161000864801042,0.005556986787762024,-0.06275972834017995,0.07349125511739074,0.001891347046071565,0.033152662366748804,-0.016912476478785063,-0.012236239385658874,-0.019984720263991843,0.027822076752611603,-0.010087296350973222,0.016755909893194056,0.08423687242833756,0.02110629753512334,-0.001636221332527312,-0.0022391330794110415,-0.07987336274157424,0.02336414906024307,0.052028169354587095,0.07505734336475951,0.0031926388781785033,0.036972643468858715,-0.010811941809680614,-0.01803416996955605,0.02281025986511442,-0.053253741010306645,0.06298512504729581,-0.03906653450227078,0.012872606035924416,-0.024346526104623782,0.019281184772563974,-0.005830260942912987,0.059881238354073246,0.01026254400103049,0.09461113448570252,0.05693399725320049,-0.02746966605985701,-0.02539093990981976,-0.009328756553995851,-0.011167477473604442,0.016935431208244128,-0.0009035846514397127,-0.0038424310185085162,0.06559328595395988,0.012564453107990276,0.018638293497406064,0.06085034156602696,0.09687620460183421
AP3B2,-0.03951885319521502,-0.02464702622015177,0.038812498811795416,-0.01297454571884308,0.04750197385416958,0.021420011040264836,0.0,-0.0012775554376090778,0.06959000408037733,0.0143493588957986,0.047788689437069425,-0.053427337598055284,-0.054003526935088995,0.01879940356252441,-0.0008508398245125606,0.01499590634729897,0.049681068887541174,0.009224614937078662,-0.04044152409808351,-0.005674758268631307,-0.00494656959817447,-0.0289770687896758,-0.09621322132340315,-0.02342437128437498,-0.008600233299731915,-0.031280336420001116,0.0550388869593908,0.0004755665408158764,-0.053402188090388145,0.0213299195470327,0.04639510012345634,-0.0003474196461424667,0.019392383942427295,0.011964261952393888,-0.008905717506921847,0.01895978825881446,-0.012020070144027638,-0.023437460927133506,-0.0018638977533863485,0.00844983844244838,-0.031011010152497215,0.014948276404948889,0.034149555513561566,-0.02200767237970965,-0.02941046502914072,0.013496064826002562,0.07448939260613589,-0.046143173320103245,0.01367843257555825,-0.013471697300228626,0.034407301414543345,0.07337919239288207,0.08052473951635658,0.0885641274590085,0.0317494295802001,0.005841647044869687,0.016773521287787037,0.02285514907273338,0.02320321596218116,-0.0515641665009631,-0.0018983834375335754,-0.0009598287053791359,-0.05480488185526269,-0.006031000665267641,0.014548327156661107,0.03833573018931562,-0.004866938341289439,-0.06541832413860285,-0.006247627720248768,-0.007433711595866164,0.02194027997238523,-0.004433780677823623,-0.0875931376283173,-0.039924607719928756,0.0357091472508149,-0.015502467826436417,-0.05087830278624513,0.07634708429838685,-0.022841810701281422,0.10579877070001126
AP4B1,-0.00814688213011106,0.07860532160517691,0.0020609567848405767,0.06450446185413618,-0.008687445499512492,-0.019759016982338062,-0.0013933217873894237,0.0,0.028852917515764565,-0.0018114091387543467,-0.012271537521309555,-0.027467268425622162,0.014906834275438019,0.028669788088097437,-0.03675865316052659,-0.0051275848621688495,0.00785591627726003,0.038675130515867545,0.012173896126724608,-0.022271338037495036,0.08999342360965487,0.016545275922482155,-0.06487820203494904,-0.042484200469802925,0.007560695234390658,-0.09944360420735181,0.03324248287616688,0.06279751829039272,0.07681993194404092,-0.022476901284259165,-0.0691323169792707,-0.021394283718995818,-0.041121763297805564,0.0013298389692665254,0.008233340360760849,0.0013991627604815874,0.030452715881513357,-0.014491753776739781,0.012708805870147903,-0.02387351175030184,-0.02301482775972638,-0.01923171385323644,0.022420892295889408,0.02150104626677654,0.0550748808990716,0.07034206743882343,0.005942660809961519,-0.012942108420536584,-0.04086407460804363,-0.011377062525182655,-0.02907921579954173,0.077163029372864,-0.010124831610642948,0.00789134580490213,0.03502146253384436,0.003703297221725665,-0.009243034605658115,0.04537536644955703,0.04319801358896843,0.018316408129894345,0.07213744855936897,-0.005594887062697099,0.009688633600678136,0.0035074387373939344,0.02943112307423672,-0.03764234358503865,-0.03118931449348641,-0.011417350591859015,-0.006279506497118529,-0.024132123583156022,0.0443567931199516,0.046332780378230846,-0.06054798610504044,-0.01195697398300261,0.06879347012446652,0.06294508873973252,0.10471535389590106,-0.019626147511805362,0.07610765430718813,-0.0068994416640088835
AP4E1,-0.03006120740572041,0.014271342252094595,0.04194188792454144,0.013400283206310409,0.023369179037670686,-0.0699463650940646,0.08919005775297903,0.0339068655299725,0.0,-0.0008201164935513306,0.04479552231881887,-0.030049916293581197,0.02144718310868272,0.0008156454945164583,0.02047554463529066,0.020439494470425795,-0.03373333395585451,-0.07271453707495304,-0.06924359779331253,0.05484538670600512,-0.05264185699807591,0.04989336863086734,0.029952128308192067,0.017640683206808318,0.014800138132160637,-0.03716397088864132,-0.011076015188670841,-0.02961551514805349,0.016950162287621966,-0.026901826036284448,-0.006946035685295367,-0.00475064874055589,0.05381151464808793,-0.013563740281602232,-0.012135462171256963,-0.03742714821630038,-0.04101482335590983,0.019932540340327782,0.005844741212739444,0.06227811171897988,0.013738383017675248,0.007314878205901167,-0.014566476953627016,0.02472914145479173,0.008121032046978978,0.07900761013611407,-0.026018989921100525,0.004069242682436609,-0.02118844168041345,0.09105669750632546,-0.04679881107443003,-0.022612126468751284,-0.039685252016676914,0.1052597930042316,-0.03577915822692728,-0.017977150838588273,-0.07705276846737694,-0.021999006785428054,0.027726300611651215,-0.01371037926211192,-0.034887440699979,-0.010794900229394912,-0.04878846846212387,0.021869420692150508,-0.02473657416417487,0.022735860123892677,0.03791619720204415,-0.029765861238526887,-0.006333668161220824,0.04261167537327189,0.026994858807593208,0.04456110129147777,0.058809649336214895,-0.014649379264320151,0.03391985366144866,0.030981565647688013,0.0620517245505708,0.08171789547504975,-0.025986857495195814,-0.06938102777855273
AP4M1,0.01184356982100051,-0.016527032949580963,-0.023458296462841345,-0.016709064334160972,-0.04605743984928003,-0.043403785622308705,0.016876921277917612,-0.0019534648796380484,-0.0007526042901546216,0.0,0.03393175556069576,-0.048962394752678357,0.019254977369588516,-0.017959801824190984,-0.008916186284841488,-0.011462761028916711,0.005343144030472166,0.00865648400532283,0.10163810185682406,0.00795213166936692,-0.06646189601065736,-0.021414024908974576,0.05313885335297422,0.011831939701845984,-0.03857319188100087,0.00628360980094829,-0.049337971881379894,0.0872761265258281,-0.027483328624431275,0.054275898569441636,0.008653626612788888,0.020843244199798088,-0.06261192678875047,-0.0739682337873743,0.034365168628800825,0.009370170131592416,-0.02036419975531904,-0.0808296626581556,-0.0684890999397788,0.034974421610542546,-0.030702047578101563,0.035557621300070695,0.06439821315155413,-0.024056938776407213,0.0497841665700022,-0.09811553445810145,-0.04020130853829148,0.0009999057348020657,0.03504100066872147,0.022185957636084615,-0.027064857488699263,0.033361065988466755,0.010990464868056087,-0.01736050876949567,0.059321140676024606,0.09058262094165749,0.02634078152898121,0.011288499423604463,0.01639018729481899,-0.009540679428579269,0.01971547451791321,0.06714867039877648,0.06109262887291662,0.052854519936186416,0.03519909887330186,-0.024594851376732167,-0.0168737090514128,-0.008278336181224652,0.020480620381062152,-0.011230456515596818,0.050540655895886265,-0.02220815830451985,-0.008928405198543364,-0.0005924928219505501,-0.01088026031938969,0.056766073911951605,0.0341657010603255,0.034022036411471626,0.021426385342352625,-0.025279904618428113
AP4S1,0.052438123917446,-0.0228035275087705,0.040915872528441574,-0.022737756475891335,0.022975848460094653,-0.03203789245149897,0.06979098164224076,-0.0164324187101631,0.05104335451924531,0.04213274835793861,0.0,0.09648703172356392,0.07944867925853973,0.060969833955371436,0.04337777390844341,0.05825288349875793,-0.002951034269949074,0.012140842563069878,-0.01273734372324771,-0.0063403012881033,0.056890838102910395,0.017944000076748397,-0.029077472012889398,-0.0018856061834837685,-0.0179859343393091,0.007093485053511389,-0.015098685278168442,-0.11968992002940146,0.01011597232062563,0.0342923368283262,-0.0009724349582596039,-0.06048730374656334,0.04542262863235208,-0.010694720924017164,0.052844861996159856,-0.0025295687162132587,-0.024239622804488794,-0.12436404024768843,0.05665853917526282,-0.005660486311710278,0.017814380828569423,-0.049959556558650045,0.06640641977374356,0.028849128598121346,0.06811772038567747,0.02800023108009433,-0.04205324205810408,0.11942021206140216,-0.06694810023408707,0.007445841893660701,0.0006521633578699795,-0.07004603217566362,-0.06298529070750122,-0.00830634623081139,-0.010557162777574415,-0.02270567202194367,0.0360727750620867,0.07109534088320817,0.00888319904112627,-0.053694114316277096,-0.03824883352429705,0.0049996673838923,-0.005355359235839134,-0.08926349783346003,-0.020012709669680037,-0.04200958164593209,-0.009766318651152914,-0.08892984755575936,0.07275610638393779,-0.017057246816672565,-0.02986391288270733,0.017110249267051875,-0.07218099756088389,-0.05231433784943903,0.003159570482508411,-0.01373780267216515,0.026468616015837686,0.10024790692002902,-0.11957990814591132,0.08357188879955274
APBA1,0.033785677305698196,-0.02635159257776783,0.0596755286231318,-0.009277738643069997,0.03208082942478701,0.0841571900449835,-0.06068167806311264,-0.02860472964543899,-0.026629789444320942,-0.04728201468664805,0.07503930603176902,0.0,0.1146155419097768,-0.030509757258961413,0.020512115586935782,0.025030067729094,0.08457056068227904,0.030483875345521497,-0.020110546845540853,-0.0263893214895478,-0.04521252219206791,-0.017298925630263487,0.004245441173535808,0.017863708006496164,-0.013150574978457624,0.02096591255953111,-0.09151228242515533,0.05725748770454094,0.08765150077075186,-0.02882504021521729,0.07489025806960947,0.054600988671839344,0.04037326402095633,-0.09131735086099049,0.042152530136081806,0.008764733636664773,-0.02184977176939953,0.051506047771670685,-0.09183182854457478,-0.010034563627334993,-0.010093057851787605,0.041318661210433566,-0.006590643332504261,-0.06900934137688576,0.027790192263121336,0.026016815969406363,-0.01693022690358296,-0.04940001354486795,0.07894378721484288,0.050731696433144124,0.01855512386549544,0.01941472074008687,-0.015361426844604517,0.03077454778867833,-0.07506650286196079,0.041269671429832795,-0.05647668636377754,0.04723669122228519,-0.06181297709290713,0.0017080543642219652,0.0019378120501199708,0.030644727015896347,-0.07840318076644504,0.016295654236910588,-0.07044339501277536,0.028946756945447114,0.08275404305784138,-0.03548645268534759,-0.06870676958226157,0.011819361559841103,0.06450966318241404,-0.033840056181213954,-0.026151974063989537,0.027540773256796568,-0.03648900849777083,-0.025298087990719583,0.054558452371626855,0.008176929365282625,0.21252757462717833,0.05311180524360074
