ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,COPB1,HSPA5,AP4S1,SREBF2,COPA,VPS29,SEC24B,SIGMAR1,PLG,COPG1,RAB1B,RTN3,PLCG2,MAP2K3,SEC16A,COPZ1,PICALM,TMED9,ARF6,ITPR1,AP4B1,SAR1B,APBA1,CLU,PREB,RTN4,COPE,APOE,PSEN1,IDE,SAR1A,SORT1,MIA3,NCSTN,HSPA9,SEC23B,BACE1,ECE1,GGA2,SNX6,GGA3,SYK,COPG2,VPS35,VPS26A,TMED2,OSBP,SORL1,AP4M1,MFN2,AP4E1,ADAM10,MAPKAPK2,ADAM17,SEC13,ABCA7,AP1G1,APBA2,SEC24A,GORASP1,COPB2,SEC24C,RAB1A,APP,EIF2S1,SEC31A,LRP1,MAPK14,SEC24D,ITPR2,GGA1,SNX4,VDAC1,TMED10,BIN1,VLDLR,AP2B1,AP2A1,AP3B2,SEC23A
1,COPA,COPE,AP1G1,MIA3,SORT1,PREB,HSPA5,PSEN1,SEC24D,SEC23B,AP4S1,OSBP,SYK,SIGMAR1,SORL1,VPS35,COPB1,APOE,AP4M1,SAR1A,PLG,NCSTN,EIF2S1,COPG2,SEC16A,COPG1,MAPKAPK2,RTN4,SEC24A,MAPK14,BACE1,APBA1,AP4B1,RAB1B,SEC24B,MAP2K3,ITPR2,PICALM,SNX6,SNX4,GGA2,VPS26A,COPZ1,VPS29,CLU,IDE,HSPA9,ITPR1,PLCG2,SAR1B,APP,TMED2,LRP1,GGA1,ADAM17,RTN3,ABCA7,AP4E1,ADAM10,SREBF2,ECE1,SEC24C,AP2A1,ARF6,RAB1A,VLDLR,MFN2,COPB2,GORASP1,GGA3,APBA2,SEC23A,BIN1,VDAC1,SEC31A,TMED9,AP2B1,SEC13,TMED10,AP3B2
2,ADAM10,MAP2K3,AP1G1,EIF2S1,VPS35,COPG1,MIA3,SORT1,AP4B1,AP4S1,IDE,PLCG2,SYK,SEC23B,SEC24D,ABCA7,PLG,PICALM,SEC24B,COPB1,SIGMAR1,SNX6,RTN4,NCSTN,SORL1,SEC16A,HSPA9,MFN2,RTN3,COPA,APBA1,SAR1B,PREB,OSBP,ECE1,VPS26A,CLU,SREBF2,HSPA5,RAB1A,COPZ1,TMED2,MAPK14,SAR1A,RAB1B,TMED10,PSEN1,APOE,AP4M1,ARF6,BACE1,MAPKAPK2,SEC24A,LRP1,COPE,VPS29,SEC13,AP4E1,ITPR1,COPB2,GGA3,SNX4,GGA2,APBA2,COPG2,GORASP1,ADAM17,ITPR2,SEC23A,BIN1,SEC24C,GGA1,AP2A1,TMED9,APP,AP2B1,SEC31A,VDAC1,VLDLR,AP3B2
3,AP1G1,CLU,SORT1,HSPA9,HSPA5,VPS26A,APOE,PREB,MIA3,NCSTN,ARF6,PSEN1,AP4S1,OSBP,COPB1,SNX6,COPA,COPE,BACE1,TMED2,SAR1B,SAR1A,SEC23B,SIGMAR1,ADAM10,PLCG2,COPG2,MAP2K3,ECE1,RTN4,RAB1B,AP4E1,EIF2S1,AP4M1,MAPKAPK2,MAPK14,ABCA7,SEC16A,IDE,SEC24D,APBA1,SREBF2,SEC24B,COPZ1,PLG,SEC24A,APBA2,ITPR2,VPS29,GGA2,SORL1,COPG1,SEC13,PICALM,ADAM17,GGA1,LRP1,GORASP1,TMED10,RTN3,SEC23A,APP,SYK,VPS35,AP2B1,AP4B1,ITPR1,COPB2,TMED9,AP2A1,VDAC1,VLDLR,SEC24C,SNX4,GGA3,SEC31A,BIN1,RAB1A,MFN2,AP3B2
4,CLU,SORL1,SEC13,COPA,VPS35,AP1G1,SIGMAR1,MAPKAPK2,APOE,ARF6,HSPA9,MIA3,MAP2K3,PICALM,SAR1B,PLG,GGA1,APP,AP4B1,COPB1,SEC23B,SEC24A,OSBP,ABCA7,PLCG2,IDE,COPG2,COPB2,APBA1,GORASP1,ADAM17,BACE1,AP4M1,SREBF2,SYK,RTN4,PREB,VPS26A,ADAM10,COPE,AP4E1,EIF2S1,PSEN1,RAB1B,LRP1,MFN2,GGA2,VPS29,ITPR2,COPZ1,TMED10,TMED9,COPG1,TMED2,AP4S1,MAPK14,NCSTN,ECE1,ITPR1,SEC23A,VLDLR,SAR1A,SNX6,RTN3,HSPA5,SORT1,SNX4,AP2A1,VDAC1,APBA2,SEC24D,BIN1,AP2B1,SEC31A,GGA3,RAB1A,SEC24C,SEC24B,AP3B2,SEC16A
5,CLU,PLG,BACE1,VPS35,AP1G1,HSPA5,SORT1,PREB,APOE,ARF6,AP4S1,VPS26A,MIA3,IDE,MAP2K3,ABCA7,COPB1,SEC24D,EIF2S1,ADAM10,AP4M1,AP4E1,SYK,PICALM,MAPKAPK2,ADAM17,SIGMAR1,SORL1,COPE,APBA1,COPA,MFN2,SEC24A,SREBF2,SEC16A,SEC24B,APP,SNX6,PLCG2,PSEN1,TMED9,VPS29,ITPR2,NCSTN,ECE1,SEC23B,SNX4,ITPR1,APBA2,OSBP,RTN4,GGA1,AP4B1,TMED2,HSPA9,LRP1,MAPK14,COPB2,GGA2,COPZ1,COPG1,TMED10,COPG2,RTN3,SAR1A,SAR1B,SEC13,GORASP1,SEC23A,RAB1B,AP2A1,VLDLR,BIN1,GGA3,SEC24C,AP2B1,VDAC1,SEC31A,RAB1A,AP3B2
6,ECE1,SORL1,COPE,COPA,ADAM10,OSBP,AP1G1,COPG1,NCSTN,HSPA9,COPG2,SEC23B,IDE,MIA3,ARF6,MAP2K3,PLCG2,TMED2,RTN4,SREBF2,BACE1,CLU,ABCA7,AP4S1,PSEN1,SEC16A,APOE,ADAM17,HSPA5,SAR1A,GGA3,SYK,AP4M1,VPS35,APBA1,COPZ1,PREB,COPB1,AP4E1,MAPKAPK2,SIGMAR1,AP4B1,PICALM,SORT1,SNX6,SNX4,VPS29,VPS26A,SEC24A,RAB1B,APP,PLG,GGA2,SEC24D,EIF2S1,ITPR2,MAPK14,APBA2,SEC13,SEC24B,MFN2,ITPR1,LRP1,SAR1B,TMED10,GORASP1,RTN3,SEC23A,TMED9,SEC31A,VLDLR,BIN1,AP2A1,SEC24C,GGA1,COPB2,AP2B1,RAB1A,VDAC1,AP3B2
7,COPB1,COPG1,SIGMAR1,SORL1,VPS26A,MIA3,SEC24B,AP4S1,AP4M1,MAPK14,ITPR2,AP1G1,VPS29,COPE,PLCG2,NCSTN,BACE1,VPS35,AP4B1,APOE,CLU,RTN3,SAR1B,SEC24A,MAPKAPK2,SYK,ABCA7,OSBP,SEC24D,PLG,RTN4,SEC16A,HSPA5,SAR1A,PREB,COPA,COPZ1,ADAM10,GGA2,GGA3,APP,ARF6,RAB1B,COPG2,HSPA9,PSEN1,PICALM,IDE,SEC23B,ECE1,ADAM17,APBA1,TMED2,GORASP1,COPB2,LRP1,TMED9,SEC13,SNX4,SNX6,APBA2,EIF2S1,GGA1,SREBF2,AP4E1,SEC23A,SORT1,TMED10,ITPR1,SEC31A,MAP2K3,AP2B1,SEC24C,BIN1,VLDLR,MFN2,AP2A1,AP3B2,RAB1A,VDAC1
8,VPS26A,APOE,AP4B1,SNX6,BACE1,PLCG2,VPS29,APBA1,COPG2,COPA,COPZ1,MIA3,VPS35,SEC23B,ABCA7,COPG1,SORL1,CLU,COPE,ADAM17,SEC24B,COPB1,SEC24D,MAPKAPK2,SIGMAR1,PREB,SORT1,MAP2K3,ECE1,PICALM,AP4S1,AP1G1,IDE,SEC24A,MFN2,ARF6,GGA3,HSPA9,HSPA5,ITPR1,NCSTN,APP,PLG,SEC16A,EIF2S1,RTN4,TMED2,APBA2,AP4E1,SAR1A,GGA2,SYK,AP4M1,RAB1B,MAPK14,SAR1B,SEC13,ITPR2,LRP1,OSBP,TMED9,TMED10,PSEN1,GORASP1,RAB1A,SEC24C,VLDLR,SREBF2,COPB2,RTN3,SEC23A,SNX4,ADAM10,AP2A1,GGA1,BIN1,VDAC1,AP3B2,AP2B1,SEC31A
9,VPS26A,CLU,VPS29,APBA2,SORL1,SEC13,BACE1,COPA,ITPR2,SIGMAR1,SEC23B,PLCG2,PLG,APOE,ABCA7,COPG1,TMED2,PREB,AP4M1,COPZ1,MAP2K3,IDE,MAPKAPK2,SEC16A,SAR1A,HSPA5,APP,RTN4,GGA1,VPS35,HSPA9,SNX6,PICALM,NCSTN,SYK,SREBF2,COPE,MIA3,SEC24A,ARF6,GGA2,SORT1,SAR1B,RAB1B,PSEN1,MAPK14,OSBP,ECE1,TMED9,AP4S1,COPB1,LRP1,SEC24B,COPB2,GGA3,ITPR1,AP4B1,RTN3,AP4E1,GORASP1,APBA1,VLDLR,ADAM10,ADAM17,MFN2,AP2A1,SEC23A,EIF2S1,SEC24D,SNX4,TMED10,AP1G1,RAB1A,SEC24C,SEC31A,AP2B1,COPG2,VDAC1,BIN1,AP3B2
