,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.025015827963439315,0.039870811926446974,0.03856443350494694,0.06580112752380002,0.02169651488468377,0.020606510943630318,0.14195075519540643,0.8082474013004616,0.23865949788243868,0.1783159108263765,0.07317954849931398,0.022156040341852687,0.05399286294550257,0.035558228115062256,0.14361202812743692,0.1788723901902636,0.12598667512347905,0.05795280600595653,0.02025442085960038,0.2261822805465526,0.05591103476684022,0.14755416591336995,0.03829522963049876,0.021046084176035835,0.07224517572889004,0.18413834163934067,0.1517455164430732,0.037780337762182176,0.11705514548129516,0.023696697682364636,0.11879623053331663,0.031550238256288485,0.29294422933931236,0.0554032679242083,0.17769889282572324,0.08515974931967292,0.01957682882216475,0.11219119114803357,0.01839555686516732,0.08958308920442282,0.02505023704994754,0.2305735033089254,0.06395083985929513,0.02779814627945961,0.05888118242063235,0.018206970447888507,0.054402723211267476,0.05501359897781314,0.08229582030171263,0.01843533826871001,0.03769848525218692,0.05105498164290983,0.21062308862954693,0.027320110191490908,0.08347717789733251,0.3737887273820286,0.021196241541085483,0.07069073046545556,0.019033723143281486,0.16531570030086012,0.05183727647122235,0.10186940517526227,0.03139734455637202,0.13621566835395568,0.02631571150746564,0.02438859824633996,0.030131473290100533,0.022724218554060555,0.026448005471693008,0.04750330047703098,0.2181982701619372,0.03173769331898515,0.049864815716952574,0.12357411998145745,0.03232224276925918,0.10609454467405996,0.03137830271771815,0.04283442666701011,0.042939653624576
ADAM10,0.0420952101401863,0.0,0.1508334699794025,0.06868068416802374,0.040898883139120594,0.10355581077447898,0.05644271482697979,0.04952418610358726,0.20169947694137189,0.039891595082808415,0.9075245356371472,0.09329937256489469,0.09119500992724944,0.02568220432736464,0.14071009290021824,0.01969611307882293,0.03760258890429087,0.9873177663075232,0.02547045600845524,0.06330970584642026,0.047950723448644754,0.022765901844117788,0.10725091729324626,0.054464989879193286,0.0953684123934607,0.07059871601580921,0.10080625528858866,0.6659307239404728,0.8979404526397837,0.028374849464494905,0.3592774760831367,0.027438391733440006,0.8167759006525437,0.6789017343962575,0.2568767759789733,0.6511728327619172,0.11172312809139796,0.11694431853848884,0.018282126861425437,0.46593532736607135,0.1267997058966383,0.021624288318787207,0.09269094067715525,0.03856697434859111,0.08800517013309866,0.8935916877167336,0.30992836146287717,0.7576641607430884,0.06171664834218636,0.47524846072108756,0.4572757814594912,0.11261634499768088,0.15929678125778374,0.030486486386658483,0.537158033660013,0.7429350774533767,0.5234979303305125,0.08748301742831409,0.03776852954002814,0.2117207550522386,0.77040453254396,0.7653627687030348,0.09628537871728844,0.07923827991917379,0.2782180968965169,0.9389266681490392,0.08402145779955165,0.18843120452279982,0.09527042656403932,0.9912233124124078,0.7212143604174369,0.06719379559082683,0.04813155362416461,0.7782963101421431,0.07674101377106447,0.019554110074073025,0.3215093169691802,0.0922820136613628,0.06250871341679272,0.07130155597830216
ADAM17,0.05907971220320401,0.06398607599780587,0.0,0.050148268736486444,0.03172973653756248,0.07497309719180406,0.02310259756051355,0.9347019551283374,0.019798660005177344,0.8784527294982433,0.04540893736368644,0.019361666295856294,0.17498014373542767,0.024181597104862965,0.03661829374836119,0.07787462146691279,0.9456432558679316,0.04111246736111059,0.05177930206799769,0.031270783690291744,0.04146019668831704,0.08582374247982076,0.023790339982282253,0.041816078391340564,0.06056611692736549,0.06188619610445442,0.18078946295186993,0.4955491304328092,0.7546690293376149,0.021029539384837228,0.1001634795460546,0.43344741585260027,0.1650898802669829,0.19186243785139892,0.19083097865945345,0.3116939571097691,0.9243096911959194,0.07014178214826501,0.20929701800928507,0.12375015351704176,0.7042008755448769,0.018219593751889123,0.10915203018101949,0.18130589290163454,0.10662778984361031,0.33100414963012403,0.13057673180665605,0.6978436039399549,0.11214867553283682,0.027683050436972247,0.021319657027096418,0.2310194697308463,0.021270525654903803,0.22522897950639237,0.05926110963771789,0.38880651654844706,0.027177909276489404,0.41370750723737115,0.031174676195795083,0.4593407632762269,0.10780031184933382,0.0790224806817636,0.0426419354900309,0.28771088900906083,0.07050795142504651,0.8802926423396635,0.03759454612456268,0.477210845049612,0.023883687311584717,0.03583794192335328,0.020254616321804152,0.0227332202155972,0.32810269213687915,0.2995428870225346,0.06603677014082376,0.02063808036982256,0.020311215513031534,0.4064598398399971,0.04047886576567261,0.06210118809349194
AP1G1,0.1633210996783123,0.0846643788305354,0.13276523529990472,0.0,0.7326252601258865,0.8594647941739826,0.11028452220834133,0.7605984415482125,0.25625095064567205,0.7842861685764594,0.02536436587054585,0.03738584735074536,0.7006775668712724,0.022644633722484684,0.29331454513904703,0.05383516585473362,0.662800847464014,0.019284619697805146,0.18642177373871824,0.03667541674658711,0.05813383275745058,0.10136276718923014,0.3175097507186744,0.9823899283154662,0.9960412355915711,0.859771582539807,0.01888078528762101,0.8215639509847505,0.027938947904716155,0.1280126717606684,0.3154801893416781,0.15498931643927194,0.05244018654027679,0.07971877875241856,0.4684480042972234,0.0371250679637369,0.48505105281830924,0.26918461997710347,0.32378807272205024,0.07917379213592128,0.04668598879953543,0.06171773809939309,0.16447170763770638,0.10648813471618651,0.6720842567343076,0.026732796345159706,0.06543702391314886,0.3531714300944622,0.04336312934520709,0.39104527268748457,0.10200964080350422,0.028669783672113088,0.06727072231369909,0.9581278473249406,0.3562465889641901,0.027141698382607583,0.1084110003137992,0.44424424418804725,0.20911602807847335,0.020265013962603058,0.024818522259271236,0.24390104010368738,0.027539164288840765,0.17364257755866716,0.05665621799261603,0.9801648965037296,0.12245800262728687,0.020149962876287845,0.16591814192800777,0.061833292957417366,0.050283632046587035,0.8063491724369699,0.03590692222404702,0.05824778179811021,0.1717919306904937,0.04468944508832076,0.2610192033504208,0.24398549692655222,0.07029657145924882,0.964412198263249
AP2A1,0.7496517849045874,0.059060157530736915,0.07327459995148014,0.9070156379024745,0.0,0.9964618826303298,0.5268688596887824,0.5085399056187326,0.31460791851402087,0.0295600061652896,0.16923105999975702,0.025248256751129013,0.056785717232871666,0.19336392948359893,0.020997237935318144,0.03728711220648773,0.08151908100650151,0.1022686921670011,0.02556073286487428,0.024855093449297278,0.03893864896180098,0.019523123367709817,0.029631633931937428,0.021717016000825592,0.370906569654282,0.018658701842593654,0.08555307838965864,0.03397505981747441,0.05085404537235713,0.08084975683092643,0.08094837925251347,0.05626922687121672,0.02692439216545025,0.2386842373661647,0.10098630535835086,0.0410604334069959,0.020071613431309088,0.12296435757186251,0.039803865715343,0.6991923182943957,0.02977205090927615,0.3009371931292675,0.021379676398481106,0.6783055919210503,0.5703510628369124,0.3937122783000099,0.02678259170696358,0.16659807397072784,0.4643874920510727,0.16443806721334372,0.24741229257612377,0.13440171287862235,0.9285176079990997,0.09103553239234215,0.16013101080378248,0.0572067814902824,0.3550201438889843,0.0219090918182708,0.021611115499329907,0.7715315276785311,0.12582780064659546,0.026400509217943628,0.20315310444372311,0.019432549145324437,0.17986466534986353,0.4155966994626544,0.435324969204384,0.11529635785132838,0.08222147061963458,0.033396543121445875,0.07962181971850504,0.023108881485651326,0.07248927015281392,0.8750290034102618,0.03823101261416116,0.7767114942719399,0.04798002793964479,0.02939638362414554,0.114352258353235,0.03798698572321681
AP2B1,0.03528152999025197,0.19212636285166465,0.3945004119599021,0.9506189984030564,0.9945590375721349,0.0,0.5269428139669651,0.09028404005897779,0.3450438252700491,0.24585898472424567,0.30981996303406084,0.019977120212632333,0.059472661511046736,0.03533549564149786,0.0369332809359078,0.05339944247774012,0.027170994636727532,0.22145411618769756,0.030918954356283678,0.5732290999980875,0.01808754779504718,0.1690186898061551,0.03877456659082921,0.22033748352236965,0.5337124606391059,0.4183727562668896,0.021750147264287777,0.46303325558098235,0.039500566776371634,0.08559580908436064,0.43036389295827443,0.4040983283710358,0.14780394876596106,0.03097118845438666,0.02231707880638338,0.8396826993712025,0.1727653325776645,0.02081860772890358,0.03877923402304677,0.3562033566696311,0.023106358439520025,0.050445159753063094,0.10901284459138964,0.5809939141430802,0.05734654346984668,0.24888308297656786,0.39798644751777534,0.037337601993951565,0.6711893248319055,0.031713509308368665,0.3795356602147481,0.24017742134041203,0.18273305074957708,0.02183635924553962,0.9367399137006778,0.3397870310119136,0.04200937335983605,0.039534760206928594,0.10191240940219337,0.035576158412151476,0.03259167782088824,0.16102378017821195,0.18432154117619615,0.8013770028323159,0.32641302052492455,0.9990730290994018,0.8401193967613158,0.10150630659144784,0.7406415726668159,0.05769840125087124,0.023223887244935765,0.5865642149081682,0.01973331705478472,0.31992623939364895,0.03693558352320732,0.03831528572014623,0.1698324162900913,0.8532662224309668,0.020894710157255584,0.9839156087517764
AP3B2,0.03156092039094956,0.10854089345156398,0.03576288721694482,0.20298282647458626,0.6249803121896963,0.6732305747803946,0.0,0.02546915990368194,0.09438756502208087,0.046955183119928606,0.7852482581624922,0.21424125421710064,0.031180473086131713,0.1738652639548376,0.04742614844962123,0.20574540327970126,0.41850444712931184,0.03340659544087328,0.020977019138554327,0.2712857995656915,0.07266865832626983,0.044595086262888786,0.04394584660940243,0.12868850692649278,0.18633069466050536,0.08188793926225485,0.03218406574622767,0.1937097971554217,0.5686920195564685,0.3312596540103421,0.9101574446229332,0.06828729158187159,0.04261164875799704,0.028601836742052158,0.03179155682529963,0.07984642679521578,0.29062685516703207,0.15904528578961977,0.7067456771414247,0.08781908844162443,0.03540635401283641,0.20085574741761877,0.2837045499997131,0.17592633270522995,0.36063833960859504,0.3634236275762481,0.08008884151163176,0.06411337167328023,0.036633951610530915,0.039013445008701554,0.3064462653095697,0.03841550168755053,0.12516106049308692,0.02706829962947202,0.2495309213984173,0.7551374322120588,0.22500016602824974,0.041030260656837715,0.12057327241418357,0.08677133393903914,0.05541775530246979,0.025326250198685923,0.0795634896299382,0.38213810911650886,0.08356436556373703,0.17440841514885752,0.34856414611839687,0.19311955898854807,0.019760138650427504,0.0358014518907994,0.16544915874192828,0.14387885832855984,0.02080052907021006,0.03746706258919789,0.08823154747202791,0.14943261893680854,0.021652202303571493,0.07618292537544369,0.9017576650582211,0.1770004886389445
AP4B1,0.2126945050105201,0.02909727524687013,0.8040921792325292,0.1288340768297226,0.06319219521101029,0.031423543502897035,0.019930362170261295,0.0,0.3971628723373394,0.08458470607820133,0.03360300908417828,0.1693884824710066,0.02118136151902763,0.02776067698933166,0.020313497241835392,0.08694610889560182,0.01915183416852412,0.15922796240419193,0.01890113049437334,0.13695815007227904,0.11295230328455885,0.10233215414159934,0.07081827149567352,0.044779711178212236,0.024730844919028105,0.21298139702536387,0.051385386452319624,0.026521262220603622,0.2841290450078153,0.03377588115526294,0.020076055516244314,0.03862552874567523,0.11019670422345446,0.10684014914453892,0.22366953897625516,0.0528659616708069,0.07363303068786536,0.030838828641121616,0.10581996121163524,0.10485754868671601,0.0931024437751575,0.028373751818734597,0.1048752985693072,0.18587632173171686,0.15727789714123808,0.06832931057337616,0.046366922722221586,0.028712889288181092,0.03479986482654566,0.42235292226314525,0.11511573722398433,0.06034603387566695,0.047575626609483904,0.02626407552767248,0.6141046888629146,0.34477473821417287,0.02618679715599795,0.11248625711350606,0.1443377802467983,0.1364162392765849,0.02643045724378403,0.1191988857440921,0.11241295372004977,0.05304205955274281,0.027856668607899773,0.07016172604428446,0.024520106995930258,0.02285889790596819,0.03984320541036786,0.040645154285973956,0.052851948748625824,0.08861072136720353,0.025595146627757453,0.023670706053329625,0.06969743113337949,0.01991776318231642,0.25121828275145536,0.2568318538749274,0.035271365512075034,0.23856034094356635
AP4E1,0.7664864329259562,0.04583877372019625,0.019115172461451436,0.04425289416805201,0.03962643029257158,0.04256054514295029,0.026576517765114074,0.23060575350935011,0.0,0.8470639481847686,0.2928363038707545,0.05235440573937777,0.0213530212814943,0.03390661492047858,0.03424746569468923,0.0336031319678911,0.026003819328652922,0.08761105190066534,0.135487073907349,0.0296776372576686,0.025291663544971355,0.0230242386084426,0.035816979422016414,0.10685370569173137,0.13891655944547385,0.07893211221226186,0.14029146063889752,0.0896695173730585,0.022419728438430382,0.0485888595798877,0.08807917093092288,0.09188146001866243,0.03395260013372488,0.23525180151026415,0.1380646015585855,0.08382470898044492,0.02470747130463673,0.029450396446254416,0.023198548752898295,0.041601159447780846,0.023046618694529047,0.022066786548116807,0.1779174037727503,0.47465036236435154,0.02742419478305228,0.024153348564054933,0.03423084891514727,0.050059208906854176,0.09588372385857824,0.42000418251935584,0.051383034066044365,0.13918428329484708,0.07750099184361152,0.026688802190812985,0.024082584563181002,0.02703402253219269,0.0481285971596109,0.08560297116366512,0.0791351843729959,0.02319760301761904,0.08726586934323895,0.3027014961028077,0.07040944341936951,0.04861856962903582,0.0650916350458257,0.04907955521071618,0.031623142236439444,0.04899061523771425,0.022754464774512276,0.1297868387905923,0.25961760397374933,0.37426220568476376,0.03704557488268385,0.05143048641814096,0.01836258561154938,0.07063883735947767,0.19113595150159096,0.06626254127528035,0.04781865571776387,0.056521531459465285
AP4M1,0.20356102658277256,0.023958422428978936,0.4222047357187168,0.08523597870026918,0.020327705818777426,0.03694618940763336,0.022335658797908026,0.05887429142811479,0.8258788539927442,0.0,0.1367514056554423,0.06587001982782302,0.09097008268502511,0.18027257567318677,0.06513129541897536,0.2197322080710009,0.02123788876424143,0.02266751022083191,0.03087164312400601,0.020283579386398954,0.01955759006851569,0.02321598290335103,0.03941033802531143,0.08541601505551889,0.020691999922085345,0.019937526204220835,0.024614639396922693,0.03616659633420635,0.06623739008580551,0.054426731861371806,0.022692187310282417,0.15851560699699035,0.05796217064001753,0.05538929287182981,0.16195194651797212,0.17213501941452233,0.11994559621228204,0.16521721103524037,0.03160124780001077,0.029236925528008238,0.018462088166430777,0.01898656347164821,0.019783008823889683,0.066280882955711,0.1005654551801429,0.04948155978165339,0.058011418931779704,0.32704685134878136,0.08600332200620128,0.030360617771543308,0.02651263069244489,0.20376021053056245,0.031256134868922494,0.02214887469542654,0.06837406363107931,0.07911497672621882,0.13354916289523294,0.11510087369425935,0.03288085539501117,0.018108855041861705,0.025064735349757526,0.19890435359132586,0.02231510741731709,0.10089016826085158,0.054896217428097,0.04260319723795674,0.08651384540056291,0.01824063954229971,0.06557349972858209,0.025774531353143792,0.8191765328200485,0.02080377260985828,0.034618560605509816,0.022305244471818045,0.025456800353035214,0.04890330214103671,0.16742553125231896,0.17271620046896305,0.018748011197113616,0.04045862777415036
AP4S1,0.10586779280588124,0.10221346924057324,0.028712945051926782,0.019605466452004044,0.028765275569014797,0.034496209579957166,0.04574966005356054,0.0264872545081751,0.1776432933526881,0.09577087534360164,0.0,0.1312317704650384,0.13495000514672134,0.16939809279534668,0.03743127831770663,0.16455757787057138,0.029576785218760015,0.05994869535199813,0.019527211089018004,0.020702038168895594,0.019875631715162215,0.03418199056262609,0.06908171774257774,0.03450941423275313,0.29178299820261283,0.042234184673105246,0.019204285330555192,0.046928355271663405,0.052973689119394644,0.12454041756507986,0.038119353212057366,0.018748545010419684,0.062091797343297214,0.05525059392836349,0.2536261626984679,0.7359144893329099,0.028305818729600855,0.06784933124524266,0.034519270115353724,0.03323488448372733,0.02793202762449167,0.05717213340786264,0.02546648385781918,0.37426980375451285,0.045273429401854894,0.1453790420791609,0.04148695947692577,0.27672316292687316,0.019706587333053298,0.049503574942972466,0.06695467777494454,0.11444298508382136,0.02531540272255727,0.029055058902715116,0.028229227574733496,0.022486154687860107,0.3347617029784537,0.4637262147030925,0.05186133189018675,0.06145396268090729,0.06422282374396468,0.2850467535152238,0.05931197445124604,0.03408056968274018,0.023224218677987584,0.06983400644208783,0.019008666996480628,0.12558035762248412,0.028254455565318977,0.15646469960636544,0.03162834999421986,0.2642892811282117,0.01824360635523852,0.028444183516807525,0.019884037306038476,0.02390977025974737,0.08592574914924048,0.1006388855708908,0.01999326750891056,0.02610412968976733
APBA1,0.3291249210433025,0.07557052206765522,0.02008023063948251,0.031077574438758748,0.02201211748126499,0.019201540111654525,0.07325966880277616,0.6070109655773067,0.19846088852979576,0.3248260536960433,0.9079467407782419,0.0,0.10012100780329829,0.04398623512463577,0.21432046467676186,0.061947917359610555,0.8216491455964545,0.15936501905337586,0.1762957041685553,0.11949892719625808,0.04431865169356158,0.019210288300083176,0.8550377819833098,0.13178083508939936,0.12600145535926888,0.06324668750116803,0.27359035396395537,0.020305852529242253,0.7221344133508968,0.01984612046780865,0.047666913327711474,0.08994150086914086,0.02650592623827672,0.054434286671345804,0.4699409730335942,0.9877425576063332,0.025572115141220386,0.6281891791387462,0.026175318052101666,0.08162591668503691,0.02578011502404378,0.0235140430140783,0.018769481600805264,0.9748721071291544,0.9549387282116827,0.1384070144150445,0.6738919387852823,0.14048432727551577,0.7792848199352512,0.17068070069168453,0.03603006825367048,0.44176769002257094,0.46833029680246746,0.1993213040874377,0.021557689798402987,0.5066606263184676,0.06316629759353098,0.07046250752816592,0.021116891356605664,0.1343583993717912,0.07049151108999413,0.3883955490159035,0.09742158244623762,0.28656032343177823,0.028304360984653637,0.03316051302830366,0.2828830778724034,0.09847649250499574,0.024224186535138595,0.02093682340319429,0.26536451022849933,0.06892582334447335,0.5571656845251041,0.10564725212128759,0.027681362384644966,0.018304317547048556,0.9826793224221363,0.7095674173443,0.032043628740730856,0.23354440010603728
APBA2,0.02561767869299727,0.05280139838714364,0.22527631673592338,0.2192741052052936,0.030304388886654182,0.03175197232851147,0.022543366859972696,0.022570467855292212,0.024403920082802222,0.29082336178790563,0.6944309995504102,0.06674519790298758,0.0,0.08836729138318415,0.13430099720074634,0.032823356867909124,0.22025203703767507,0.020681007343006444,0.027953989517632935,0.08275781505855953,0.13604985484769105,0.025705862103361062,0.025937453076608948,0.03188100981621203,0.6341018658161102,0.022918566792702287,0.1495795577647439,0.09656582861596938,0.05815457796883069,0.47522398662582743,0.24458213223585937,0.0596795502458846,0.08802190505133417,0.6208413497251786,0.7285611635069387,0.02713303684068836,0.08447179677970616,0.026674257249266774,0.44406822786827943,0.03245936170959829,0.8652352684208872,0.04698280727035714,0.3149632221048647,0.3695771438673263,0.9221559962606642,0.046781872646483036,0.01975097978215811,0.13277765659749255,0.46419755260894463,0.41508449503022565,0.17026800233808348,0.048752988561253374,0.357842170285512,0.04284997845299524,0.08597605074161024,0.1189127503284687,0.17880656430570852,0.44086534723785525,0.06879657854710768,0.04463470966248229,0.033736284944435924,0.6314012614226246,0.019147802162654735,0.887554257527628,0.03068574513058991,0.03325055034939964,0.02021713106155435,0.06434751245250053,0.3192207488725355,0.07184853072023822,0.02024053324158752,0.15921584951390141,0.20031618067085288,0.18086346048171437,0.3604023339516256,0.4043452305741934,0.0932055706319208,0.23385292401044117,0.13373044715068322,0.2251546753390923
APOE,0.0997286061972242,0.02235788038208201,0.024555828361344546,0.020298749166798014,0.050988284498416366,0.024213323118180988,0.044377998275243406,0.03152202566196567,0.05114622733994497,0.5598333931642333,0.7417628891093,0.03383574665899045,0.07965428337306163,0.0,0.9943238633100601,0.10143164509572261,0.1316601367326252,0.044422722528985784,0.9998987283152848,0.029669611697935173,0.0344041400678924,0.13723845932406378,0.1332134014258252,0.033782550071026825,0.4261063613362275,0.0630068173184344,0.04850376803453658,0.1036982708698458,0.029601557495308625,0.0487654883063666,0.05961635354305701,0.7487191629440314,0.07812492924648298,0.07199602741802189,0.16581561547697932,0.4942426181076076,0.1582785476082762,0.5288881992436518,0.02326181378011352,0.16779761007535796,0.0872269817635504,0.042915303079756856,0.04820364889903126,0.23855838285875905,0.029210309084814,0.04970176036951373,0.051549390579100005,0.8147173262784934,0.08418005143127041,0.93118296812678,0.043854818073612765,0.16788381525993717,0.24009122235398994,0.11602065330906085,0.030619204355339866,0.030653666478248198,0.13422356350280554,0.058374374095091795,0.04903569347691786,0.018172032129162005,0.018738466538177817,0.32144776679300396,0.050654097946952546,0.022848171210468272,0.02465132955844413,0.5683871704979523,0.040393924767377874,0.4460757737357269,0.7800191690397192,0.15005925228400793,0.7549795116860504,0.4887651975962373,0.4155556082288356,0.030483015196479776,0.030092522805640322,0.08122130776184759,0.2785517102006638,0.060988122406088696,0.023231804209270953,0.09498541887447953
APP,0.07431747886288254,0.09816510607548924,0.04855205218249367,0.13988236121116243,0.019610596940925085,0.027435256148284667,0.029550452791395298,0.022189140022672926,0.0732963669683514,0.27699856559004116,0.13086058612940818,0.1877703993438043,0.20690101684335535,0.999732743376963,0.0,0.13889751377710477,0.07589698637898638,0.10891225051194207,0.9429930432200105,0.235054372681228,0.03637781701302828,0.026236055768893776,0.04681852433858705,0.14901010335420567,0.9229560575663621,0.1501297698127124,0.11198169715712394,0.537544191043121,0.2285860816042529,0.02594049061435112,0.07200546035786873,0.12993257234073727,0.06781537945463394,0.11369679551584592,0.020906085562699774,0.29955155150053714,0.18202771924667976,0.9273992740559414,0.055357340289820665,0.051137375452246996,0.1995080909528552,0.07799294071179694,0.14424324342035105,0.0689388572753684,0.1155859265819111,0.11394196456049145,0.028673800911656545,0.9680246792944709,0.027500887598696268,0.135097164829288,0.05592115797534346,0.11524444278316665,0.02242880845860435,0.03978050492349029,0.8588566911297694,0.08326079720890299,0.026307072674592327,0.20026473845210682,0.03242633090631737,0.08456693698774867,0.03192741679650667,0.027730985491433425,0.0751534700834867,0.2101642424428584,0.1411177126791697,0.15993957371019904,0.1183844238218298,0.09125609840650643,0.08585092322726895,0.029842808588542904,0.5591106765622003,0.2700241096858618,0.04257151334795923,0.06748790481081934,0.03558186074217273,0.21902517688757714,0.1280612943215719,0.021036337308330915,0.16655898596170066,0.11056460968674715
