source,target,A,B_coef
APP,APOE,0.9999999900688493,0.5606897368460089
CLU,APOE,0.9999992251575696,0.451765134223183
SEC16A,AP4S1,0.9999780275460641,0.368142475256501
TMED2,TMED10,0.9999756796428232,0.3656043123442385
VDAC1,SIGMAR1,0.9999743117432602,0.3642362729525231
TMED10,TMED9,0.9999721041324788,0.36217510253423113
COPB1,COPG1,0.9999163807512899,0.33472882984754143
PLCG2,SYK,0.9998972449817721,0.32957650265702915
TMED2,TMED9,0.999879321513553,0.32555649999636305
LRP1,SORL1,0.9998394610353852,0.31842033307051737
NCSTN,PSEN1,0.9997187507925358,0.3043997033397314
AP1G1,IDE,0.9996870495482446,-0.30172881704063775
BIN1,SORT1,0.9996709614329885,0.30047516240995553
BIN1,PICALM,0.9996063383731952,0.2959906273435972
APBA1,PSEN1,0.9995465714368686,0.2924554823209769
RAB1A,RAB1B,0.999490995259248,0.2895636023318694
RAB1A,PREB,0.9993101493291193,-0.2819586328520313
SORT1,ADAM17,0.9991178221779473,-0.27580585857010054
COPB1,PREB,0.9989751479693477,0.2720545414900333
AP2B1,VPS35,0.9989486419801068,0.2714155171777158
GGA3,APBA2,0.9986269354319045,0.264733402954981
RTN4,SEC16A,0.9986094651838717,0.2644168835882325
VPS35,VPS26A,0.9984570565183939,0.2618129800031993
VPS35,VPS29,0.9981496249665712,0.2572628712643163
APBA1,AP4S1,0.9981063929679372,0.25668440960010935
SAR1B,SAR1A,0.9978811207145812,0.25386867104360666
COPA,SEC24D,0.9946641152829191,0.23069876009882884
HSPA9,ABCA7,0.99465355477541,0.23064906485767625
AP2B1,AP2A1,0.9943575956195022,0.22929466532099405
ITPR1,IDE,0.9942910787607915,0.22899999796441872
CLU,SORL1,0.9938384164803671,-0.22708102062960478
COPA,AP4B1,0.9934984595542268,0.22572983427463963
RTN4,SORL1,0.9929638881026681,0.22374096416572514
GGA2,AP4S1,0.9929235567947262,-0.22359705674160207
LRP1,AP4S1,0.9922789482750374,-0.2214013419263226
SEC23A,SEC24A,0.9916528773824862,0.21943640603209177
VPS29,SIGMAR1,0.9916160604946231,-0.21932545211268628
VPS26A,EIF2S1,0.9915298583884188,0.21906754585369356
HSPA9,SEC24A,0.9913556496644267,0.2185541845592559
BIN1,SNX6,0.9910837842515593,0.21777318656968467
TMED2,SAR1A,0.9909503467122367,0.21739844956538432
COPA,OSBP,0.9905572308423093,-0.21632545910257198
MFN2,VDAC1,0.9904881249646114,0.216141421385228
BACE1,IDE,0.9902882072059623,0.2156163780026942
SEC24B,PLG,0.9900809745501773,0.21508330141832982
VPS26A,VPS29,0.989966358303597,0.21479318361411312
COPA,COPG1,0.9898724399131532,0.21455789142847048
SEC24C,SEC23A,0.989706369062524,0.2141470738459614
MFN2,SORL1,0.9894050410806458,0.21341813698795067
LRP1,SAR1B,0.9893231690848446,-0.21322362457555613
VPS35,SEC16A,0.9889630916145433,-0.21238530119877894
RTN4,MAPK14,0.9883633047160738,-0.21104717139507193
SEC23A,NCSTN,0.9883316804220309,-0.21097852273604653
RAB1A,PLG,0.9880532108193985,-0.2103818499735893
LRP1,COPE,0.9879502810653286,0.21016477597330424
COPA,AP4S1,0.9870352003310309,-0.2083116933892201
SEC16A,PLG,0.9867316897675718,0.20772549138636606
MIA3,PREB,0.9838742400479021,0.20277700234178941
NCSTN,VDAC1,0.9838356521809721,0.2027162699462104
TMED2,RAB1B,0.982770597587611,0.20109395890622042
HSPA9,IDE,0.9820694150430653,0.20007885204268636
VPS35,AP1G1,0.9814807568019691,0.19925630108177847
COPG1,IDE,0.9809654910800687,0.19855709227379645
APBA1,VLDLR,0.9809275422392884,0.19850633258513492
SEC13,VLDLR,0.9806152277935797,-0.19809230845307366
LRP1,HSPA5,0.9781162241974073,-0.1949970742570486
COPB1,COPE,0.9779638906545653,0.19481975765016882
COPA,APBA2,0.9772633004997133,-0.19401939444076888
BIN1,ADAM10,0.9770853804611157,0.19381997309973908
HSPA9,HSPA5,0.9768763470483067,0.19358760122866844
COPB2,ITPR2,0.9737841645155847,0.19037065115228424
