,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.020649419096162868,0.11233873207055385,0.01854566797151659,0.03156682273459345,0.022657267186107808,0.04186637067072962,0.0664938591927732,0.06801238922064724,0.03488351408474644,0.18459842026936185,0.036553876785013595,0.09961551630970071,0.020044672978511875,0.03019864754607743,0.10571920529360722,0.1548923797679443,0.024246330129454517,0.027638653153050426,0.054397965547580626,0.08590451672910702,0.0989324680456981,0.08472636861902835,0.07107973404796683,0.04349439270332083,0.05131651328197327,0.01913867774452522,0.01903655180569218,0.018386959186402735,0.2623193742469179,0.028776461770215873,0.02226515461587183,0.024333576517284478,0.1066986912584323,0.16675591828803107,0.033037529309857316,0.09182834712790171,0.024748433337108793,0.040456349822304366,0.045815147558984165,0.044884517147511904,0.030361034589775886,0.22938072006227042,0.09152874704701808,0.05548247541032313,0.05188911024455302,0.18805249880750613,0.020333423562167215,0.07364225701324761,0.030240934483609695,0.0644276846194407,0.024459810729137922,0.08213614662333303,0.07310234501250218,0.020281874364138124,0.06491060042967353,0.020261330646639087,0.07143563070327623,0.07409042636633174,0.01947733514199439,0.043659269429385694,0.05647183600980091,0.018571885761721144,0.06054491907287106,0.07954430414592963,0.03458071789612038,0.03886916348356212,0.09077812897866232,0.06227449682260719,0.03480279126794431,0.12897942821016822,0.12826171089424698,0.07994401970651825,0.027821351459746794,0.07878069314657436,0.022743953057264323,0.032779940230682064,0.04949781928795923,0.03400254542919193,0.020380516642781045
ADAM10,0.02689341655488849,0.0,0.20072100680582017,0.3001087365419337,0.04339256062613369,0.0665756352069964,0.05335326218634082,0.04308001879817211,0.0349462801785212,0.020058534762169775,0.30001451015022895,0.06660727397771232,0.09007968437940145,0.029629494554818083,0.08635568938792451,0.5515738297778262,0.051948690728991,0.9998774223970189,0.020878938570849596,0.03408151384206602,0.019499272996436837,0.05514490543947164,0.02222597031527333,0.71491467665887,0.39101079394827404,0.14026627414757178,0.07807396051058604,0.7144563689357466,0.7076651951140844,0.374171884645391,0.5830066268684607,0.25270275325031205,0.22415667496113503,0.45725502789713096,0.20706692383073808,0.0661973463422776,0.060772446593677046,0.10603801449465211,0.0633577239761361,0.025950950804477162,0.07503698066355612,0.5849667369635807,0.3712707065163181,0.048156448103539716,0.029957688704021337,0.06245218380614015,0.01936312985603839,0.08413752275544435,0.72574375215489,0.15599915559880903,0.2746694977551888,0.02930204709149064,0.7511902099102368,0.22757806946275652,0.027317317898338425,0.7927293784989861,0.5562641372526996,0.24318453097703177,0.031948795196345164,0.05372992186171458,0.32464260696424785,0.12067343903202515,0.2533236589085708,0.06363806087990456,0.1674800498998955,0.01864053816886464,0.9370269017629662,0.06610414598965937,0.056124225351498386,0.9986561820046657,0.029547941125751834,0.04587229967920303,0.5304383135269913,0.5359240233837735,0.030111661943168635,0.020791813371218947,0.9712450890966674,0.43684758268924007,0.7013490684576039,0.045387394588573236
ADAM17,0.135617623439224,0.04723216256898449,0.0,0.07133494696973415,0.049418575248841544,0.03477882787127518,0.024953444953383246,0.07037311243992131,0.14776370515089335,0.02371384989484009,0.11823142865078448,0.045129457881592665,0.12553275829166002,0.11817609028815246,0.04159319357219662,0.07184587340774581,0.01867627052353215,0.04104940180926015,0.03155928845638923,0.04513954351955733,0.02794932312205119,0.021382330267657144,0.01992102476723712,0.03050430996279963,0.15540008288382184,0.0639717840777955,0.12255046250233126,0.033962168932632465,0.04392373361654009,0.021957449420434205,0.10656584463417489,0.07779048411265345,0.0903230193642818,0.019292903636328726,0.031749344474206916,0.970175461818885,0.6203838313459303,0.09541059599555514,0.1487624150921709,0.05685416047119996,0.1850110876188566,0.19197605673690757,0.0431214423542827,0.07232452159951562,0.06934610195849034,0.024507560598478185,0.04272435027368214,0.0740657076126028,0.04155187658802301,0.019464649186725493,0.02184161751479035,0.08921720656552878,0.026880337629166213,0.2058993754766694,0.0811723643770356,0.03067128109756115,0.03534186893658344,0.5583172071707527,0.039426534209899174,0.035084729655377754,0.04096065597274305,0.2580992982359558,0.06387427595383013,0.24534184975251494,0.02543127846018658,0.07378605257020641,0.1598446253073684,0.10282548127374028,0.033064015620308515,0.2147391636789879,0.041133339594255004,0.34828897532588643,0.09209729512135084,0.032339325088691695,0.05407064604403524,0.07136739371894735,0.27404807267390435,0.019623269539582384,0.05223279880575017,0.03257374844453533
AP1G1,0.019651677134159152,0.29354750605249885,0.43344054305775465,0.0,0.9412604690783088,0.11585364871087825,0.019808516451498594,0.7363062007957943,0.07207881454533241,0.10301335976812968,0.04554305082284855,0.05901688867965967,0.30442777310790986,0.20568817011361426,0.5011981958852161,0.021017471379713642,0.04864633398713874,0.04078536578670525,0.8852314595875944,0.5201843931961226,0.02342270652002428,0.1844610538948914,0.11166789114524217,0.9766943036819261,0.6294472468622836,0.22584698876918766,0.02812323519686678,0.9447627730288101,0.6231579865409604,0.1821607229092209,0.14147955843458807,0.16872533614338212,0.49915641808238026,0.14538481905803882,0.5037106290940074,0.17211137680491326,0.622993957349949,0.03660179300674257,0.09106619547258292,0.09991897971097917,0.24971521613312328,0.17025186996081568,0.41908044211591094,0.029886689519585702,0.4839187290533216,0.021088926570281722,0.7752259235544793,0.018177220961747738,0.3622752008360897,0.025771975862644632,0.8458476310445533,0.7099261425965813,0.6916434460233861,0.7334879751013664,0.7568258053729299,0.05672781655452219,0.09041404991546442,0.5355277808880154,0.04643825708613525,0.01966183394492224,0.028771564424413597,0.16086965865141267,0.02134425688521986,0.28660730176995347,0.16679520440668155,0.5774855356083333,0.03246773289484429,0.10687444637171507,0.5972188119793671,0.29671073946620025,0.5892154680110138,0.13865654044520284,0.051742677587402905,0.3159195343886729,0.9866117187289003,0.03422562068289201,0.7252308624385623,0.0825425424640794,0.03277279790936092,0.9997718699475733
AP2A1,0.19346994549181706,0.06818767074069639,0.5473178402651117,0.9984227882303857,0.0,0.9999994960506788,0.15771451071031262,0.20514246746832607,0.20665516604311182,0.12973861434582906,0.03974768579291509,0.5344697904288374,0.05024246408949323,0.15966702304621952,0.2783544945027672,0.06415022165464926,0.08217303639576658,0.24393173743939817,0.29090462649015764,0.13596521314737953,0.11943328145701845,0.16987200673406203,0.03516773015571888,0.043328832692352916,0.13097521116850047,0.042272319512260646,0.8649140078757059,0.17517150990462757,0.5933657755110405,0.03847020210294856,0.09165885080788402,0.036845134778678554,0.03877823611444364,0.08967879316267811,0.2660077941297323,0.32918097176768374,0.026336772058735507,0.1260270206663236,0.04798732938328757,0.0338911611600716,0.16774183844963825,0.9315368840712345,0.9675277916890114,0.028690970607822292,0.0205851001663324,0.06406749222536738,0.16240819146208518,0.23206564131163301,0.05291987518190131,0.3948131537476568,0.03626020698131855,0.03517393434807621,0.3699114945438158,0.0955551896081912,0.9822896620626808,0.11607922571730432,0.36849581231130757,0.08621923478506135,0.09623898059012484,0.2802604526900924,0.21888917804816785,0.08377118636062804,0.6574962227579629,0.03234149832382466,0.14135738256643066,0.2227369550923419,0.6677024094541376,0.9985212408553069,0.04955393682804657,0.7957941195534906,0.026047505478534905,0.11864777071360472,0.20141205856357491,0.1179872288529372,0.08897406149130142,0.7705500561022436,0.10095897350990284,0.02049881853804629,0.18905414770402323,0.01833649047526833
AP2B1,0.04936697837764387,0.12540087906001265,0.21301270864680766,0.2705908361037235,0.9999994050565424,0.0,0.059299572757082065,0.2110435012859949,0.4154200719177498,0.06441208086104136,0.5002961153100633,0.11159788712059651,0.3595547021032184,0.03760032512453634,0.22163390665590385,0.35788162856157696,0.3531595563464871,0.27732150540284006,0.12190154734202677,0.21581155967621968,0.16262894983473025,0.11210819540356509,0.11803286473866961,0.5660683179991112,0.23993533700514214,0.024852525806355753,0.15953733800414752,0.5868201643569173,0.8727302171644029,0.028386217003340937,0.98076305322288,0.05366557067475378,0.1495618357904661,0.2967047328558446,0.9789738111323274,0.021299359033037337,0.021121874033286504,0.31007255931654887,0.026376416665016174,0.19107334985379104,0.02793029162771374,0.09821262102127817,0.021120779192497843,0.31817358333754286,0.7589872115192519,0.15674196582064018,0.6279585029148685,0.0667363244815713,0.8394921794099192,0.04461858724655792,0.5112772252854721,0.23250495540540914,0.036783298716264456,0.029625069044364936,0.9993213389975547,0.033864743200612404,0.0242659323644317,0.8183380561171214,0.2556745882092368,0.035138589242794095,0.270076944127978,0.574178824956526,0.043111390615586775,0.5268514383341469,0.4056273257184381,0.6642024694640029,0.9955647860814798,0.11755073546816182,0.9519853418883301,0.02320190660346286,0.2921531694170764,0.04701009127116418,0.6953720680050027,0.13437233231645573,0.8484120981282014,0.10895902018378498,0.13236622325364578,0.023840395246587834,0.024525040883853984,0.99683292124326
AP3B2,0.12621632407010255,0.04367564498392042,0.03609103938488294,0.019469666671657764,0.05937056592890374,0.03434915814104555,0.0,0.05134865359851122,0.7781288616652806,0.025116868551970335,0.14856614454170422,0.026932396683175902,0.10455281121837515,0.025887638887994557,0.12129305374739095,0.06483610262566555,0.6821201081052568,0.04363863158220224,0.11003773446344348,0.5681510658989354,0.1342072368808381,0.14392838127983323,0.5043294284781781,0.1401120375001348,0.23768237113168672,0.035884882687396175,0.45356646877418333,0.051486879946296006,0.07010344926869662,0.6661700012106391,0.043646017035129124,0.2614294943385277,0.15534055665392915,0.2411051037627297,0.02403289393837882,0.9377626422227929,0.06755410458705934,0.01880360068903553,0.06363531359486686,0.4339109777333428,0.18181220908858228,0.08162906613077338,0.06693362372571698,0.15360452945924594,0.19826233870920573,0.061723246654368534,0.131150558478941,0.018721982616294538,0.1111584011197934,0.03853965901266665,0.04678396713847313,0.15947123056948323,0.9995718685306964,0.35495045535444053,0.6697285057881858,0.047029440781922234,0.02557422121668283,0.5150194650434149,0.026697986986865267,0.031806783300901885,0.10123200964338203,0.06712384302312308,0.03662916960663995,0.05231649792461313,0.02142675522235674,0.056284427707880294,0.23009361156939415,0.1909217755071058,0.039967418352803416,0.05584666334822154,0.05068947409047892,0.02305535520630372,0.12445786062850889,0.08571460087130957,0.049745708915613626,0.5684245124635268,0.07952676108361639,0.1368117215677322,0.27553609543423746,0.5774201788868919
AP4B1,0.06013377701587932,0.02374099388052991,0.05604795290062879,0.08320632131519498,0.030649020130480566,0.031019582019374405,0.027124300022964253,0.0,0.33498266541606353,0.02648526169218466,0.02116883654373386,0.01800141818425389,0.27071810511750033,0.06018715662818593,0.02657677926537617,0.028699337064301406,0.06460862659695801,0.02148425059064557,0.027190165749210723,0.12805964720918905,0.02003220309106678,0.018676516402050078,0.025763040023168517,0.021340675786703938,0.07708674330037142,0.17801959294434633,0.019910000917439778,0.05411479896441917,0.031625298072204724,0.039646239126138176,0.05498087819353541,0.02632575424178481,0.02847705635724298,0.026920236887009775,0.2312187370204204,0.029187314321958403,0.29421304060508313,0.028972140880018836,0.11072057571708213,0.036487565578224725,0.020838906425179406,0.030415987809639004,0.01963394227255492,0.05515843844012221,0.0324927031915376,0.03922438520639598,0.5254263874460188,0.027304437774779606,0.06663278765636912,0.0815295023928203,0.018015242903112294,0.34493235686764573,0.34030950645844027,0.03063819012285213,0.030447052420252602,0.018611397504848595,0.05969537838710157,0.048215269679717794,0.04190986519502941,0.046895916964661326,0.06940758556834382,0.03638372344324986,0.04420035650380318,0.16136783095475313,0.023760263453777956,0.05244084976037859,0.02451133460185279,0.06282673167048311,0.029818356181156948,0.056268428178233,0.10008014094500925,0.03877474536691675,0.029398674572340362,0.09410283525226781,0.1148727021142246,0.052621890402653006,0.11370569992123851,0.023609025570268852,0.02483006981400486,0.018220924328713257
AP4E1,0.055953978703305464,0.021842411472468497,0.09266359851748528,0.027233620271617253,0.029465586547712683,0.03566498631034466,0.10712069192310533,0.28032116135602897,0.0,0.1984871658007412,0.3018553552672882,0.06244865755441428,0.056540199595250425,0.03190086916404245,0.052952066253552886,0.35576961512092087,0.1147178247532504,0.02863329854096678,0.1087273931204286,0.02237005659766282,0.048191213084999705,0.019306978522183386,0.03801580967786802,0.018648978725460105,0.13195672263196942,0.041666932299824974,0.04556686349944559,0.03383690217050118,0.06426844541268796,0.019272341012794555,0.023202770914911942,0.037275894058326715,0.02134551858750158,0.01860123747712178,0.04297871707493657,0.055056310086755954,0.040712570384086565,0.018950979913911276,0.5274642772178183,0.06582410138364975,0.028359391057384786,0.09108031732669358,0.020842998487128367,0.36622683834147995,0.02139103254303788,0.16488842309818297,0.021419789558389378,0.04960590755062726,0.02279608599180606,0.09341647222580536,0.03758871591098396,0.02595312295331208,0.042513698798321134,0.025739950429859975,0.10192925001176233,0.06202019827062335,0.06605514414001734,0.03124124799303584,0.020336705756265103,0.04135243354198936,0.030505339286134907,0.04897058461311308,0.07820917871346769,0.07041847870140894,0.04494913570349696,0.024561887609138612,0.0678055928567192,0.03608147661142478,0.07824183700449534,0.023704207442128138,0.029738138578031526,0.06007526983044003,0.01834451300191685,0.0357015288238155,0.07618555941004936,0.01930206774718234,0.03411783013951667,0.03937551791960133,0.018581966458368196,0.056021551890959406
AP4M1,0.03660638286321693,0.018721996026120943,0.023493528815563543,0.03493559911767421,0.02943759865363704,0.02463654420958166,0.020922837436830877,0.028228854479642754,0.32981440578340704,0.0,0.1520034093852423,0.03660920854700863,0.10838113868443855,0.09812695095671918,0.025867060677883188,0.04205289134809989,0.032939933862355754,0.026275804861477094,0.041388512870880904,0.02194489212309621,0.042374384465907876,0.019916939063339852,0.02932495475576698,0.0258252243706466,0.17673768513910082,0.0221676471573038,0.06648192034415715,0.10106822897517377,0.02473791459271126,0.04921761305034784,0.058760540037231586,0.08461515164520383,0.021514440379124745,0.025089827579726397,0.032737267509870945,0.018017731867984926,0.09666047737235822,0.14126843281629023,0.05948353838464557,0.04931366353376942,0.2913397500565337,0.03963899341085373,0.024178517877922818,0.033733196994151456,0.03506733985443555,0.10836750872892037,0.04633166055576779,0.08707799208930059,0.025865574984705784,0.09455056367783006,0.0335621049850792,0.11428159490367794,0.018485354898296495,0.04000296728175072,0.060157145765085046,0.043247139347225245,0.1416215219786697,0.07452061908654402,0.03549626132268621,0.09195524389091242,0.2483516891613495,0.2580621173540955,0.24604484839940663,0.07234120178056065,0.018712181275922387,0.04940572224912799,0.03009639720622043,0.024645521332359366,0.06808505983776687,0.03555802542873682,0.10594283500294178,0.030009097854595383,0.07092961547090972,0.02021418633191072,0.020148515255349105,0.03187565057907697,0.022784035007976634,0.06471016672081907,0.05021289633936192,0.05187223009208629
