,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,-0.010284697541943989,-0.053695602426566284,0.0022563686250615723,0.06430952544313717,-0.02605384113864095,0.05162911144732828,-0.031270853702105306,0.029358865691619107,0.018244013788725127,0.062197315566073684,0.030407262400030187,0.051950940076888386,-0.003744463250249242,-0.02073480922003875,-0.07053747922921128,0.06237040683570897,-0.02450055454731402,0.022819082648257723,-0.04576814827756758,-0.075671156635984,-0.10777350544133073,0.049711419875246105,0.06346560814769941,0.02779573122934128,-0.032344743544184866,-0.0016598657330857889,0.0021608123015147865,-0.0008913242835586146,0.09092791733340251,-0.02062394377693102,0.006427532315839791,0.015510691045262016,0.08843587935537418,0.06221836346172006,-0.01936524310385695,0.07206262992079732,0.017963308140915627,-0.019329337957611725,-0.03393321107550304,0.031360517402815764,0.03771701456212831,0.11582329338958396,0.040935904543970586,-0.03852322728687801,-0.03827519105141586,0.05613027519001162,0.002505527036599478,-0.041737432872645176,0.009271789717422397,-0.10122116852464215,-0.012462744461966956,-0.0761435704728224,0.06239603458775537,0.00381264321439716,0.05335881421936709,-0.004690391578517306,0.04538354864306602,0.07411480332496098,0.0025964514414339532,0.024068087219677025,0.0362231213888104,-0.0015427130435325188,0.03193237130563896,-0.07778609515227453,0.016212851955044273,0.03615588138362,-0.08054667797811121,-0.040901818588409855,0.028405712461041833,0.056887816297599224,-0.06135706079715781,-0.07689108309236946,0.016055759994503222,0.061641362269262166,-0.012147437418992893,0.015779362563009283,0.05084038100877532,-0.04452858722551847,-0.010557941878846818
ADAM10,-0.003519937715548134,0.0,0.024892595231755864,0.07804458820491764,-0.034628308415620083,-0.051443750108584284,-0.022842337117988224,-0.007086883180104284,0.004954569241737247,-0.001021082073032422,-0.02669042954712762,-0.01943403350789091,-0.016681279762524637,-0.005929817604509414,0.02194355591382341,-0.0544646415973825,0.010156126529652849,0.3575249174471225,0.002702607800292696,0.00897383725881792,-0.001303612909345534,-0.023870017610334075,0.0022680323366341677,0.07473478352783794,0.03721076328183838,0.022355103798306887,-0.0137460527513125,0.06288556232348155,-0.06638215657757861,-0.036571640491986496,-0.0636166874077558,0.0294517722277928,-0.04742891300065634,-0.061800387136526864,0.02366390544847183,0.014386627190791148,0.018219152279472493,-0.035223410277099965,-0.01036631107633635,-0.004515838447946805,-0.016952154031739032,0.10455241603366583,-0.049379970811803224,0.008349653709476195,0.0059106520901081264,0.015451179540468884,-0.0005691244107701129,0.011057804425193852,-0.048393337794158976,-0.01378493967945648,-0.07923031574335535,0.00678626932402655,0.083864199269164,-0.04063205696326245,-0.004554747288923794,0.07321243863904948,0.05586805317316204,-0.03100428951345803,0.010129897911358023,0.01238748885231966,0.029470279199490572,0.02108530466389121,-0.04721890911615841,0.011390337343257426,-0.04112155709745704,-0.00030112892883089735,-0.10467008849160121,0.021975703565818083,0.012797528533984958,0.15229243810446946,-0.004734762688247753,0.009726423242988114,-0.06967208135456913,0.051026547216590445,-0.007224946511252755,-0.0025653668659552185,-0.06599127917248107,0.06237827806146454,-0.11323026175765374,-0.027053132956587924
ADAM17,-0.04832321213298453,0.06545514638085431,0.0,0.09330431503480759,0.10474598623504901,-0.06732849322170108,0.017876194177196016,0.029403306470595844,-0.04296156097279003,-0.006818590911667694,0.0443144810912793,0.035619787327513315,-0.053523831982786596,0.0607167737980654,-0.03033227600420754,0.04906530744134601,-0.0009346137997879979,-0.061360657580016326,0.026923229364546625,-0.034123980840099453,0.018780700357638715,-0.0095548841274367,0.00287562175912769,0.021615116302567364,0.06346587207435238,-0.03539452635817152,0.04795563597187549,0.021927554197741665,0.03286624015047532,-0.005615826874153952,-0.07230037667356207,0.04056428507756852,0.07642314326226096,0.003033255007692005,0.013637230737308126,-0.20914164856796028,0.17048084243942413,0.0867982049243655,0.04706125087022906,0.03774713374107358,0.07539700255736474,-0.16222186322580417,-0.03365884772806847,0.031299544915906675,-0.04174398237352856,0.009945008539689043,0.017732315897173372,0.02658036978433257,0.02204694664519334,0.001262264119073724,0.013628831596569827,0.0598851455632493,-0.0177492698969414,-0.10192741550391703,-0.044085892172603995,0.019704530913640775,-0.024100389211103048,0.1205039654472963,-0.036500492283645734,0.01974126646102144,0.020080004121832456,0.08105234700536956,-0.05594109675167843,-0.06570304426224811,-0.01597229108106097,-0.031978840905130465,-0.09615042007690276,0.07838455250419614,0.017840805235487867,-0.10202615823471783,0.020847616634418097,0.08940104015050682,-0.0760789139034276,0.0194724744528388,0.0409717565031736,0.06544739078624133,0.06982302279922688,0.0038872846981711246,-0.06757485147445581,0.045404408455686926
AP1G1,0.0007800186341778473,0.07883049697662028,0.035840955477071536,0.0,0.26126295591909543,0.07520932520394924,0.0020191029347011043,0.04001102178319316,0.01060770747823154,0.017032787639411167,-0.008187671181585832,-0.017766490584940314,-0.03169163028795479,0.031042491132052652,-0.05409051543804315,0.002077069115033661,0.009611006496268905,-0.02338364190777147,-0.1084660920924771,0.056413614731516244,0.004313513544914935,-0.05229260263588688,-0.020430505590328375,0.11870018271424522,0.047866054018174196,-0.02858085497356988,0.004147294379646656,0.08834916173199708,0.06181875741090566,0.02647553477588429,-0.03256414729263017,-0.024540527200032518,-0.06941154544150512,0.036337955750683396,-0.03611314592730406,0.026083555861295255,-0.06564856984950215,-0.013895611760642435,-0.013618885315626468,-0.021931927913244973,-0.03336455705580119,-0.05874909576639674,-0.052752479231634036,-0.004316250228597529,0.04497404643901235,-0.0019619141941525707,-0.04005835612363039,7.451517805790784e-05,-0.033757482963092535,-0.0022143736059843026,0.15066401232855978,-0.06715502986282648,0.07977788285206207,-0.07405236463066646,0.0552697825251568,-0.016459837682075297,0.022585673268312973,-0.04528358900179578,0.016992423427436256,-0.001003925064551889,-0.004380364110408222,0.02483287212500322,-0.0028528508517542944,0.027095963571786886,0.04145037912965598,0.03603539091420711,-0.009554581735694562,-0.030818248699141425,-0.04823240707836248,-0.045476896705278214,-0.0410326011010038,-0.022126336872879748,-0.018637969512406094,-0.040140998479933514,0.11477457911488811,-0.011570586136963277,0.04405940816845056,0.026771729482872993,-0.014495401688101704,0.35478229488439
AP2A1,0.014410679280770678,-0.022672372604050032,0.02608131368158215,0.16935267403778295,0.0,0.4583699717561052,0.030931232964631964,-0.013649348439814864,0.01263440407987216,-0.012609925609468357,0.004519348426405677,0.03871635278691801,0.006865414077990368,0.01777019332982893,0.026679596581982358,-0.011186743086357582,-0.009628768222027786,0.05162980587706478,0.03617279009155311,-0.019273119759293182,0.020760962495884223,-0.03254627214464737,-0.004731450806626998,-0.009005320822578235,-0.014436239723455785,-0.005886802083489106,-0.03442456955554186,0.020519930208657416,-0.03895835279511862,-0.005367572979558288,0.016395673461713556,-0.004870852583561234,-0.008889745187356898,-0.01778097038000855,0.01740440953182333,-0.02288508667639391,0.0036852027205402605,0.025473127424723043,0.005259160817216035,0.005127410297755552,0.017886353996184053,0.10419029929646136,-0.06883090167538719,-0.0025715121374499787,-0.001019333403019789,0.010330023974919937,-0.01169693444269263,-0.012585882064318285,-0.007106404148030317,0.013949463458587675,0.012329292818862423,-0.006121415350209783,0.03729524535569705,0.016781744125179812,0.055921008844849504,-0.017678127205434983,-0.0299599217380483,0.011616285999867793,0.019826480521089564,-0.02191229891349228,0.016108565729809683,0.011021458430231354,0.04927157795897311,-0.0034209405012721513,0.024671458963831487,0.014896515312287034,0.048051704739714714,-0.11191464394032175,-0.007443715166434187,0.050370230282229096,0.002308973137405288,-0.013162572180118765,-0.029023072549402656,0.016030429363820466,0.015003201127271201,0.05921784171918116,0.010419282668252853,0.0014535670432022669,0.03885447302284725,0.0003647608645430327
AP2B1,-0.005891081394213116,-0.033986968410818386,-0.016916288453398938,0.04919262852053206,0.4625197405756408,0.0,-0.01659437971444549,0.013959356997515939,-0.017568266826942004,-0.008035517522264477,-0.022378526395614558,-0.018178005890130883,0.02235508618332565,0.005807001221807629,-0.024239664432733114,0.02921218345652641,-0.020786167641081855,0.055247229955584044,-0.02377920016038102,0.024501865748771428,-0.02470525451633418,-0.026270592646754843,-0.013797573274267182,0.042815004439053554,0.019676813800232756,-0.002231131259817729,-0.01386861967709063,-0.036761395059399155,0.05320602103828706,0.0032367399864702178,0.0768960690442665,-0.007542004075763861,0.025695149954653947,-0.03345337080738723,-0.04612984068210993,0.0012111186678645178,-0.0015631688480993622,0.03986418704251577,-0.002051953480149275,-0.02035647644350403,-0.0033886150510253087,0.028352823721132295,0.0015390085547386226,-0.01757860048283772,0.03847149687217944,0.018321364315313244,0.02262677647731688,-0.006170530075617185,-0.036351800579495046,-0.0036876364794287283,0.06990550882688382,0.02517708677130263,0.00797465589697683,0.004937314620926617,-0.07950980647960498,-0.005877557942808679,0.0026715803838653,-0.0393631369709958,0.033316524041955564,-0.004971493669818524,0.017910436090785496,-0.029735445901365544,-0.009619381978653873,0.023573431343705757,0.041015567578062684,-0.025590055450067307,0.09716039058758645,0.021309211446409786,-0.050166235956401205,-0.0024649233316161217,-0.01917184739325623,-0.006596969361914046,0.053885271156199774,-0.017385975790285974,-0.05175644633993979,0.02176906950620225,-0.012290151617938222,0.003165664093230973,0.004882148382566189,0.18271113657722607
AP3B2,0.021737390982834934,-0.028100228302589805,0.008363166708159427,0.0024591006270647054,0.058116687167441755,-0.03089943420133589,0.0,-0.010504342028751598,0.04698761855689773,-0.003855770139374073,0.023475087750820602,-0.0072580049351559615,0.022528081361447662,0.005312917484686106,-0.033224485825336214,0.02119981991962743,0.05430955427757555,-0.030866637983331086,-0.041746168586244324,0.07196554187263178,-0.04160960864441767,-0.05617227429076428,-0.05189619468264072,-0.04084706660114688,-0.03647955108663582,-0.008917106065847339,0.04211798935599606,-0.017092718258813942,0.02365723597911321,0.06054644696804302,0.016481682339723674,-0.03679886711097208,0.04879155083065581,0.056660232792597826,-0.003242637435157704,0.08778029793130573,-0.024420294934879228,0.0010501663584777435,0.012798012511698353,0.05535470936351424,-0.0349743022839901,0.04677746227215238,0.02387760566501093,-0.023184600498955654,0.03622475381028748,0.018823476877259163,0.019645063883234688,-0.0003445308377192191,-0.022996433570921456,0.005745595685406965,0.03171861239551481,0.039062029576325735,0.23757428346889625,0.06122505384736078,0.06169861074871515,-0.016712880259459727,-0.005850412067742859,0.05405651940307614,0.008547462457172863,-0.007868961980888288,0.02015344815202389,0.017622814188148848,-0.014534845265407869,-0.011790274331495713,-0.0037689931731013132,-0.012014958114130194,0.05366189812357924,-0.0511132768661456,-0.01097746953451541,-0.020698659507453858,0.012262103515126476,-0.0031426040875160584,-0.04260871574721256,-0.024734662062983685,0.017687262945640183,0.09128082220920503,-0.016746369290916475,0.04420556552619128,-0.08705017414130134,0.15044196280733854
AP4B1,-0.033954051480258804,-0.022483487872378437,0.0354756988791981,0.12567143718505003,-0.06613854516976891,0.06703382737106447,-0.02708993438381662,0.0,0.0764282723911693,0.011530608339452677,0.004462997397887367,3.9019112087487404e-05,-0.09437577511320898,0.04607631817659803,-0.016935932981805943,-0.01964225421106046,-0.03902855406876851,0.015809100906422,-0.02382875282919225,0.09039228080933277,0.005517870446259687,-0.0025068914877541416,-0.012236104366367165,0.008407090892580266,0.05036166296390754,-0.0801088168601825,-0.002950009408482065,-0.0462132484727476,-0.02493788970572518,0.027051891379970945,0.05380873713885583,0.012480858347973134,0.02565128095523984,0.021119856827770973,0.07906567485469394,0.01671402400537781,0.14311951678645632,-0.029189947591076064,-0.048245392039373516,0.02777005047337328,0.005425236543452776,0.04109576140395342,-0.0040294090311678,0.030221463302769456,0.02176127749038131,-0.03043222651440402,0.09852659591230911,-0.009288806486611418,-0.04199811706817879,-0.02985792145768569,0.00013630095234379248,0.14472384543968864,-0.17397592836086984,0.02531819018192027,-0.018225822289836546,0.0015135032328712338,-0.05213506130482304,0.03493137425468198,-0.04751355837613044,0.034324726585170516,0.04017912795420375,-0.024029187109561184,0.047531598045328124,-0.06481780826703272,0.015477613603746866,-0.029022601400791645,0.01567161693358154,0.06691583743233374,0.01784741166045153,0.05374327177949418,0.05330690753960089,0.025245898572113772,-0.02697531222623938,0.06779628647922185,-0.08504784132232872,-0.061085857981098356,0.05419499435473807,0.01467402086556052,-0.024382399744595412,0.0011880256618385454
AP4E1,0.03455925903899916,0.017040706558919236,-0.05619376453233386,0.036120334176947294,0.06636983912918676,-0.09145991780319691,0.13136988467584548,0.08285664195249856,0.0,0.0822743852303581,0.09205363829645205,-0.063454221289323,0.04030633459843273,0.023435959953821552,0.05132749117935104,0.1516680664543708,-0.06236697593676625,-0.04498914047188785,-0.11589352366742493,0.010478051716547967,0.055385823235190465,0.005115124887471641,0.02777412128084284,-0.0019260328073208135,0.07614436312321235,-0.030394623230545578,0.029581781161005787,0.028513017983052318,0.06178700309404641,0.002539622696168973,0.013122356204174854,0.026006440540792635,0.010329273850803792,0.00190144481000498,0.027470151700541824,-0.042309955377224616,-0.04172358653117338,0.003452134093986878,0.11215960460834519,0.05584105086059502,0.018255652400944823,-0.14070957213325933,-0.0073507771231142265,0.09755485134723847,-0.006881055646360874,0.0978655709123274,-0.004640781380622586,0.024698524216855495,-0.008095828830806314,0.03542783895052639,-0.06812843578083722,0.017510199049029753,0.05003351109925604,-0.018430593662888597,-0.06684662757741996,0.06051752076451581,-0.061431763863460685,0.021058552103837985,-0.007408851702177607,-0.03225630917748767,-0.01678617071845671,0.03722209137758572,0.0852942564888892,0.04241790506489087,-0.05570002811335954,-0.009056985213567799,0.07410132918339629,-0.03996305784336808,-0.057320486890193735,0.013914992161455609,0.01649656741509083,0.04332302467131714,-0.0011679507560920204,-0.0298063442493981,0.07085032096879729,-0.004294668448512448,0.019823596466070313,0.04613617819902143,0.0026632745667100346,-0.11467140094518588
AP4M1,0.01699413842403811,-0.002779047414280483,-0.007057588279461586,0.04589544295475528,-0.05241820394209797,-0.03310315210803916,-0.008530551891052372,0.009891886287875013,0.06510558643686702,0.0,0.05255677502346819,-0.028385158124119885,0.05092429559749984,-0.056264358171946215,0.013517401559796432,0.030800160006042868,-0.015649573158413064,-0.02899152139457953,0.041473733569768176,0.007560540308100319,-0.038020937252742894,0.005826185689790164,0.014302878762325255,0.015288654153611783,-0.07008236372124296,0.005934185722782579,0.033179807256518354,0.06316158490201784,-0.012045648287161197,0.02966871609173976,-0.0489769302266202,-0.04450216504376211,-0.00855074948182693,0.014942210243899329,0.014882643207356919,5.1589102109345254e-05,0.06935022104554846,-0.11265066662142181,-0.02676195011165769,0.034142383846386445,-0.09645102243790887,0.05323355307717608,0.01169298102037645,0.014426969454969041,0.021098613666468976,-0.06163903004630242,0.020101947537329357,-0.03079680168508226,0.00983535578388508,0.02825101170631646,-0.04554774714935236,-0.07216830859766508,0.0012466380856285407,-0.032723666067642466,0.036286439120986724,0.03370030387454552,-0.07908934129949816,0.0436177866395248,-0.03267198668734967,-0.05095472902307559,0.07100537211702644,0.08388776697343765,0.12680359166613922,0.034252096972656375,0.0018825446746629202,0.02348353901076848,0.022416378279089287,0.014237132081546167,0.04092209380140342,0.027328856592979678,0.04734007194173529,0.01437940532186784,-0.06567096769219419,0.003989784223211569,0.004312223433722561,0.027702612605129878,0.0057645961999606655,0.06023406367781753,0.06730417211929278,-0.08446388434159278
AP4S1,0.06286255091731228,-0.07881928086528646,0.04976785831608441,-0.023937887785257368,0.02038388857828751,-0.1000296115344683,0.05635271149507368,0.004154273909021261,0.07903804094664231,0.057025658386960894,0.0,0.11461988062475767,0.0736030028554908,0.0614610713803996,0.03288724534619299,-0.017000599074360682,0.03907271618360099,-0.003015958869518723,-0.024170154554878316,-0.03796529921121453,0.10561841939169125,-0.017749839028187157,0.025179532091324466,-0.046088376381647575,-0.013816323295673338,0.015798762545637682,0.02372998033025414,0.0019646334981763543,-0.006018542963309767,-0.03439884250524586,0.09802879047115666,0.0025586197910558296,0.015999272401257914,-0.013792770413242707,0.05130760693855268,0.08941449361245378,-0.04082488822919567,-0.21202678156948568,0.043760042605046956,-0.047669309211361574,0.0015632632418841243,-0.054075374386100904,0.03863968013950354,0.023782951021927776,-0.02256400168385071,-0.020934981550951803,-0.05182648311498088,0.04061556375018426,-0.06780602895584223,0.021890038729203757,0.0586906227819751,-0.10457456712194438,-0.00898259240340962,0.11206204359345101,0.010834825556360485,-0.032858614201793986,0.1247848089663527,0.17966938355010492,0.006417390731723151,-0.04116461119614417,-0.034454759153271154,0.022046558127415995,-0.028047061757104003,-0.028151238666375145,-0.05086580962207234,-0.0009133362860784748,0.06469386711655707,0.008584689663784256,0.13650622750219457,0.07957888127104283,0.018656840713782347,0.015029416633063482,-0.04661061553623905,0.04169054455487435,-0.01465936747120024,-0.008400606289800739,-0.02953442854853067,0.11927243764291189,-0.14291908642341689,0.17572286289199962
