source,target,A,B_coef
CLU,APOE,0.9999999848527696,0.5501362031222113
AP2A1,AP2B1,0.9999994960506788,0.4625197405756408
VDAC1,NCSTN,0.9999951983414337,0.4061636090860037
TMED10,TMED9,0.9999938877652541,0.4001302996801567
BIN1,ADAM10,0.9999664015390435,0.3575249174471225
VPS35,VPS29,0.9999650411981642,0.3565326330195619
VPS35,AP1G1,0.9999625059869636,0.35478229488439
RTN3,RTN4,0.9999532792038491,0.3492818614200298
TMED2,TMED10,0.999919836623905,0.3357840909492907
CLU,SORL1,0.999919650161634,-0.33572600310851514
BIN1,SORT1,0.9998267928857832,0.3165212316352328
VPS29,VPS26A,0.9997240935841318,0.30487932195503936
SEC23A,SEC24C,0.999688834758332,0.301871881238311
MFN2,HSPA9,0.999635304129828,0.2979020505432706
BIN1,PICALM,0.999439680257295,0.2871610622819864
AP2B1,SAR1A,0.9993213389975547,-0.28236774809254583
COPB1,PREB,0.999169570305069,0.2773184127926919
COPG1,COPB1,0.9989046388233974,0.2703893791732516
COPG1,COPA,0.9988174822395747,0.2684731550209422
ADAM10,SORT1,0.9986561820046657,0.26527239361152544
AP2A1,AP1G1,0.9984227882303857,0.26126295591909543
COPB1,COPZ1,0.998406185825772,0.2610007549509667
APOE,APP,0.9974451406673398,0.24917999959992784
PLCG2,SYK,0.9970904293171812,0.2459208982161995
BIN1,LRP1,0.9970273382287042,-0.24538301048336622
RTN3,AP3B2,0.9959418890875275,0.23757428346889625
AP2B1,SNX4,0.9955647860814798,0.23534335878901097
SEC13,SEC31A,0.9951767798681952,0.23323696518626208
VPS35,NCSTN,0.9950522790389447,0.23259670547188854
SORL1,LRP1,0.9948863926905359,0.23176808664685233
HSPA5,HSPA9,0.9948642150790692,0.2316593392960975
VPS35,SEC16A,0.9934097402119663,-0.22538876095648325
VPS29,SEC24B,0.9923175257887141,-0.22152753710861506
MFN2,SEC24D,0.9911593211042249,-0.21798779043898087
VPS35,SEC31A,0.9898293648472855,0.21445069769654534
SNX6,BIN1,0.9897075527384815,0.21414997868845012
BIN1,GGA3,0.9889594245316335,0.21237690346925173
LRP1,AP4S1,0.988805457937592,-0.21202678156948568
GGA3,APBA2,0.9884274360098492,0.21118695270807106
RTN4,BACE1,0.9868039099692008,-0.2078637692748232
TMED10,SAR1A,0.9865907357083282,0.20745773663779984
VPS35,COPZ1,0.9853658937962729,-0.2052414548054003
VPS26A,SAR1A,0.9852002643545972,-0.2049558903939684
RAB1B,RAB1A,0.9846170912370119,0.20397489383011932
BIN1,ITPR1,0.983600527027179,-0.20234926619115623
COPG1,COPB2,0.9829138215943951,0.20130628978073342
CLU,HSPA5,0.9825656449332598,0.20079311167431743
AP2A1,SAR1A,0.9822896620626808,0.20039344257683847
NCSTN,PSEN1,0.9811077946115927,0.1987483228054359
EIF2S1,HSPA5,0.9810163855367243,0.19862532379746842
VDAC1,VPS35,0.9806025467154981,-0.1980756360713908
HSPA5,MIA3,0.9801450893176494,0.19748123112384636
TMED10,COPZ1,0.9798713290219155,0.19713190126522348
CLU,PLG,0.9796255611490244,0.19682223251254632
AP2B1,IDE,0.9789738111323274,-0.19601840354627703
VPS35,SEC24B,0.9783411100119906,0.19526105998246848
VPS35,BACE1,0.9755443201325017,0.1921533274479214
APBA1,BACE1,0.9740627631139837,0.19064490215739913
ADAM10,VLDLR,0.9712450890966674,-0.18799425696781716
SEC23A,PLG,0.971023690419641,0.1877968070210866
VPS29,ARF6,0.9707043259750047,-0.18751455140839499
ADAM17,ITPR1,0.970175461818885,-0.18705363650089768
VPS35,GGA2,0.9690086874641971,-0.18606416632030243
VPS35,VPS26A,0.9688832309224472,0.18595993068501296
LRP1,SAR1B,0.968142033583914,-0.18535228329313178
SEC24C,ITPR1,0.9680955361463061,0.1853146211013455
AP2A1,MIA3,0.9675277916890114,-0.1848589888784896
