ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,APBA1,VDAC1,SEC24C,APOE,VPS26A,COPG1,HSPA5,SEC31A,COPB1,ITPR2,SORT1,AP2A1,SEC23A,CLU,SEC16A,SAR1B,VPS35,AP4S1,COPB2,TMED9,AP2B1,ADAM10,ITPR1,HSPA9,LRP1,TMED10,PLCG2,SYK,ADAM17,EIF2S1,RAB1B,COPE,AP1G1,OSBP,PICALM,GGA1,SNX6,RTN4,COPG2,RTN3,SEC13,COPZ1,MAPK14,APP,PSEN1,NCSTN,SAR1A,APBA2,GGA3,IDE,SEC24B,MIA3,GORASP1,PREB,TMED2,COPA,SNX4,VPS29,SORL1,MFN2,MAPKAPK2,ARF6,GGA2,BACE1,RAB1A,MAP2K3,SEC24A,VLDLR,AP3B2,SEC24D,AP4E1,SIGMAR1,AP4B1,AP4M1,SREBF2,BIN1,PLG,ECE1,SEC23B,ABCA7
1,COPB2,COPE,AP2A1,RAB1A,COPG1,VDAC1,ITPR2,RTN3,SEC13,SNX6,HSPA9,RAB1B,VPS26A,ITPR1,SAR1B,AP1G1,APBA1,APOE,BIN1,EIF2S1,CLU,APP,SAR1A,HSPA5,ARF6,ADAM17,SEC31A,MIA3,TMED10,VPS29,GGA1,TMED2,PLCG2,SYK,LRP1,COPG2,ADAM10,RTN4,SEC23A,VPS35,MAPKAPK2,MFN2,GGA3,NCSTN,OSBP,PICALM,SORL1,AP3B2,SEC24B,PREB,COPB1,MAPK14,COPA,BACE1,SORT1,TMED9,COPZ1,GORASP1,SEC16A,GGA2,AP4S1,SEC24A,PSEN1,IDE,APBA2,SNX4,SEC24D,SIGMAR1,SREBF2,SEC23B,AP4B1,VLDLR,ECE1,SEC24C,AP2B1,MAP2K3,AP4M1,AP4E1,ABCA7,PLG
2,ITPR2,COPZ1,RTN4,MIA3,SNX6,BIN1,VDAC1,SAR1B,AP2B1,CLU,HSPA5,GGA3,SEC23A,COPB2,RAB1A,MAPKAPK2,ADAM10,COPG2,APP,VPS29,RTN3,COPE,EIF2S1,PLCG2,SYK,VPS35,AP3B2,SEC13,RAB1B,SEC16A,GGA1,LRP1,SAR1A,SEC31A,ITPR1,SEC24C,SORL1,AP4S1,COPB1,APOE,COPA,PICALM,MFN2,OSBP,COPG1,NCSTN,ADAM17,AP1G1,SORT1,AP2A1,APBA1,APBA2,MAPK14,IDE,ARF6,SNX4,GORASP1,SEC24B,GGA2,TMED9,SEC24A,TMED10,PREB,VPS26A,PSEN1,SREBF2,SIGMAR1,MAP2K3,TMED2,HSPA9,SEC24D,PLG,VLDLR,AP4E1,ECE1,SEC23B,BACE1,AP4B1,ABCA7,AP4M1
3,BIN1,COPB1,SEC13,RTN3,HSPA9,VPS29,RTN4,ADAM10,MAPK14,MIA3,EIF2S1,VPS35,PREB,COPB2,AP2A1,MFN2,RAB1A,SAR1B,TMED10,AP4S1,AP3B2,SEC16A,GGA3,SAR1A,SEC24C,ITPR2,SNX6,TMED9,APBA1,SEC31A,AP2B1,SORL1,SEC23A,SNX4,COPA,PLCG2,SYK,GORASP1,TMED2,SEC24B,ADAM17,COPG1,CLU,SEC24A,LRP1,APP,IDE,COPZ1,AP1G1,PICALM,COPG2,NCSTN,PSEN1,RAB1B,ARF6,HSPA5,APOE,MAP2K3,GGA1,SORT1,ITPR1,BACE1,VDAC1,GGA2,APBA2,OSBP,SREBF2,SIGMAR1,MAPKAPK2,COPE,VLDLR,ECE1,AP4E1,PLG,VPS26A,AP4B1,SEC24D,AP4M1,ABCA7,SEC23B
4,RAB1B,PICALM,SAR1B,SYK,COPA,HSPA9,PLCG2,MFN2,COPZ1,TMED10,COPG2,AP2B1,ITPR2,COPG1,COPB2,MIA3,ARF6,SORL1,RTN3,CLU,TMED2,APOE,VDAC1,ADAM10,SAR1A,LRP1,AP4S1,SEC16A,VPS35,PSEN1,NCSTN,APP,ITPR1,OSBP,PREB,MAPK14,APBA2,AP2A1,GGA3,RAB1A,ADAM17,VPS26A,GGA1,HSPA5,COPB1,SEC31A,SEC13,SEC24C,GORASP1,SORT1,SEC23A,BIN1,RTN4,TMED9,COPE,EIF2S1,SNX6,IDE,AP1G1,SNX4,APBA1,ECE1,MAP2K3,AP3B2,GGA2,BACE1,VPS29,SEC24B,SEC24D,SEC23B,MAPKAPK2,SEC24A,SREBF2,AP4E1,AP4B1,VLDLR,SIGMAR1,AP4M1,ABCA7,PLG
5,COPA,HSPA5,CLU,EIF2S1,BIN1,RAB1B,APOE,COPB1,TMED2,RTN4,AP3B2,RAB1A,COPB2,ADAM10,TMED9,SEC23A,SYK,AP2A1,SNX6,TMED10,SEC24C,MAPKAPK2,COPG1,RTN3,VDAC1,MFN2,APP,PREB,VPS35,ITPR1,HSPA9,MAPK14,MIA3,PLCG2,SAR1B,GGA1,ITPR2,COPE,SAR1A,VPS26A,SNX4,COPZ1,ARF6,LRP1,SEC31A,AP2B1,GGA3,SEC24B,IDE,SEC24A,APBA1,OSBP,ADAM17,SEC16A,BACE1,PICALM,AP4S1,GORASP1,SORT1,APBA2,SORL1,SEC13,AP1G1,COPG2,VPS29,PSEN1,SIGMAR1,NCSTN,SEC23B,ECE1,GGA2,ABCA7,AP4E1,SEC24D,SREBF2,AP4B1,VLDLR,AP4M1,MAP2K3,PLG
6,COPB2,EIF2S1,VPS35,COPG1,AP2B1,RTN4,ARF6,BIN1,TMED10,ITPR1,HSPA5,TMED2,OSBP,COPZ1,SNX6,APBA1,CLU,SORT1,VPS26A,PREB,COPE,TMED9,VPS29,COPB1,APOE,SEC31A,SEC16A,RAB1A,AP3B2,NCSTN,COPA,RAB1B,VDAC1,ADAM17,SORL1,PICALM,MAPK14,GGA1,SYK,AP1G1,GGA3,SEC24A,ITPR2,SAR1A,SEC23A,IDE,SEC24C,ADAM10,SEC24B,MIA3,GORASP1,HSPA9,PSEN1,LRP1,BACE1,SAR1B,SNX4,SEC13,AP4S1,PLCG2,AP2A1,MFN2,MAPKAPK2,APP,RTN3,COPG2,APBA2,SEC23B,SEC24D,GGA2,AP4B1,MAP2K3,SREBF2,ECE1,AP4E1,ABCA7,PLG,VLDLR,AP4M1,SIGMAR1
7,VPS26A,HSPA9,APBA1,GGA1,RAB1B,GGA3,SEC23A,TMED2,TMED10,HSPA5,SORL1,EIF2S1,MIA3,SEC24B,AP2B1,COPA,ADAM17,MAPK14,TMED9,SEC31A,COPB2,MFN2,COPB1,AP2A1,SORT1,COPE,PICALM,ADAM10,PLCG2,COPZ1,ITPR1,AP3B2,APOE,SNX6,SEC24A,BIN1,IDE,VPS29,ITPR2,RTN4,NCSTN,VDAC1,SNX4,SAR1A,SEC13,COPG1,VPS35,APP,APBA2,ARF6,GORASP1,GGA2,SEC24C,BACE1,PREB,PSEN1,SYK,SEC16A,RTN3,COPG2,MAPKAPK2,CLU,RAB1A,AP1G1,SAR1B,SIGMAR1,LRP1,MAP2K3,AP4E1,ECE1,SEC23B,AP4S1,VLDLR,AP4B1,SEC24D,SREBF2,PLG,ABCA7,OSBP,AP4M1
8,COPE,BIN1,COPB2,RTN4,AP2B1,MFN2,AP2A1,SORT1,ITPR2,AP3B2,COPA,HSPA5,COPG1,SEC23A,EIF2S1,RAB1A,COPB1,GGA2,SEC13,ADAM17,RAB1B,SAR1A,SAR1B,SEC24C,SEC16A,APBA2,ITPR1,PICALM,GGA3,RTN3,GGA1,CLU,COPZ1,AP1G1,SORL1,VDAC1,PREB,APBA1,MIA3,VPS29,TMED2,APP,IDE,ARF6,AP4S1,LRP1,MAPKAPK2,VPS35,TMED9,SNX4,COPG2,BACE1,ADAM10,SNX6,OSBP,HSPA9,PLCG2,SYK,GORASP1,SIGMAR1,PSEN1,NCSTN,TMED10,VPS26A,MAP2K3,SEC24B,SEC31A,SEC24A,APOE,MAPK14,SREBF2,AP4E1,SEC23B,ECE1,AP4B1,SEC24D,PLG,ABCA7,AP4M1,VLDLR
9,HSPA9,SAR1B,PICALM,RTN4,SEC23A,RAB1A,GGA3,SEC24C,VPS26A,VPS29,ITPR2,VPS35,COPA,AP1G1,SNX6,LRP1,IDE,RTN3,SYK,SEC24B,COPB1,MAPK14,SORL1,OSBP,BIN1,APP,MIA3,CLU,AP2B1,RAB1B,PLCG2,TMED10,SAR1A,TMED2,COPZ1,GGA1,ADAM10,ITPR1,TMED9,SORT1,COPE,GGA2,NCSTN,PREB,VDAC1,COPG2,MAPKAPK2,COPG1,COPB2,APOE,ARF6,APBA2,BACE1,SEC13,GORASP1,SEC16A,APBA1,AP4S1,PSEN1,ADAM17,SEC24A,SIGMAR1,AP3B2,SEC31A,AP2A1,EIF2S1,SNX4,SEC23B,SEC24D,HSPA5,MFN2,ECE1,MAP2K3,AP4E1,SREBF2,AP4B1,VLDLR,PLG,ABCA7,AP4M1
