,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.02027575322302264,0.27551513983991116,0.022611596719348717,0.03440626728409266,0.0475220663437367,0.025573749965076317,0.040382577253853455,0.0692712979150208,0.1541388643027991,0.04574523753568367,0.20596671672698544,0.03437184849514654,0.07644989697699839,0.1436922341920328,0.04628678235113386,0.1824016917592397,0.02980349971970014,0.16972543283689115,0.033627615450109276,0.030348638647299576,0.10530108040621826,0.1239698022650779,0.04344265243875908,0.023557061782295035,0.05892128073489997,0.11829281276194326,0.029264144957890394,0.04016895605585401,0.5324053019526095,0.03796109089595409,0.1349401167621321,0.03524164418629239,0.05201460662907276,0.24403842122454397,0.3695971008444127,0.0796468838927199,0.022009513089221815,0.020698323904892284,0.05846664205073369,0.019065735212499102,0.021669475267341275,0.190804831329757,0.044286979213396846,0.06452721217521916,0.03130412965173958,0.018268554339119458,0.051972443396563144,0.03380281312070194,0.022560222143089847,0.020781252757055037,0.039290260061284964,0.0904869237446315,0.043239211595766526,0.05198735287868394,0.0399776531143456,0.06249187710586398,0.023373819658232847,0.07290435391877872,0.043362378956843806,0.17350507955265798,0.06926518826145114,0.1856786110026418,0.03363040935844752,0.04519242710491528,0.03356417088259868,0.021953196052294052,0.030736765435244735,0.021791697086937588,0.030793893203435944,0.1497736214272586,0.03736486659968173,0.04729538232656455,0.09815006252027485,0.2029218134022729,0.027928410559674193,0.019046757924859367,0.01974736072752133,0.019298169914204993,0.020838473634481963
ADAM10,0.027181926292228757,0.0,0.2001592719058993,0.622274902915612,0.025558624466458974,0.1758356960610831,0.0756016680603703,0.10256117943439257,0.03646399722750368,0.10485362715625583,0.018801473844711692,0.6267110143120659,0.0440080106813474,0.07446735408648839,0.07310528626394938,0.02019310344275224,0.40206924990888787,0.9999773841866042,0.018737418313157332,0.02150968286687469,0.2836353033164957,0.2445244476687381,0.13312416223595785,0.1627937966525468,0.03565990147804229,0.0981675426276799,0.17420739215670544,0.2538822573627991,0.036171845577551896,0.6508584792556045,0.34351713356802743,0.42292924389149456,0.21547194979360057,0.5692927287312202,0.3818170126510815,0.15513408515862212,0.3071868407650834,0.01854934964124383,0.11451378852156806,0.3579990545323578,0.023305750334922486,0.5340582868611377,0.2811260158935963,0.2754752361343638,0.050700163150579604,0.1178511889259118,0.026932322313508065,0.025830372089276108,0.04861533379972946,0.023724428739028667,0.3430885191545574,0.1180513204309248,0.6824882119471509,0.022181451950790975,0.6889180222358312,0.037266160125966646,0.026681529919996432,0.43814423982830536,0.024172749570328077,0.12046639005601491,0.09204435142121598,0.687479514955081,0.4132195340746325,0.7121508514916838,0.44440871673283405,0.049796715132351135,0.9731322623017005,0.03678539960203506,0.0767483941907943,0.9992368960569988,0.14693448064041859,0.14344383778042494,0.41758008636108745,0.4398142726048627,0.12226935411856465,0.09069026328013859,0.0215260552784434,0.028179811739788365,0.429098271877823,0.06712447524664761
ADAM17,0.7198965071784544,0.05911260733108944,0.0,0.02784688692826393,0.029094127843830787,0.02854700119043969,0.04748769045537079,0.28931213120538696,0.08552347724526678,0.10801182840910686,0.01918503669925556,0.03568903424452506,0.026372677396698647,0.10532821348327316,0.11810642361979111,0.07640088871449252,0.1846861357355679,0.025710397456420276,0.04770653298478941,0.03568964992344021,0.04347081793653216,0.06916784221773893,0.023502022001830936,0.046343819287015274,0.027524936118609365,0.1714203882132661,0.06773943059939086,0.019325773468565618,0.4669775941248824,0.03942425463927036,0.3110653873810005,0.046786417713572885,0.026832552580183328,0.08733660428955342,0.06402423352945887,0.42762708172742714,0.743596207246404,0.09049096519561443,0.04559785317651928,0.024972887062387594,0.1695389969033952,0.0839343441664266,0.11703832461787912,0.05251698452998282,0.032367406922890384,0.3275174694899238,0.11381785864884673,0.1414922963418319,0.04751639531914697,0.408334011135228,0.11884741755388777,0.03838713895979306,0.30792528138950204,0.059401214348577105,0.2699439428171871,0.06441320526719907,0.029978377145542554,0.08914928116752972,0.039620556000514194,0.37038728347074257,0.027758591676700528,0.04354666236284234,0.025695210354913775,0.15312814432332733,0.14520373993500274,0.11379211336543477,0.023126737505776304,0.025003571648596307,0.048068477668905416,0.47396674303112396,0.053672567450091704,0.5506518966241446,0.6716695255718053,0.0267052395992151,0.298221147164642,0.05000485657727578,0.02687789633614904,0.024267997642435396,0.020740775314612325,0.0701974122618511
AP1G1,0.042717153083550286,0.7233239637845641,0.0495482077125267,0.0,0.07949330161642204,0.8968835184806135,0.25351534065238596,0.19948275130721962,0.5721488951387367,0.07392008553568803,0.029263291832014704,0.06681089228629285,0.10680216051652476,0.15583891354902832,0.22752359904648456,0.02610338553329168,0.2283818824051063,0.026107705200628273,0.5735824240646966,0.26168678054362565,0.9315192776075489,0.29366499848087785,0.0883305641876001,0.1723574987794826,0.8824706609792532,0.08721445977601934,0.14220132695544324,0.9102836338212619,0.1796077849739376,0.05547661418364814,0.022473322461153574,0.8294557291479784,0.24440523388262944,0.03516632522082304,0.024602001372491467,0.2655413408063724,0.24845082153820347,0.10660610680428766,0.0702030370557458,0.9150165630592706,0.3352248775750525,0.30721307194586905,0.11656562616891625,0.6007293505890925,0.8598368233538964,0.0224797153863037,0.05657101256033872,0.1489618135526444,0.5062347360748487,0.12953631439880645,0.172191104528456,0.11748002652103584,0.11663719214090337,0.9935501236760671,0.334596288749697,0.05637948316326911,0.8359521851670835,0.3656490346569815,0.1121668878145586,0.043475135203769014,0.14618136531636677,0.2161146106467669,0.027392525541702947,0.41875424031073494,0.7335072740878967,0.22135102533782292,0.3432580488378161,0.0191230882487677,0.7834924675887492,0.05744839539622236,0.967850769718772,0.11705294851046667,0.02107059813567916,0.030486408007677945,0.9761847138616112,0.07414551765905843,0.05586842193698399,0.5976915612307256,0.020538196799110037,0.9999803924278561
AP2A1,0.48330219007766767,0.03273098636648798,0.09841929728375033,0.16854502885606232,0.0,0.9999982215782683,0.5530656796331592,0.10525041825811765,0.07685212792730334,0.11690006746924388,0.29635648068593423,0.46827779621216836,0.023846906989037464,0.483075636848393,0.052536532244990504,0.11152278888103863,0.023292012261188384,0.02043053278715173,0.21701482345230785,0.1292859423699162,0.8523981047253314,0.021101446927325785,0.26974429071074063,0.06569607818911251,0.0766940074400465,0.5768050074851468,0.21190297160227384,0.6988170125580447,0.7569582093889127,0.18466816727109345,0.030803733934986532,0.1953821295151327,0.09219957892088824,0.06316591985629419,0.037993735269379325,0.08579592450265602,0.631072521622327,0.16160801879608336,0.6920065573868979,0.020530314474913512,0.3939640632707883,0.4163955859319552,0.03255230421033857,0.07826592881264216,0.9628769943320682,0.6149066801999009,0.5247674793834687,0.9838547048913961,0.019472752475057004,0.21595722859553096,0.020661640431498294,0.9742505205763003,0.025990504671372462,0.05320466388111604,0.048734291957107385,0.051526349562677036,0.9523875726772968,0.17374038365533293,0.13095909942304396,0.6424838967816714,0.9537348531378178,0.6887731750464152,0.2270857702666812,0.24397766848673846,0.021777031007187093,0.714542456550787,0.16218511796079224,0.9291157683221635,0.35959118347928837,0.15482708913904383,0.07656651298638464,0.053773606161471206,0.027143220811269048,0.042270336056941,0.15846738313058908,0.9812644991984348,0.13571450706713883,0.07664969548677002,0.01957731128508619,0.2256490672484426
AP2B1,0.9499627684219835,0.7150779870058699,0.12022433955551483,0.9992547939469761,0.9999999089151458,0.0,0.28742954156230743,0.11910771618179962,0.06589547334552688,0.7420573441113891,0.6912516223857509,0.9091685002120263,0.035974351962820166,0.23342382996299932,0.08060351600040461,0.4426630129565313,0.7428055604897528,0.023651853468901102,0.11216708397933998,0.08426164529301326,0.03019503414111307,0.05105313000142159,0.08722998043079656,0.9349178286944858,0.9214126219293095,0.9355243116986287,0.29110248019807905,0.5097744055378552,0.14721788160241292,0.0504342050291417,0.11086948185651771,0.047601272218203754,0.13775211828454373,0.02909156192471197,0.9253314661941774,0.11685902371174849,0.07509399572215607,0.12245942256727764,0.039007471421064255,0.6532282019919181,0.5501193576057736,0.02835553676316102,0.1645427452553337,0.7846881857659573,0.9884453030120111,0.1289176688485363,0.524917580718726,0.7426751727272615,0.9939300934073486,0.8899368904350985,0.08123891780085374,0.15910458823630141,0.06293983455774028,0.4000286890868143,0.3021951722303993,0.8390130008557369,0.7530126761821271,0.8059474550931433,0.2738223847427614,0.04210924207144104,0.08011489741135101,0.3776461056603098,0.27697961553839606,0.31568981547765157,0.019856713259764985,0.3106389288942817,0.9998994633499846,0.18574154924897124,0.6320502700627563,0.09979843576813431,0.10444894343222971,0.29993990410659715,0.03995236460577666,0.33048261980612575,0.033919986296674476,0.16834526122706642,0.43862074171472826,0.9394773467435306,0.06171385074384362,0.9947383523901128
AP3B2,0.0745853112213027,0.09820101759530316,0.18702813405091703,0.30046530246188596,0.25660008697669023,0.10323149907955848,0.0,0.03374716789858262,0.03085093637312463,0.8458272435908584,0.999800311206486,0.041198533274794155,0.041957395177017916,0.32473355399607373,0.0889657768661019,0.3721789381265195,0.9948307263043162,0.02154247442114088,0.09322138766608865,0.041270363711282836,0.856873396479266,0.03832714064570779,0.6169228323243977,0.7869473052724717,0.9850208701348977,0.14460162490103948,0.4801156091141533,0.06717215300932561,0.07637625159401605,0.5457175079210675,0.2466923844487651,0.10657954369200902,0.018323914303590885,0.04914406359832107,0.03657955612216276,0.5554023664205429,0.022373608058393717,0.08274053502478694,0.0737057720045643,0.3765707192979256,0.11159178170426877,0.027633660402994434,0.018681652723362967,0.21618175590764,0.40368151125907265,0.4617779365282033,0.9658119148693185,0.2649793595712851,0.4656863034412858,0.037358889416554734,0.5880402414149801,0.39239629232369433,0.9989013061934383,0.8385670428738148,0.5288972541219576,0.02108080742308667,0.07224508736161206,0.07515589069606818,0.08959826325178258,0.12765482600920097,0.18336838937966835,0.24218266240373643,0.02988494895622233,0.15845898561055904,0.2365648655209508,0.7634035258580582,0.031285611222022745,0.09770311377524817,0.06269533261495894,0.025521576416254813,0.285245968675569,0.8239361712793332,0.046144992209854574,0.15353791772534636,0.09020647393921191,0.33536117955506534,0.45132239988666534,0.03886121258452714,0.0351168312608682,0.08817110731580102
AP4B1,0.04430827740422575,0.03202181550869122,0.13287722977680255,0.03785014996628377,0.0253653972031661,0.024653177435129552,0.021351543543582856,0.0,0.22719730626771859,0.04602391629272556,0.09982770829216987,0.0670848611636782,0.019144260188925167,0.018650838693992665,0.06999546668909874,0.0492033393106794,0.02222726470639305,0.04239796958504825,0.09412412894987343,0.12254223134246031,0.018437077112594125,0.04413004016982044,0.031006551922971533,0.03739111453007986,0.02627359278311595,0.1613156410694613,0.053803986698011154,0.050283696877961144,0.021216821027757248,0.04338816421873918,0.10646793170003979,0.12898248809051796,0.02892842350118467,0.024435216156065247,0.024003893781072906,0.06316054185768241,0.024574886127197246,0.04691682909783548,0.10741343634836323,0.052845785484764436,0.024158678224530775,0.02900910001091138,0.03089028370630078,0.04786247314479795,0.0700343761849464,0.019250629254961113,0.06038392093083794,0.054108170188616016,0.04947599664727811,0.027051038478952794,0.06515502470620203,0.06196061649843273,0.0629244494284987,0.01841527697534781,0.019427270091456835,0.02321071287422417,0.025044584441975975,0.027762364121670595,0.02813528444750107,0.023542155065910175,0.2634824930027714,0.026655626829023303,0.22085208471494455,0.02098981140283904,0.025384264218862425,0.05934607934830361,0.019819084878862036,0.02307963361031766,0.11485591327970204,0.019230713984962736,0.051716513896243516,0.12291312364294382,0.11533375245675462,0.06744876682880502,0.07329133698348281,0.054420995704498265,0.10127872817520064,0.026290560078779394,0.019585337041564854,0.019572705041842504
AP4E1,0.07512036060494309,0.022378368116391986,0.05033673835079864,0.05708468772149316,0.023479876023317105,0.022026063249699555,0.02068497902603352,0.2044334494427691,0.0,0.033062899677766724,0.04049238358943965,0.035860934250698785,0.052200442804264675,0.05776454203202596,0.09927950481672475,0.019528923332922783,0.052761756364297585,0.030325528371164936,0.04931469716971413,0.03469051041772511,0.02446442671296671,0.04969591925561816,0.018567111190450653,0.13428554882002933,0.4034241715336492,0.018421994395412037,0.031111884730035906,0.0246382064946753,0.04054953166435368,0.1896568050605604,0.023178056436163812,0.16130333905498764,0.02471529616529433,0.03921475691109191,0.022357324008067506,0.1105050686759661,0.06673817277358371,0.04168281168952005,0.021431499306049314,0.45121010177045656,0.03684353321311902,0.04011041471240725,0.024716588127265304,0.05051638293309133,0.05275300104567054,0.02082585772861192,0.04663913702107709,0.07534547710532179,0.02871663459377032,0.025374213520519457,0.0684758195116432,0.09027514248831489,0.04014995615583346,0.03875264735556147,0.05340569694648597,0.1447697316490169,0.03109117906196696,0.03843103265012381,0.0732647899330488,0.1327536628998126,0.07092579853331506,0.2694162220148633,0.03665130948847706,0.04298708567695458,0.07161157707224304,0.08956022171492727,0.028004289327027507,0.0703810822711384,0.04817783358997712,0.06795593517666532,0.021942452872455734,0.0182251702602547,0.04221222098105583,0.11405590199618452,0.02696683604276855,0.05208272972568622,0.0759109783592475,0.09239703437018042,0.04634887890386287,0.030774126037375372
AP4M1,0.24542983761769388,0.03462331837238656,0.07249463011013796,0.02884579102785086,0.027094641008774827,0.04368129723372689,0.09393111281025593,0.05147847488906886,0.03682179140936059,0.0,0.12352159141407763,0.022561966464055005,0.036710952358772565,0.02433657210360986,0.17387086041944924,0.10046016178388285,0.04783372022797753,0.019163348474474626,0.053484821559988245,0.02436587476387647,0.06672696348828432,0.04608874456840765,0.03135273552642264,0.07088249219111989,0.04684933217400206,0.021791979776763847,0.021249616774373842,0.30054882897656965,0.03295987076245061,0.06577443168921783,0.052292114393483205,0.22264237150209787,0.2438288840273291,0.032858871761640054,0.5541321114318724,0.031687196061078456,0.03207432393674104,0.019324220028039785,0.10318991649689521,0.06331716681231148,0.020502655593780585,0.04048835075480409,0.5457053570953329,0.1575158074224604,0.022277528908148627,0.3266153248367414,0.24919282023622402,0.07419059553881831,0.10137297948451375,0.1258524548404664,0.0190445582974361,0.018040436668881873,0.020519059948862862,0.05431894634414695,0.022048844073835384,0.07504478302715033,0.04523934499919514,0.040080693324207474,0.024859016895608134,0.1427055265620715,0.053425255431166274,0.06998298508901435,0.04539725093907195,0.049330206577985355,0.01859444237959519,0.12853465678811146,0.044123437141496434,0.04843331099496438,0.04559439679732473,0.03864936848609494,0.021562798985787758,0.10836077745835207,0.042590630498341366,0.05712387223402058,0.02551599335877575,0.025939344112690364,0.36118991033033154,0.07875359147880241,0.07460334488275694,0.020610082061690273
