,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.010558879694825359,-0.12359870773877876,0.022262541188178685,0.09832959784127131,-0.17359138582009728,0.037042540951495194,0.02321840283266955,0.03723570064501373,-0.07192157116984105,0.025638811387642825,0.16921668329618786,0.027753728013145098,0.07737649051989177,-0.1016289947148047,0.04277311891893225,0.10212800533620658,0.04722666596503746,-0.16361884809107727,-0.03803429382431647,-0.02529530543049707,-0.17088533191466965,0.08699833914071431,0.05188243839944126,0.006450662728222232,-0.04514163813195407,0.07432261145755399,0.022210036789064396,-0.036396123638243454,0.17476510864226696,-0.048037645113741194,-0.06608702518757512,0.04665013351511883,-0.06150137311926227,0.10397435715404989,-0.12670637751777628,0.09109515572033737,-0.017759170293636432,0.00392061943103108,-0.04560144228825125,-0.0026026958390531776,-0.015497231608929051,0.14069611870684706,0.030846361548434644,-0.06168423706663702,-0.020606351805332906,0.0005553081591689678,0.028709508006081408,-0.024374171379883656,0.007514122988270566,-0.014322348792959986,-0.05164454520757355,-0.07917097942111762,-0.04628308418278359,0.0386093780033946,-0.0453816036617797,0.06183002212409111,-0.01041411091360562,0.08709332781760099,0.03490012955365575,0.07483743906928962,0.06116187768716197,-0.12875370660960833,0.01989577039781435,-0.0647330830523054,-0.016483600212589156,0.01184702588204524,-0.030587270363919516,-0.008267352591138958,0.03408809478040799,-0.08679530055319554,-0.025293310602322854,-0.05658278112164243,-0.08833189552906234,0.12475111944550053,0.029005583827565927,0.0014779240662335096,0.0063261441928752615,0.006449807888094909,-0.015205622593564625
ADAM10,0.0030538649603919243,0.0,0.030815518974488795,0.12402524817753119,0.015346139343060318,-0.12300440263189516,-0.04456562350506627,0.01478019637076836,0.00557430168652173,0.016800225690883335,0.00034805046035501006,-0.08342413611390431,0.011133661085901784,0.02195738706635272,0.01937484291299774,0.0014977974547032455,0.04257423549235304,0.3881913181574634,0.0008176439792061337,-0.003127903182668016,0.04196528593892995,0.07630005701846122,0.02616789827119819,-0.039036800487425694,0.0047577053727014505,-0.018930551096748502,0.026381503060780326,0.03766701007603502,-0.00913843557355038,-0.05658012075086602,-0.06068474987142524,0.03291994273774731,-0.05292042928085905,-0.0693706225597673,0.036871615634611,0.024371771659439944,0.054067916349515174,-0.0007830898411252784,-0.015475793371411204,-0.03689981639910736,-0.0033529795915624295,0.09755047149903659,-0.048749174611130354,-0.029150681824439716,-0.014398523216627166,0.02085689406665418,-0.00418008900165417,0.0028020618470057834,-0.011176232671833557,0.0026573214886302936,-0.09422288400530397,0.036983496852523154,0.06447711228673164,-0.0031706585045675403,-0.04882679294758605,0.01195795509787302,-0.005582358803520686,-0.04223690219976053,0.005219767999194617,-0.0224116566900453,-0.015184686132952324,0.06041734785168632,-0.053891187675657294,0.04397952330213972,0.07447557712046332,0.00783294951360284,-0.12788056730663724,-0.011842539891430503,-0.018471598525118833,0.20005477105704247,0.02485393953323514,0.021555156002742656,-0.0601892321501117,0.05387611783425956,-0.027814427631158538,-0.031579329773521826,0.0013420538370901146,-0.008829067303983737,-0.09658356288199277,-0.040088233886468545
ADAM17,-0.07582954291342552,0.06536751977967496,0.0,0.026150216161379386,-0.04462718340794218,-0.05024231375215177,-0.06326406378219973,0.05310612618223445,0.02656569337189804,-0.036275347689190794,0.0010748581899648483,0.02755154358127708,0.010027377800850126,0.05855617340511723,-0.056002441118779264,-0.04060094280275184,0.06303905878172647,0.020461128860611532,0.04186837553390927,0.025576020811357417,-0.02632131490621396,0.07892373059483819,0.0071295607482073755,-0.03420304353407082,0.006252148035959521,0.05462522885881132,0.03155549621425803,-0.002001622938590642,-0.10451463869842907,0.020947964202143076,-0.12306444638274049,-0.018658778402530243,0.01695876409122038,0.056860132475762444,0.029293874695188023,-0.08317279640374547,0.18228422978699876,0.08952038680407816,0.016103257487054507,0.007683744638363619,0.06482908264138672,-0.08053900016162513,0.06686115258464204,-0.022576029677862694,-0.01718922223058232,0.07304313913140069,-0.041829045880023875,0.03529789411736156,-0.023152636929712995,0.07234727615651775,0.11910783747682271,0.030730380589833264,-0.09156449610197472,-0.03891484962524894,0.06491036701183499,0.04488529764748969,-0.01536235321719533,0.040027563390607125,-0.029777556081984763,0.08197906328993194,0.008357084784776087,-0.02437223469281219,0.011420646647791521,-0.04354235885585767,-0.09316790814460808,-0.0307795525742833,0.009172552091805024,0.011506630705540923,-0.02626994920118643,-0.1479095046544838,0.02658983387742745,0.08684574158965158,-0.16417880418099226,0.01229106197238386,0.09143603172051087,0.041726460798110335,0.006381107979604111,-0.012472768822366809,-0.008014568627000321,0.08802432283400702
AP1G1,0.005839469598671098,0.11248038216383335,0.011180196609489984,0.0,0.06010064510644918,0.2800276078182236,0.07887292212684123,0.019111618354899024,0.02988898607009174,0.012086970511289135,0.0034827544513855984,-0.022828509449877125,0.020555307313945288,0.03108781957955919,-0.03342811370830032,-0.004383710219439281,0.029817486245139444,0.0091250129491566,-0.07643479841962109,0.046054793658096074,0.08185449039105858,-0.07523043116386138,-0.018591672054469904,0.0364307388033961,0.03694683458178495,-0.015912474602737668,-0.021566120083990153,0.07385288745701274,0.02866302568373843,0.012934652192568575,0.003731676426646381,-0.04517115053334371,-0.05089366085551714,0.010117563850205945,-0.0030413714279458382,0.028599744091519854,-0.04451746129594189,0.042384104254223745,0.010171023195835478,-0.06246862887370946,-0.038111689016016234,0.06815947910170296,-0.028519465798550844,0.03842703971937951,0.07093949340164357,0.002166538079144693,-0.010889575584338628,-0.01550456110879775,-0.03976175095044057,-0.017855122431924227,0.06197205499302902,-0.03344816944617372,0.024239770544639293,-0.12147160404890166,0.030590757083292733,-0.01713564012982656,-0.07066185430366734,0.03521914417438026,-0.030277837338828203,0.009181737658336625,0.0179889617066446,-0.031028325806891684,-0.00576278418868299,0.029855090649283694,0.08964380548996607,0.01852993608025093,0.0512096636743266,0.0009127592620477299,-0.05854321900771155,-0.019515881658791093,-0.07447281251463517,-0.01748464529061397,-0.002402678979115969,-0.0070271833346955475,0.09590044051423437,-0.02493126613433638,-0.007788339413446414,-0.07661271206451835,0.0031901929427984345,0.3943038845044373
AP2A1,0.01663738892682967,0.00897776133913438,-0.012307670924776406,0.038768712104244346,0.0,0.5052868552266231,0.0734071162568776,0.008783082400021403,0.006803708911832249,-0.010476228733641802,0.014136136479132427,0.041835261379450414,-0.0020356326848005777,0.03412985513890918,0.00859936438729776,0.014294219961868452,-0.0018243592018368573,-0.0020075108613162003,-0.03117785813954186,0.02098395339788919,0.04595795109317293,0.0025320457082314072,-0.02162753411444649,-0.013004273177691848,-0.005989372739070697,-0.026779869248089092,-0.016965729549363838,0.03651295880089041,-0.038276310328273236,-0.018007701765524502,0.0058369366924907965,0.013492198070402608,0.019585011878733342,-0.012360507608694633,0.004711220310837231,-0.010106346497293018,-0.045031826039574264,0.03433668155660853,-0.02227792097469462,0.000852445518164143,-0.026467701406768445,0.05052872470067284,-0.005666217611698891,0.008624467961019663,0.057108239575796735,0.02743587622440577,0.02427903155279215,-0.0359333846249201,0.0005156974807984524,-0.01490261905343551,0.0023263662143647793,0.08303381153989155,0.0029787675101986153,0.00972012929923389,0.006127377481033149,-0.010164129585842287,-0.05665568822211182,-0.016076255085086616,0.021314024227572458,-0.029886066817447064,0.036476540057426864,-0.03538970641235726,0.023975171633642194,0.015046528472488845,0.0022509541725569933,-0.02143519360149262,0.023242771623645703,-0.06197347626392565,-0.024452865848307567,0.024111764809764766,0.009796876926641744,-0.006452022548018922,-0.004041216955560208,0.007376399671854269,-0.01868949509234771,0.08675399808402848,0.009204780113750541,-0.016989953973476853,0.0013140938912474265,0.047425733228145764
AP2B1,-0.02505318044515177,-0.061379502647239764,-0.01181897514616714,0.15407666897664354,0.43099456190551294,0.0,0.045954407070909344,0.008052816775448618,-0.00516858562977826,-0.02284572002449892,-0.018482824897490546,0.05807896670558358,-0.004290201145218126,0.02081004039391839,-0.010368433792255934,0.023879566144837838,-0.029837983930477666,-0.003685499296966874,-0.018903521130278437,0.013805995865827573,-0.003615035872972028,0.014284693721341479,0.01014509808217175,0.05495517159063887,0.021834804494168813,-0.03537835130553231,0.0167522723922619,-0.02598187180030795,0.014260708510810377,0.0065023893255327075,0.017326370257334633,-0.0044699721394513,-0.021123154317084492,0.003981944292876384,-0.03408266927653002,-0.010433034812248894,0.012606965745417212,0.02526851312553753,0.0031441524474994506,-0.0249748704174786,-0.026572534242009078,-0.005481943233104761,0.018875072554575698,-0.02538632620542995,0.05672328160411532,0.010943854638790274,-0.020712327938800578,0.019123295303287702,-0.04945423372219153,-0.028559621527556953,0.022093458062811995,0.021666237724153756,0.008773600868136463,0.026584770592499175,-0.0160725163274125,-0.04506056762340789,0.03533125436917149,-0.03047357881749428,0.026092330860188005,-0.004866603820932132,-0.006904702014122,-0.022039467562381804,-0.022405439631599196,-0.014432780249932744,-0.0009923163099786758,-0.011908341241616782,0.11102568026952502,0.020282540236914864,-0.02767119733705006,0.016081032873170257,0.0102445799210026,0.015321854413325413,0.006721465068934399,-0.023564362506892367,-0.004451787181126168,0.022339720478456924,-0.013714741235663339,-0.06465496616435208,0.01658800350805425,0.13511801390311837
AP3B2,0.008992939928462831,-0.03740838183282678,-0.025034187470602577,0.07300123174824648,0.10532662786586734,0.07730247402716077,0.0,-0.004373788511363041,-0.003563860421334396,0.04333615833968386,0.08098543457647518,-0.013216225006575813,-0.008839998495582868,-0.04069666697270797,-0.018642595840192126,0.037052076541660116,0.09184108926895027,0.00408060610856174,0.028404639240102798,0.01229441317362611,-0.06635467490959482,0.017338265625046683,-0.04624181701072549,-0.07360465576442149,-0.046530846924908505,-0.019814792917451012,0.03552361732821212,-0.014813828494153896,0.016118245437160325,0.042978756800999995,0.0438173111116298,-0.014035318711189858,-0.00031080806438009526,0.014117220641845831,0.006413176292433088,0.037474519066590085,0.0031724470515227016,0.03337219170045481,-0.009762527074898218,-0.031698460789404484,0.020485911805615886,0.008696295272712366,-0.0005165940716739012,-0.02187904204331476,0.04076706614182357,0.033892860528616425,0.06238757630854536,0.018943737301537655,0.035316697759503655,0.005923398356887207,0.10282494056002948,0.05560713874116637,0.12280558065410391,0.07025969840945924,0.035178569089928974,-0.002171847217912707,0.016817400808321746,-0.014081451560296268,0.024399610578651126,-0.01943100425246634,0.01866982886908086,0.03028277887280992,0.006445064106683657,0.017535149731584786,0.04681757593583689,0.03234367999029826,0.008021994299466541,-0.024038919122297914,-0.013277114861230824,-0.005372827922358579,0.02868422568505253,-0.04532086922173016,-0.013380924403767527,-0.02759182729762859,0.019434840117808848,0.051864764221886545,0.023386476352223438,-0.01277373321342605,0.014987380380852379,0.040918528403581414
AP4B1,0.020796593719924702,0.04577286353783212,0.07753182034379434,0.06526174233439144,0.04649496410788777,0.049977322725895175,-0.016136774219017155,0.0,0.06602969972163303,0.02715648185045415,-0.04298249907906768,0.07820485849502104,-0.002378574412118958,-0.001698298957347486,-0.05807796512302341,-0.04083436523993863,0.007905538885156552,-0.07220167168113961,0.10544281055140652,0.10782955480971562,-0.0010663216337489605,0.07606571227924597,-0.021263881747234144,0.038471602494694994,0.008125042048421911,-0.07735235200353544,0.03787339333923112,-0.04237775216601062,-0.006646863984800078,-0.03437094572004311,-0.10498291819059978,0.05775629846729827,-0.029441390566241767,0.015715246032456904,0.00956686492701914,-0.04267006690570606,0.016753886151888032,-0.07635221051677181,0.0461616578376795,0.03726440874113141,0.011829100538095303,-0.0357353956958811,0.027325935981645177,-0.030051469509603974,-0.05890862908738464,-0.002250299871234971,0.03935746722662241,-0.02671243479921217,-0.03523424661983377,0.012147849318529419,-0.1163899087479558,-0.07386380753431498,-0.054439714619045225,0.001102132955489573,0.002476780792402262,-0.0128839750710251,0.014501683388948836,0.015484601085561642,-0.02450987657835733,0.009481818128884921,0.08168105411120881,-0.015718529339545782,0.12527692241475388,0.004372510802633705,-0.02150190325280616,-0.02853914257541505,0.0051611463541671445,0.012704402284915733,0.07404507347355736,-0.003778681473212359,0.03747365725111904,0.06138044406782354,-0.09975581156354285,0.060977370823293325,-0.062104935257544396,0.06607071446272435,0.04120391538943331,0.023097176114352927,-0.006990077046473793,0.007816520783901942
AP4E1,0.035051570473548836,0.018142888566445154,0.04076097826582653,0.10726560036188282,0.037852343229852384,-0.03371203511316628,-0.013818716746252239,0.06939487654975081,0.0,-0.01839628443636355,-0.020937604792974487,0.042573093885188276,0.04328803187263542,0.058337453950552856,-0.07751500721477561,0.003465076071039069,0.04277376627901766,-0.04599552214899066,-0.06646520989444712,0.037600690062611575,-0.013964499819971077,0.09071832585902521,0.0012968651863763847,-0.11489985174522119,-0.07953836398067918,-0.0008429716254013169,0.019725839505707145,0.013488576052470664,0.03466865647387245,-0.10149194017207668,0.01525394425495758,0.06829227530162058,0.02065398234444545,-0.042281370390281625,0.007572946935573231,0.06587876693958554,-0.07521790054405048,0.07019843113321271,-0.004606989958330825,0.13375043176112042,-0.03038291216384283,-0.06331055829791382,0.01683246735712524,0.033358509170603956,-0.048696269834831045,-0.005106864496285077,-0.03237378000565973,0.03679546965386151,-0.016977055642739384,-0.010756946531854647,-0.12719754034011183,-0.10226029275281269,-0.03636937285032607,0.038058181469943816,0.03728637730142178,-0.11565986358373005,0.02526506496084552,-0.028594790412779337,0.08228407519748963,0.07697535405660594,0.04122990277184335,0.12329945523596011,0.035136475903444715,0.026174867218744215,-0.0922818853014789,0.04076516487789856,0.02484312504382699,-0.07443981009506413,-0.04040208871269474,0.0804767303770297,0.007321926243176496,-0.0004261212429516212,0.04690573920920873,-0.0909888401789005,0.01848108846198674,0.06662478344863866,0.03576876238128106,0.10728615978024819,-0.08258999209630906,-0.05246394934567397
AP4M1,-0.0574374677108043,0.04638945251337276,-0.047219696787246836,0.03680060132078775,-0.04944702693892644,-0.1264172306782624,0.14255603416059956,0.02421306447850238,-0.015606958774067302,0.0,0.0434235662806453,0.01179424453655576,0.024441521234745998,-0.012652922971506489,0.08946210664553414,0.06337197195280098,-0.03291971583996302,0.004711025245711314,0.06102242636773603,-0.014676041778105381,-0.05134639374414959,-0.0711574392316013,-0.019348575317593365,0.06510013229585114,-0.018458370376292832,0.0057432246697989645,-0.005069061738489798,0.11231288691553674,-0.021845453846449613,0.04550636392941821,-0.05512289972428499,0.06774952843203114,-0.15478485276656476,0.027659425304019467,-0.1220460888459134,-0.016943176394681014,-0.02777697785352651,-0.005034599700777634,-0.04017810176299815,-0.03894920562415201,-0.0046729982086181005,0.05434747890875399,0.18395599025040554,0.06165441865514327,-0.008111735582067025,-0.09496161024622891,-0.08099027102420223,0.030867238681792544,0.054679270000445486,0.053504348645695525,-0.0045236322376418,0.00015739632256916444,0.005018841152697206,0.04677471616032972,0.0058427088540534385,0.06567231585368236,0.036332189715068276,-0.02561918156060262,0.01578292668532366,0.06788242203995433,0.027577874862115232,0.049230711619004115,0.03890706435484513,-0.025777754741925535,-0.0018446267674436618,-0.04291735018847116,0.04300632994418362,-0.045483015715158594,0.03232634963531423,0.038854585195126995,0.0056653989913440445,0.05089595082421044,0.04021604095098755,-0.047355385727513404,0.013529065057688732,-0.019257631140327927,0.06935076614022205,0.0817492382220832,-0.1064015502910865,-0.011232969707424928
