source,target,A,B_coef
CLU,APOE,0.999999999108862,0.6209630414430678
AP2B1,AP2A1,0.9999999089151458,0.5052868552266231
TMED10,TMED9,0.9999993551812664,0.4563573986974089
TMED2,TMED10,0.9999988183943962,0.44121587954010544
VPS35,AP1G1,0.9999922836036474,0.3943038845044373
BIN1,ADAM10,0.9999901462905529,0.3881913181574634
AP2B1,SNX4,0.9998994633499846,0.33012219196172954
AP3B2,AP4S1,0.999800311206486,0.3129637681747054
LRP1,SORL1,0.9997792372747424,0.3104550321870934
RTN4,RTN3,0.9997692815311697,0.309352039882139
COPB2,COPG1,0.9997501777737031,0.3073627783606236
COPB2,COPG2,0.9997028505288559,0.30302445205713396
MFN2,HSPA9,0.9996844938433316,0.3015254201557408
SEC23A,SEC24C,0.9996465611010882,0.2986861608067762
CLU,SORL1,0.9996420633477666,-0.2983699133890747
VPS29,VPS35,0.9993110332279732,0.28199070775677226
AP2B1,AP1G1,0.9992547939469761,0.2800276078182236
APP,APOE,0.9991826889259517,0.2777168284681984
PLCG2,SYK,0.9991461120242094,0.27662140739808955
VPS35,SEC16A,0.9989850576386067,-0.27229769992853337
NCSTN,VDAC1,0.9989412959921884,0.27124126220485983
AP3B2,RTN3,0.9989013061934383,0.2703133488880175
LRP1,PICALM,0.9987698270096526,-0.2674842386663492
LRP1,GGA2,0.9984363039764595,0.26147845235567607
LRP1,APP,0.9982627447705368,0.25884275248927224
VPS26A,VPS29,0.9982293466527163,0.25836586137348644
MIA3,PREB,0.9979945630469158,0.25524714649300506
SEC31A,SEC13,0.9975800854798024,0.2505400053606035
HSPA5,EIF2S1,0.9975407609434079,0.2501360258881491
LRP1,COPE,0.996748567646851,0.24313507314849372
SORT1,ITPR1,0.996542048472072,-0.24159037412825748
VPS26A,RAB1B,0.9965289303958244,0.24149538453748481
VPS26A,VPS35,0.9965063011036956,0.24133236080573564
VPS35,EIF2S1,0.9959485231264165,-0.2376153524462695
COPB2,ARF6,0.9953071425357267,0.23392524277811602
AP3B2,BACE1,0.9948307263043162,0.2314960101027722
AP2B1,VPS35,0.9947383523901128,0.23105088821587316
AP2B1,PREB,0.9939300934073486,-0.2274580914756734
COPB1,COPG1,0.9938108819156094,0.2269688581654225
BIN1,OSBP,0.9921285752953842,0.22091534088055123
VPS35,MAPK14,0.9920913389433657,0.22079641708439646
BIN1,PICALM,0.9917220624943865,0.21964622613117607
COPB2,HSPA5,0.9916761093145803,0.21950666938192526
LRP1,VLDLR,0.9915115488337639,0.21901310106031244
RAB1B,RAB1A,0.991346601695547,0.218527802781602
COPB2,COPZ1,0.9894057655865681,0.21341986490640563
AP2B1,OSBP,0.9884453030120111,0.21122603219575137
RTN4,PICALM,0.9884021608084047,0.21113177140264858
VPS35,PLG,0.9881094012054867,0.2105011337740311
APBA1,COPZ1,0.9878029326418096,0.20985719186492652
VPS35,OSBP,0.987781627433702,-0.20981302203649516
SNX6,BIN1,0.9864001340060448,0.20710005370989898
MFN2,VDAC1,0.9861843111382799,0.2067009611204234
SORT1,ARF6,0.9858286747732544,-0.2060565502231789
ARF6,ITPR1,0.985542671702972,0.20554977476541167
LRP1,AP4S1,0.9853123293585097,-0.2051487566643329
VPS26A,AP4S1,0.9850320652098173,0.20466909904519284
AP3B2,COPG2,0.9850208701348977,-0.2046501234735403
VPS35,TMED9,0.9846570029518318,-0.20404085521505658
AP2A1,PLG,0.9838547048913961,-0.20274623864595817
COPG2,COPG1,0.9820800509773545,-0.20009395651286543
SORT1,ADAM10,0.9820524454053343,0.20005477105704247
VPS29,SORL1,0.9818683448295203,0.19979494789498073
AP2A1,VDAC1,0.9812644991984348,0.1989605470637698
SORT1,SEC24D,0.980916806439778,-0.19849199054331434
SORT1,MAP2K3,0.9783414743911615,0.1952614898856169
RAB1B,COPG2,0.9780614556852139,-0.1949331850499666
AP1G1,TMED9,0.9761847138616112,0.1928331043820668
RAB1B,AP4S1,0.9760714069178951,-0.1927115409857336
APBA1,VLDLR,0.9760273312534179,0.19266440525400494
AP2A1,RAB1B,0.9742505205763003,0.19083135170510196
ADAM10,SNX4,0.9731322623017005,-0.1897398445168944
VDAC1,VPS35,0.9730998246494418,-0.18970884666088467
SEC31A,SEC16A,0.972706032104338,0.18933540474212904
GGA3,ITPR1,0.9701335107101487,-0.18701741523985063
VPS35,COPG1,0.9679553509130797,0.18520139367152913
AP1G1,SREBF2,0.967850769718772,-0.18511723507418454
MIA3,AP4M1,0.9663736186470672,0.18395599025040554
AP3B2,PLCG2,0.9658119148693185,0.18352729786938005
COPA,SEC24B,0.9643753289148853,0.18246105395837617
ITPR2,ADAM17,0.9641315334884198,0.18228422978699876
AP2A1,OSBP,0.9628769943320682,0.1813922198899928
LRP1,SAR1B,0.9614235163649992,-0.1803943039285771
VPS29,COPG2,0.960720305657773,-0.1799243904890705
MFN2,SORL1,0.9604481960796754,0.17974471855302557
