ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,COPE,VPS26A,MIA3,LRP1,SAR1B,HSPA5,HSPA9,ADAM10,COPA,RTN4,PLCG2,SYK,RAB1A,MAPKAPK2,SEC24B,CLU,SORL1,ITPR1,RTN3,COPG1,ITPR2,ARF6,TMED10,SNX6,SEC23A,AP1G1,AP2B1,AP3B2,AP2A1,SEC24D,COPG2,GGA2,AP4S1,TMED2,APOE,SEC16A,VPS35,EIF2S1,SEC23B,SORT1,OSBP,SEC31A,GGA3,RAB1B,SEC13,BIN1,APP,APBA1,VPS29,SNX4,MFN2,PSEN1,SEC24C,NCSTN,TMED9,SAR1A,COPB2,PREB,IDE,VDAC1,MAPK14,COPZ1,APBA2,ADAM17,PICALM,ECE1,GGA1,BACE1,PLG,COPB1,SEC24A,VLDLR,SIGMAR1,AP4M1,AP4E1,MAP2K3,ABCA7,GORASP1,AP4B1,SREBF2
1,LRP1,ITPR2,COPA,SEC24C,VPS26A,PICALM,TMED10,VPS35,TMED2,MFN2,BIN1,RTN4,APBA1,GGA2,AP2B1,RAB1A,COPE,AP1G1,COPB1,SNX6,SAR1B,VPS29,COPB2,SEC24B,GGA3,SEC24D,HSPA5,COPG2,EIF2S1,TMED9,COPG1,PLCG2,SEC13,SYK,PLG,ARF6,SEC16A,HSPA9,RAB1B,SEC31A,ECE1,NCSTN,AP4S1,SEC23A,COPZ1,APOE,SNX4,CLU,RTN3,VDAC1,SORT1,APP,OSBP,SAR1A,IDE,ADAM17,PSEN1,MAPKAPK2,ITPR1,MAPK14,AP2A1,AP3B2,PREB,GGA1,ADAM10,SEC24A,SEC23B,SORL1,BACE1,APBA2,MAP2K3,MIA3,SIGMAR1,AP4E1,ABCA7,SREBF2,VLDLR,AP4B1,AP4M1,GORASP1
2,RTN3,SAR1B,COPG1,BIN1,AP3B2,PICALM,VPS29,COPA,VPS35,RAB1A,GGA3,MFN2,ADAM10,MIA3,AP2B1,PREB,ITPR1,EIF2S1,SEC23A,SEC24C,SORT1,RTN4,APOE,CLU,GGA2,SNX6,SEC13,OSBP,ITPR2,HSPA9,VPS26A,SYK,PLCG2,COPG2,AP2A1,COPB1,ARF6,PSEN1,SORL1,SEC23B,NCSTN,LRP1,RAB1B,SNX4,SAR1A,APP,COPB2,MAPK14,IDE,SEC16A,TMED9,TMED2,ADAM17,COPE,AP4S1,PLG,SEC24B,SEC24D,TMED10,COPZ1,VDAC1,SEC31A,APBA1,ECE1,HSPA5,AP1G1,BACE1,AP4M1,SIGMAR1,APBA2,SEC24A,MAPKAPK2,AP4E1,VLDLR,GGA1,MAP2K3,GORASP1,ABCA7,SREBF2,AP4B1
3,SEC31A,AP2A1,HSPA5,MIA3,GGA2,COPB2,VDAC1,AP3B2,SEC24D,ADAM10,COPG2,COPG1,PSEN1,NCSTN,COPB1,ITPR2,SORT1,HSPA9,ARF6,TMED10,TMED9,SEC13,VPS26A,LRP1,CLU,SEC24C,PLCG2,SYK,VPS29,SEC23A,RTN3,PLG,SNX6,SORL1,MFN2,RAB1B,TMED2,AP1G1,SEC23B,BIN1,ITPR1,SEC16A,RAB1A,EIF2S1,AP2B1,PICALM,APP,COPA,RTN4,ADAM17,COPE,SNX4,SAR1B,ECE1,AP4S1,IDE,VPS35,MAPKAPK2,APBA1,OSBP,PREB,GGA3,SEC24A,COPZ1,VLDLR,SAR1A,APOE,BACE1,SEC24B,APBA2,MAP2K3,MAPK14,AP4E1,SIGMAR1,ABCA7,AP4M1,GORASP1,SREBF2,GGA1,AP4B1
4,MIA3,LRP1,HSPA5,NCSTN,SEC23B,ADAM10,PSEN1,RTN3,SNX6,SEC24C,COPG1,SYK,PLCG2,BIN1,VPS26A,AP2B1,TMED9,VDAC1,SEC23A,TMED10,RAB1A,VPS29,COPA,ITPR1,ARF6,AP1G1,APP,CLU,RTN4,SEC31A,COPB2,SORL1,APBA1,APOE,VPS35,SEC16A,HSPA9,SEC13,MFN2,RAB1B,COPE,PREB,TMED2,EIF2S1,COPB1,COPZ1,SEC24B,AP2A1,AP4S1,GGA2,IDE,ADAM17,SAR1A,OSBP,AP3B2,SAR1B,GGA3,ITPR2,COPG2,PLG,SEC24D,AP4M1,SEC24A,PICALM,SORT1,BACE1,VLDLR,SNX4,MAPKAPK2,ECE1,MAPK14,GORASP1,APBA2,GGA1,AP4E1,MAP2K3,ABCA7,SIGMAR1,SREBF2,AP4B1
5,SEC24C,GGA3,COPA,COPE,APBA1,AP2A1,AP3B2,BIN1,ARF6,SEC16A,SEC13,SEC23A,TMED2,SAR1A,SORL1,RTN3,COPG1,MIA3,MFN2,COPG2,AP1G1,ITPR2,COPB2,SEC31A,RAB1B,RTN4,BACE1,CLU,EIF2S1,VDAC1,HSPA9,APP,VPS29,GGA2,APOE,RAB1A,AP4S1,SORT1,COPB1,SEC24D,SYK,IDE,PLCG2,TMED10,SNX6,PLG,SAR1B,ADAM10,SNX4,APBA2,SEC23B,NCSTN,GGA1,ITPR1,PSEN1,LRP1,VPS26A,ECE1,SEC24B,AP2B1,PICALM,PREB,MAPKAPK2,VPS35,COPZ1,MAPK14,SEC24A,OSBP,VLDLR,MAP2K3,GORASP1,HSPA5,SIGMAR1,ADAM17,AP4E1,TMED9,AP4M1,AP4B1,SREBF2,ABCA7
6,RTN3,ITPR2,BIN1,SEC24B,GGA3,AP1G1,HSPA5,RAB1A,TMED9,ITPR1,RTN4,PICALM,ARF6,EIF2S1,VPS26A,COPE,COPA,VDAC1,HSPA9,SNX6,APOE,AP2A1,ADAM10,APP,RAB1B,GGA1,AP2B1,MFN2,SEC13,LRP1,COPG1,GGA2,SEC31A,VPS35,TMED10,SAR1B,IDE,TMED2,SEC23A,SORT1,AP3B2,SAR1A,COPZ1,SEC24C,SNX4,SORL1,PREB,SEC24D,VPS29,MIA3,COPG2,COPB2,APBA1,SYK,PLCG2,ECE1,PSEN1,NCSTN,SEC24A,VLDLR,AP4S1,MAPKAPK2,SEC16A,SEC23B,COPB1,CLU,PLG,APBA2,MAPK14,OSBP,BACE1,AP4M1,GORASP1,ADAM17,MAP2K3,ABCA7,SIGMAR1,AP4E1,SREBF2,AP4B1
7,SORL1,COPA,MIA3,MFN2,VPS35,COPG1,COPE,PREB,SEC31A,EIF2S1,VPS26A,ITPR1,SAR1B,AP1G1,RTN4,RAB1B,PICALM,BIN1,SEC24C,HSPA9,TMED10,AP3B2,TMED2,RTN3,COPB2,COPB1,ARF6,ADAM17,CLU,AP2A1,APBA1,SORT1,ITPR2,HSPA5,PSEN1,SEC23B,NCSTN,APP,OSBP,RAB1A,SEC23A,SEC13,SNX6,SEC24D,COPG2,PLG,LRP1,SAR1A,COPZ1,ECE1,ADAM10,SEC24B,SNX4,VDAC1,GGA1,VLDLR,SEC24A,AP2B1,MAPKAPK2,GGA2,SYK,SEC16A,MAPK14,BACE1,PLCG2,APBA2,VPS29,AP4S1,TMED9,GGA3,APOE,SIGMAR1,MAP2K3,GORASP1,AP4M1,AP4E1,ABCA7,SREBF2,IDE,AP4B1
8,MIA3,HSPA5,CLU,HSPA9,SEC31A,SEC13,AP3B2,TMED2,COPB2,PREB,AP1G1,SEC23A,BIN1,APP,TMED9,VDAC1,RAB1B,NCSTN,COPB1,RTN4,TMED10,RAB1A,SNX4,AP2B1,COPG2,COPG1,COPA,COPE,COPZ1,LRP1,MAPKAPK2,ADAM10,PSEN1,VPS26A,SNX6,SORL1,PLCG2,APBA1,OSBP,SEC16A,EIF2S1,ITPR2,SAR1B,GGA1,SEC24B,RTN3,ITPR1,SORT1,GGA3,APOE,SYK,GGA2,ARF6,PLG,SEC24D,VPS35,BACE1,MAPK14,MFN2,AP2A1,AP4S1,SAR1A,VPS29,ECE1,SEC24A,VLDLR,SEC23B,AP4M1,IDE,PICALM,ABCA7,APBA2,SEC24C,GORASP1,MAP2K3,AP4E1,SIGMAR1,SREBF2,AP4B1,ADAM17
9,AP1G1,SNX6,SEC24C,RAB1B,COPB2,LRP1,COPB1,MIA3,SEC31A,APOE,ITPR2,TMED10,VPS26A,TMED9,SEC23B,CLU,HSPA9,AP2A1,VDAC1,AP2B1,SAR1B,PREB,AP3B2,SORL1,COPG2,COPG1,NCSTN,MFN2,APP,ARF6,VPS29,ADAM17,COPE,SAR1A,SEC23A,TMED2,SEC13,COPA,SNX4,SORT1,ADAM10,HSPA5,PSEN1,RTN3,BIN1,VPS35,SEC24B,IDE,EIF2S1,ECE1,MAPKAPK2,SYK,GGA1,PLCG2,PICALM,ITPR1,RAB1A,APBA1,RTN4,OSBP,AP4M1,GGA2,SEC16A,AP4S1,COPZ1,GGA3,PLG,SEC24D,APBA2,BACE1,SREBF2,SEC24A,VLDLR,MAPK14,ABCA7,MAP2K3,AP4E1,SIGMAR1,GORASP1,AP4B1
