variable,state,n,reliability,n_ROSMAP,n_Diverse,n_Banner,a_map,mean_A,dag_density,sink_entropy,sink_pmax,ordering_kendall,best_minus_mean,status,solver,context_cols,z_context_dropped,acyclic_ok,best_dag,best_score,score_mean,score_sd,best_edges,mean_edges,unique_refits,seed,seconds
sex,female,941,comfortable,281,579,81,threshold,0.1647,0.1841,0.4457,0.4166,0.3177,0.0334,ok,lw,15,False,True,27,0.5247,0.4913,0.012,567,581.7,7501,1224782318,4.4
sex,male,629,comfortable,119,401,109,threshold,0.1812,0.2078,0.4378,0.48,0.3188,0.0305,ok,lw,15,False,True,93,0.5478,0.5173,0.0114,686,656.8,7532,857653194,4.3
apoe_genotype,22,8,p>n (overfit),3,3,2,threshold,0.0559,0.0546,0.8272,0.0802,0.5314,0.0151,ok,lw,0,True,True,65,0.1597,0.1446,0.0082,171,172.7,7672,2445839839,4.7
apoe_genotype,23,158,workable,57,78,23,threshold,0.1526,0.1624,0.7876,0.1894,0.2021,0.0268,ok,lw,15,False,True,28,0.4462,0.4194,0.0096,492,513.2,7729,3905518957,4.4
apoe_genotype,24,40,p>n (overfit),10,28,2,threshold,0.1491,0.1471,0.6333,0.3913,0.1244,0.0336,ok,lw,15,False,True,66,0.4261,0.3925,0.0117,438,464.9,7717,2066081996,4.6
apoe_genotype,33,804,comfortable,256,456,92,threshold,0.16,0.1848,0.5823,0.2191,0.3721,0.0218,ok,lw,15,False,True,38,0.5185,0.4967,0.009,575,583.8,7584,4291071150,4.7
apoe_genotype,34,422,comfortable,73,287,62,threshold,0.1969,0.2177,0.3992,0.6394,0.2282,0.0339,ok,lw,15,False,True,47,0.5641,0.5302,0.0115,699,687.9,7656,1646336523,4.4
apoe_genotype,44,68,p>n (overfit),1,59,8,threshold,0.186,0.1849,0.5643,0.5521,0.065,0.0264,ok,lw,14,False,True,37,0.5149,0.4885,0.0107,594,584.3,7739,819957586,4.5
cts_mmse30_lv,0-6,62,p>n (overfit),32,0,30,threshold,0.0764,0.0753,0.7457,0.1823,0.5222,0.0238,ok,lw,10,False,True,81,0.226,0.2022,0.0105,226,237.9,7041,2420400362,4.6
cts_mmse30_lv,12-18,56,p>n (overfit),35,0,21,threshold,0.1231,0.1223,0.548,0.4377,0.2831,0.024,ok,lw,10,False,True,37,0.3521,0.3281,0.0104,348,386.4,7661,2359771335,4.4
cts_mmse30_lv,18-24,75,p>n (overfit),53,0,22,threshold,0.0862,0.0862,0.7991,0.1027,0.3755,0.0232,ok,lw,10,False,True,0,0.2443,0.2212,0.0084,256,272.3,7691,3347713851,4.8
cts_mmse30_lv,24-30,367,comfortable,262,0,105,threshold,0.1354,0.1437,0.6192,0.2019,0.3312,0.0234,ok,lw,10,False,True,60,0.4245,0.4011,0.0096,441,454.0,7620,3599368043,4.6
cts_mmse30_lv,6-12,30,p>n (overfit),18,0,12,threshold,0.1025,0.1,0.7477,0.1703,0.3123,0.0282,ok,lw,10,False,True,71,0.294,0.2658,0.0109,305,316.0,7720,927919762,4.7
cts_mmse30_first_ad_dx,0-6,6,p>n (overfit),6,0,0,threshold,0.0505,0.0492,0.8496,0.057,0.533,0.0194,ok,lw,0,True,True,44,0.1467,0.1273,0.0085,146,155.5,7719,763760411,4.9
cts_mmse30_first_ad_dx,12-18,20,p>n (overfit),20,0,0,threshold,0.0876,0.0858,0.6523,0.2289,0.378,0.0268,ok,lw,7,False,True,97,0.2592,0.2324,0.0106,254,271.0,7680,2670542853,4.5
cts_mmse30_first_ad_dx,18-24,48,p>n (overfit),48,0,0,threshold,0.1417,0.1386,0.5605,0.3596,0.2068,0.021,ok,lw,7,False,True,83,0.3904,0.3694,0.009,444,438.0,7657,3524530305,5.0
cts_mmse30_first_ad_dx,24-30,39,p>n (overfit),39,0,0,threshold,0.0784,0.0763,0.7932,0.0965,0.4812,0.0212,ok,lw,7,False,True,77,0.2097,0.1886,0.0092,240,241.0,7490,3306422449,4.8
cts_mmse30_first_ad_dx,6-12,13,p>n (overfit),13,0,0,threshold,0.0577,0.0558,0.7544,0.1182,0.5475,0.0364,ok,lw,0,True,True,53,0.2004,0.164,0.0125,156,176.3,7503,3524193731,4.8
braaksc,0,6,p>n (overfit),6,0,0,threshold,0.0494,0.0486,0.8556,0.0547,0.5077,0.0246,ok,lw,0,True,True,27,0.1423,0.1177,0.0106,164,153.7,7665,3982471945,4.6
braaksc,1,106,exploratory,29,71,6,threshold,0.1776,0.184,0.9204,0.0726,0.0755,0.0245,ok,lw,15,False,True,72,0.4852,0.4607,0.0111,549,581.3,7779,2623726227,5.0
braaksc,2,142,exploratory,39,88,15,threshold,0.1961,0.2073,0.4584,0.6664,0.113,0.0242,ok,lw,15,False,True,1,0.5233,0.4991,0.0093,622,655.2,7725,56235037,4.2
braaksc,3,321,comfortable,121,162,38,threshold,0.1851,0.2022,0.6872,0.2326,0.2332,0.024,ok,lw,15,False,True,29,0.5273,0.5034,0.0097,606,638.9,7715,1985545135,4.9
braaksc,4,360,comfortable,131,172,57,threshold,0.1658,0.1782,0.6611,0.2867,0.2368,0.027,ok,lw,15,False,True,10,0.4885,0.4615,0.0108,535,563.0,7715,3967579922,4.8
braaksc,5,310,comfortable,71,191,48,threshold,0.1882,0.205,0.5797,0.3532,0.2202,0.0188,ok,lw,14,False,True,92,0.5195,0.5007,0.0089,651,647.7,7660,2641733244,4.5
braaksc,6,268,workable,3,239,26,threshold,0.2339,0.2511,0.8486,0.2584,0.082,0.0246,ok,lw,14,False,True,22,0.6179,0.5933,0.0104,838,793.3,7783,108943414,4.9
ceradsc,0,144,exploratory,106,0,38,threshold,0.1047,0.1065,0.6609,0.2488,0.3978,0.0232,ok,lw,9,False,True,37,0.3204,0.2972,0.0096,331,336.5,7658,1518264184,4.3
ceradsc,1,58,p>n (overfit),43,0,15,threshold,0.0983,0.0963,0.6975,0.2513,0.4189,0.0262,ok,lw,9,False,True,84,0.2935,0.2673,0.0095,274,304.2,7675,797159398,4.7
ceradsc,2,169,workable,138,0,31,threshold,0.1218,0.1259,0.6553,0.2864,0.3313,0.0366,ok,lw,9,False,True,29,0.3869,0.3503,0.0097,372,397.8,7678,3095199308,4.6
ceradsc,3,219,workable,113,0,106,threshold,0.1279,0.134,0.59,0.2606,0.407,0.0213,ok,lw,9,False,True,19,0.3875,0.3662,0.0088,411,423.3,7628,3245739714,4.7
amyThal,1,33,p>n (overfit),0,33,0,threshold,0.1379,0.134,0.5637,0.3919,0.1678,0.0214,ok,lw,7,False,True,93,0.3967,0.3753,0.0106,418,423.4,7673,2995153807,4.3
amyThal,2,29,p>n (overfit),0,29,0,threshold,0.1157,0.1111,0.6584,0.1867,0.2994,0.0233,ok,lw,7,False,True,67,0.3383,0.315,0.0105,350,351.0,7701,697121577,4.3
amyThal,3,68,p>n (overfit),0,68,0,threshold,0.1912,0.196,0.7563,0.3424,0.0734,0.0341,ok,lw,7,False,True,47,0.5404,0.5063,0.0104,619,619.5,7752,1620331187,4.7
amyThal,4,55,p>n (overfit),0,55,0,threshold,0.1878,0.1878,0.5362,0.5536,0.052,0.0243,ok,lw,6,False,True,58,0.5034,0.4791,0.0107,590,593.5,7739,3262177302,4.7
