dataset,variable,confidence,mean_pc,max_pc
Banner,PlaqueTotal,-2,0.333,0.538
Banner,PlaqueTotal,-1,0.316,0.563
Banner,PlaqueTotal,1,0.533,0.633
Banner,PlaqueTotal,2,0.517,0.674
Banner,PlaqueTotal,3,0.531,0.693
Banner,PlaqueTotal,4,0.52,0.691
Banner,PlaqueTotal,5,0.564,0.904
Banner,TangleTotal,-2,0.333,0.681
Banner,TangleTotal,-1,0.338,0.741
Banner,TangleTotal,1,0.51,0.623
Banner,TangleTotal,2,0.497,0.567
Banner,TangleTotal,3,0.507,0.603
Banner,TangleTotal,4,0.526,0.63
Banner,TangleTotal,5,0.542,0.791
Banner,braaksc,-2,0.295,0.538
Banner,braaksc,-1,0.315,0.609
Banner,braaksc,1,0.537,0.644
Banner,braaksc,2,0.506,0.6
Banner,braaksc,3,0.5,0.577
Banner,braaksc,4,0.536,0.772
Banner,braaksc,5,0.506,0.719
Banner,ceradsc,-2,0.212,0.468
Banner,ceradsc,-1,0.241,0.485
Banner,ceradsc,1,0.538,0.633
Banner,ceradsc,2,0.505,0.617
Banner,ceradsc,3,0.503,0.584
Banner,ceradsc,4,0.543,0.683
Banner,ceradsc,5,0.524,0.634
Banner,cts_mmse30_lv,-2,0.318,0.654
Banner,cts_mmse30_lv,-1,0.337,0.592
Banner,cts_mmse30_lv,1,0.52,0.618
Banner,cts_mmse30_lv,2,0.497,0.627
Banner,cts_mmse30_lv,3,0.498,0.57
Banner,cts_mmse30_lv,4,0.526,0.691
Banner,cts_mmse30_lv,5,0.538,0.758
Banner,pmi,-2,0.433,0.708
Banner,pmi,-1,0.431,0.723
Banner,pmi,1,0.526,0.66
Banner,pmi,2,0.519,0.682
Banner,pmi,3,0.514,0.786
Banner,pmi,4,0.505,0.724
Banner,pmi,5,0.584,0.843
Diverse,amyA,-2,0.295,0.596
Diverse,amyA,-1,0.355,0.622
Diverse,amyA,1,0.57,0.707
Diverse,amyA,2,0.52,0.626
Diverse,amyA,3,0.536,0.712
Diverse,amyA,4,0.507,0.699
Diverse,amyA,5,0.608,0.765
Diverse,amyCerad,-2,0.353,0.785
Diverse,amyCerad,-1,0.34,0.766
Diverse,amyCerad,1,0.552,0.819
Diverse,amyCerad,2,0.553,0.817
Diverse,amyCerad,3,0.559,0.792
Diverse,amyCerad,4,0.535,0.837
Diverse,amyCerad,5,0.699,0.935
Diverse,amyThal,-2,0.33,0.777
Diverse,amyThal,-1,0.336,0.779
Diverse,amyThal,1,0.575,0.697
Diverse,amyThal,2,0.53,0.665
Diverse,amyThal,3,0.586,0.749
Diverse,amyThal,4,0.539,0.724
Diverse,amyThal,5,0.584,0.869
Diverse,braaksc,-2,0.438,0.875
Diverse,braaksc,-1,0.418,0.861
Diverse,braaksc,1,0.555,0.705
Diverse,braaksc,2,0.528,0.652
Diverse,braaksc,3,0.553,0.767
Diverse,braaksc,4,0.552,0.821
Diverse,braaksc,5,0.606,0.863
Diverse,pmi,-2,0.423,0.969
Diverse,pmi,-1,0.425,0.946
Diverse,pmi,1,0.555,0.792
Diverse,pmi,2,0.531,0.783
Diverse,pmi,3,0.565,0.815
Diverse,pmi,4,0.56,0.797
Diverse,pmi,5,0.611,0.902
Diverse,reag,-2,0.281,0.704
Diverse,reag,-1,0.293,0.733
Diverse,reag,1,0.536,0.73
Diverse,reag,2,0.517,0.661
Diverse,reag,3,0.538,0.717
Diverse,reag,4,0.54,0.748
Diverse,reag,5,0.709,0.974
ROSMAP,braaksc,-2,0.373,0.721
ROSMAP,braaksc,-1,0.379,0.717
ROSMAP,braaksc,1,0.54,0.663
ROSMAP,braaksc,2,0.532,0.669
ROSMAP,braaksc,3,0.529,0.652
ROSMAP,braaksc,4,0.516,0.707
ROSMAP,braaksc,5,0.561,0.817
ROSMAP,ceradsc,-2,0.451,0.787
ROSMAP,ceradsc,-1,0.456,0.699
ROSMAP,ceradsc,1,0.512,0.692
ROSMAP,ceradsc,2,0.514,0.617
ROSMAP,ceradsc,3,0.529,0.714
ROSMAP,ceradsc,4,0.504,0.642
ROSMAP,ceradsc,5,0.575,0.81
ROSMAP,cts_mmse30_first_ad_dx,-2,0.366,0.902
ROSMAP,cts_mmse30_first_ad_dx,-1,0.376,0.823
ROSMAP,cts_mmse30_first_ad_dx,1,0.526,0.685
ROSMAP,cts_mmse30_first_ad_dx,2,0.552,0.652
ROSMAP,cts_mmse30_first_ad_dx,3,0.545,0.719
ROSMAP,cts_mmse30_first_ad_dx,4,0.484,0.675
ROSMAP,cts_mmse30_first_ad_dx,5,0.573,0.784
ROSMAP,cts_mmse30_lv,-2,0.394,0.829
ROSMAP,cts_mmse30_lv,-1,0.398,0.769
ROSMAP,cts_mmse30_lv,1,0.53,0.665
ROSMAP,cts_mmse30_lv,2,0.527,0.643
ROSMAP,cts_mmse30_lv,3,0.52,0.752
ROSMAP,cts_mmse30_lv,4,0.531,0.797
ROSMAP,cts_mmse30_lv,5,0.576,0.83
ROSMAP,pmi,-2,0.368,0.659
ROSMAP,pmi,-1,0.388,0.758
ROSMAP,pmi,1,0.527,0.695
ROSMAP,pmi,2,0.519,0.639
ROSMAP,pmi,3,0.52,0.649
ROSMAP,pmi,4,0.507,0.748
ROSMAP,pmi,5,0.562,0.83
