dataset,variable,confidence,u_lo,u_hi,value_lo,value_hi,support_fraction,tau_c,n_people,n_edges_c,n_subjects
Banner,TangleTotal,5,0.59,0.611,10.25,10.75,0.669,0.649,44,153,190
Banner,TangleTotal,5,0.643,0.675,11.0,12.0,0.737,0.649,46,153,190
Banner,cts_mmse30_lv,5,0.146,0.177,5.0,7.5,0.73,0.629,46,153,190
Banner,pmi,-2,0.23,0.251,2.415,2.5,0.645,0.62,44,574,190
Banner,pmi,4,0.823,0.854,3.66,3.875,0.63,0.62,46,123,190
Banner,pmi,5,0.347,0.368,2.58,2.66,0.8,0.715,44,153,190
Diverse,amyA,1,0.312,0.322,2.0,2.0,0.682,0.645,44,403,410
Diverse,amyA,3,0.194,0.204,2.0,2.0,0.638,0.621,44,399,410
Diverse,amyA,3,0.317,0.326,2.0,3.0,0.665,0.621,44,399,410
Diverse,amyA,5,0.336,0.346,3.0,3.0,0.752,0.733,44,153,410
Diverse,amyCerad,-2,0.329,0.335,2.0,2.0,0.678,0.62,44,574,692
Diverse,amyCerad,-1,0.329,0.344,2.0,2.0,0.717,0.62,50,778,692
Diverse,amyCerad,1,0.297,0.303,1.0,1.0,0.747,0.658,44,403,692
Diverse,amyCerad,1,0.535,0.546,3.0,3.0,0.676,0.658,48,403,692
Diverse,amyCerad,3,0.297,0.306,1.0,1.0,0.719,0.655,46,399,692
Diverse,amyCerad,4,0.315,0.321,1.0,2.0,0.669,0.646,44,123,692
Diverse,amyThal,1,0.073,0.088,1.0,2.0,0.673,0.657,46,403,403
Diverse,amyThal,3,0.078,0.088,1.0,2.0,0.708,0.687,44,399,403
Diverse,amyThal,5,0.277,0.287,3.0,3.0,0.758,0.706,44,153,403
Diverse,braaksc,-2,0.188,0.193,3.0,3.0,0.769,0.68,44,574,923
Diverse,braaksc,-2,0.362,0.366,4.0,4.0,0.761,0.68,44,574,923
Diverse,braaksc,-2,0.544,0.548,5.0,5.0,0.786,0.68,44,574,923
