version,variable,from_bucket,to_bucket,protein,beta,se,z,p,n,strata,strata_same_sign,q
cell,sex,female,male,ABCA7,-0.04495970760904815,0.06284516465293218,-0.7154044047357023,0.4743591915285851,1087.0,6.0,2.0,0.643198903767573
cell,sex,female,male,ADAM10,0.0839086944126444,0.023463259144306234,3.5761738766375215,0.0003486597952305785,1313.0,6.0,6.0,0.003486597952305785
cell,sex,female,male,ADAM17,-0.030004314564471585,0.04846435790100188,-0.619100631143435,0.5358500675779971,1281.0,6.0,4.0,0.6914194420361254
cell,sex,female,male,AP1G1,-0.006820602518263672,0.03763478477670131,-0.1812313411311475,0.8561859952418425,1313.0,6.0,3.0,0.927361466084295
cell,sex,female,male,AP2A1,-0.040299650102703304,0.024306554826575885,-1.6579745829977173,0.0973225966813039,1313.0,6.0,5.0,0.23593356771225188
cell,sex,female,male,AP2B1,-0.039236113847443174,0.030024369523351763,-1.3068089179000706,0.19127761567517476,1313.0,6.0,5.0,0.3923643398465123
cell,sex,female,male,AP3B2,-0.02408222826858257,0.022582962083320522,-1.0663892619458182,0.2862477137600815,1155.0,6.0,5.0,0.481533988826422
cell,sex,female,male,AP4B1,-0.073207052977194,0.061286841603580375,-1.1944987057860923,0.23228294667041072,1079.0,6.0,4.0,0.4321543193868106
cell,sex,female,male,AP4E1,0.0674283702344498,0.0644632227889306,1.0459975055114428,0.2955621840861643,1178.0,6.0,5.0,0.481533988826422
cell,sex,female,male,AP4M1,0.1438921289078991,0.07633026520498085,1.8851254940813382,0.059412896820918486,900.0,5.0,4.0,0.1828089132951338
cell,sex,female,male,AP4S1,-0.11300507153171163,0.06065181742283838,-1.863177004967368,0.062437366994849516,1240.0,6.0,5.0,0.18499960591066525
cell,sex,female,male,APBA1,-0.06788592589166872,0.04025089681640656,-1.6865692757433897,0.09168620393123711,1313.0,6.0,4.0,0.22921550982809277
cell,sex,female,male,APBA2,-0.142144548918702,0.047961135854633415,-2.9637444231832086,0.0030392059033090215,1313.0,6.0,4.0,0.020261372688726808
cell,sex,female,male,APOE,-0.0314438485598861,0.05341939946180346,-0.5886222772378681,0.5561146864286658,1313.0,6.0,3.0,0.7061773795919566
cell,sex,female,male,APP,0.04495576603337876,0.04337587486825402,1.0364232691541868,0.30000471931672434,1225.0,6.0,4.0,0.481533988826422
cell,sex,female,male,ARF6,0.05405652823799327,0.04457856256359703,1.2126126355212712,0.22527795567640319,1313.0,6.0,3.0,0.42910086795505364
