version,variable,cohort,protein,from_bucket,to_bucket,beta,se,n,p
cell,sex,ROSMAP,ABCA7,female,male,0.05953926242029205,0.14053643258296064,278,0.6718158804427632
cell,sex,ROSMAP,ADAM10,female,male,0.12611829917430722,0.05377900792574578,398,0.01902088822479108
cell,sex,ROSMAP,ADAM17,female,male,-0.08996765335654842,0.10722077723046491,366,0.4014200036236688
cell,sex,ROSMAP,AP1G1,female,male,0.01955065709566491,0.11025212358352984,398,0.8592516951110882
cell,sex,ROSMAP,AP2A1,female,male,-0.19162234087822416,0.08894933473928904,398,0.031217719843629057
cell,sex,ROSMAP,AP2B1,female,male,-0.15582132236778407,0.08102295568291998,398,0.05445807647854059
cell,sex,ROSMAP,AP3B2,female,male,-0.11840910713011962,0.15291243177096062,240,0.4387185633841494
cell,sex,ROSMAP,AP4B1,female,male,-0.17589329723504055,0.146149015946192,231,0.22877506780690793
cell,sex,ROSMAP,AP4E1,female,male,-0.033953695306050385,0.12815479294364535,334,0.7910534926098831
cell,sex,ROSMAP,AP4M1,female,male,0.12777947986388055,0.15774287130396186,230,0.4179119241336283
cell,sex,ROSMAP,AP4S1,female,male,-0.09624760288159045,0.12346828781203956,342,0.43566581529261605
cell,sex,ROSMAP,APBA1,female,male,-0.23922769493516055,0.08987933608953586,398,0.0077757760783848705
cell,sex,ROSMAP,APBA2,female,male,-0.3027495021634266,0.10849241594944488,398,0.005262457928176158
cell,sex,ROSMAP,APOE,female,male,-0.21113272056962903,0.1120657205962906,398,0.05956388558362567
cell,sex,ROSMAP,APP,female,male,0.32496113948335814,0.12395142443215147,310,0.008749719349489754
cell,sex,ROSMAP,ARF6,female,male,-0.05594788470254288,0.11020557862495974,398,0.6116859452488621
cell,sex,ROSMAP,BACE1,female,male,-0.05789297104122769,0.11470936779046009,398,0.6137747473050406
cell,sex,ROSMAP,BIN1,female,male,0.030714722341154882,0.07726771158812448,398,0.6909910864522127
cell,sex,ROSMAP,CLU,female,male,-0.2136061917580917,0.10430399580977524,398,0.04056788329971133
cell,sex,ROSMAP,COPA,female,male,-0.02128497785320816,0.11349376427364742,398,0.851234796419907
cell,sex,ROSMAP,COPB1,female,male,-0.013724590799086134,0.11188921920818201,398,0.9023745056781394
cell,sex,ROSMAP,COPB2,female,male,-0.16761433940217121,0.1136986018659694,398,0.14042808005242075
cell,sex,ROSMAP,COPE,female,male,-0.1644329069214108,0.11583920822414104,398,0.15575543249038024
cell,sex,ROSMAP,COPG1,female,male,-0.00411177613715758,0.11383233082355745,398,0.9711856078839254
cell,sex,ROSMAP,COPG2,female,male,-0.04118768440355705,0.11561995655675389,398,0.7216658186002439
cell,sex,ROSMAP,COPZ1,female,male,-0.09264189204230008,0.10941556385924192,398,0.3971637135142756
cell,sex,ROSMAP,ECE1,female,male,0.17183192237383768,0.1102588891280577,382,0.11912885354580294
cell,sex,ROSMAP,EIF2S1,female,male,-0.17993630065062635,0.1112769466252119,398,0.10587541396239737
cell,sex,ROSMAP,GGA1,female,male,-0.43253470428453905,0.10545966138195391,398,4.106167528005472e-05
cell,sex,ROSMAP,GGA2,female,male,0.08538805272810147,0.11047904443808126,398,0.43958799731786924
cell,sex,ROSMAP,GGA3,female,male,-0.34498389473791174,0.09184896068102433,398,0.00017265670996652923
cell,sex,ROSMAP,GORASP1,female,male,0.15724060670582296,0.14440402219587156,264,0.276200835971394
cell,sex,ROSMAP,HSPA5,female,male,-0.18968217347134392,0.11439258548328166,398,0.09728347569279226
cell,sex,ROSMAP,HSPA9,female,male,-0.19755045453694928,0.10728585299661761,398,0.06557076390688867
cell,sex,ROSMAP,IDE,female,male,-0.39257615769265536,0.10627048173317148,398,0.00022064758257409243
cell,sex,ROSMAP,ITPR1,female,male,0.019515145536907502,0.10963264111612148,398,0.8587191403190433
cell,sex,ROSMAP,ITPR2,female,male,0.05337848443479906,0.10004522688051755,398,0.5936573802126658
cell,sex,ROSMAP,LRP1,female,male,0.06052715800473996,0.09465322349587407,398,0.5225223001529827
cell,sex,ROSMAP,MAP2K3,female,male,0.11885498349061388,0.12108164501009916,350,0.3262918972352654
cell,sex,ROSMAP,MAPK14,female,male,-0.04002196544425216,0.10191790693958824,367,0.6945497434058581
cell,sex,ROSMAP,MAPKAPK2,female,male,0.06234493966892782,0.10836509223422203,366,0.5650728085939961
cell,sex,ROSMAP,MFN2,female,male,-0.17849448272182405,0.09853273858803821,398,0.07005968013928533
cell,sex,ROSMAP,MIA3,female,male,-0.08844647060176553,0.11443117112763268,398,0.43956802171340925
cell,sex,ROSMAP,NCSTN,female,male,0.05724689830433342,0.11667834797708006,382,0.6236820985728475
cell,sex,ROSMAP,OSBP,female,male,-0.11007812470579616,0.10800628070411196,398,0.30811627370905637
cell,sex,ROSMAP,PICALM,female,male,0.007216961301208642,0.1025919654171482,398,0.9439180617536095
